"Representative","State","Amount"
"Neal Richard E (D-MA)","Massachusetts","$68175"
"Tonko Paul (D-NY)","New York","$62340"
"Pallone Frank Jr (D-NJ)","New Jersey","$55000"
"Bustos Cheri (D-IL)","Illinois","$52630"
"Finkenauer Abby (D-IA)","Iowa","$48986"
"Laturner Jake (R-KS)","Kansas","$48565"
"Estes Ron (R-KS)","Kansas","$42850"
"Mann Tracey (R-KS)","Kansas","$42600"
"Axne Cindy (D-IA)","Iowa","$38302"
"Feenstra Randy (R-IA)","Iowa","$35300"
"LaHood Darin (R-IL)","Illinois","$33100"
"Casten Sean (D-IL)","Illinois","$30727"
"Peterson Collin (D-MN)","Minnesota","$29455"
"Emmer Tom (R-MN)","Minnesota","$28735"
"Craig Angie (D-MN)","Minnesota","$28030"
"Smith Adrian (R-NE)","Nebraska","$27500"
"Davis Rodney (R-IL)","Illinois","$25506"
"Thompson Mike (D-CA)","California","$25103"
"Hart Rita (D-IA)","Iowa","$24919"
"Cox TJ (D-CA)","California","$23742"
"Gallego Ruben (D-AZ)","Arizona","$22617"
"McCready Dan (D-NC)","North Carolina","$22300"
"Ocasio-Cortez Alexandria (D-NY)","New York","$21273"
"Gomez Jimmy (D-CA)","California","$21000"
"Johnson Dusty (R-SD)","South Dakota","$20500"
"McEachin Donald (D-VA)","Virginia","$20000"
"Pelosi Nancy (D-CA)","California","$18337"
"Levin Mike (D-CA)","California","$18191"
"Eshoo Anna (D-CA)","California","$17900"
"McNerney Jerry (D-CA)","California","$17450"
"Blumenauer Earl (D-OR)","Oregon","$17391"
"Harder Josh (D-CA)","California","$17273"
"Armstrong Kelly (R-ND)","North Dakota","$17000"
"Arrington Jodey (R-TX)","Texas","$16900"
"Kennedy Brynne (D-CA)","California","$16898"
"Stevens Haley (D-MI)","Michigan","$16849"
"Ruiz Raul (D-CA)","California","$16813"
"McAdams Ben (D-UT)","Utah","$16807"
"Davids Sharice (D-KS)","Kansas","$15499"
"Krishnamoorthi Raja (D-IL)","Illinois","$15177"
"Kildee Dan (D-MI)","Michigan","$14250"
"Scalise Steve (R-LA)","Louisiana","$14111"
"Webb Cameron (D-VA)","Virginia","$13648"
"Graves Sam (R-MO)","Missouri","$13200"
"Schweikert David (R-AZ)","Arizona","$13050"
"Luria Elaine (D-VA)","Virginia","$12874"
"Fletcher Lizzie (D-TX)","Texas","$12561"
"Buchanan Vernon (R-FL)","Florida","$12500"
"Kulkarni Sri (D-TX)","Texas","$12436"
