"Representative","State","Amount"
"Rosen Jacky (D-NV)","Nevada","$247862"
"Sinema Kyrsten (D-AZ)","Arizona","$95548"
"O'Rourke Beto (D-TX)","Texas","$90514"
"Gottheimer Josh (D-NJ)","New Jersey","$46298"
"Huffman Jared (D-CA)","California","$37033"
"Kuster Ann (D-NH)","New Hampshire","$30532"
"Carbajal Salud (D-CA)","California","$27701"
"Kilmer Derek (D-WA)","Washington","$25613"
"Esty Elizabeth (D-CT)","Connecticut","$23703"
"Pelosi Nancy (D-CA)","California","$23626"
"Grijalva Raul M (D-AZ)","Arizona","$23210"
"DelBene Suzan (D-WA)","Washington","$23051"
"Kennedy Joe III (D-MA)","Massachusetts","$21485"
"Lee Barbara (D-CA)","California","$20655"
"McEachin Donald (D-VA)","Virginia","$19855"
"Barragan Nanette (D-CA)","California","$19757"
"Cartwright Matt (D-PA)","Pennsylvania","$19137"
"Wild Susan (D-PA)","Pennsylvania","$18520"
"Murphy Stephanie (D-FL)","Florida","$18491"
"Gomez Jimmy (D-CA)","California","$18459"
"Suozzi Tom (D-NY)","New York","$17850"
"Curbelo Carlos (R-FL)","Florida","$17792"
"Handel Karen (R-GA)","Georgia","$17785"
"Jayapal Pramila (D-WA)","Washington","$17231"
"Schneider Brad (D-IL)","Illinois","$17209"
"Crist Charlie (D-FL)","Florida","$16881"
"Schiff Adam (D-CA)","California","$16523"
"Foster Bill (D-IL)","Illinois","$16500"
"Peters Scott (D-CA)","California","$16392"
"Bera Ami (D-CA)","California","$13880"
"Ruiz Raul (D-CA)","California","$13619"
"Lieu Ted (D-CA)","California","$11600"
"Stefanik Elise (R-NY)","New York","$10850"
"McNerney Jerry (D-CA)","California","$9950"
"O'Halleran Tom (D-AZ)","Arizona","$9550"
"Brownley Julia (D-CA)","California","$9201"
"Lofgren Zoe (D-CA)","California","$9000"
"Kihuen Ruben (D-NV)","Nevada","$8399"
"Pingree Chellie (D-ME)","Maine","$8262"
"Aguilar Pete (D-CA)","California","$8075"
"Fitzpatrick Brian (R-PA)","Pennsylvania","$8000"
"Maloney Sean Patrick (D-NY)","New York","$7470"
"Himes Jim (D-CT)","Connecticut","$7456"
"Lamb Conor (D-PA)","Pennsylvania","$7425"
"Panetta Jimmy (D-CA)","California","$7400"
"Heck Dennis (D-WA)","Washington","$7250"
"Scanlon Mary Gay (D-PA)","Pennsylvania","$6997"
"Lowey Nita M (D-NY)","New York","$6903"
"Price David (D-NC)","North Carolina","$6763"
"Schultz Debbie Wasserman (D-FL)","Florida","$6537"
"Quigley Mike (D-IL)","Illinois","$6525"
"McCollum Betty (D-MN)","Minnesota","$6250"
"Rochester Lisa Blunt (D-DE)","Delaware","$6223"
"Ellison Keith (D-MN)","Minnesota","$6030"
"Lujan Ben Ray (D-NM)","New Mexico","$5967"
"Evans Dwight (D-PA)","Pennsylvania","$5958"
"Bustos Cheri (D-IL)","Illinois","$5929"
"Clark Katherine (D-MA)","Massachusetts","$5913"
"Dingell Debbie (D-MI)","Michigan","$5903"
"Pocan Mark (D-WI)","Wisconsin","$5903"
"Bishop Rob (R-UT)","Utah","$5700"
"Raskin Jamie (D-MD)","Maryland","$5665"
"Ryan Tim (D-OH)","Ohio","$5513"
"Coleman Bonnie Watson (D-NJ)","New Jersey","$5504"
"Culberson John (R-TX)","Texas","$5400"
"Beyer Don (D-VA)","Virginia","$5380"
"Fortenberry Jeff (R-NE)","Nebraska","$5300"
"McCarthy Kevin (R-CA)","California","$5250"
"Gallego Ruben (D-AZ)","Arizona","$5210"
"Lowenthal Alan (D-CA)","California","$5100"
"Blumenauer Earl (D-OR)","Oregon","$4838"
"Clyburn James E (D-SC)","South Carolina","$4750"
"Conaway Mike (R-TX)","Texas","$4750"
"Castro Joaquin (D-TX)","Texas","$4700"
"Matsui Doris (D-CA)","California","$4537"
"Cohen Steve (D-TN)","Tennessee","$4500"
"Hoyer Steny H (D-MD)","Maryland","$4500"
"Smith Adam (D-WA)","Washington","$4500"
"Krishnamoorthi Raja (D-IL)","Illinois","$4408"
