"Representative","State","Amount"
"Young Todd (R-IN)","Indiana","$157150"
"Barr Andy (R-KY)","Kentucky","$98050"
"Heck Joe (R-NV)","Nevada","$82325"
"Ryan Paul (R-WI)","Wisconsin","$75290"
"McKinley David (R-WV)","West Virginia","$70150"
"Rothfus Keith J (R-PA)","Pennsylvania","$59850"
"Tipton Scott (R-CO)","Colorado","$53400"
"Jenkins Evan (R-WV)","West Virginia","$51200"
"Kelly Mike (R-PA)","Pennsylvania","$40850"
"Shimkus John (R-IL)","Illinois","$40700"
"Shuster Bill (R-PA)","Pennsylvania","$39350"
"Johnson Bill (R-OH)","Ohio","$38800"
"Amodei Mark (R-NV)","Nevada","$38450"
"Rogers Hal (R-KY)","Kentucky","$38400"
"Joyce David P (R-OH)","Ohio","$38100"
"Lamborn Doug (R-CO)","Colorado","$38000"
"Coffman Mike (R-CO)","Colorado","$36250"
"Murphy Tim (R-PA)","Pennsylvania","$34950"
"Bost Mike (R-IL)","Illinois","$33400"
"Griffith Morgan (R-VA)","Virginia","$32850"
"Messer Luke (R-IN)","Indiana","$31200"
"Mooney Alex (R-WV)","West Virginia","$31126"
"Zinke Ryan (R-MT)","Montana","$31100"
"McCarthy Kevin (R-CA)","California","$30700"
"Cramer Kevin (R-ND)","North Dakota","$30000"
"Bishop Rob (R-UT)","Utah","$28750"
"Walberg Tim (R-MI)","Michigan","$28500"
"Pearce Steve (R-NM)","New Mexico","$25400"
"Gosar Paul (R-AZ)","Arizona","$23750"
"Boehner John (R-OH)","Ohio","$23150"
"Bucshon Larry (R-IN)","Indiana","$22500"
"Graves Tom (R-GA)","Georgia","$20700"
"Lummis Cynthia (R-WY)","Wyoming","$20500"
"Calvert Ken (R-CA)","California","$20000"
"Young Don (R-AK)","Alaska","$20000"
"Cole Tom (R-OK)","Oklahoma","$19200"
"Nolan Rick (D-MN)","Minnesota","$18941"
"Thompson Glenn (R-PA)","Pennsylvania","$17250"
"Whitfield Ed (R-KY)","Kentucky","$16000"
"Stivers Steve (R-OH)","Ohio","$15775"
"Hardy Cresent (R-NV)","Nevada","$15000"
"Wagner Ann (R-MO)","Missouri","$14900"
"Scalise Steve (R-LA)","Louisiana","$13900"
"Yoder Kevin (R-KS)","Kansas","$13800"
"Stewart Chris (R-UT)","Utah","$13756"
"Rodgers Cathy McMorris (R-WA)","Washington","$13650"
"McSally Martha (R-AZ)","Arizona","$13325"
"Jenkins Lynn (R-KS)","Kansas","$13300"
"Palmer Gary (R-AL)","Alabama","$13300"
"Titus Dina (D-NV)","Nevada","$13000"
"Guthrie Brett (R-KY)","Kentucky","$12700"
"Simpson Mike (R-ID)","Idaho","$12450"
"Mullin Markwayne (R-OK)","Oklahoma","$11000"
"Rogers Mike D (R-AL)","Alabama","$11000"
"Byrne Bradley (R-AL)","Alabama","$10900"
"Fleming John (R-LA)","Louisiana","$10600"
"Boustany Charles Jr (R-LA)","Louisiana","$10400"
"Sewell Terri (D-AL)","Alabama","$10000"
"Lujan Ben Ray (D-NM)","New Mexico","$9500"
"Comstock Barbara (R-VA)","Virginia","$9450"
"Aderholt Robert B (R-AL)","Alabama","$9000"
"Smith Jason (R-MO)","Missouri","$8750"
"Luetkemeyer Blaine (R-MO)","Missouri","$8400"
"Davis Rodney (R-IL)","Illinois","$8100"
"Gibbs Bob (R-OH)","Ohio","$8000"
"Newhouse Dan (R-WA)","Washington","$8000"
"Upton Fred (R-MI)","Michigan","$8000"
"Roby Martha (R-AL)","Alabama","$7500"
"Sinema Kyrsten (D-AZ)","Arizona","$7500"
"Tiberi Pat (R-OH)","Ohio","$7500"
"Walden Greg (R-OR)","Oregon","$7500"
"Kirkpatrick Ann (D-AZ)","Arizona","$7315"
"Graves Garret (R-LA)","Louisiana","$7250"
"LaHood Darin (R-IL)","Illinois","$7050"
"Bishop Sanford (D-GA)","Georgia","$7000"
"Salmon Matt (R-AZ)","Arizona","$7000"
"Barton Joe (R-TX)","Texas","$6500"
"Costa Jim (D-CA)","California","$6500"
"Buck Ken (R-CO)","Colorado","$6300"
