"Representative","State","Amount"
"Cassidy Bill (R-LA)","Louisiana","$851120"
"Gardner Cory (R-CO)","Colorado","$800182"
"Boehner John (R-OH)","Ohio","$753155"
"Lankford James (R-OK)","Oklahoma","$539060"
"Cotton Tom (R-AR)","Arkansas","$507047"
"Daines Steven (R-MT)","Montana","$437952"
"Pompeo Mike (R-KS)","Kansas","$376850"
"Coffman Mike (R-CO)","Colorado","$372000"
"McCarthy Kevin (R-CA)","California","$361000"
"Pearce Steve (R-NM)","New Mexico","$342820"
"Brady Kevin (R-TX)","Texas","$321650"
"Ryan Paul (R-WI)","Wisconsin","$309799"
"Capito Shelley Moore (R-WV)","West Virginia","$283366"
"Cramer Kevin (R-ND)","North Dakota","$272250"
"Conaway Mike (R-TX)","Texas","$263450"
"Olson Pete (R-TX)","Texas","$248000"
"Upton Fred (R-MI)","Michigan","$245800"
"Boustany Charles Jr (R-LA)","Louisiana","$236350"
"Scalise Steve (R-LA)","Louisiana","$217274"
"Flores Bill (R-TX)","Texas","$213789"
"Johnson Bill (R-OH)","Ohio","$213266"
"Reed Tom (R-NY)","New York","$211200"
"Williams Roger (R-TX)","Texas","$209500"
"Shuster Bill (R-PA)","Pennsylvania","$205048"
"Fleming John (R-LA)","Louisiana","$188000"
"Cantor Eric (R-VA)","Virginia","$162015"
"Sessions Pete (R-TX)","Texas","$158950"
"Mullin Markwayne (R-OK)","Oklahoma","$148950"
"Jenkins Lynn (R-KS)","Kansas","$147950"
"Barton Joe (R-TX)","Texas","$142100"
"Whitfield Ed (R-KY)","Kentucky","$136500"
"Harper Gregg (R-MS)","Mississippi","$136300"
"Cuellar Henry (D-TX)","Texas","$135758"
"Barrow John (D-GA)","Georgia","$132650"
"Tipton Scott (R-CO)","Colorado","$130739"
"Thompson Glenn (R-PA)","Pennsylvania","$125330"
"Cole Tom (R-OK)","Oklahoma","$123200"
"Benishek Dan (R-MI)","Michigan","$113950"
"Walden Greg (R-OR)","Oregon","$112350"
"Shimkus John (R-IL)","Illinois","$112300"
"Murphy Tim (R-PA)","Pennsylvania","$111000"
"Bishop Rob (R-UT)","Utah","$110600"
"Farenthold Blake (R-TX)","Texas","$109325"
"Green Gene (D-TX)","Texas","$102350"
"Blackburn Marsha (R-TN)","Tennessee","$101600"
"Lucas Frank D (R-OK)","Oklahoma","$101450"
"Thornberry Mac (R-TX)","Texas","$101375"
"Smith Lamar (R-TX)","Texas","$100150"
"Costa Jim (D-CA)","California","$99929"
"Weber Randy (R-TX)","Texas","$97800"
"Rodgers Cathy McMorris (R-WA)","Washington","$96600"
"Camp Dave (R-MI)","Michigan","$96499"
"Hensarling Jeb (R-TX)","Texas","$95800"
"Terry Lee (R-NE)","Nebraska","$95750"
"Neugebauer Randy (R-TX)","Texas","$94900"
"Poe Ted (R-TX)","Texas","$94200"
"Southerland Steve (R-FL)","Florida","$92250"
"Culberson John (R-TX)","Texas","$92150"
"Simpson Mike (R-ID)","Idaho","$92000"
"Lummis Cynthia (R-WY)","Wyoming","$91050"
"Tiberi Pat (R-OH)","Ohio","$90350"
"Kelly Mike (R-PA)","Pennsylvania","$89850"
"Davis Rodney (R-IL)","Illinois","$85690"
"McKinley David (R-WV)","West Virginia","$84450"
"Latta Bob (R-OH)","Ohio","$84000"
"Granger Kay (R-TX)","Texas","$83850"
"Issa Darrell (R-CA)","California","$82400"
"McCaul Michael (R-TX)","Texas","$82050"
"Valadao David (R-CA)","California","$81150"
"Kinzinger Adam (R-IL)","Illinois","$80600"
"Rothfus Keith J (R-PA)","Pennsylvania","$79550"
"Huelskamp Tim (R-KS)","Kansas","$73550"
"Roskam Peter (R-IL)","Illinois","$73550"
"Bridenstine James (R-OK)","Oklahoma","$72950"
"Denham Jeff (R-CA)","California","$71798"
"Nunes Devin (R-CA)","California","$70500"
"Gibbs Bob (R-OH)","Ohio","$69800"
"Yoder Kevin (R-KS)","Kansas","$68700"
"Burgess Michael (R-TX)","Texas","$67956"
"Renacci Jim (R-OH)","Ohio","$66199"
"Nunnelee Alan (R-MS)","Mississippi","$66100"
"Stewart Chris (R-UT)","Utah","$65350"
"Royce Ed (R-CA)","California","$64900"
"Guthrie Brett (R-KY)","Kentucky","$64750"
"Noem Kristi (R-SD)","South Dakota","$64550"
"Meehan Patrick (R-PA)","Pennsylvania","$64400"
"Ellmers Renee (R-NC)","North Carolina","$62250"
"Kingston Jack (R-GA)","Georgia","$61175"
"Black Diane (R-TN)","Tennessee","$60625"
"Lamborn Doug (R-CO)","Colorado","$59000"
"Walberg Tim (R-MI)","Michigan","$58750"
"Palazzo Steven (R-MS)","Mississippi","$57850"
"Wagner Ann (R-MO)","Missouri","$57500"
"Pitts Joe (R-PA)","Pennsylvania","$57000"
"Marchant Kenny (R-TX)","Texas","$56400"
"Griffith Morgan (R-VA)","Virginia","$56300"
"Hastings Doc (R-WA)","Washington","$55750"
"Stivers Steve (R-OH)","Ohio","$55600"
"Dent Charlie (R-PA)","Pennsylvania","$54900"
"McClintock Tom (R-CA)","California","$54450"
"Veasey Marc (D-TX)","Texas","$54400"
"Hudson Richard (R-NC)","North Carolina","$52250"
"Duncan Jeff (R-SC)","South Carolina","$51660"
"Joyce David P (R-OH)","Ohio","$51300"
"Collins Chris (R-NY)","New York","$50800"
"Richmond Cedric (D-LA)","Louisiana","$50100"
"Hoyer Steny H (D-MD)","Maryland","$49750"
"Carter John (R-TX)","Texas","$49600"
"Hall Ralph (R-TX)","Texas","$48700"
"Garrett Scott (R-NJ)","New Jersey","$48600"
"Gohmert Louis B Jr (R-TX)","Texas","$47600"
"Johnson Sam (R-TX)","Texas","$46900"
"Goodlatte Bob (R-VA)","Virginia","$45250"
"Rigell Scott (R-VA)","Virginia","$45000"
"Long Billy (R-MO)","Missouri","$44850"
"Young Don (R-AK)","Alaska","$43450"
"Castro Joaquin (D-TX)","Texas","$43250"
"LaMalfa Doug (R-CA)","California","$42500"
"Matheson Jim (D-UT)","Utah","$41500"
"Stutzman Marlin (R-IN)","Indiana","$41100"
"Barr Andy (R-KY)","Kentucky","$41050"
"Gallego Pete (D-TX)","Texas","$40950"
"Brooks Susan (R-IN)","Indiana","$40750"
"Rogers Hal (R-KY)","Kentucky","$40100"
"Walorski Jackie (R-IN)","Indiana","$39840"
"Chaffetz Jason (R-UT)","Utah","$39350"
"Harris Andy (R-MD)","Maryland","$38000"
"Ryan Tim (D-OH)","Ohio","$38000"
"Young Todd (R-IN)","Indiana","$37950"
"Heck Joe (R-NV)","Nevada","$37900"
"Griffin Tim (R-AR)","Arkansas","$37200"
"Duffy Sean P (R-WI)","Wisconsin","$36550"
"Byrne Bradley (R-AL)","Alabama","$35250"
"Paulsen Erik (R-MN)","Minnesota","$35250"
"Price Tom (R-GA)","Georgia","$35250"
"Calvert Ken (R-CA)","California","$35000"
"Fincher Steve (R-TN)","Tennessee","$34700"
"Schock Aaron (R-IL)","Illinois","$34700"
"McHenry Patrick (R-NC)","North Carolina","$34500"
"Marino Tom (R-PA)","Pennsylvania","$34000"
"Ross Dennis (R-FL)","Florida","$34000"
"Ribble Reid (R-WI)","Wisconsin","$33800"
"Mica John L (R-FL)","Florida","$33500"
"Barletta Lou (R-PA)","Pennsylvania","$33020"
"Bilirakis Gus (R-FL)","Florida","$32500"
"Rogers Mike (R-MI)","Michigan","$32200"
"Broun Paul (R-GA)","Georgia","$32100"
"Israel Steve (D-NY)","New York","$31900"
"Vela Filemon (D-TX)","Texas","$31600"
"Lujan Ben Ray (D-NM)","New Mexico","$31500"
"Messer Luke (R-IN)","Indiana","$31500"
"Capuano Michael E (D-MA)","Massachusetts","$31250"
"Larsen Rick (D-WA)","Washington","$31000"
"Gibson Chris (R-NY)","New York","$30950"
"Lance Leonard (R-NJ)","New Jersey","$30500"
"Miller Candice S (R-MI)","Michigan","$30500"
"Jolly David (R-FL)","Florida","$30400"
"Rahall Nick (D-WV)","West Virginia","$29600"
"Rokita Todd (R-IN)","Indiana","$29500"
"Doyle Mike (D-PA)","Pennsylvania","$29000"
"Perry Scott (R-PA)","Pennsylvania","$28600"
"Posey Bill (R-FL)","Florida","$28400"
"Kline John (R-MN)","Minnesota","$28300"
"Amash Justin (R-MI)","Michigan","$28000"
"Welch Peter (D-VT)","Vermont","$27700"
"Fitzpatrick Michael G (R-PA)","Pennsylvania","$26700"
"Perlmutter Ed (D-CO)","Colorado","$25900"
"Foxx Virginia (R-NC)","North Carolina","$25050"
"Brat Dave (R-VA)","Virginia","$24500"
"Smith Jason (R-MO)","Missouri","$24400"
"Fleischmann Chuck (R-TN)","Tennessee","$23400"
"Jordan Jim (R-OH)","Ohio","$23400"
"Mulvaney Mick (R-SC)","South Carolina","$23250"
"Graves Tom (R-GA)","Georgia","$23200"
"Beutler Jaime Herrera (R-WA)","Washington","$23100"
"Turner Michael R (R-OH)","Ohio","$23000"
"DeSantis Ron (R-FL)","Florida","$22000"
"Gerlach Jim (R-PA)","Pennsylvania","$21500"
"Massie Thomas (R-KY)","Kentucky","$21500"
"Hultgren Randy (R-IL)","Illinois","$21250"
"Wenstrup Brad (R-OH)","Ohio","$21100"
"Graves Sam (R-MO)","Missouri","$21000"
"McAllister Vance (R-LA)","Louisiana","$20400"
"Bucshon Larry (R-IN)","Indiana","$20300"
"Alexander Rodney (R-LA)","Louisiana","$20250"
"Gowdy Trey (R-SC)","South Carolina","$20000"
"Stockman Steve (R-TX)","Texas","$19600"
"O'Rourke Beto (D-TX)","Texas","$19500"
"Wilson Joe (R-SC)","South Carolina","$19000"
"Grisham Michelle Lujan (D-NM)","New Mexico","$18700"
"Brady Robert A (D-PA)","Pennsylvania","$18525"
"Thompson Mike (D-CA)","California","$18250"
"Peters Gary (D-MI)","Michigan","$17900"
"Hurt Robert (R-VA)","Virginia","$17750"
"Aderholt Robert B (R-AL)","Alabama","$17500"
"Pittenger Robert (R-NC)","North Carolina","$17500"
"Gingrey Phil (R-GA)","Georgia","$17450"
"Collins Doug (R-GA)","Georgia","$17250"
"Jackson Lee Sheila (D-TX)","Texas","$17100"
"Westmoreland Lynn A (R-GA)","Georgia","$17050"
"Butterfield G K (D-NC)","North Carolina","$17000"
"Woodall Rob (R-GA)","Georgia","$16750"
"Peterson Collin (D-MN)","Minnesota","$16500"
"McIntyre Mike (D-NC)","North Carolina","$16000"
"Foster Bill (D-IL)","Illinois","$15850"
"Radel Trey (R-FL)","Florida","$15700"
"Smith Adrian (R-NE)","Nebraska","$15500"
"Clark Katherine (D-MA)","Massachusetts","$15400"
"Salmon Matt (R-AZ)","Arizona","$15400"
"Sanford Mark (R-SC)","South Carolina","$15350"
"Huizenga Bill (R-MI)","Michigan","$15150"
"Sewell Terri (D-AL)","Alabama","$15000"
"Fudge Marcia (D-OH)","Ohio","$14950"
"LoBiondo Frank (R-NJ)","New Jersey","$14750"
"Chabot Steve (R-OH)","Ohio","$14600"
"Hinojosa Ruben (D-TX)","Texas","$14500"
"Rohrabacher Dana (R-CA)","California","$14400"
"Schneider Brad (D-IL)","Illinois","$14300"
"Swalwell Eric (D-CA)","California","$14300"
"Bera Ami (D-CA)","California","$14150"
"Thompson Bennie G (D-MS)","Mississippi","$14000"
"Nugent Richard (R-FL)","Florida","$13950"
"Womack Steve (R-AR)","Arkansas","$13700"
"Cardenas Tony (D-CA)","California","$13500"
"Matsui Doris (D-CA)","California","$13500"
"Webster Daniel (R-FL)","Florida","$13350"
"Labrador Raul (R-ID)","Idaho","$13100"
"Crawford Rick (R-AR)","Arkansas","$12800"
"Franks Trent (R-AZ)","Arizona","$12700"
"Duncan John J Jr (R-TN)","Tennessee","$12500"
"Gosar Paul (R-AZ)","Arizona","$12500"
"Maloney Carolyn (D-NY)","New York","$12400"
"Holding George (R-NC)","North Carolina","$12350"
"Pallone Frank Jr (D-NJ)","New Jersey","$12250"
"Bachmann Michele (R-MN)","Minnesota","$11900"
"Green Al (D-TX)","Texas","$11600"
"King Steven A (R-IA)","Iowa","$11500"
"Rooney Tom (R-FL)","Florida","$11500"
"Murphy Patrick (D-FL)","Florida","$11400"
"Hartzler Vicky (R-MO)","Missouri","$11350"
"Hunter Duncan D (R-CA)","California","$11100"
"Forbes Randy (R-VA)","Virginia","$10500"
"Kaptur Marcy (D-OH)","Ohio","$10500"
"Rice Tom (R-SC)","South Carolina","$10500"
"Roby Martha (R-AL)","Alabama","$10500"
"DelBene Suzan (D-WA)","Washington","$10000"
"Lowenthal Alan (D-CA)","California","$10000"
"Schweikert David (R-AZ)","Arizona","$10000"
"Wittman Rob (R-VA)","Virginia","$9950"
"Huffman Jared (D-CA)","California","$9900"
"Miller Gary (R-CA)","California","$9900"
"Clyburn James E (D-SC)","South Carolina","$9500"
"Meeks Gregory (D-NY)","New York","$9100"
"Bishop Sanford (D-GA)","Georgia","$9000"
"Reichert Dave (R-WA)","Washington","$8900"
"Rangel Charles B (D-NY)","New York","$8800"
"Amodei Mark (R-NV)","Nevada","$8750"
"Carson Andre (D-IN)","Indiana","$8750"
"Larson John (D-CT)","Connecticut","$8600"
"Johnson Eddie Bernice (D-TX)","Texas","$8570"
"Neal Richard E (D-MA)","Massachusetts","$8500"
"Rush Bobby (D-IL)","Illinois","$8500"
"Doggett Lloyd (D-TX)","Texas","$8150"
"Frelinghuysen Rodney (R-NJ)","New Jersey","$8050"
"Andrews Robert E (D-NJ)","New Jersey","$8000"
"Becerra Xavier (D-CA)","California","$8000"
"Kennedy Joe III (D-MA)","Massachusetts","$7800"
"Garcia Joe (D-FL)","Florida","$7650"
"Hanabusa Colleen (D-HI)","Hawaii","$7600"
"Conyers John Jr (D-MI)","Michigan","$7500"
"Crenshaw Ander (R-FL)","Florida","$7500"
"Dingell John D (D-MI)","Michigan","$7500"
"Grimm Michael (R-NY)","New York","$7500"
"Kilmer Derek (D-WA)","Washington","$7500"
"Rogers Mike D (R-AL)","Alabama","$7500"
"Visclosky Pete (D-IN)","Indiana","$7500"
"Luetkemeyer Blaine (R-MO)","Missouri","$7250"
"Maloney Sean Patrick (D-NY)","New York","$7200"
"Hanna Richard (R-NY)","New York","$7100"
"DeFazio Peter (D-OR)","Oregon","$7000"
"Higgins Brian M (D-NY)","New York","$7000"
"Horsford Steven (D-NV)","Nevada","$7000"
"Van Hollen Chris (D-MD)","Maryland","$7000"
"Yoho Ted (R-FL)","Florida","$7000"
"Bishop Timothy H (D-NY)","New York","$6950"
"Cummings Elijah E (D-MD)","Maryland","$6850"
"Himes Jim (D-CT)","Connecticut","$6750"
"Kirkpatrick Ann (D-AZ)","Arizona","$6700"
"Titus Dina (D-NV)","Nevada","$6600"
"McNerney Jerry (D-CA)","California","$6500"
"Napolitano Grace (D-CA)","California","$6500"
"Peters Scott (D-CA)","California","$6500"
"Walz Tim (D-MN)","Minnesota","$6500"
"Jones Walter B Jr (R-NC)","North Carolina","$6350"
"Pocan Mark (D-WI)","Wisconsin","$6350"
"Cooper Jim (D-TN)","Tennessee","$6200"
"Polis Jared (D-CO)","Colorado","$6200"
"Meadows Mark (R-NC)","North Carolina","$6000"
"Sensenbrenner Jim (R-WI)","Wisconsin","$6000"
"Keating Bill (D-MA)","Massachusetts","$5850"
"Loebsack David (D-IA)","Iowa","$5750"
"Nadler Jerrold (D-NY)","New York","$5700"
"Lee Barbara (D-CA)","California","$5600"
"Brooks Mo (R-AL)","Alabama","$5500"
"Crowley Joseph (D-NY)","New York","$5500"
"Kind Ron (D-WI)","Wisconsin","$5500"
"Scott Austin (R-GA)","Georgia","$5500"
"Sires Albio (D-NJ)","New Jersey","$5400"
"Tierney John F (D-MA)","Massachusetts","$5200"
"Frankel Lois (D-FL)","Florida","$5100"
"Brown Corrine (D-FL)","Florida","$5000"
"Connolly Gerry (D-VA)","Virginia","$5000"
"Ruiz Raul (D-CA)","California","$5000"
"Cook Paul (R-CA)","California","$4800"
"Sanchez Linda (D-CA)","California","$4750"
"Beatty Joyce (D-OH)","Ohio","$4500"
"Bentivolio Kerry (R-MI)","Michigan","$4500"
"Levin Sander (D-MI)","Michigan","$4500"
"Norcross Don (D-NJ)","New Jersey","$4500"
"Ruppersberger Dutch (D-MD)","Maryland","$4500"
"Tonko Paul (D-NY)","New York","$4500"
"Schrader Kurt (D-OR)","Oregon","$4250"
"Hahn Janice (D-CA)","California","$4000"
"King Pete (R-NY)","New York","$4000"
"Lofgren Zoe (D-CA)","California","$4000"
"Lynch Stephen (D-MA)","Massachusetts","$4000"
"McGovern James P (D-MA)","Massachusetts","$4000"
"Moran Jim (D-VA)","Virginia","$4000"
"Norton Eleanor Holmes (D-DC)","District of Columbia","$4000"
"Duckworth Tammy (D-IL)","Illinois","$3750"
"Kuster Ann (D-NH)","New Hampshire","$3750"
"Courtney Joe (D-CT)","Connecticut","$3500"
"Diaz-Balart Mario (R-FL)","Florida","$3500"
"Kildee Dan (D-MI)","Michigan","$3500"
"Lipinski Daniel (D-IL)","Illinois","$3500"
"Pierluisi Pedro (D-PR)","Puerto Rico","$3500"
"Braley Bruce (D-IA)","Iowa","$3375"
"Honda Mike (D-CA)","California","$3350"
"Bass Karen (D-CA)","California","$3250"
"Roe Phil (R-TN)","Tennessee","$3250"
"Heck Dennis (D-WA)","Washington","$3100"
"Buchanan Vernon (R-FL)","Florida","$3000"
"Bustos Cheri (D-IL)","Illinois","$3000"
"Capps Lois (D-CA)","California","$3000"
"Edwards Donna (D-MD)","Maryland","$3000"
"Eshoo Anna (D-CA)","California","$3000"
"Latham Tom (R-IA)","Iowa","$3000"
"Miller Jeff (R-FL)","Florida","$3000"
"Sarbanes John (D-MD)","Maryland","$3000"
"Ellison Keith (D-MN)","Minnesota","$2750"
"Waxman Henry (D-CA)","California","$2600"
"Blumenauer Earl (D-OR)","Oregon","$2500"
"Christian-Christensen Donna (D-VI)","Virgin Islands","$2500"
"Delaney John K (D-MD)","Maryland","$2500"
"Fattah Chaka (D-PA)","Pennsylvania","$2500"
"Pascrell Bill Jr (D-NJ)","New Jersey","$2500"
"Payne Donald M Jr (D-NJ)","New Jersey","$2500"
"Scott David (D-GA)","Georgia","$2500"
"Sinema Kyrsten (D-AZ)","Arizona","$2500"
"Vargas Juan (D-CA)","California","$2500"
"Waters Maxine (D-CA)","California","$2500"
"Wilson Frederica (D-FL)","Florida","$2500"
"Barber Ron (D-AZ)","Arizona","$2450"
"Desjarlais Scott (R-TN)","Tennessee","$2250"
"Gabbard Tulsi (D-HI)","Hawaii","$2250"
"Enyart William (D-IL)","Illinois","$2100"
"Coble Howard (R-NC)","North Carolina","$2000"
"Davis Danny K (D-IL)","Illinois","$2000"
"Engel Eliot (D-NY)","New York","$2000"
"Miller George (D-CA)","California","$2000"
"Petri Tom (R-WI)","Wisconsin","$2000"
"Ros-Lehtinen Ileana (R-FL)","Florida","$2000"
"Runyan Jon (R-NJ)","New Jersey","$2000"
"Sherman Brad (D-CA)","California","$2000"
"Kelly Robin (D-IL)","Illinois","$1750"
"Castor Kathy (D-FL)","Florida","$1500"
"DeGette Diana (D-CO)","Colorado","$1500"
"Quigley Mike (D-IL)","Illinois","$1500"
"Sanchez Loretta (D-CA)","California","$1500"
"Smith Adam (D-WA)","Washington","$1500"
"Grayson Alan (D-FL)","Florida","$1450"
