"Representative","State","Amount"
"Good Bob (R-VA)","Virginia","$3500"
"Graves Garret (R-LA)","Louisiana","$3500"
"Guthrie Brett (R-KY)","Kentucky","$3500"
"Taylor Jessica (R-AL)","Alabama","$3500"
"Herrell Yvette (R-NM)","New Mexico","$3424"
"Andrews Aliscia (R-VA)","Virginia","$3335"
"Batch Brandon (R-TX)","Texas","$3300"
"Connolly Gerry (D-VA)","Virginia","$3300"
"Cawthorn Madison (R-NC)","North Carolina","$3297"
"LaHood Darin (R-IL)","Illinois","$3250"
"McCaul Michael (R-TX)","Texas","$3234"
"Hagan Christina (R-OH)","Ohio","$3060"
"Kunkel Catherine (D-WV)","West Virginia","$3030"
"Johnson Lacy (R-MN)","Minnesota","$3014"
"Boyle Brendan (D-PA)","Pennsylvania","$3000"
"Gibbs Bob (R-OH)","Ohio","$3000"
"Palmer Gary (R-AL)","Alabama","$3000"
"Perlmutter Ed (D-CO)","Colorado","$3000"
"Scott Austin (R-GA)","Georgia","$3000"
"Westerman Bruce (R-AR)","Arkansas","$3000"
"Chase Claire (R-NM)","New Mexico","$2825"
"Kean Thomas H Jr (R-NJ)","New Jersey","$2822"
"Hudson Richard (R-NC)","North Carolina","$2811"
"Becchi Rosemary (R-NJ)","New Jersey","$2800"
"Doyle Mike (D-PA)","Pennsylvania","$2800"
"Gustafson Claire (R-NJ)","New Jersey","$2800"
"McFarlin Jeff (R-TX)","Texas","$2800"
"McGuire John (R-VA)","Virginia","$2800"
"Ramirez Tina (R-VA)","Virginia","$2800"
"Wall Kathaleen (R-TX)","Texas","$2800"
"Bishop Dan (R-NC)","North Carolina","$2645"
"Beutler Jaime Herrera (R-WA)","Washington","$2618"
"Lower Jim (R-MI)","Michigan","$2609"
"Spartz Victoria (R-IN)","Indiana","$2605"
"Malliotakis Nicole (R-NY)","New York","$2502"
"Crawford Rick (R-AR)","Arkansas","$2500"
"Hoyer Steny H (D-MD)","Maryland","$2500"
"Kelly Trent (R-MS)","Mississippi","$2500"
"Rogers Hal (R-KY)","Kentucky","$2500"
"Steil Bryan (R-WI)","Wisconsin","$2500"
"Nunes Devin (R-CA)","California","$2437"
"Stefanik Elise (R-NY)","New York","$2197"
"Chabot Steve (R-OH)","Ohio","$2129"
"Schweikert David (R-AZ)","Arizona","$2100"
"Gallego Ruben (D-AZ)","Arizona","$2045"
"Balderson Troy (R-OH)","Ohio","$2000"
"Brady Kevin (R-TX)","Texas","$2000"
"Cline Ben (R-VA)","Virginia","$2000"
"DeGette Diana (D-CO)","Colorado","$2000"
"Hogg Jon Mark (D-TX)","Texas","$2000"
"Johnson Alexis (R-NM)","New Mexico","$2000"
"Newhouse Dan (R-WA)","Washington","$2000"
"Crenshaw Dan (R-TX)","Texas","$1858"
"Garcia Mike (R-CA)","California","$1791"
"Church Jason (R-WI)","Wisconsin","$1750"
"Jensen Jesse (R-WA)","Washington","$1750"
"Hunter Duncan D (R-CA)","California","$1600"
"Smith Sandy (R-NC)","North Carolina","$1552"
"Jones Gina Ortiz (D-TX)","Texas","$1525"
"Dingell Debbie (D-MI)","Michigan","$1500"
"Massie Thomas (R-KY)","Kentucky","$1500"
"Schwartz Dan (R-NV)","Nevada","$1500"
"Junge Paul (R-MI)","Michigan","$1392"
"Schupp Jill (D-MO)","Missouri","$1350"
"Wagner Ann (R-MO)","Missouri","$1253"
"Harris Andy (R-MD)","Maryland","$1250"
"Neese Terry (R-OK)","Oklahoma","$1200"
"Doglio Beth (D-WA)","Washington","$1132"
"Swalwell Eric (D-CA)","California","$1106"
"Collins Joe (R-CA)","California","$1076"
"Walorski Jackie (R-IN)","Indiana","$1069"
"Taylor Van (R-TX)","Texas","$1067"
"Emmer Tom (R-MN)","Minnesota","$1052"
"Mast Brian (R-FL)","Florida","$1015"
"Granger Kay (R-TX)","Texas","$1011"
