"Representative","State","Amount"
"Smith Adrian (R-NE)","Nebraska","$1500"
"Parnell Archie (D-SC)","South Carolina","$1300"
"Boerio Bibiana (D-PA)","Pennsylvania","$1040"
"Amodei Mark (R-NV)","Nevada","$1000"
"Brady Kevin (R-TX)","Texas","$1000"
"Cline Ben (R-VA)","Virginia","$1000"
"Coffman Mike (R-CO)","Colorado","$1000"
"Costello Ryan (R-PA)","Pennsylvania","$1000"
"Crenshaw Dan (R-TX)","Texas","$1000"
"Hartzler Vicky (R-MO)","Missouri","$1000"
"King Steven A (R-IA)","Iowa","$1000"
"Koh Dan (D-MA)","Massachusetts","$1000"
"Litton Todd (D-TX)","Texas","$1000"
"Lujan Ben Ray (D-NM)","New Mexico","$1000"
"Marchant Kenny (R-TX)","Texas","$1000"
"Massie Thomas (R-KY)","Kentucky","$1000"
"Matlock Jimmy (R-TN)","Tennessee","$1000"
"Roe Phil (R-TN)","Tennessee","$1000"
"Schrader Kurt (D-OR)","Oregon","$1000"
"Simpson Mike (R-ID)","Idaho","$1000"
"Walberg Tim (R-MI)","Michigan","$1000"
"Westerman Bruce (R-AR)","Arkansas","$1000"
"Jayapal Pramila (D-WA)","Washington","$900"
"Watson Liz (D-IN)","Indiana","$850"
"Clarkson Gavin (R-NM)","New Mexico","$500"
"Koppelman Kim A (R-ND)","North Dakota","$500"
"Krishnamoorthi Raja (D-IL)","Illinois","$500"
"Meadows Mark (R-NC)","North Carolina","$500"
"Williams Steve (D-WV)","West Virginia","$500"
"Lawrence Michele (D-PA)","Pennsylvania","$400"
"Kelly Trent (R-MS)","Mississippi","$350"
"Burchett Tim (R-TN)","Tennessee","$250"
"McGrath Amy (D-KY)","Kentucky","$250"
"Pittenger Robert (R-NC)","North Carolina","$250"
"Roberts Kevin (R-TX)","Texas","$250"
"Finkenauer Abby (D-IA)","Iowa","$200"
"McAdams Ben (D-UT)","Utah","$50"
"Bryce Randy (D-WI)","Wisconsin","$20"
"Bustos Cheri (D-IL)","Illinois","$3"
"Boren Dan (D-OK)","Oklahoma","-$100"
