"Representative","State","Amount"
"Boehner John (R-OH)","Ohio","$421017"
"McKinley David (R-WV)","West Virginia","$325278"
"Barr Andy (R-KY)","Kentucky","$240332"
"Capito Shelley Moore (R-WV)","West Virginia","$177936"
"Cantor Eric (R-VA)","Virginia","$163694"
"Griffith Morgan (R-VA)","Virginia","$143938"
"Johnson Bill (R-OH)","Ohio","$130250"
"Whitfield Ed (R-KY)","Kentucky","$127900"
"Hastings Doc (R-WA)","Washington","$114878"
"Murphy Tim (R-PA)","Pennsylvania","$114333"
"Critz Mark (D-PA)","Pennsylvania","$113190"
"Upton Fred (R-MI)","Michigan","$103208"
"Renacci Jim (R-OH)","Ohio","$97067"
"Snuffer Rick (R-WV)","West Virginia","$96207"
"Wagner Ann (R-MO)","Missouri","$93000"
"Shimkus John (R-IL)","Illinois","$86059"
"Gibbs Bob (R-OH)","Ohio","$77500"
"Altmire Jason (D-PA)","Pennsylvania","$76048"
"Rogers Hal (R-KY)","Kentucky","$65099"
"Bucshon Larry (R-IN)","Indiana","$59300"
"Lummis Cynthia (R-WY)","Wyoming","$52650"
"Joyce David P (R-OH)","Ohio","$42414"
"Coffman Mike (R-CO)","Colorado","$42031"
"Tipton Scott (R-CO)","Colorado","$41975"
"Holden Tim (D-PA)","Pennsylvania","$40999"
"Rahall Nick (D-WV)","West Virginia","$40800"
"Shuster Bill (R-PA)","Pennsylvania","$38150"
"Rothfus Keith J (R-PA)","Pennsylvania","$38000"
"Guthrie Brett (R-KY)","Kentucky","$37499"
"Amodei Mark (R-NV)","Nevada","$35750"
"Kelly Mike (R-PA)","Pennsylvania","$35350"
"Camp Dave (R-MI)","Michigan","$35000"
"Gardner Cory (R-CO)","Colorado","$35000"
"Heck Joe (R-NV)","Nevada","$34500"
"Simpson Mike (R-ID)","Idaho","$33950"
"Benishek Dan (R-MI)","Michigan","$33000"
"Pearce Steve (R-NM)","New Mexico","$31000"
"Cravaack Chip (R-MN)","Minnesota","$30450"
"Keadle Scott (R-NC)","North Carolina","$30000"
"Young Todd (R-IN)","Indiana","$29900"
"Stivers Steve (R-OH)","Ohio","$29000"
"Thompson Glenn (R-PA)","Pennsylvania","$28500"
"Massie Thomas (R-KY)","Kentucky","$28000"
"Davis Rodney (R-IL)","Illinois","$26200"
"Bachus Spencer (R-AL)","Alabama","$26000"
