LastName, FirstName, Party, State, StateAbbreviation, District
Fischbach, Michelle,Republican,Minnesota,MN,7th
Fitzgerald, Scott,Republican,Wisconsin,WI,5th
Fitzpatrick, Brian K.,Republican,Pennsylvania,PA,1st
Fleischmann, Charles J. "Chuck",Republican,Tennessee,TN,3rd
Fletcher, Lizzie,Democrat,Texas,TX,7th
Flood, Mike,Republican,Nebraska,NE,1st
Foster, Bill,Democrat,Illinois,IL,11th
Foushee, Valerie P.,Democrat,North Carolina,NC,4th
Foxx, Virginia,Republican,North Carolina,NC,5th
Frankel, Lois,Democrat,Florida,FL,22nd
Franklin, Scott,Republican,Florida,FL,18th
Frost, Maxwell,Democrat,Florida,FL,10th
Fry, Russell,Republican,South Carolina,SC,7th
Fulcher, Russ,Republican,Idaho,ID,1st
Gaetz, Matt,Republican,Florida,FL,1st
Gallagher, Mike,Republican,Wisconsin,WI,8th
Gallego, Ruben,Democrat,Arizona,AZ,3rd
Garamendi, John,Democrat,California,CA,8th
Garbarino, Andrew R.,Republican,New York,NY,2nd
Garcia, Mike,Republican,California,CA,27th
Garcia, Robert,Democrat,California,CA,42nd
Garcia, Sylvia R.,Democrat,Texas,TX,29th
García, Jesús G. "Chuy",Democrat,Illinois,IL,4th
Gimenez, Carlos A.,Republican,Florida,FL,28th
Golden, Jared F.,Democrat,Maine,ME,2nd
Goldman, Daniel S.,Democrat,New York,NY,10th
Gomez, Jimmy,Democrat,California,CA,34th
Gonzales, Tony,Republican,Texas,TX,23rd
Gonzalez, Vicente,Democrat,Texas,TX,34th
González-Colón, Jenniffer,Republican,Puerto Rico,PR,Delegate
Good, Bob,Republican,Virginia,VA,5th
Gooden, Lance,Republican,Texas,TX,5th
Gosar, Paul A.,Republican,Arizona,AZ,9th
Gottheimer, Josh,Democrat,New Jersey,NJ,5th
Granger, Kay,Republican,Texas,TX,12th
Graves, Garret,Republican,Louisiana,LA,6th
Graves, Sam,Republican,Missouri,MO,6th
Green, Al,Democrat,Texas,TX,9th
Green, Mark E.,Republican,Tennessee,TN,7th
Greene, Marjorie Taylor,Republican,Georgia,GA,14th
Griffith, H. Morgan,Republican,Virginia,VA,9th
Grijalva, Raúl M.,Democrat,Arizona,AZ,7th
Grothman, Glenn,Republican,Wisconsin,WI,6th
Guest, Michael,Republican,Mississippi,MS,3rd
Guthrie, Brett,Republican,Kentucky,KY,2nd
Hageman, Harriet M.,Republican,Wyoming,WY,At Large
Harder, Josh,Democrat,California,CA,9th
Harris, Andy,Republican,Maryland,MD,1st
Harshbarger, Diana,Republican,Tennessee,TN,1st
Hayes, Jahana,Democrat,Connecticut,CT,5th
Hern, Kevin,Republican,Oklahoma,OK,1st
Higgins, Clay,Republican,Louisiana,LA,3rd
Hill, J. French,Republican,Arkansas,AR,2nd
Himes, James A.,Democrat,Connecticut,CT,4th
Hinson, Ashley,Republican,Iowa,IA,2nd
Horsford, Steven,Democrat,Nevada,NV,4th
