"Representative","State","Amount"
"O'Rourke Beto (D-TX)","Texas","$81146"
"Young David (R-IA)","Iowa","$54750"
"McCarthy Kevin (R-CA)","California","$54150"
"Yoder Kevin (R-KS)","Kansas","$51400"
"Marshall Roger (R-KS)","Kansas","$48693"
"Estes Ron (R-KS)","Kansas","$41700"
"Reed Tom (R-NY)","New York","$40225"
"Rosen Jacky (D-NV)","Nevada","$35163"
"LaHood Darin (R-IL)","Illinois","$33600"
"Loebsack David (D-IA)","Iowa","$32301"
"Davis Rodney (R-IL)","Illinois","$31500"
"Emmer Tom (R-MN)","Minnesota","$27493"
"King Steven A (R-IA)","Iowa","$27418"
"Bacon Donald John (R-NE)","Nebraska","$25000"
"Shimkus John (R-IL)","Illinois","$24400"
"Arrington Jodey (R-TX)","Texas","$24200"
"Smith Adrian (R-NE)","Nebraska","$23000"
"Holding George (R-NC)","North Carolina","$22800"
"Pallone Frank Jr (D-NJ)","New Jersey","$22500"
"Tonko Paul (D-NY)","New York","$22290"
"Lofgren Zoe (D-CA)","California","$21600"
"McHenry Patrick (R-NC)","North Carolina","$20200"
"Brady Kevin (R-TX)","Texas","$19750"
"Bustos Cheri (D-IL)","Illinois","$19258"
"Pelosi Nancy (D-CA)","California","$19095"
"Blum Rod (R-IA)","Iowa","$18500"
"Bost Mike (R-IL)","Illinois","$18000"
"Hollingsworth Trey (R-IN)","Indiana","$17000"
"Blumenauer Earl (D-OR)","Oregon","$16220"
"Sinema Kyrsten (D-AZ)","Arizona","$15462"
"Messer Luke (R-IN)","Indiana","$14000"
"Smith Jason (R-MO)","Missouri","$14000"
"Stefanik Elise (R-NY)","New York","$13943"
"McNerney Jerry (D-CA)","California","$12700"
"Kinzinger Adam (R-IL)","Illinois","$12500"
"Kind Ron (D-WI)","Wisconsin","$12375"
"Krishnamoorthi Raja (D-IL)","Illinois","$12100"
"Beyer Don (D-VA)","Virginia","$11900"
"Faso John (R-NY)","New York","$11449"
"Ruiz Raul (D-CA)","California","$11150"
"Comer James (R-KY)","Kentucky","$11000"
"Gallego Ruben (D-AZ)","Arizona","$11000"
"Peterson Collin (D-MN)","Minnesota","$10600"
"Ryan Paul (R-WI)","Wisconsin","$10600"
"Mitchell Paul (R-MI)","Michigan","$10000"
"Payne Donald M Jr (D-NJ)","New Jersey","$10000"
"McEachin Donald (D-VA)","Virginia","$9750"
"Foster Bill (D-IL)","Illinois","$9610"
"Peters Scott (D-CA)","California","$9038"
"Graves Sam (R-MO)","Missouri","$8500"
"Cramer Kevin (R-ND)","North Dakota","$8400"
"Walden Greg (R-OR)","Oregon","$8400"
"Thompson Mike (D-CA)","California","$8000"
"Eshoo Anna (D-CA)","California","$7700"
"Bilirakis Gus (R-FL)","Florida","$7600"
"Brooks Susan (R-IN)","Indiana","$7500"
"Collins Chris (R-NY)","New York","$7500"
"Neal Richard E (D-MA)","Massachusetts","$7500"
"Cole Tom (R-OK)","Oklahoma","$7493"
"Curbelo Carlos (R-FL)","Florida","$7000"
"Walorski Jackie (R-IN)","Indiana","$7000"
"Hice Jody (R-GA)","Georgia","$6900"
"Kennedy Joe III (D-MA)","Massachusetts","$6655"
"Gottheimer Josh (D-NJ)","New Jersey","$6495"
"Calvert Ken (R-CA)","California","$6400"
"Cook Paul (R-CA)","California","$6400"
"Joyce David P (R-OH)","Ohio","$6400"
"Carbajal Salud (D-CA)","California","$6000"
"Luetkemeyer Blaine (R-MO)","Missouri","$6000"
"McSally Martha (R-AZ)","Arizona","$5866"
"Rodgers Cathy McMorris (R-WA)","Washington","$5820"
"Renacci Jim (R-OH)","Ohio","$5700"
"Khanna Ro (D-CA)","California","$5641"
"Carter John (R-TX)","Texas","$5400"
"Schweikert David (R-AZ)","Arizona","$5400"
"Burgess Michael (R-TX)","Texas","$5200"
"Nolan Rick (D-MN)","Minnesota","$5146"
"Brown Anthony (D-MD)","Maryland","$5000"
"Lucas Frank D (R-OK)","Oklahoma","$5000"
"Matsui Doris (D-CA)","California","$5000"
"Meehan Patrick (R-PA)","Pennsylvania","$5000"
"Poe Ted (R-TX)","Texas","$5000"
"Lamb Conor (D-PA)","Pennsylvania","$4925"
"Kuster Ann (D-NH)","New Hampshire","$4600"
"Sanford Mark (R-SC)","South Carolina","$4200"
"Brooks Mo (R-AL)","Alabama","$4000"
"Coffman Mike (R-CO)","Colorado","$4000"
"Thornberry Mac (R-TX)","Texas","$4000"
"Schiff Adam (D-CA)","California","$3859"
"Poliquin Bruce (R-ME)","Maine","$3793"
"Hartzler Vicky (R-MO)","Missouri","$3500"
"Latta Bob (R-OH)","Ohio","$3500"
"Long Billy (R-MO)","Missouri","$3500"
"Rouzer David (R-NC)","North Carolina","$3500"
"Vargas Juan (D-CA)","California","$3500"
"Hurd Will (R-TX)","Texas","$3400"
"Swalwell Eric (D-CA)","California","$3361"
"Simpson Mike (R-ID)","Idaho","$3200"
"Gosar Paul (R-AZ)","Arizona","$3000"
"Balderson Troy (R-OH)","Ohio","$2700"
"Lewis Jason (R-MN)","Minnesota","$2700"
"Rokita Todd (R-IN)","Indiana","$2700"
"Rutherford John (R-FL)","Florida","$2700"
"Sarbanes John (D-MD)","Maryland","$2700"
"Wilson Joe (R-SC)","South Carolina","$2700"
"Lewis John (D-GA)","Georgia","$2633"
"Bera Ami (D-CA)","California","$2625"
"Gomez Jimmy (D-CA)","California","$2550"
"Aderholt Robert B (R-AL)","Alabama","$2500"
"Barragan Nanette (D-CA)","California","$2500"
"Black Diane (R-TN)","Tennessee","$2500"
"Clyburn James E (D-SC)","South Carolina","$2500"
"Denham Jeff (R-CA)","California","$2500"
"Espaillat Adriano (D-NY)","New York","$2500"
"Garamendi John (D-CA)","California","$2500"
"Gutierrez Luis V (D-IL)","Illinois","$2500"
"Johnson Bill (R-OH)","Ohio","$2500"
"Lynch Stephen (D-MA)","Massachusetts","$2500"
"Morelle Joseph D (D-NY)","New York","$2500"
"Napolitano Grace (D-CA)","California","$2500"
"Royce Ed (R-CA)","California","$2500"
"Sanchez Linda (D-CA)","California","$2500"
"Sires Albio (D-NJ)","New Jersey","$2500"
"Soto Darren (D-FL)","Florida","$2500"
"Torres Norma (D-CA)","California","$2500"
"Velazquez Nydia (D-NY)","New York","$2500"
"Carter Buddy (R-GA)","Georgia","$2250"
"LaMalfa Doug (R-CA)","California","$2250"
"Brat Dave (R-VA)","Virginia","$2000"
"Butterfield G K (D-NC)","North Carolina","$2000"
"Cardenas Tony (D-CA)","California","$2000"
"Deutch Ted (D-FL)","Florida","$2000"
"Duncan Jeff (R-SC)","South Carolina","$2000"
"Engel Eliot (D-NY)","New York","$2000"
"Graves Garret (R-LA)","Louisiana","$2000"
"Hoyer Steny H (D-MD)","Maryland","$2000"
"Rice Tom (R-SC)","South Carolina","$2000"
"Stivers Steve (R-OH)","Ohio","$2000"
"Tiberi Pat (R-OH)","Ohio","$2000"
"Visclosky Pete (D-IN)","Indiana","$2000"
"Walters Mimi (R-CA)","California","$2000"
"Conaway Mike (R-TX)","Texas","$1793"
"Smith Adam (D-WA)","Washington","$1700"
"Aguilar Pete (D-CA)","California","$1528"
"Barletta Lou (R-PA)","Pennsylvania","$1500"
"Bonamici Suzanne (D-OR)","Oregon","$1500"
"Desaulnier Mark (D-CA)","California","$1500"
"Kelly Mike (R-PA)","Pennsylvania","$1500"
"Maloney Carolyn (D-NY)","New York","$1500"
"Mullin Markwayne (R-OK)","Oklahoma","$1500"
"Nunes Devin (R-CA)","California","$1500"
"Roskam Peter (R-IL)","Illinois","$1500"
"Schakowsky Jan (D-IL)","Illinois","$1500"
"Ellison Keith (D-MN)","Minnesota","$1466"
"Scalise Steve (R-LA)","Louisiana","$1435"
"Murphy Stephanie (D-FL)","Florida","$1255"
"Cooper Jim (D-TN)","Tennessee","$1250"
"McCaul Michael (R-TX)","Texas","$1250"
"Valadao David (R-CA)","California","$1250"
"Meng Grace (D-NY)","New York","$1200"
"Love Mia (R-UT)","Utah","$1195"
"Blackburn Marsha (R-TN)","Tennessee","$1175"
"Zeldin Lee (R-NY)","New York","$1125"
"Delaney John K (D)","Puerto Rico","$1100"
"Barton Joe (R-TX)","Texas","$1000"
"Bass Karen (D-CA)","California","$1000"
"Bishop Sanford (D-GA)","Georgia","$1000"
"Buchanan Vernon (R-FL)","Florida","$1000"
"Buck Ken (R-CO)","Colorado","$1000"
"Cartwright Matt (D-PA)","Pennsylvania","$1000"
"Clark Katherine (D-MA)","Massachusetts","$1000"
"Costa Jim (D-CA)","California","$1000"
"Davis Susan (D-CA)","California","$1000"
"Fortenberry Jeff (R-NE)","Nebraska","$1000"
"Gibbs Bob (R-OH)","Ohio","$1000"
"Granger Kay (R-TX)","Texas","$1000"
"Green Al (D-TX)","Texas","$1000"
"Grothman Glenn (R-WI)","Wisconsin","$1000"
"Higgins Brian M (D-NY)","New York","$1000"
"Hudson Richard (R-NC)","North Carolina","$1000"
"Huffman Jared (D-CA)","California","$1000"
"Hultgren Randy (R-IL)","Illinois","$1000"
"Hunter Duncan D (R-CA)","California","$1000"
"Issa Darrell (R-CA)","California","$1000"
"Knight Steve (R-CA)","California","$1000"
"Kustoff David (R-TN)","Tennessee","$1000"
"Lipinski Daniel (D-IL)","Illinois","$1000"
"McClintock Tom (R-CA)","California","$1000"
"Norman Ralph (R-SC)","South Carolina","$1000"
"Paulsen Erik (R-MN)","Minnesota","$1000"
"Rush Bobby (D-IL)","Illinois","$1000"
"Schrader Kurt (D-OR)","Oregon","$1000"
"Shuster Bill (R-PA)","Pennsylvania","$1000"
"Smucker Lloyd (R-PA)","Pennsylvania","$1000"
"Vela Filemon (D-TX)","Texas","$1000"
"Wagner Ann (R-MO)","Missouri","$1000"
"Gabbard Tulsi (D-HI)","Hawaii","$939"
"McGovern James P (D-MA)","Massachusetts","$782"
"Fitzpatrick Brian (R-PA)","Pennsylvania","$750"
"Jayapal Pramila (D-WA)","Washington","$515"
"Brownley Julia (D-CA)","California","$505"
"Castro Joaquin (D-TX)","Texas","$500"
"Crowley Joseph (D-NY)","New York","$500"
"Cuellar Henry (D-TX)","Texas","$500"
"DeLauro Rosa (D-CT)","Connecticut","$500"
"Lujan Ben Ray (D-NM)","New Mexico","$500"
"Pocan Mark (D-WI)","Wisconsin","$500"
"Sherman Brad (D-CA)","California","$500"
"Schneider Brad (D-IL)","Illinois","$385"
"Gianforte Greg (R-MT)","Montana","$350"
"Ryan Tim (D-OH)","Ohio","$322"
"DelBene Suzan (D-WA)","Washington","$300"
"O'Halleran Tom (D-AZ)","Arizona","$270"
"McCollum Betty (D-MN)","Minnesota","$261"
"Beutler Jaime Herrera (R-WA)","Washington","$250"
"Bucshon Larry (R-IN)","Indiana","$250"
"Culberson John (R-TX)","Texas","$250"
"Dingell Debbie (D-MI)","Michigan","$250"
"Doyle Mike (D-PA)","Pennsylvania","$250"
"Griffith Morgan (R-VA)","Virginia","$250"
"Heck Dennis (D-WA)","Washington","$250"
"Lance Leonard (R-NJ)","New Jersey","$250"
"Mooney Alex (R-WV)","West Virginia","$250"
"Plaskett Stacey (D-VI)","Virgin Islands","$250"
"Smith Lamar (R-TX)","Texas","$250"
"Westerman Bruce (R-AR)","Arkansas","$250"
"Lee Barbara (D-CA)","California","$185"
"Mast Brian (R-FL)","Florida","$160"
"Correa Lou (D-CA)","California","$100"
"Handel Karen (R-GA)","Georgia","$100"
"Keating Bill (D-MA)","Massachusetts","$100"
"Wild Susan (D-PA)","Pennsylvania","$63"
"Grijalva Raul M (D-AZ)","Arizona","$50"
"Maloney Sean Patrick (D-NY)","New York","$50"
"Welch Peter (D-VT)","Vermont","$50"
"DeFazio Peter (D-OR)","Oregon","$40"
"Jeffries Hakeem (D-NY)","New York","$25"
"Lieu Ted (D-CA)","California","$25"
"Larsen Rick (D-WA)","Washington","$15"
"Frankel Lois (D-FL)","Florida","$1"
