"Representative","State","Amount"
"McCready Dan (D-NC)","North Carolina","$183954"
"Small Xochitl Torres (D-NM)","New Mexico","$112592"
"Malinowski Tom (D-NJ)","New Jersey","$112546"
"Mucarsel-Powell Debbie (D-FL)","Florida","$101630"
"Cunningham Joe (D-SC)","South Carolina","$73540"
"Kim Andy (D-NJ)","New Jersey","$72945"
"Luria Elaine (D-VA)","Virginia","$68754"
"Doglio Beth (D-WA)","Washington","$68647"
"Williams Kathleen (D-MT)","Montana","$68609"
"Schrier Kim (D-WA)","Washington","$65939"
"Cartwright Matt (D-PA)","Pennsylvania","$65862"
"Slotkin Elissa (D-MI)","Michigan","$65344"
"Hart Rita (D-IA)","Iowa","$61463"
"Finkenauer Abby (D-IA)","Iowa","$54313"
"Lee Susie (D-NV)","Nevada","$54234"
"Tipirneni Hiral (D-AZ)","Arizona","$53853"
"Smith Christy (D-CA)","California","$52972"
"DeFazio Peter (D-OR)","Oregon","$52828"
"Delgado Antonio (D-NY)","New York","$52652"
"Spanberger Abigail (D-VA)","Virginia","$52610"
"Crow Jason (D-CO)","Colorado","$52217"
"Rose Max (D-NY)","New York","$51930"
"Cox TJ (D-CA)","California","$49850"
"Craig Angie (D-MN)","Minnesota","$49459"
"Stevens Haley (D-MI)","Michigan","$46470"
"Axne Cindy (D-IA)","Iowa","$46204"
"Webb Cameron (D-VA)","Virginia","$45893"
"Porter Katie (D-CA)","California","$45573"
"Rouda Harley (D-CA)","California","$45319"
"Long Carolyn (D-WA)","Washington","$44995"
"Underwood Lauren A (D-IL)","Illinois","$44799"
"Londrigan Betsy Dirksen (D-IL)","Illinois","$43953"
"Davis Wendy (D-TX)","Texas","$43518"
"Davids Sharice (D-KS)","Kansas","$42930"
"Galvin Alyse (I-AK)","Alaska","$42268"
"Casten Sean (D-IL)","Illinois","$41885"
"Levin Mike (D-CA)","California","$41739"
"McBath Lucy (D-GA)","Georgia","$41572"
"DePasquale Eugene (D-PA)","Pennsylvania","$40998"
"Harder Josh (D-CA)","California","$40912"
"Brindisi Anthony (D-NY)","New York","$40782"
"Golden Jared (D-ME)","Maine","$40289"
"Wild Susan (D-PA)","Pennsylvania","$39965"
"Scholten Hillary (D-MI)","Michigan","$37948"
"Gottheimer Josh (D-NJ)","New Jersey","$36065"
"Cisneros Gil (D-CA)","California","$34615"
"Goroff Nancy (D-NY)","New York","$34451"
"Jones Gina Ortiz (D-TX)","Texas","$34204"
"Sherrill Mikie (D-NJ)","New Jersey","$34086"
"Feehan Daniel (D-MN)","Minnesota","$32877"
"Bourdeaux Carolyn (D-GA)","Georgia","$32422"
"O'Halleran Tom (D-AZ)","Arizona","$29219"
"Fitzpatrick Brian (R-PA)","Pennsylvania","$29124"
"Pelosi Nancy (D-CA)","California","$27823"
"Eastman Kara (D-NE)","Nebraska","$27790"
"Wexton Jennifer (D-VA)","Virginia","$27200"
"Bush Diane Mitsch (D-CO)","Colorado","$26993"
"McAdams Ben (D-UT)","Utah","$25998"
