"Representative","State","Amount"
"Boehner John (R-OH)","Ohio","$593348"
"Barr Andy (R-KY)","Kentucky","$240810"
"Jenkins Evan (R-WV)","West Virginia","$205433"
"McKinley David (R-WV)","West Virginia","$193150"
"Johnson Bill (R-OH)","Ohio","$141519"
"Rothfus Keith J (R-PA)","Pennsylvania","$127304"
"Mooney Alex (R-WV)","West Virginia","$113385"
"Davis Rodney (R-IL)","Illinois","$110312"
"Shuster Bill (R-PA)","Pennsylvania","$105090"
"Bucshon Larry (R-IN)","Indiana","$98500"
"Demarco Paul (R-AL)","Alabama","$85550"
"Kline John (R-MN)","Minnesota","$83000"
"Rokita Todd (R-IN)","Indiana","$61600"
"Rogers Hal (R-KY)","Kentucky","$60600"
"Kelly Mike (R-PA)","Pennsylvania","$60150"
"Murphy Tim (R-PA)","Pennsylvania","$47900"
"Simpson Mike (R-ID)","Idaho","$46200"
"Coffman Mike (R-CO)","Colorado","$44950"
"Tipton Scott (R-CO)","Colorado","$44300"
"Wagner Ann (R-MO)","Missouri","$44150"
"Griffith Morgan (R-VA)","Virginia","$42150"
"Smith Jason (R-MO)","Missouri","$37665"
"Whitfield Ed (R-KY)","Kentucky","$37000"
"Joyce David P (R-OH)","Ohio","$34200"
"Upton Fred (R-MI)","Michigan","$34000"
"Lane Charlotte (R-WV)","West Virginia","$33400"
"Cantor Eric (R-VA)","Virginia","$29996"
"Lummis Cynthia (R-WY)","Wyoming","$29750"
"Thompson Glenn (R-PA)","Pennsylvania","$28250"
"Amodei Mark (R-NV)","Nevada","$28000"
"Pearce Steve (R-NM)","New Mexico","$27812"
"Stivers Steve (R-OH)","Ohio","$25050"
"Shimkus John (R-IL)","Illinois","$25000"
"Cramer Kevin (R-ND)","North Dakota","$24400"
"Casey Nick (D-WV)","West Virginia","$24000"
"Young Todd (R-IN)","Indiana","$22750"
"Ryan Paul (R-WI)","Wisconsin","$22100"
"Rodgers Cathy McMorris (R-WA)","Washington","$21250"
"Enyart William (D-IL)","Illinois","$20100"
"Byrne Bradley (R-AL)","Alabama","$20000"
"Walberg Tim (R-MI)","Michigan","$20000"
"Horsford Steven (D-NV)","Nevada","$19500"
"Guthrie Brett (R-KY)","Kentucky","$18850"
"Benishek Dan (R-MI)","Michigan","$18599"
"Aderholt Robert B (R-AL)","Alabama","$18397"
"Gibbs Bob (R-OH)","Ohio","$18100"
"Heck Joe (R-NV)","Nevada","$18000"
"Bishop Rob (R-UT)","Utah","$17750"
"Lamborn Doug (R-CO)","Colorado","$17500"
"Bost Mike (R-IL)","Illinois","$16900"
"Jenkins Lynn (R-KS)","Kansas","$16600"
"Scalise Steve (R-LA)","Louisiana","$16500"
"Salmon Matt (R-AZ)","Arizona","$16250"
"Camp Dave (R-MI)","Michigan","$15500"
"Zinke Ryan (R-MT)","Montana","$14850"
"Barrow John (D-GA)","Georgia","$14500"
"Sewell Terri (D-AL)","Alabama","$14500"
"Rogers Mike D (R-AL)","Alabama","$14450"
"Gosar Paul (R-AZ)","Arizona","$14000"
"Pompeo Mike (R-KS)","Kansas","$14000"
"Long Billy (R-MO)","Missouri","$13500"
"Yoder Kevin (R-KS)","Kansas","$13400"
