"","LastName","FirstName","Party","State","District"
"141","Gallagher","Mike","R","WI","8th"
"142","Gallego","Ruben","D","AZ","3rd"
"143","Garamendi","John","D","CA","8th"
"144","Garbarino","Andrew R.","R","NY","2nd"
"145","Garcia","Mike","R","CA","27th"
"146","Garcia","Robert","D","CA","42nd"
"147","Garcia","Sylvia R.","D","TX","29th"
"148","García","Jesús G. ""Chuy""","D","IL","4th"
"149","Gimenez","Carlos A.","R","FL","28th"
"150","Golden","Jared F.","D","ME","2nd"
"151","Goldman","Daniel S.","D","NY","10th"
"152","Gomez","Jimmy","D","CA","34th"
"153","Gonzales","Tony","R","TX","23rd"
"154","Gonzalez","Vicente","D","TX","34th"
"155","González-Colón","Jenniffer","R","PR","Delegate"
"156","Good","Bob","R","VA","5th"
"157","Gooden","Lance","R","TX","5th"
"158","Gosar","Paul A.","R","AZ","9th"
"159","Gottheimer","Josh","D","NJ","5th"
"160","Granger","Kay","R","TX","12th"
"161","Graves","Garret","R","LA","6th"
"162","Graves","Sam","R","MO","6th"
"163","Green","Al","D","TX","9th"
"164","Green","Mark E.","R","TN","7th"
"165","Greene","Marjorie Taylor","R","GA","14th"
"166","Griffith","H. Morgan","R","VA","9th"
"167","Grijalva","Raúl M.","D","AZ","7th"
"168","Grothman","Glenn","R","WI","6th"
"169","Guest","Michael","R","MS","3rd"
"170","Guthrie","Brett","R","KY","2nd"
"171","Hageman","Harriet M.","R","WY","At Large"
"172","Harder","Josh","D","CA","9th"
"173","Harris","Andy","R","MD","1st"
"174","Harshbarger","Diana","R","TN","1st"
"175","Hayes","Jahana","D","CT","5th"
"176","Hern","Kevin","R","OK","1st"
"177","Higgins","Clay","R","LA","3rd"
"178","Hill","J. French","R","AR","2nd"
"179","Himes","James A.","D","CT","4th"
"180","Hinson","Ashley","R","IA","2nd"
"181","Horsford","Steven","D","NV","4th"
"182","Houchin","Erin","R","IN","9th"
"183","Houlahan","Chrissy","D","PA","6th"
"184","Hoyer","Steny H.","D","MD","5th"
"185","Hoyle","Val T.","D","OR","4th"
"186","Hudson","Richard","R","NC","9th"
"187","Huffman","Jared","D","CA","2nd"
