"last_name","first_name","state","party","chamber"
"Castor","Kathy","FL","D","District 14"
"Castro","Joaquin","TX","D","District 20"
"Chabot","Steve","OH","R","District 1"
"Chaffetz","Jason","UT","R","District 3"
"Chu","Judy","CA","D","District 27"
"Cicilline","David","RI","D","District 1"
"Clark","Katherine","MA","D","District 5"
"Clarke","Yvette","NY","D","District 9"
"Clawson","Curt","FL","R","District 19"
"Clay","William L Jr","MO","D","District 1"
"Cleaver","Emanuel","MO","D","District 5"
"Clyburn","James E","SC","D","District 6"
"Coffman","Mike","CO","R","District 6"
"Cohen","Steve","TN","D","District 9"
"Cole","Tom","OK","R","District 4"
"Coleman","Bonnie Watson","NJ","D","District 12"
"Collins","Chris","NY","R","District 27"
"Collins","Doug","GA","R","District 9"
"Comstock","Barbara","VA","R","District 10"
"Conaway","Mike","TX","R","District 11"
"Connolly","Gerry","VA","D","District 11"
"Conyers","John Jr","MI","D","District 13"
"Cook","Paul","CA","R","District 8"
"Cooper","Jim","TN","D","District 5"
"Costa","Jim","CA","D","District 16"
"Costello","Ryan","PA","R","District 6"
"Courtney","Joe","CT","D","District 2"
"Cramer","Kevin","ND","R","District 1"
"Crawford","Rick","AR","R","District 1"
"Crenshaw","Ander","FL","R","District 4"
"Crowley","Joseph","NY","D","District 14"
"Cuellar","Henry","TX","D","District 28"
"Culberson","John","TX","R","District 7"
"Cummings","Elijah E","MD","D","District 7"
"Curbelo","Carlos","FL","R","District 26"
"Davidson","Warren","OH","R","District 8"
"Davis","Danny K","IL","D","District 7"
"Davis","Rodney","IL","R","District 13"
"Davis","Susan","CA","D","District 53"
"DeFazio","Peter","OR","D","District 4"
"DeGette","Diana","CO","D","District 1"
"Delaney","John K","MD","D","District 6"
"DeLauro","Rosa","CT","D","District 3"
"DelBene","Suzan","WA","D","District 1"
"Denham","Jeff","CA","R","District 10"
"Dent","Charlie","PA","R","District 15"
"DeSantis","Ron","FL","R","District 6"
"Desaulnier","Mark","CA","D","District 11"
"Desjarlais","Scott","TN","R","District 4"
"Deutch","Ted","FL","D","District 21"
"Diaz-Balart","Mario","FL","R","District 25"
"Dingell","Debbie","MI","D","District 12"
"Doggett","Lloyd","TX","D","District 35"
"Dold","Bob","IL","R","District 10"
"Donovan","Dan","NY","R","District 11"
"Doyle","Mike","PA","D","District 14"
"Duckworth","Tammy","IL","D","District 8"
"Duffy","Sean P","WI","R","District 7"
"Duncan","Jeff","SC","R","District 3"
"Duncan","John J Jr","TN","R","District 2"
"Edwards","Donna","MD","D","District 4"
"Ellison","Keith","MN","D","District 5"
"Ellmers","Renee","NC","R","District 2"
"Emmer","Tom","MN","R","District 6"
"Engel","Eliot","NY","D","District 16"
"Eshoo","Anna","CA","D","District 18"
"Esty","Elizabeth","CT","D","District 5"
"Farenthold","Blake","TX","R","District 27"
"Farr","Sam","CA","D","District 20"
"Fincher","Steve","TN","R","District 8"
"Fitzpatrick","Michael G","PA","R","District 8"
"Fleischmann","Chuck","TN","R","District 3"
"Fleming","John","LA","R","District 4"
"Flores","Bill","TX","R","District 17"
"Forbes","Randy","VA","R","District 4"
"Fortenberry","Jeff","NE","R","District 1"
"Foster","Bill","IL","D","District 11"
"Foxx","Virginia","NC","R","District 5"
"Frankel","Lois","FL","D","District 22"
"Franks","Trent","AZ","R","District 8"
"Frelinghuysen","Rodney","NJ","R","District 11"
"Fudge","Marcia","OH","D","District 11"
"Gabbard","Tulsi","HI","D","District 2"
"Gallego","Ruben","AZ","D","District 7"
"Garamendi","John","CA","D","District 3"
"Garrett","Scott","NJ","R","District 5"
"Gibbs","Bob","OH","R","District 7"
"Gibson","Chris","NY","R","District 19"
"Gohmert","Louis B Jr","TX","R","District 1"
"Goodlatte","Bob","VA","R","District 6"
"Gosar","Paul","AZ","R","District 4"
"Gowdy","Trey","SC","R","District 4"
"Graham","Gwen","FL","D","District 2"
"Granger","Kay","TX","R","District 12"
"Graves","Garret","LA","R","District 6"
"Graves","Sam","MO","R","District 6"
"Graves","Tom","GA","R","District 14"
"Grayson","Alan","FL","D","District 9"
"Green","Al","TX","D","District 9"
"Green","Gene","TX","D","District 29"
"Griffith","Morgan","VA","R","District 9"
"Grijalva","Raul M","AZ","D","District 3"
"Grisham","Michelle Lujan","NM","D","District 1"
"Grothman","Glenn","WI","R","District 6"
"Guinta","Frank","NH","R","District 1"
"Guthrie","Brett","KY","R","District 2"
"Gutierrez","Luis V","IL","D","District 4"
"Hahn","Janice","CA","D","District 44"
"Hanabusa","Colleen","HI","D","District 1"
"Hanna","Richard","NY","R","District 22"
"Hardy","Cresent","NV","R","District 4"
"Harper","Gregg","MS","R","District 3"
"Harris","Andy","MD","R","District 1"
"Hartzler","Vicky","MO","R","District 4"
"Hastings","Alcee","FL","D","District 20"
"Heck","Dennis","WA","D","District 10"
"Heck","Joe","NV","R","District 3"
"Hensarling","Jeb","TX","R","District 5"
"Hice","Jody","GA","R","District 10"
"Higgins","Brian M","NY","D","District 26"
"Hill","French","AR","R","District 2"
"Himes","Jim","CT","D","District 4"
"Hinojosa","Ruben","TX","D","District 15"
"Holding","George","NC","R","District 13"
"Honda","Mike","CA","D","District 17"
"Hoyer","Steny H","MD","D","District 5"
"Hudson","Richard","NC","R","District 8"
"Huelskamp","Tim","KS","R","District 1"
"Huffman","Jared","CA","D","District 2"
"Huizenga","Bill","MI","R","District 2"
"Hultgren","Randy","IL","R","District 14"
"Hunter","Duncan D","CA","R","District 50"
"Hurd","Will","TX","R","District 23"
"Hurt","Robert","VA","R","District 5"
"Israel","Steve","NY","D","District 3"
"Issa","Darrell","CA","R","District 49"
"Jackson Lee","Sheila","TX","D","District 18"
"Jeffries","Hakeem","NY","D","District 8"
"Jenkins","Evan","WV","R","District 3"
"Jenkins","Lynn","KS","R","District 2"
"Johnson","Bill","OH","R","District 6"
"Johnson","Eddie Bernice","TX","D","District 30"
"Johnson","Hank","GA","D","District 4"
"Johnson","Sam","TX","R","District 3"
"Jolly","David","FL","R","District 13"
"Jones","Walter B Jr","NC","R","District 3"
"Jordan","Jim","OH","R","District 4"
"Joyce","David P","OH","R","District 14"
"Kaptur","Marcy","OH","D","District 9"
"Katko","John","NY","R","District 24"
"Keating","Bill","MA","D","District 9"
"Kelly","Mike","PA","R","District 3"
"Kelly","Robin","IL","D","District 2"
"Kelly","Trent","MS","R","District 1"
"Kennedy","Joe III","MA","D","District 4"
"Kildee","Dan","MI","D","District 5"
"Kilmer","Derek","WA","D","District 6"
"Kind","Ron","WI","D","District 3"
"King","Pete","NY","R","District 2"
"King","Steven A","IA","R","District 4"
"Kinzinger","Adam","IL","R","District 16"
"Kirkpatrick","Ann","AZ","D","District 1"
"Kline","John","MN","R","District 2"
"Knight","Steve","CA","R","District 25"
"Kuster","Ann","NH","D","District 2"
"Labrador","Raul","ID","R","District 1"
"LaHood","Darin","IL","R","District 18"
"LaMalfa","Doug","CA","R","District 1"
"Lamborn","Doug","CO","R","District 5"
"Lance","Leonard","NJ","R","District 7"
"Langevin","Jim","RI","D","District 2"
"Larsen","Rick","WA","D","District 2"
"Larson","John","CT","D","District 1"
"Latta","Bob","OH","R","District 5"
"Lawrence","Brenda","MI","D","District 14"
"Lee","Barbara","CA","D","District 13"
"Levin","Sander","MI","D","District 9"
"Lewis","John","GA","D","District 5"
"Lieu","Ted","CA","D","District 33"
"Lipinski","Daniel","IL","D","District 3"
"LoBiondo","Frank","NJ","R","District 2"
"Loebsack","David","IA","D","District 2"
"Lofgren","Zoe","CA","D","District 19"
"Long","Billy","MO","R","District 7"
"Loudermilk","Barry","GA","R","District 11"
"Love","Mia","UT","R","District 4"
"Lowenthal","Alan","CA","D","District 47"
"Lowey","Nita M","NY","D","District 17"
"Lucas","Frank D","OK","R","District 3"
"Luetkemeyer","Blaine","MO","R","District 3"
"Lujan","Ben Ray","NM","D","District 3"
"Lummis","Cynthia","WY","R","District 1"
"Lynch","Stephen","MA","D","District 8"
"MacArthur","Thomas","NJ","R","District 3"
"Maloney","Carolyn","NY","D","District 12"
"Maloney","Sean Patrick","NY","D","District 18"
"Marchant","Kenny","TX","R","District 24"
"Marino","Tom","PA","R","District 10"
"Massie","Thomas","KY","R","District 4"
"Matsui","Doris","CA","D","District 6"
"McCarthy","Kevin","CA","R","District 23"
"McCaul","Michael","TX","R","District 10"
"McClintock","Tom","CA","R","District 4"
"McCollum","Betty","MN","D","District 4"
"McDermott","Jim","WA","D","District 7"
"McGovern","James P","MA","D","District 2"
"McHenry","Patrick","NC","R","District 10"
"McKinley","David","WV","R","District 1"
"McNerney","Jerry","CA","D","District 9"
"McSally","Martha","AZ","R","District 2"
"Meadows","Mark","NC","R","District 11"
"Meehan","Patrick","PA","R","District 7"
"Meeks","Gregory","NY","D","District 5"
"Meng","Grace","NY","D","District 6"
"Messer","Luke","IN","R","District 6"
"Mica","John L","FL","R","District 7"
"Miller","Candice S","MI","R","District 10"
"Miller","Jeff","FL","R","District 1"
"Moolenaar","John","MI","R","District 4"
"Mooney","Alex","WV","R","District 2"
"Moore","Gwen","WI","D","District 4"
"Moulton","Seth","MA","D","District 6"
"Mullin","Markwayne","OK","R","District 2"
"Mulvaney","Mick","SC","R","District 5"
"Murphy","Patrick","FL","D","District 18"
"Murphy","Tim","PA","R","District 18"
"Nadler","Jerrold","NY","D","District 10"
"Napolitano","Grace","CA","D","District 32"
"Neal","Richard E","MA","D","District 1"
"Neugebauer","Randy","TX","R","District 19"
"Newhouse","Dan","WA","R","District 4"
"Noem","Kristi","SD","R","District 1"
"Nolan","Rick","MN","D","District 8"
"Norcross","Don","NJ","D","District 1"
"Norton","Eleanor Holmes","DC","D","At Large"
"Nugent","Richard","FL","R","District 11"
"Nunes","Devin","CA","R","District 22"
"O'Rourke","Beto","TX","D","District 16"
"Olson","Pete","TX","R","District 22"
"Palazzo","Steven","MS","R","District 4"
"Pallone","Frank Jr","NJ","D","District 6"
"Palmer","Gary","AL","R","District 6"
"Pascrell","Bill Jr","NJ","D","District 9"
"Paulsen","Erik","MN","R","District 3"
"Payne","Donald M Jr","NJ","D","District 10"
"Pearce","Steve","NM","R","District 2"
"Pelosi","Nancy","CA","D","District 12"
"Perlmutter","Ed","CO","D","District 7"
"Perry","Scott","PA","R","District 4"
"Peters","Scott","CA","D","District 52"
"Peterson","Collin","MN","D","District 7"
"Pierluisi","Pedro","PR","D","At Large"
"Pingree","Chellie","ME","D","District 1"
"Pittenger","Robert","NC","R","District 9"
"Pitts","Joe","PA","R","District 16"
"Plaskett","Stacey","VI","D","At Large"
"Pocan","Mark","WI","D","District 2"
"Poe","Ted","TX","R","District 2"
"Poliquin","Bruce","ME","R","District 2"
"Polis","Jared","CO","D","District 2"
"Pompeo","Mike","KS","R","District 4"
"Posey","Bill","FL","R","District 8"
"Price","David","NC","D","District 4"
"Price","Tom","GA","R","District 6"
"Quigley","Mike","IL","D","District 5"
"Radewagen","Amata Coleman","AS","R","At Large"
"Rangel","Charles B","NY","D","District 13"
"Ratcliffe","John","TX","R","District 4"
"Reed","Tom","NY","R","District 23"
"Reichert","Dave","WA","R","District 8"
"Renacci","Jim","OH","R","District 16"
"Ribble","Reid","WI","R","District 8"
"Rice","Kathleen","NY","D","District 4"
"Rice","Tom","SC","R","District 7"
"Richmond","Cedric","LA","D","District 2"
"Rigell","Scott","VA","R","District 2"
"Roby","Martha","AL","R","District 2"
"Rodgers","Cathy McMorris","WA","R","District 5"
"Roe","Phil","TN","R","District 1"
"Rogers","Hal","KY","R","District 5"
"Rogers","Mike D","AL","R","District 3"
"Rohrabacher","Dana","CA","R","District 48"
"Rokita","Todd","IN","R","District 4"
"Rooney","Tom","FL","R","District 17"
"Ros-Lehtinen","Ileana","FL","R","District 27"
"Roskam","Peter","IL","R","District 6"
"Ross","Dennis","FL","R","District 15"
"Rothfus","Keith J","PA","R","District 12"
"Rouzer","David","NC","R","District 7"
"Roybal-Allard","Lucille","CA","D","District 40"
"Royce","Ed","CA","R","District 39"
"Ruiz","Raul","CA","D","District 36"
"Ruppersberger","Dutch","MD","D","District 2"
"Rush","Bobby","IL","D","District 1"
"Russell","Steven","OK","R","District 5"
"Ryan","Paul","WI","R","District 1"
"Ryan","Tim","OH","D","District 13"
"Salmon","Matt","AZ","R","District 5"
"Sanchez","Linda","CA","D","District 38"
"Sanchez","Loretta","CA","D","District 46"
"Sanford","Mark","SC","R","District 1"
"Sarbanes","John","MD","D","District 3"
"Scalise","Steve","LA","R","District 1"
"Schakowsky","Jan","IL","D","District 9"
"Schiff","Adam","CA","D","District 28"
"Schrader","Kurt","OR","D","District 5"
"Schultz","Debbie Wasserman","FL","D","District 23"
"Schweikert","David","AZ","R","District 6"
"Scott","Austin","GA","R","District 8"
"Scott","Bobby","VA","D","District 3"
"Scott","David","GA","D","District 13"
"Sensenbrenner","Jim","WI","R","District 5"
"Serrano","Jose E","NY","D","District 15"
"Sessions","Pete","TX","R","District 32"
"Sewell","Terri","AL","D","District 7"
"Sherman","Brad","CA","D","District 30"
"Shimkus","John","IL","R","District 15"
"Shuster","Bill","PA","R","District 9"
"Simpson","Mike","ID","R","District 2"
"Sinema","Kyrsten","AZ","D","District 9"
"Sires","Albio","NJ","D","District 8"
"Slaughter","Louise M","NY","D","District 25"
"Smith","Adam","WA","D","District 9"
"Smith","Adrian","NE","R","District 3"
"Smith","Chris","NJ","R","District 4"
"Smith","Jason","MO","R","District 8"
"Smith","Lamar","TX","R","District 21"
"Speier","Jackie","CA","D","District 14"
"Stefanik","Elise","NY","R","District 21"
"Stewart","Chris","UT","R","District 2"
"Stivers","Steve","OH","R","District 15"
"Stutzman","Marlin","IN","R","District 3"
"Swalwell","Eric","CA","D","District 15"
"Takano","Mark","CA","D","District 41"
"Thompson","Bennie G","MS","D","District 2"
"Thompson","Glenn","PA","R","District 5"
"Thompson","Mike","CA","D","District 5"
"Thornberry","Mac","TX","R","District 13"
"Tiberi","Pat","OH","R","District 12"
"Tipton","Scott","CO","R","District 3"
"Titus","Dina","NV","D","District 1"
"Tonko","Paul","NY","D","District 20"
"Torres","Norma","CA","D","District 35"
"Trott","Dave","MI","R","District 11"
"Tsongas","Niki","MA","D","District 3"
"Turner","Michael R","OH","R","District 10"
"Upton","Fred","MI","R","District 6"
"Valadao","David","CA","R","District 21"
"Van Hollen","Chris","MD","D","District 8"
"Vargas","Juan","CA","D","District 51"
"Veasey","Marc","TX","D","District 33"
"Vela","Filemon","TX","D","District 34"
"Velazquez","Nydia","NY","D","District 7"
"Visclosky","Pete","IN","D","District 1"
"Wagner","Ann","MO","R","District 2"
"Walberg","Tim","MI","R","District 7"
"Walden","Greg","OR","R","District 2"
"Walker","Mark","NC","R","District 6"
"Walorski","Jackie","IN","R","District 2"
"Walters","Mimi","CA","R","District 45"
"Walz","Tim","MN","D","District 1"
"Waters","Maxine","CA","D","District 43"
"Weber","Randy","TX","R","District 14"
"Webster","Daniel","FL","R","District 10"
"Welch","Peter","VT","D","District 1"
"Wenstrup","Brad","OH","R","District 2"
"Westerman","Bruce","AR","R","District 4"
"Westmoreland","Lynn A","GA","R","District 3"
"Whitfield","Ed","KY","R","District 1"
"Williams","Roger","TX","R","District 25"
"Wilson","Frederica","FL","D","District 24"
"Wilson","Joe","SC","R","District 2"
"Wittman","Rob","VA","R","District 1"
"Womack","Steve","AR","R","District 3"
"Woodall","Rob","GA","R","District 7"
"Yarmuth","John","KY","D","District 3"
"Yoder","Kevin","KS","R","District 3"
"Yoho","Ted","FL","R","District 3"
"Young","David","IA","R","District 3"
"Young","Don","AK","R","District 1"
"Young","Todd","IN","R","District 9"
"Zeldin","Lee","NY","R","District 1"
"Zinke","Ryan","MT","R","District 1"
