"last_name","first_name","state","party","chamber"
"Adams","Alma","NC","D","District 12"
"Aderholt","Robert B","AL","R","District 4"
"Aguilar","Pete","CA","D","District 31"
"Allen","Richard W","GA","R","District 12"
"Amash","Justin","MI","R","District 3"
"Amodei","Mark","NV","R","District 2"
"Ashford","Brad","NE","D","District 2"
"Babin","Brian","TX","R","District 36"
"Barletta","Lou","PA","R","District 11"
"Barr","Andy","KY","R","District 6"
"Barton","Joe","TX","R","District 6"
"Bass","Karen","CA","D","District 37"
"Beatty","Joyce","OH","D","District 3"
"Becerra","Xavier","CA","D","District 34"
"Benishek","Dan","MI","R","District 1"
"Bera","Ami","CA","D","District 7"
"Beutler","Jaime Herrera","WA","R","District 3"
"Beyer","Don","VA","D","District 8"
"Bilirakis","Gus","FL","R","District 12"
"Bishop","Mike","MI","R","District 8"
"Bishop","Rob","UT","R","District 1"
"Bishop","Sanford","GA","D","District 2"
"Black","Diane","TN","R","District 6"
"Blackburn","Marsha","TN","R","District 7"
"Blum","Rod","IA","R","District 1"
"Blumenauer","Earl","OR","D","District 3"
"Bonamici","Suzanne","OR","D","District 1"
"Bordallo","Madeleine Z","GU","D","At Large"
"Bost","Mike","IL","R","District 12"
"Boustany","Charles Jr","LA","R","District 3"
"Boyle","Brendan","PA","D","District 13"
"Brady","Kevin","TX","R","District 8"
"Brady","Robert A","PA","D","District 1"
"Brat","Dave","VA","R","District 7"
"Bridenstine","James","OK","R","District 1"
"Brooks","Mo","AL","R","District 5"
"Brooks","Susan","IN","R","District 5"
"Brown","Corrine","FL","D","District 5"
"Brownley","Julia","CA","D","District 26"
"Buchanan","Vernon","FL","R","District 16"
"Buck","Ken","CO","R","District 4"
"Bucshon","Larry","IN","R","District 8"
"Burgess","Michael","TX","R","District 26"
"Bustos","Cheri","IL","D","District 17"
"Butterfield","G K","NC","D","District 1"
"Byrne","Bradley","AL","R","District 1"
"Calvert","Ken","CA","R","District 42"
"Capps","Lois","CA","D","District 24"
"Capuano","Michael E","MA","D","District 7"
"Cardenas","Tony","CA","D","District 29"
"Carney","John","DE","D","District 1"
"Carson","Andre","IN","D","District 7"
"Carter","Buddy","GA","R","District 1"
"Carter","John","TX","R","District 31"
"Cartwright","Matt","PA","D","District 17"
