"party","Vote_change_dummy","Vote6","Contribution_6_minus","Contribution_6_plus","BioID","seniority_116","Geographical","Vote6_minus","Vote6_plus"
"R",0,0,24.3,0,"R000575",9,"SO",1,0
"R",0,0,8,0,"A000055",12,"SO",1,0
"R",0,0,2.5,0,"B001274",5,"SO",1,0
"D",0,1,19.5,0,"S001185",5,"SO",0,1
"R",0,0,28.011,1.5,"Y000033",17,"WE",1,0
"D",0,1,NA,NA,"G000551",9,"WE",0,1
"R",0,0,12.7,0,"G000565",5,"WE",1,0
"R",0,0,23.988,2,"S001183",5,"WE",1,0
"R",0,0,10,0,"C001087",5,"SO",1,0
"R",0,0,7,0,"W000809",5,"SO",1,0
"R",0,0,25.988,0.25,"L000578",4,"WE",1,0
"D",0,1,6.5,0,"H001068",4,"WE",0,1
"D",0,1,8,0,"G000559",6,"WE",0,1
"R",0,0,13.688,0,"M001177",6,"WE",1,0
"D",0,1,26.33,0,"T000460",11,"WE",0,1
"D",0,1,24.5,0,"M001163",8,"WE",0,1
"D",0,1,2.25,0,"B001287",4,"WE",0,1
"D",0,1,27.65,0,"M001166",7,"WE",0,1
"D",0,1,0.65,0,"L000551",12,"WE",0,1
"D",0,1,0,0,"S001175",7,"WE",0,1
"D",1,0,27.5,0,"C001059",8,"WE",1,0
"D",0,1,9.8,0,"E000215",14,"WE",0,1
"D",0,1,3,0.7,"L000397",13,"WE",0,1
"R",0,0,60.257,1.5,"N000181",9,"WE",1,0
"R",0,0,380.725,5.6,"M001165",7,"WE",1,0
"D",0,1,7,0,"B001285",4,"WE",0,1
"D",0,1,1,0,"C001080",6,"WE",0,1
"D",0,1,13.1,0.365,"S001150",10,"WE",0,1
"D",0,1,16,0,"C001097",4,"WE",0,1
"D",0,1,2,0,"S000344",12,"WE",0,1
"D",0,1,9.5,0,"N000179",11,"WE",0,1
"D",0,1,9.3,1,"R000599",4,"WE",0,1
"D",0,1,19.25,0,"B001270",5,"WE",0,1
"D",0,1,1,0,"S001156",9,"WE",0,1
"D",0,1,3,0,"R000486",14,"WE",0,1
"D",0,1,1,0.25,"T000472",4,"WE",0,1
"R",0,0,14.3,0,"C000059",14,"WE",1,0
"D",0,1,0,0,"W000187",15,"WE",0,1
"D",0,1,7,0,"L000579",4,"WE",0,1
"D",0,1,16.1,0,"V000130",4,"WE",0,1
"D",0,1,32.55,0,"P000608",4,"WE",0,1
"D",0,1,1,0,"D000197",12,"WE",0,1
"R",0,0,3.5,0,"L000564",7,"WE",1,0
"D",0,1,3.5,0,"P000593",7,"WE",0,1
"D",0,1,8.5,0,"L000557",11,"NE",0,1
"D",0,1,6.5,0,"C001069",7,"NE",0,1
"D",0,1,1.35,0,"D000216",15,"NE",0,1
"D",0,1,0.1,0,"H001047",6,"NE",0,1
"R",0,0,16.7,0,"P000599",6,"SO",1,0
"R",0,0,1.5,0,"W000806",5,"SO",1,0
"R",0,0,14,0,"B001257",7,"SO",1,0
"D",0,1,2.65,2.5,"C001066",7,"SO",0,1
"R",0,0,43.788,0,"B001260",7,"SO",1,0
"D",0,1,6.5,2.8,"D000610",6,"SO",0,1
"D",0,1,2.5,0,"F000462",4,"SO",0,1
"D",0,1,0,0,"W000797",8,"SO",0,1
"D",0,1,1.5,0,"W000808",5,"SO",0,1
