"last_name","first_name","name","party","state","member_id","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","District","Vote_count","Vote_change","Vote_change_dummy","oil_sum","coal_sum","gas_sum","mining_sum","env_sum","alt_en_sum"
"McNerney","Jerry","jerry mcnerney","D","CA","M001166","+","+","+","+","+","+","CA-09",6,0,0,27900,0,11500,0,153157,96652
"Denham","Jeff","jeff denham","R","CA","D000612","-","-","-","-",NA,NA,"CA-10",4,0,0,620738,9500,121051,36900,0,6500
"Pelosi","Nancy","nancy pelosi","D","CA","P000197","+","+","+","+",NA,NA,"CA-12",4,0,0,75284,154,6512,5998,126294,54915
"Lee","Barbara J.","barbara j lee,barbara lee","D","CA","L000551","+","+","+","+","+","+","CA-13",6,0,0,0,0,0,0,0,0
"Speier","Jackie","jackie speier","D","CA","S001175","+","+","+",NA,"+","+","CA-14",5,0,0,500,0,0,0,20775,3000
"Swalwell","Eric","eric swalwell","D","CA","S001193","+","+","+","+",NA,"+","CA-15",5,0,0,61093,101,6035,1606,21596,20685
"Costa","Jim","jim costa","D","CA","C001059","-","+",NA,"+","-","+","CA-16",5,3,1,464709,17250,80249,46250,11500,9250
"Honda","Mike","mike honda","D","CA",NA,"+","+",NA,NA,NA,NA,"CA-17",2,0,0,0,0,0,0,0,0
"Eshoo","Anna G.","anna g eshoo","D","CA","E000215","+",NA,"+","+","+","+","CA-18",5,0,0,5000,0,1000,0,26660,61700
"Lofgren","Zoe","zoe lofgren","D","CA","L000397","+","+","+","+","+","+","CA-19",6,0,0,20700,0,0,0,30101,62000
"Farr","Sam","sam farr","D","CA","F000030","+","+",NA,NA,NA,NA,"CA-20",2,0,0,250,0,0,0,33250,500
"Valadao","David G.","david g valadao","R","CA","V000129","-","-","-","-",NA,"-","CA-21",5,0,0,397735,10600,26401,21330,0,8868
"Nunes","Devin G.","devin g nunes,devin nunes","R","CA","N000181","-","-","-","-","-","-","CA-22",6,0,0,0,0,0,0,0,0
"McCarthy","Kevin","kevin mccarthy","R","CA","M001165","-","-","-","-","-","-","CA-23",6,0,0,2046634,144101,240387,299120,17500,105674
"Capps","Lois","lois capps","D","CA","C001036","+","+",NA,NA,NA,NA,"CA-24",2,0,0,8500,500,0,500,98606,2750
"Brownley","Julia","julia brownley","D","CA","B001285","+","+","+","+","+","+","CA-26",6,0,0,3880,90,50,90,137005,4630
"Chu","Judy M.","judy m chu,judy chu","D","CA","C001080","+","+","+","+","+","+","CA-27",6,0,0,0,0,0,0,0,0
"Schiff","Adam B.","adam b schiff","D","CA","S001150","+","+","+","+","+","+","CA-28",6,0,0,34571,58,2929,823,49704,8117
"Cárdenas","Tony","tony c rdenas","D","CA","C001097","+","+","+",NA,"+","+","CA-29",5,0,0,97830,0,22300,0,13304,5750
"Sherman","Brad J.","brad j sherman,brad sherman","D","CA","S000344","+","+","+","+","+","+","CA-30",6,0,0,0,0,0,0,0,0
"Napolitano","Grace","grace napolitano,grace f napolitano","D","CA","N000179","+","+","+","+","+","+","CA-32",6,0,0,0,0,0,0,0,0
"Becerra","Xavier","xavier becerra","D","CA","B000287","+","+",NA,NA,NA,NA,"CA-34",2,0,0,16000,0,4500,0,9200,7500
"Ruiz","Raul","raul ruiz","D","CA","R000599","+","+","+","+","+","+","CA-36",6,0,0,21679,280,7500,285,91274,47313
"Bass","Karen","karen bass","D","CA","B001270","+","+","+",NA,"+","+","CA-37",5,0,0,21525,0,750,9500,15526,11250
"Sanchez","Linda","linda sanchez","D","CA",NA,"+","+","+","+","+","+","CA-38",6,0,0,0,0,0,0,0,0
"Royce","Ed","ed royce","R","CA",NA,"-","-","-","-",NA,NA,"CA-39",4,0,0,0,0,0,0,0,0
"Roybal-Allard","Lucille","lucille roybal allard","D","CA",NA,"+","+","+","+","+","+","CA-40",6,0,0,0,0,0,0,0,0
"Takano","Mark","mark takano","D","CA","T000472","+","+","+","+","+","+","CA-41",6,0,0,250,0,0,0,26642,5991
"Calvert","Ken S.","ken s calvert,ken calvert","R","CA","C000059","-","-","-","-","-","-","CA-42",6,0,0,0,0,0,0,0,0
"Waters","Maxine","maxine waters","D","CA","W000187","+","+","+","+","+","+","CA-43",6,0,0,18535,10400,0,10400,9591,1000
"Hahn","Janice","janice hahn","D","CA","H001063","+","+",NA,NA,NA,NA,"CA-44",2,0,0,19050,0,300,0,8750,2000
"Sanchez","Loretta L.","loretta l sanchez,loretta sanchez","D","CA","S000030","+","+",NA,NA,NA,NA,"CA-46",2,0,0,0,0,0,0,0,0
"Lowenthal","Alan S.","alan s lowenthal","D","CA","L000579","+","+","+","+","+","+","CA-47",6,0,0,50875,0,8600,8500,46973,4850
"Rohrabacher","Dana T.","dana t rohrabacher,dana rohrabacher","R","CA","R000409","-","-","-","-",NA,NA,"CA-48",4,0,0,0,0,0,0,0,0
"Issa","Darrell","darrell issa","R","CA","I000056","-","-","-","-",NA,NA,"CA-49,CA-49,CA-50",4,0,0,257102,5885,49952,23369,0,6952
"Hunter","Duncan D.","duncan d hunter,duncan hunter","R","CA","H000981","-","-","-","-","-",NA,"CA-50",5,0,0,0,0,0,0,0,0
"Hunter","Duncan D.","duncan d hunter","R","CA","H001048","-","-","-","-","-",NA,"CA-50",5,0,0,28250,1000,4400,4600,3000,1500
"Vargas","Juan","juan vargas","D","CA","V000130","+","+","+","+","+","+","CA-51",6,0,0,28000,0,0,0,2500,3500
"Peters","Scott H.","scott h peters","D","CA","P000608","+","+","+",NA,"+","+","CA-52",5,0,0,63603,0,34600,10000,114550,27088
"Davis","Susan A.","susan a davis","D","CA","D000598","+","+","+","+","+",NA,"CA-53",5,0,0,0,0,0,0,14700,4000
"DeGette","Diana L.","diana l degette,diana degette","D","CO","D000197","+","+","+","+","+","+","CO-01",6,0,0,0,0,0,0,0,0
"Polis","Jared","jared polis","D","CO","P000598","+","+","+","+",NA,NA,"CO-02",4,0,0,21200,0,0,0,35625,0
"Tipton","Scott","scott tipton,scott r tipton","R","CO","T000470","-","-","-","-","-",NA,"CO-03",5,0,0,0,0,0,0,0,0
"Lamborn","Doug","doug lamborn","R","CO","L000564","-","-","-","-","-","-","CO-05",6,0,0,227668,40999,26000,104499,3000,0
"Coffman","Mike","mike coffman","R","CO","C001077","-","-","-","+",NA,NA,"CO-06",4,1,1,1003322,50850,40450,141231,4350,5950
"Perlmutter","Ed","ed perlmutter","D","CO","P000593","+","+","+","+","+","+","CO-07",6,0,0,103762,0,12000,24800,40033,7900
"Larson","John B.","john b larson","D","CT","L000557","+","+","+","+","+","+","CT-01",6,0,0,45350,3000,11600,3000,9900,1000
"Courtney","Joe","joe courtney","D","CT","C001069","+","+","+","+","+","+","CT-02",6,0,0,10150,0,2000,0,15900,0
"DeLauro","Rosa L.","rosa l delauro","D","CT","D000216","+","+",NA,"+","+","+","CT-03",5,0,0,12350,0,0,6800,15401,1510
"Himes","Jim","jim himes","D","CT",NA,"+","+","+","+","+","+","CT-04",6,0,0,0,0,0,0,0,0
"Esty","Elizabeth H.","elizabeth h esty","D","CT","E000293","+","+","+","+",NA,NA,"CT-05",4,0,0,18150,750,16900,3500,147442,17200
"Carney","John","john carney,john c carney","D","DE","C001083","+","+",NA,NA,NA,NA,"DE-AL",2,0,0,0,0,0,0,0,0
"Miller","Jeff","jeff miller","R","FL","M001144","-","-",NA,NA,NA,NA,"FL-01",2,0,0,4500,0,1000,0,14100,0
"Yoho","Ted S.","ted s yoho","R","FL","Y000065","-","-","-","-","-",NA,"FL-03",5,0,0,25650,0,6750,500,0,0
"Crenshaw","Ander","ander crenshaw","R","FL","C001045","-","-",NA,NA,NA,NA,"FL-04",2,0,0,9500,0,0,0,0,0
"Brown","Corrine","corrine brown","D","FL","B000911","+","+",NA,NA,NA,NA,"FL-05",2,0,0,6500,0,0,0,0,0
"DeSantis","Ron","ron desantis","R","FL","D000621","-","-","-",NA,NA,NA,"FL-06",3,0,0,132970,0,5175,3000,25,50
"Mica","John L.","john l mica","R","FL","M000689","-","-",NA,NA,NA,NA,"FL-07",2,0,0,136000,1500,22500,11050,0,500
"Posey","Bill","bill posey","R","FL","P000599","-","-",NA,"-","-","-","FL-08",5,0,0,83100,0,0,0,2000,0
"Grayson","Alan","alan grayson","D","FL","G000556","+","+",NA,NA,NA,NA,"FL-09",2,0,0,12446,0,190,0,16751,85
"Webster","Daniel","daniel webster","R","FL","W000806","-","-","-","-","-","-","FL-10,FL-11,FL-11",6,0,0,50675,5000,1250,5905,0,0
"Nugent","Rich","rich nugent","R","FL",NA,"-","-",NA,NA,NA,NA,"FL-11",2,0,0,0,0,0,0,0,0
"Bilirakis","Gus","gus bilirakis,gus m bilirakis","R","FL","B001257","-","-","-","-","-","-","FL-12",6,0,0,0,0,0,0,0,0
"Castor","Kathy","kathy castor","D","FL","C001066","+","+",NA,"+","+","+","FL-14",5,0,0,2671,0,2000,5600,16808,8320
"Ross","Dennis","dennis ross,dennis a ross","R","FL","R000593","-","-",NA,"-",NA,NA,"FL-15",3,0,0,0,0,0,0,0,0
"Buchanan","Vern","vern buchanan","R","FL","B001260","-","-","-","-","-","-","FL-16",6,0,0,107526,0,14599,0,13500,15000
"Rooney","Tom","tom rooney","R","FL",NA,"-","-","-","-",NA,NA,"FL-17",4,0,0,0,0,0,0,0,0
"Murphy","Patrick","patrick murphy","D","FL","M001191","+","+",NA,NA,NA,NA,"FL-18",2,0,0,17250,2750,0,2750,39805,4750
"Hastings","Alcee L.","alcee l hastings","D","FL","H000324","+",NA,"+","+",NA,NA,"FL-20",3,0,0,0,0,0,0,2300,0
"Deutch","Ted","ted deutch","D","FL",NA,"+","+","+","+","+","+","FL-21,FL-22,FL-22",6,0,0,0,0,0,0,0,0
"Frankel","Lois","lois frankel","D","FL","F000462","+","+","+","+","+","+","FL-22,FL-21,FL-21",6,0,0,20772,0,0,5,20990,306
"Wasserman Schultz","Debbie","debbie wasserman schultz","D","FL","W000797",NA,"+","+","+","+","+","FL-23",5,0,0,9695,0,1250,0,75592,17335
"Wilson","Frederica","frederica wilson,frederica s wilson","D","FL","W000808","+","+","+","+","+","+","FL-24",6,0,0,0,0,0,0,0,0
"Díaz-Balart","Mario","mario d az balart","R","FL",NA,"-","-",NA,"-","-","-","FL-25",5,0,0,0,0,0,0,0,0
"Ros-Lehtinen","Ileana","ileana ros lehtinen","R","FL",NA,"-","+",NA,"+",NA,NA,"FL-27",3,1,1,0,0,0,0,0,0
"Bishop","Sanford D.","sanford d bishop","D","GA","B000490","+","-","+","-","+","+","GA-02",6,4,1,57750,7750,8000,32750,0,3000
"Westmoreland","Lynn A.","lynn a westmoreland","R","GA","W000796","-","-",NA,NA,NA,NA,"GA-03",2,0,0,31800,0,9000,4000,0,0
"Johnson","Hank","hank johnson","D","GA",NA,"+","+","+","+","+","+","GA-04",6,0,0,0,0,0,0,0,0
"Lewis","John R.","john r lewis,john lewis","D","GA","L000287","+","+","+","+","+",NA,"GA-05",5,0,0,0,0,0,0,0,0
"Price","Tom","tom price","R","GA","P000591","-","-",NA,NA,NA,NA,"GA-06",2,0,0,94750,0,8500,6000,0,0
"Woodall","Rob","rob woodall","R","GA","W000810","-","-","-","-","-",NA,"GA-07",5,0,0,69250,0,11750,2000,1000,0
"Scott","Austin","austin scott","R","GA","S001189","-","-","-","-","-","-","GA-08",6,0,0,27500,0,9500,10500,4885,0
"Collins","Doug","doug collins","R","GA","C001093","-","-","-","-","-",NA,"GA-09",5,0,0,102750,500,8350,4500,0,0
"Scott","David","david scott","D","GA","S001157","+","+","+","+","+","+","GA-13",6,0,0,21750,0,8000,250,0,0
"Graves","Tom","tom graves","R","GA","G000560","-","-","-","-","-",NA,"GA-14",5,0,0,157850,0,13500,63500,0,0
"Hanabusa","Colleen","colleen hanabusa","D","HI","H001050","+",NA,"+",NA,NA,NA,"HI-01",2,0,0,6000,0,0,0,1000,4500
"Gabbard","Tulsi","tulsi gabbard","D","HI","G000571","+","+","+","+","+",NA,"HI-02",5,0,0,16493,0,1010,15,13951,40314
"Labrador","Raul","raul labrador,raul r labrador","R","ID","L000573","-","-","-","-",NA,NA,"ID-01",4,0,0,0,0,0,0,0,0
"Simpson","Mike","mike simpson","R","ID",NA,"-","-","-","-","-","-","ID-02",6,0,0,0,0,0,0,0,0
"Rush","Bobby L.","bobby l rush","D","IL","R000515",NA,"+","+","+","+","+","IL-01",5,0,0,67500,0,39000,1000,9000,9000
"Kelly","Robin","robin kelly,robin l kelly","D","IL","K000385","+","+","+","+","+","+","IL-02",6,0,0,0,0,0,0,0,0
"Lipinski","Dan","dan lipinski","D","IL",NA,"+","+","+","+","+",NA,"IL-03",5,0,0,0,0,0,0,0,0
"Gutierrez","Luis V.","luis v gutierrez","D","IL","G000535","+","+","+","+",NA,NA,"IL-04",4,0,0,0,0,0,1000,3117,1500
"Quigley","Mike","mike quigley","D","IL","Q000023","+","+","+","+","+","+","IL-05",6,0,0,7450,0,0,0,18525,0
"Roskam","Peter J.","peter j roskam","R","IL","R000580","-","-","-","+",NA,NA,"IL-06",4,1,1,282650,8200,47450,23200,0,5000
"Davis","Danny K.","danny k davis","D","IL","D000096","+","+","+","+","+","+","IL-07",6,0,0,11500,0,1500,500,2000,16000
"Duckworth","Tammy","tammy duckworth","D","IL","D000622","+","+",NA,NA,NA,NA,"IL-08",2,0,0,9500,0,3500,250,68292,16850
"Schakowsky","Jan","jan schakowsky","D","IL",NA,"+","+","+","+","+","+","IL-09",6,0,0,0,0,0,0,0,0
"Schneider","Brad","brad schneider","D","IL",NA,"+",NA,"+","+","+","+","IL-10",5,0,0,0,0,0,0,0,0
"Foster","Bill","bill foster","D","IL","F000454","+","+","+","+","+","+","IL-11",6,0,0,56240,0,12000,0,112546,30880
"Davis","Rodney","rodney davis","R","IL","D000619","-","-","-","-","-","-","IL-13",6,0,0,349272,106665,73337,171851,1000,89606
"Hultgren","Randy","randy hultgren","R","IL","H001059","-","-","-","-",NA,NA,"IL-14",4,0,0,73200,5500,31500,8000,0,2750
"Shimkus","John M.","john m shimkus,john shimkus","R","IL","S000364","-","-","-","-","-",NA,"IL-15",5,0,0,0,0,0,0,0,0
"Kinzinger","Adam","adam kinzinger","R","IL","K000378","-","-","-","-","-","-","IL-16",6,0,0,316481,7500,72002,33509,0,66750
"Bustos","Cheri","cheri bustos","D","IL","B001286","+","+","+","+","+","+","IL-17",6,0,0,33749,43,9133,68,74432,106543
"Visclosky","Peter J.","peter j visclosky","D","IN","V000108","+","+","+","+","+",NA,"IN-01",5,0,0,0,0,0,0,0,0
"Walorski","Jackie","jackie walorski","R","IN","W000813","-","-","-","-","-","-","IN-02",6,0,0,234576,22667,10099,44419,2000,33002
"Stutzman","Marlin","marlin stutzman,marlin a stutzman","R","IN","S001188","-","-",NA,NA,NA,NA,"IN-03",2,0,0,0,0,0,0,0,0
"Rokita","Todd","todd rokita","R","IN","R000592","-","-","-","-",NA,NA,"IN-04",4,0,0,66700,34150,0,78600,0,7000
"Brooks","Susan W.","susan w brooks","R","IN","B001284","-","-","-","-","-",NA,"IN-05",5,0,0,106750,5500,2500,16000,2250,17500
"Messer","Luke","luke messer","R","IN","M001189","-","-","-","-",NA,NA,"IN-06",4,0,0,105400,3000,2000,47500,0,7500
"Carson","Andre","andre carson,andr carson","D","IN","C001072","+","+","+","+","+","+","IN-07",6,0,0,0,0,0,0,0,0
"Bucshon","Larry","larry bucshon","R","IN","B001275","-","-","-","-","-","-","IN-08",6,0,0,98405,154550,4500,229000,0,7750
"Young","Todd","todd young","R","IN","Y000064","-","-",NA,NA,NA,NA,"IN-09",2,0,0,57650,32700,11300,52650,0,1000
"Loebsack","Dave W.","dave w loebsack","D","IA",NA,"+","+","+","+","+",NA,"IA-02",5,0,0,0,0,0,0,0,0
"King","Steve A.","steve a king,steve king","R","IA","K000362","-","-","-","-","-",NA,"IA-04",5,0,0,0,0,0,0,0,0
"Huelskamp","Tim","tim huelskamp","R","KS","H001057","-","-",NA,NA,NA,NA,"KS-01",2,0,0,190650,0,9750,0,0,17650
"Jenkins","Lynn M.","lynn m jenkins,lynn jenkins","R","KS","J000290","-","-","-","-",NA,NA,"KS-02",4,0,0,0,0,0,0,0,0
"Yoder","Kevin","kevin yoder","R","KS","Y000063","-","-","-","-",NA,NA,"KS-03",4,0,0,278125,20900,12900,70900,0,130600
"Pompeo","Mike","mike pompeo","R","KS","P000602","-","-",NA,NA,NA,NA,"KS-04",2,0,0,891725,14500,71500,24000,0,18900
"Whitfield","Ed","ed whitfield","R","KY","W000413","-","-",NA,NA,NA,NA,"KY-01",2,0,0,322850,115875,40000,180900,0,21000
"Guthrie","Brett","brett guthrie","R","KY","G000558","-","-","-","-","-","-","KY-02",6,0,0,265555,60299,32750,81049,0,0
"Yarmuth","John","john yarmuth,john a yarmuth","D","KY","Y000062","+","+","+","+","+","+","KY-03",6,0,0,0,0,0,0,0,0
"Massie","Thomas","thomas massie","R","KY","M001184","-","-","-","-","-","-","KY-04",6,0,0,91101,28600,2750,42100,0,2750
"Rogers","Harold","harold rogers","R","KY","R000395","-","-","-","-","-","-","KY-05",6,0,0,0,0,0,0,0,0
"Barr","Garland","garland barr","R","KY",NA,"-","-","-","-","-",NA,"KY-06",5,0,0,0,0,0,0,0,0
"Scalise","Steve","steve scalise","R","LA","S001176","-","-",NA,"-","-","-","LA-01",5,0,0,1550356,17810,130295,53931,14160,15546
"Richmond","Cedric L","cedric l richmond","D","LA","R000588","+","+","+",NA,"+",NA,"LA-02",4,0,0,357350,0,53000,1500,15050,1000
"Boustany","Charles","charles boustany,charles w boustany","R","LA","B001255","-","-",NA,NA,NA,NA,"LA-03",2,0,0,0,0,0,0,0,0
"Fleming","John","john fleming","R","LA","F000456","-","-",NA,NA,NA,NA,"LA-04",2,0,0,408500,0,9500,11100,29600,0
"Pingree","Chellie M.","chellie m pingree,chellie pingree","D","ME","P000597","+","+","+","+","+","+","ME-01",6,0,0,0,0,0,0,0,0
"Harris","Andy","andy harris","R","MD","H001052","-","-","-","-","-","-","MD-01",6,0,0,125318,14750,5250,35750,7150,0
"Ruppersberger","C.A. Dutch","c a dutch ruppersberger","D","MD","R000576","+","+","+","+","+","+","MD-02",6,0,0,0,0,0,0,0,0
"Sarbanes","John P.","john p sarbanes","D","MD","S001168","+","+","+","+","+","+","MD-03",6,0,0,9112,0,0,0,100,15650
"Edwards","Donna","donna edwards,donna f edwards","D","MD","E000290","+","+",NA,NA,NA,NA,"MD-04",2,0,0,0,0,0,0,0,0
"Hoyer","Steny H.","steny h hoyer","D","MD","H000874","+","+","+",NA,"+","+","MD-05",5,0,0,228000,0,69500,2500,22663,29000
"Delaney","John K.","john k delaney","D","MD","D000620","+","+","+","+",NA,NA,"MD-06",4,0,0,6000,0,6000,0,35683,1750
"Cummings","Elijah E.","elijah e cummings","D","MD","C000984","+","+","+","+","+",NA,"MD-07",5,0,0,19786,0,1000,0,12657,0
"Van Hollen","Chris","chris van hollen","D","MD","V000128","+","+",NA,NA,NA,NA,"MD-08",2,0,0,0,0,0,0,0,0
"Neal","Richard E.","richard e neal","D","MA","N000015","+","+","+","+","+","+","MA-01",6,0,0,103500,0,36750,0,4500,76925
"McGovern","Jim","jim mcgovern","D","MA",NA,"+","+","+","+","+","+","MA-02",6,0,0,0,0,0,0,0,0
"Tsongas","Niki","niki tsongas","D","MA","T000465","+","+","+","+",NA,NA,"MA-03",4,0,0,6201,0,1000,0,24308,5500
"Kennedy","Joseph P.","joseph p kennedy","D","MA","K000110","+","+","+","+","+",NA,"MA-04",5,0,0,0,0,0,0,0,0
"Kennedy","Joseph P.","joseph p kennedy","D","MA","K000379","+","+","+","+","+",NA,"MA-04",5,0,0,0,0,0,0,0,0
"Capuano","Michael E.","michael e capuano","D","MA","C001037","+","+","+","+",NA,NA,"MA-07",4,0,0,101075,0,28600,5700,2500,0
"Lynch","Stephen F.","stephen f lynch","D","MA","L000562","+","+","+","+","+","+","MA-08",6,0,0,9000,0,1000,3200,0,7700
"Keating","Bill","bill keating","D","MA",NA,"+","+","+","+","+","+","MA-09",6,0,0,0,0,0,0,0,0
"Benishek","Dan","dan benishek","R","MI","B001271","-","-",NA,NA,NA,NA,"MI-01",2,0,0,253025,8000,3000,55599,4500,1500
"Huizenga","Bill","bill huizenga","R","MI","H001058","-","-","-","-","-","-","MI-02",6,0,0,146201,0,6099,2250,0,0
"Amash","Justin","justin amash","R","MI",NA,"-","-","-","-","-",NA,"MI-03",5,0,0,0,0,0,0,0,0
"Kildee","Daniel T.","daniel t kildee","D","MI","K000380","+","+","+","+","+","+","MI-05",6,0,0,0,0,0,0,0,0
"Upton","Fred","fred upton","R","MI","U000031","-","-","-","+","+","+","MI-06",6,1,1,953538,75700,237570,152852,0,22026
"Walberg","Tim","tim walberg","R","MI","W000798","-","-","-","-","-","-","MI-07",6,0,0,263526,36500,16099,96400,1525,0
"Levin","Sander M.","sander m levin","D","MI","L000263","+","+","+","+",NA,NA,"MI-09",4,0,0,15750,0,5000,4000,15095,7000
"Miller","Candice S.","candice s miller","R","MI","M001150","-","-",NA,NA,NA,NA,"MI-10",2,0,0,38500,0,4000,2500,0,13500
"Conyers","John","john conyers","D","MI","C000714","+","+","+",NA,NA,NA,"MI-13",3,0,0,0,0,0,0,0,0
"Walz","Tim","tim walz","D","MN",NA,"+","+","+",NA,NA,NA,"MN-01",3,0,0,0,0,0,0,0,0
"Kline","John P.","john p kline,john kline","R","MN","K000363","-","-",NA,NA,NA,NA,"MN-02",2,0,0,0,0,0,0,0,0
"Paulsen","Erik","erik paulsen","R","MN","P000594","-","-","-",NA,NA,NA,"MN-03",3,0,0,272069,5000,17702,6250,6250,4000
"McCollum","Betty","betty mccollum","D","MN","M001143","+","+","+","+","+","+","MN-04",6,0,0,1,0,0,0,26401,1571
"Ellison","Keith M.","keith m ellison,keith ellison","D","MN","E000288","+","+","+","+",NA,NA,"MN-05",4,0,0,0,0,0,0,0,0
"Peterson","Collin C.","collin c peterson","D","MN","P000258","-","-","-",NA,"+",NA,"MN-07",4,0,0,135853,8750,7500,29750,1508,104055
"Nolan","Rick","rick nolan","D","MN",NA,"+","+","+","+",NA,NA,"MN-08",4,0,0,0,0,0,0,0,0
"Thompson","Bennie G.","bennie g thompson","D","MS","T000193","+","+","+","+","+","+","MS-02",6,0,0,99180,0,46980,0,7500,0
"Harper","Gregg","gregg harper","R","MS","H001045","-","-","-","-",NA,NA,"MS-03",4,0,0,299260,5500,33500,7500,0,0
"Palazzo","Steven","steven palazzo,steven m palazzo","R","MS","P000601","-","-","-","-","-","-","MS-04",6,0,0,0,0,0,0,0,0
"Clay","William Lacy","william lacy clay","D","MO",NA,"+","+","+","+","+",NA,"MO-01",5,0,0,0,0,0,0,0,0
"Wagner","Ann","ann wagner","R","MO","W000812","-","-","-","-","-","-","MO-02",6,0,0,204366,151117,18696,166303,8,4066
"Luetkemeyer","Blaine","blaine luetkemeyer","R","MO","L000569","-","-","-","-","-","-","MO-03",6,0,0,35000,16400,12000,20150,0,29000
"Hartzler","Vicky","vicky hartzler","R","MO","H001053","-","-","-","-","-","-","MO-04",6,0,0,71554,20950,6509,21961,0,17616
"Cleaver","Emanuel","emanuel cleaver","D","MO","C001061","+","+","+","+","+","+","MO-05",6,0,0,6430,0,0,0,13025,0
"Graves","Sam","sam graves","R","MO","G000546","-","-",NA,"-","-","-","MO-06",5,0,0,195850,6000,44000,17500,0,37700
"Long","Billy","billy long","R","MO","L000576","-","-","-","-","-","-","MO-07",6,0,0,197350,21000,26500,28500,0,7000
"Smith","Jason T.","jason t smith,jason smith","R","MO","S001195","-","-","-","-","-","-","MO-08",6,0,0,0,0,0,0,0,0
"Fortenberry","Jeff","jeff fortenberry","R","NE","F000449","-","-","-","-","-","-","NE-01",6,0,0,18325,0,2500,0,18500,9250
"Smith","Adrian M.","adrian m smith,adrian smith","R","NE","S001172","-","-","-","-","-","-","NE-03",6,0,0,0,0,0,0,0,0
"Titus","Dina","dina titus","D","NV","T000468","+","+","+","+","+","+","NV-01",6,0,0,14100,0,5000,65000,21353,12255
"Amodei","Mark E.","mark e amodei","R","NV","A000369","-","-","-","-","-","-","NV-02",6,0,0,94250,1000,22500,174150,0,3000
"Heck","Joe","joe heck","R","NV",NA,"-","-",NA,NA,NA,NA,"NV-03",2,0,0,0,0,0,0,0,0
"Horsford","Steven A.","steven a horsford,steven horsford","D","NV","H001066","+",NA,NA,NA,"+","+","NV-04",3,0,0,0,0,0,0,0,0
"Shea-Porter","Carol","carol shea porter","D","NH",NA,"+",NA,"+",NA,NA,NA,"NH-01",2,0,0,0,0,0,0,0,0
