"last_name","first_name","name","party","state","member_id","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","District","Vote_count","Vote_change","Vote_change_dummy","oil_sum","coal_sum","gas_sum","mining_sum","env_sum","alt_en_sum"
"Roby","Martha","martha roby","R","AL","R000591","-","-","-","-","-",NA,"AL-02",5,0,0,67550,16600,8500,19600,0,0
"Rogers","Mike D.","mike d rogers","R","AL","R000575","-","-","-","-","-","-","AL-03",6,0,0,53250,51250,4000,52250,1000,0
"Aderholt","Robert B.","robert b aderholt","R","AL","A000055","-","-","-","-","-","-","AL-04",6,0,0,94708,44508,0,54257,0,2500
"Brooks","Mo","mo brooks","R","AL","B001274","-","-","-","-","-","-","AL-05",6,0,0,16503,5000,0,19500,500,4000
"Sewell","Terri","terri sewell,terri a sewell","D","AL","S001185","+","+","+","+","+","+","AL-07",6,0,0,0,0,0,0,0,0
"Young","Don","don young","R","AK","Y000033","-","-","-","-","-","-","AK-AL",6,0,0,316781,8250,18610,76894,7500,6
"Kirkpatrick","Ann","ann kirkpatrick","D","AZ","K000368","+","+",NA,NA,NA,"+","AZ-01,AZ-02",3,0,0,17996,0,1681,16512,25918,4459
"Grijalva","Raul","raul grijalva","D","AZ",NA,"+","+","+","+","+","+","AZ-03",6,0,0,0,0,0,0,0,0
"Gosar","Paul","paul gosar,paul a gosar","R","AZ","G000565","-","-","-","-","-",NA,"AZ-04",5,0,0,0,0,0,0,0,0
"Salmon","Matt","matt salmon","R","AZ","S000018","-","-",NA,NA,NA,NA,"AZ-05",2,0,0,73689,4500,25639,31750,0,18700
"Schweikert","David","david schweikert","R","AZ","S001183","-","-","-","-","-","-","AZ-06",6,0,0,119779,1000,14599,34850,0,18450
"Franks","Trent","trent franks","R","AZ","F000448","-","-","-",NA,NA,NA,"AZ-08",3,0,0,33350,0,14100,13500,0,0
"Crawford","Rick","rick crawford","R","AR",NA,"-","-","-","-","-","-","AR-01",6,0,0,0,0,0,0,0,0
"Womack","Steve","steve womack","R","AR","W000809","-","-","-","-","-","-","AR-03",6,0,0,135950,0,6750,1000,0,0
"LaMalfa","Doug","doug lamalfa","R","CA","L000578","-","-","-","-","-","-","CA-01",6,0,0,142906,2700,39479,9300,6750,4250
"Huffman","Jared","jared huffman","D","CA","H001068","+","+","+","+","+","+","CA-02",6,0,0,18401,120,17000,120,151997,7054
"Garamendi","John","john garamendi","D","CA","G000559","+","+","+","+","+","+","CA-03",6,0,0,9000,0,6500,1000,59956,19500
"McClintock","Tom","tom mcclintock","R","CA","M001177","-","-","-","-","-","-","CA-04",6,0,0,164026,0,19599,13000,450,3750
"Thompson","Mike","mike thompson","D","CA","T000460","+","+","+","+","+","+","CA-05",6,0,0,79200,0,6000,1000,24975,47988
"Matsui","Doris O.","doris o matsui","D","CA","M001163","+","+","+","+","+","+","CA-06",6,0,0,72000,0,8000,1000,15237,8000
"Bera","Ami","ami bera","D","CA","B001287","+","+","+","+","+","+","CA-07",6,0,0,41473,0,6755,0,198214,18960
"Cook","Paul","paul cook","R","CA","C001094","-","-","-","-","-",NA,"CA-08",5,0,0,46600,0,28500,11650,0,27700
