"last_name","first_name","name","party","state","member_id","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","District","Vote_count","Vote_change","vote_change_type","vote_change_year","year","first_contribution","Vote_change_dummy","Geographical","pro_env.113","anti_env.113","pro_env.114","anti_env.114","pro_env.115","anti_env.115","pro_env.116","anti_env.116","pro_env.117","anti_env.117"
"Green","Gene","gene green","D","TX","G000410","-","+","+","+",NA,NA,"TX-29",4,1,1,"2013-2016","2016","113",1,"SO",0,113900,0,127450,0,149200,0,35000,NA,NA
"Veasey","Marc A.","marc a veasey","D","TX","V000131","+","-","+","+","+","+","TX-33",6,2,0,"2013-2016","2016","113",1,"SO",4450,63350,4000,58400,1500,73800,1000,67006,600,170549
"Veasey","Marc A.","marc a veasey","D","TX","V000131","+","-","+","+","+","+","TX-33",6,2,1,"2016-2017","2017","113",1,"SO",4450,63350,4000,58400,1500,73800,1000,67006,600,170549
"Vela","Filemon","filemon vela","D","TX","V000132","-","+","+","+","+","+","TX-34",6,1,1,"2013-2016","2016","113",1,"SO",500,13550,1000,31600,1000,42000,2000,43006,0,74200
"Reichert","Dave","dave reichert","R","WA",NA,"-","-","+","+",NA,NA,"WA-08",4,1,1,"2016-2017","2017","113",1,"WE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knight","Steve","steve knight","R","CA",NA,NA,"-","+","-",NA,NA,"CA-25",3,2,1,"2016-2017","2017","114",1,"WE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knight","Steve","steve knight","R","CA",NA,NA,"-","+","-",NA,NA,"CA-25",3,2,0,"2017-2018","2018","114",1,"WE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stefanik","Elise","elise stefanik,elise m stefanik","R","NY","S001196",NA,"+","+","+","+","-","NY-21",5,1,0,"2019-2021","2021","114",1,"NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costello","Ryan","ryan costello,ryan a costello","R","PA","C001106",NA,"-","+","+",NA,NA,"PA-06",3,1,1,"2016-2017","2017","114",1,"NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gaetz","Matt","matt gaetz","R","FL","G000578",NA,NA,"-",NA,"-","+","FL-01",3,1,1,"2019-2021","2021","115",1,"SO",NA,NA,NA,NA,0,6000,0,6200,0,10610
"Gonzalez","Vicente","vicente gonzalez","D","TX","G000581",NA,NA,"-","+","+","+","TX-15",4,1,1,"2017-2018","2018","115",1,"SO",NA,NA,NA,NA,2500,1000,1000,60762,125,178000
"Waltz","Michael","michael waltz","R","FL","W000823",NA,NA,NA,NA,"+","-","FL-06",2,1,0,"2019-2021","2021","116",1,"SO",NA,NA,NA,NA,NA,NA,2700,17825,1100,29075
