"state","district","party","birthday","gender","nominate_dim1","nominate_dim2","seniority_113","seniority_114","seniority_1151","seniority_1152","seniority_116","seniority_117","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_51_minus","Contribution_51_plus","Contribution_52_minus","Contribution_52_plus","Contribution_6_minus","Contribution_6_plus","Contribution_7_minus","Contribution_7_plus","Dmajority_3","Dmajority_4","Dmajority_51","Dmajority_52","Dmajority_6","Dmajority_7","Geographical","all_votes_minus","all_votes_plus"
"CT",2,"D",1953,"M",0.34,0.03,4,5,6,6,7,8,8,0,4,0,5,0,9.6,0,6.5,0,1,0,0,0,0,0,1,1,"NE",0,1
"CT",3,"D",1943,"F",0.414,0.116,12,13,14,14,15,16,NA,NA,5.375,0,1.5,0,1.5,0,1.35,0,10.1,0,0,0,0,0,1,1,"NE",0,1
"CT",4,"D",1966,"M",0.24,0.226,3,4,5,5,6,7,2.5,0,12,0,2,0,4,0,0.1,0,1.2,0,0,0,0,0,1,1,"NE",0,1
"FL",8,"R",1947,"M",0.531,0.351,3,4,5,5,6,7,2,0,6,0,3,0,3,0,16.7,0,5.8,0,0,0,0,0,1,1,"SO",1,0
"FL",NA,"R",1949,"M",0.525,0.094,2,3,4,4,5,6,6.5,0,4.5,0.2,3.3,0,6.8,0,1.5,0,1.5,0,0,0,0,0,1,1,"SO",0,1
"FL",12,"R",1963,"M",0.419,0.017,4,5,6,6,7,8,8.5,0,15,0,46.4,8.9,50.9,8.9,14,0,26,0,0,0,0,0,1,1,"SO",0,1
"FL",14,"D",1966,"F",0.437,0.06,4,5,6,6,7,8,2.5,0,4,0,1,0,1,0,2.65,2.5,2,0,0,0,0,0,1,1,"SO",0,1
"FL",16,"R",1951,"M",0.362,0.095,4,5,6,6,7,8,6,0,5,0,15.75,0,23.25,0,43.788,0,35.4,5.9,0,0,0,0,1,1,"SO",0,1
"FL",20,"D",1936,"M",0.564,0.157,11,12,13,13,14,15,3.5,0,2.5,0,1,0,2,0,1.5,0,0,0,0,0,0,0,1,1,"SO",0,1
"FL",NA,"D",1966,"M",0.401,0.078,3,4,5,5,6,7,11,2.5,0,0,5.8,2,3.3,12.8,6.5,2.8,2.5,0,0,0,0,0,1,1,"SO",0,1
"FL",22,"D",1948,"F",0.397,0.054,1,2,3,3,4,5,5.6,0,0,0,1.5,0,1.5,0,2.5,0,2.5,0,0,0,0,0,1,1,"SO",0,1
"FL",NA,"D",1966,"F",0.416,0.088,5,6,7,7,8,9,9.5,5.5,6.4,2.85,21.65,1.5,22.2,0,0,0,0,0,0,0,0,0,1,1,"SO",0,1
"FL",24,"D",1942,"F",0.477,0.012,2,3,4,4,5,6,2,0,3.5,0,1.5,0,0,0,1.5,0,2.5,0,0,0,0,0,1,1,"SO",0,1
"FL",NA,"R",1961,"M",0.284,0.141,6,7,8,8,9,10,2.5,0,17,0,12,0,25.3,0,20.1,0,0,0,0,0,0,0,1,1,"SO",1,0
"GA",4,"D",1954,"M",0.473,0.025,4,5,6,6,7,8,2.5,0,1,0,2.5,0,2.5,0,1.5,0,0,0,0,0,0,0,1,1,"SO",0,1
"GA",8,"R",1969,"M",0.535,0.354,2,3,4,4,5,6,8.5,0,7,0,7.5,0,2.5,0,2.5,0,NA,NA,0,0,0,0,1,1,"SO",0,1
"GA",13,"D",1945,"M",0.304,0.168,6,7,8,8,9,10,2.5,0,8.25,0,1,0,1,0,0,0,9.5,0,0,0,0,0,1,1,"SO",0,1
"ID",2,"R",1950,"M",0.297,0.307,8,9,10,10,11,12,103.694,1,80.6,0,45.2,0,53.2,0,40.1,0,38,0,0,0,0,0,1,1,"WE",0,1
"IL",1,"D",1946,"M",0.479,0.203,11,12,13,13,14,15,23,0,25.4,0,8,0,10.5,1,35,0,33.5,0,0,0,0,0,1,1,"MW",0,1
"IL",2,"D",1956,"F",0.467,0.023,1,2,3,3,4,5,3.5,0,7.5,1,2,0,5.5,0,15.5,0,4.75,0,0,0,0,0,1,1,"MW",0,1
"IL",5,"D",1958,"M",0.324,0.259,3,4,5,5,6,7,2,0,4.5,1,1,0,1.5,0,0,0,1,0,0,0,0,0,1,1,"MW",0,1
"IL",7,"D",1941,"M",0.486,0.26,9,10,11,11,12,13,7.5,0,5.5,5,7,0,7,0,9,0,5,1,0,0,0,0,1,1,"MW",0,1
"IL",9,"D",1944,"F",0.603,0.276,8,9,10,10,11,12,0,3.6,3,0,0.15,2.375,0.15,2.375,0,1.275,0.175,0,0,0,0,0,1,1,"MW",0,1
"IL",10,"D",1961,"M",0.187,0.14,1,1,2,2,3,4,5.5,0,NA,NA,3,0,3.05,0,8.5,0,6.95,0,0,0,0,0,1,1,"MW",0,1
"IL",11,"D",1955,"M",0.233,0.215,3,4,5,5,6,7,12.85,4.85,15.7,1.2,12.95,2.8,11.45,3.4,9.2,0,3.4,1,0,0,0,0,1,1,"MW",0,1
"IL",13,"R",1970,"M",0.279,0.17,1,2,3,3,4,5,39.805,1.5,24.9,5,38.95,9,47.95,10.5,62.064,0,38.633,0,0,0,0,0,1,1,"MW",0,1
"IL",16,"R",1978,"M",0.234,0.382,2,3,4,4,5,6,69.85,5,68.4,4.5,44.45,1,60.7,2,61.8,0,94.6,9.4,0,0,0,0,1,1,"MW",0,1
"IL",17,"D",1961,"F",0.239,0.054,1,2,3,3,4,5,9.75,1,10.325,4.341,16.765,2.4,18.628,3.475,54.25,4,10.15,0,0,0,0,0,1,1,"MW",0,1
"IN",2,"R",1963,"F",0.436,0.315,1,2,3,3,4,5,19.1,4.6,26.75,5,35,1,33,1,31.488,0,10.5,0,0,0,0,0,1,1,"MW",0,1
"IN",7,"D",1974,"M",0.43,0.04,4,5,6,6,7,8,3.25,0,2.25,0,0,0.6,3,0.6,0,0.7,NA,NA,0,0,0,0,1,1,"MW",0,1
"IN",8,"R",1962,"M",0.383,0.373,2,3,4,4,5,6,28.35,0,28.45,0,25.5,1,24.5,1,6.25,0,14,0.5,0,0,0,0,1,1,"MW",0,1
"KY",2,"R",1964,"M",0.426,0.275,3,4,5,5,6,7,32.5,0,23.5,0,24.3,0,23.3,0,27,0,10,0,0,0,0,0,1,1,"SO",0,1
"KY",3,"D",1947,"M",0.378,0.275,4,5,6,6,7,8,4,0,1.5,0,1.5,1,1.5,2,0,0,5,0,0,0,0,0,1,1,"SO",0,1
"KY",4,"R",1971,"M",0.678,0.735,2,3,4,4,5,6,8.6,0,6,0,2,0,0,0,6,0,0,0,0,0,0,0,1,1,"SO",0,1
"KY",5,"R",1937,"M",0.334,0.142,14,15,16,16,17,18,44.8,0,20.5,0,17.5,0,24.5,0,1,0,3.45,0,0,0,0,0,1,1,"SO",0,1
"KY",6,"R",1973,"M",0.484,0.294,1,2,3,3,4,5,107.75,0,53.55,0,100.221,7.587,119.927,7.587,42.073,0,43.333,0,0,0,0,0,1,1,"SO",1,0
"LA",1,"R",1965,"M",0.559,0.15,4,5,6,6,7,8,91.5,0,94.15,0,149.825,9.1,168.1,6.4,155.465,0.75,116.157,1.985,0,0,0,0,1,1,"SO",1,0
"LA",2,"D",1973,"M",0.486,0.332,2,3,4,4,5,6,19.1,0,30.25,0,31.5,0,34,0,52.8,0,NA,NA,0,0,0,0,1,1,"SO",0,1
"ME",1,"D",1955,"F",0.421,0.36,3,4,5,5,6,7,0.25,0,1.25,1,1.075,0.001,1.11,0.001,1,0,0,0,0,0,0,0,1,1,"NE",0,1
"MD",1,"R",1957,"M",0.671,0.374,2,3,4,4,5,6,34.2,0,8.5,0,10.35,0,12.35,0,0.25,0,0.5,0,0,0,0,0,1,1,"SO",0,1
"MD",2,"D",1946,"M",0.297,0.127,6,7,8,8,9,10,13.75,0,4,0,4.75,0,7.25,0,8,2.8,2.5,0,0,0,0,0,1,1,"SO",0,1
"MD",3,"D",1962,"M",0.465,0.071,4,5,6,6,7,8,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,1,1,"SO",0,1
"MD",5,"D",1939,"M",0.381,0.121,14,15,16,16,17,18,75,0,107.75,4.5,86.5,0.25,96.25,0.25,121.5,0,90,0,0,0,0,0,1,1,"SO",0,1
"MA",1,"D",1949,"M",0.417,0.105,13,14,15,15,16,17,9,1,17,0,7.5,0.25,26,3.25,66.2,1,40.6,1,0,0,0,0,1,1,"NE",0,1
"MA",2,"D",1959,"M",0.538,0.323,9,10,11,11,12,13,5,5.2,2.51,0,1,0.107,6.25,0.357,0.25,5.6,0.5,0,0,0,0,0,1,1,"NE",0,1
"MA",8,"D",1955,"M",0.348,0.037,7,8,9,9,10,11,3.7,0.25,0,0,2.75,0,3.25,2.5,0,0,0.75,0,0,0,0,0,1,1,"NE",0,1
"MA",9,"D",1952,"M",0.33,0.112,2,3,4,4,5,6,3.5,0,10,0,9.5,0,10.5,0,2,0,0,0,0,0,0,0,1,1,"NE",0,1
"MI",NA,"R",1969,"M",0.536,0.026,2,3,4,4,5,6,12.3,0,22.05,0,26,0,25.5,0,26.988,0,9,0,0,0,0,0,1,1,"MW",0,1
"MI",NA,"D",1958,"M",0.367,0.174,1,2,3,3,4,5,10,0,10.6,0,5.5,0,6.5,0,17.8,0,24.5,0.5,0,0,0,0,1,1,"MW",0,1
"MI",NA,"R",1951,"M",0.501,0.142,3,4,5,5,6,7,26.05,0,43.75,0,63.45,0,82.05,0,73.238,0,25.2,0,0,0,0,0,1,1,"MW",0,1
"MN",4,"D",1954,"F",0.417,0.193,7,8,9,9,10,11,1,0,1,0,1.5,0.25,1.5,0.25,NA,NA,3.75,0,0,0,0,0,1,1,"MW",0,1
"MS",2,"D",1948,"M",0.517,0.395,11,12,13,13,14,15,11.5,0,26.5,0,19,0,8.5,0,11.5,0,12,0,0,0,0,0,1,1,"SO",0,1
"MS",4,"R",1970,"M",0.535,0.45,2,3,4,4,5,6,32,0,31.5,0,23,0,18,0,20.9,0,16.7,0,0,0,0,0,1,1,"SO",0,1
"MO",2,"R",1962,"F",0.393,0.284,1,2,3,3,4,5,51.85,0,17.5,0,27,0.4,29.1,0.4,23.011,0,18.133,0,0,0,0,0,1,1,"MW",0,1
"MO",3,"R",1952,"M",0.452,0.23,3,4,5,5,6,7,5.5,0,7.5,2.5,8.25,0.5,11.25,0.5,6,0,1,0,0,0,0,0,1,1,"MW",0,1
"MO",4,"R",1960,"F",0.478,0.229,2,3,4,4,5,6,11.2,0,5,0,10,2.5,7,0,10.3,0,32.05,0,0,0,0,0,1,1,"MW",0,1
"MO",5,"D",1944,"M",0.453,0.009,5,6,7,7,8,9,5,0,3,1,1.5,3.7,1.5,3.7,4.5,0,0,0,0,0,0,0,1,1,"MW",0,1
"MO",6,"R",1963,"M",0.447,0.167,7,8,9,9,10,11,8.75,2,9,1,18.52,3.5,23.32,6,43,1,19.4,0,0,0,0,0,1,1,"MW",1,0
"MO",7,"R",1955,"M",0.544,0.244,2,3,4,4,5,6,48.65,0,22,0,25.5,0,26,2,45,0,NA,NA,0,0,0,0,1,1,"MW",0,1
"MO",8,"R",1980,"M",0.581,0.254,1,2,3,3,4,5,35.465,0,24.6,6,26.5,2,35.5,2,25,0,20.3,0,0,0,0,0,1,1,"MW",0,1
"NE",1,"R",1960,"M",0.304,0.061,5,6,7,7,8,9,3.5,0,3.5,0,6.7,1,6.7,1,3.5,0,7.4,0,0,0,0,0,1,1,"MW",0,1
"NE",3,"R",1970,"M",0.513,0.233,4,5,6,6,7,8,9,1.5,7.75,5,12.45,7,14.95,8,21.5,0,9,0,0,0,0,0,1,1,"MW",0,1
"NV",1,"D",1950,"F",0.299,0.193,2,3,4,4,5,6,4.75,1,6,5.5,3.5,0,0,0,3.5,0,2.5,0,0,0,0,0,1,1,"WE",0,1
"NV",2,"R",1958,"M",0.387,0.196,2,3,4,4,5,6,13,0,19.7,0,31.5,0,40,0,14.75,0,6.112,0,0,0,0,0,1,1,"WE",0,1
"NV",4,"D",1973,"M",0.342,0.135,1,1,1,1,2,3,11.25,0.5,NA,NA,NA,NA,NA,NA,23.1,0,9.5,1,0,0,0,0,1,1,"WE",0,1
"NH",2,"D",1956,"F",0.26,0.098,1,2,3,3,4,5,2.5,6.95,8.5,1,5.2,3.7,4.6,0,6.75,0,4.85,1.5,0,0,0,0,1,1,"NE",0,1
"NJ",6,"D",1951,"M",0.404,0.168,14,15,16,16,17,18,26.088,2.5,12.499,1,24.75,20.25,24.5,20,80.55,2.5,42.15,0,0,0,0,0,1,1,"NE",0,1
"NJ",8,"D",1951,"M",0.404,0.098,5,6,7,7,8,9,1,0,NA,NA,1,0,1,0,2.5,0,2,0,0,0,0,0,1,1,"NE",0,1
"NJ",9,"D",1937,"M",0.368,0.006,9,10,11,11,12,13,10,0,7.5,6,2,0,5.5,0,16.75,1,5,0,0,0,0,0,1,1,"NE",0,1
"NJ",10,"D",1958,"M",0.52,0.097,2,3,4,4,5,6,8.85,0,7.6,0,8,0,8,0,13,0,18.5,0,0,0,0,0,1,1,"NE",0,1
"NY",5,"D",1953,"M",0.415,0.072,9,10,11,11,12,13,8.5,0,7,0,4.5,3.5,4.5,3.5,5,0,18.25,0,0,0,0,0,1,1,"NE",0,1
"NY",6,"D",1975,"F",0.376,0.217,1,2,3,3,4,5,0.5,0.5,1.5,0.5,0.75,0.6,0.75,0.6,0,0,3,0,0,0,0,0,1,1,"NE",0,1
"NY",7,"D",1953,"F",0.547,0.351,11,12,13,13,14,15,2,0,0,0,1,0,1,0,3.25,0,0,0,0,0,0,0,1,1,"NE",0,1
"NY",8,"D",1970,"M",0.486,0.072,1,2,3,3,4,5,2,1,5,0,4.5,0,5,0,3.5,0,25.35,2,0,0,0,0,1,1,"NE",0,1
"NY",9,"D",1964,"F",0.609,0.246,4,5,6,6,7,8,0,0,5,0,17,0,18,0,4.5,0,5.2,0,0,0,0,0,1,1,"NE",0,1
"NY",NA,"D",1947,"M",0.508,0.484,12,13,14,14,15,16,0.25,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,"NE",0,1
"NY",12,"D",1946,"F",0.387,0.285,11,12,13,13,14,15,0,0,13.3,0,3.6,0,3.1,0,6.4,0.25,12.35,0,0,0,0,0,1,1,"NE",0,1
"NY",20,"D",1949,"M",0.415,0.268,3,4,5,5,6,7,20.5,4.55,12.05,3.175,15.925,2.4,17.45,3.538,86.55,3.8,60.75,2.548,0,0,0,0,1,1,"NE",0,1
"NY",26,"D",1959,"M",0.348,0.032,5,6,7,7,8,9,1,0,2,0,6.5,0,3,0,5,0,7.85,0,0,0,0,0,1,1,"NE",0,1
"NC",1,"D",1947,"M",0.404,0.184,6,7,8,8,9,10,11,0,6,1,7,0,8.5,1,4.5,0,7,0,0,0,0,0,1,1,"SO",0,1
"NC",4,"D",1940,"M",0.343,0.03,13,14,15,15,16,17,1,0,5,0,3.5,0.25,7.5,0.25,1,0,4.5,0,0,0,0,0,1,1,"SO",0,1
"NC",5,"R",1943,"F",0.623,0.18,5,6,7,7,8,9,5.5,1,11.073,0.5,26,0.5,29,0.5,21,0,0.5,0,0,0,0,0,1,1,"SO",0,1
"NC",NA,"R",1971,"M",0.526,0.178,1,2,3,3,4,5,18.25,0.3,94.65,0,45.5,0.25,35,0,58.188,0,17.07,0,0,0,0,0,1,1,"SO",0,1
"NC",10,"R",1975,"M",0.529,0.131,5,6,7,7,8,9,6,0,47.5,0,40,4.2,54.4,11.2,17.5,0,22.5,0,0,0,0,0,1,1,"SO",0,1
"OH",1,"R",1953,"M",0.542,0.137,9,10,11,11,12,13,4.5,0,7.1,0,12.1,0.1,16.6,0.6,13.878,0,0.67,0,0,0,0,0,1,1,"MW",0,1
"OH",2,"R",1958,"M",0.528,0.268,1,2,3,3,4,5,16.6,0.3,13.1,0.1,4.565,0,7.195,0.1,20.5,0,6.1,0,0,0,0,0,1,1,"MW",0,1
"OH",3,"D",1950,"F",0.439,0.042,1,2,3,3,4,5,10.1,0,24,0,13,0,14,0,17.25,0,29.85,0,0,0,0,0,1,1,"MW",0,1
"OH",4,"R",1964,"M",0.717,0.198,4,5,6,6,7,8,15.95,0,8.5,0,8,0,7,0,18.55,0,11.33,0.3,0,0,0,0,1,1,"MW",0,1
"OH",5,"R",1956,"M",0.51,0.28,4,5,6,6,7,8,48.85,10.45,36.75,0,69.575,2.5,72.825,0,36.25,0,41.5,0,0,0,0,0,1,1,"MW",0,1
"OH",6,"R",1954,"M",0.436,0.235,2,3,4,4,5,6,144.635,4.6,99.45,12.5,100.1,0,119.6,1.75,101.35,0,33.349,0,0,0,0,0,1,1,"MW",0,1
"OH",7,"R",1954,"M",0.484,0.284,2,3,4,4,5,6,55.15,0.5,13.5,0.5,16.5,1,23,1,12.5,0,0,0,0,0,0,0,1,1,"MW",0,1
"OH",9,"D",1946,"F",0.348,0.117,14,15,16,16,17,18,23.1,1,17.5,0,10,0.25,8.5,0.25,22.5,3,12.25,0,0,0,0,0,1,1,"MW",0,1
"OH",10,"R",1960,"M",0.269,0.245,6,7,8,8,9,10,7.5,0,24.95,0,3.5,0,4.5,0,12.011,0,12,0,0,0,0,0,1,1,"MW",0,1
"OH",11,"D",1952,"F",0.581,0.14,4,5,6,6,7,8,12.75,0,21.5,0,5,0,5,0,4,0,0,0,0,0,0,0,1,1,"MW",0,1
"OH",13,"D",1973,"M",0.402,0.208,6,7,8,8,9,10,27,0,20.5,0,16.9,0,16.9,0,11.25,0.5,29.407,4.135,0,0,0,0,1,1,"MW",0,1
"OH",14,"R",1957,"M",0.256,0.301,1,2,3,3,4,5,32.9,0.5,25.8,2.3,37.525,0,62.625,0.25,45.311,0,25.4,0,0,0,0,0,1,1,"MW",0,1
"OH",15,"R",1965,"M",0.3,0.269,2,3,4,4,5,6,46.7,0,41.6,0,85.15,0,93.65,0,63.3,0,28.4,0,0,0,0,0,1,1,"MW",1,0
"OK",2,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,"SO",0,1
"OK",3,"R",1960,"M",0.36,0.449,11,12,13,13,14,15,49.55,0,23.5,0,21,0,18.5,0,15.5,0,8.8,0,0,0,0,0,1,1,"SO",0,1
"OK",4,"R",1949,"M",0.324,0.4,6,7,8,8,9,10,58,0,68.75,0,31.2,2.793,49,3.95,86.5,3,2.5,0,0,0,0,0,1,1,"SO",0,1
"OR",1,"D",1954,"F",0.396,0.41,2,3,4,4,5,6,1.5,0,2.75,0,2.5,0,2.5,0,1,0,6.25,0,0,0,0,0,1,1,"WE",0,1
