"state","district","party","birthday","gender","nominate_dim1","nominate_dim2","seniority_113","seniority_114","seniority_1151","seniority_1152","seniority_116","seniority_117","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_51_minus","Contribution_51_plus","Contribution_52_minus","Contribution_52_plus","Contribution_6_minus","Contribution_6_plus","Contribution_7_minus","Contribution_7_plus","Dmajority_3","Dmajority_4","Dmajority_51","Dmajority_52","Dmajority_6","Dmajority_7","Geographical","all_votes_minus","all_votes_plus"
"AL",3,"R",1958,"M",0.377,0.384,6,7,8,8,9,10,17.5,0,13,0,15,0,14,0,24.3,0,16,0,0,0,0,0,1,1,"SO",0,1
"AL",4,"R",1965,"M",0.403,0.479,9,10,11,11,12,13,17.896,0,20,0,26.95,0,27.95,0,8,0,14.75,0,0,0,0,0,1,1,"SO",0,1
"AL",5,"R",1954,"M",0.652,0.417,2,3,4,4,5,6,8.5,0,5,0,6,0.5,6,0.5,2.5,0,14.95,0,0,0,0,0,1,1,"SO",0,1
"AL",7,"D",1965,"F",0.398,0.4,2,3,4,4,5,6,16,0,10.25,0,15.25,0,14.25,0,19.5,0,21.5,0,0,0,0,0,1,1,"SO",0,1
"AK",0,"R",1933,"M",0.283,0.022,14,15,16,16,17,18,8.6,0,27.8,0,32.2,0.5,31.45,0.5,28.011,1.5,11.633,0,0,0,0,0,1,1,"WE",0,1
"AZ",NA,"D",1950,"F",0.169,0.01,2,3,3,3,4,5,18.3,0,3.605,3.025,NA,NA,NA,NA,15.97,0,0,0,0,0,0,0,1,1,"WE",0,1
"AZ",NA,"D",1948,"M",0.598,0.264,6,7,8,8,9,10,NA,NA,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,"WE",0,1
"AZ",NA,"R",1958,"M",0.699,0.499,2,3,4,4,5,6,19.85,0,16,0,26,2.25,13.25,2.25,12.7,0,0,0,0,0,0,0,1,1,"WE",1,0
"AZ",NA,"R",1962,"M",0.561,0.251,2,3,4,4,5,6,8.75,0,NA,NA,12,0,8,5.4,23.988,2,5.633,0,0,0,0,0,1,1,"WE",0,1
"AR",1,"R",1966,"M",0.457,0.32,2,3,4,4,5,6,9.5,1,2.5,0,9.5,0,7.5,0,10,0,6,0,0,0,0,0,1,1,"SO",0,1
"AR",3,"R",1957,"M",0.348,0.621,2,3,4,4,5,6,7,0,11,0,19.5,0,19.5,0,7,0,8.5,0,0,0,0,0,1,1,"SO",0,1
"CA",1,"R",1960,"M",0.538,0.026,1,2,3,3,4,5,17.5,0,13.4,0.501,10.5,0.05,14,0.05,25.988,0.25,3.133,0,0,0,0,0,1,1,"WE",0,1
"CA",2,"D",1964,"M",0.428,0.527,1,2,3,3,4,5,7.4,0,13.32,0.2,7.5,1.58,9,1.58,6.5,0,3,0.25,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1945,"M",0.309,0.096,3,4,5,5,6,7,4.5,1.5,3,0,2,1,2,1,8,0,2,0,0,0,0,0,1,1,"WE",0,1
"CA",NA,"R",1956,"M",0.682,0.401,3,4,5,5,6,7,11.45,0,4.925,0,11.405,0.3,12.26,0.75,13.688,0,4.333,0,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1951,"M",0.393,0.068,8,9,10,10,11,12,27.385,1.5,10,0.5,14.5,5,30,0,26.33,0,47,0,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1944,"F",0.435,0.146,5,6,7,7,8,9,27.249,3.85,4.7,5.4,15.5,2.7,18.5,5.4,24.5,0,5,0,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1965,"M",0.241,0.013,1,2,3,3,4,5,2.75,0.25,2.55,5.4,2.65,2.47,2.2,3.23,2.25,0,1,0,0,0,0,0,1,1,"WE",0,1
"CA",9,"D",1951,"M",0.263,0.159,4,5,6,6,7,8,20.049,7.5,17.35,1.35,27.325,1.1,28.5,5.3,27.65,0,13,3.4,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1940,"F",0.49,0.197,14,15,16,16,17,18,1,0,5.8,0.2,10.72,0.125,10.665,3.89,27.36,0,28.93,3.978,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1946,"F",0.677,0.569,9,10,11,11,12,13,7.1,0,2.9,0,4.7,0.5,5.7,0.25,0.65,0,0,0,0,0,0,0,1,1,"WE",0,1
"CA",14,"D",1950,"F",0.381,0.41,4,5,6,6,7,8,0.25,0,0,0,1.5,0,1.5,0,0,0,0,0,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1980,"M",0.362,0.077,1,2,3,3,4,5,16.1,4.35,18.6,0.8,19.9,1.85,27.425,0.4,25.11,0,7.47,0,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1942,"F",0.38,0.397,11,12,13,13,14,15,3.5,0,2.15,0,2,8.4,1,8.4,9.8,0,NA,NA,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1947,"F",0.399,0.419,10,11,12,12,13,14,2,10.4,7.5,0,0,10.9,3,0.15,3,0.7,12.5,1.075,0,0,0,0,1,1,"WE",0,1
"CA",22,"R",1973,"M",0.45,0.223,6,7,8,8,9,10,43.5,1,56.5,0.25,76.6,1.05,97.275,3.95,60.257,1.5,10.287,0.5,0,0,0,0,1,1,"WE",0,1
"CA",NA,"R",1965,"M",0.453,0.233,4,5,6,6,7,8,172.66,3.5,202.75,7.9,248.45,2.8,311.85,5.55,380.725,5.6,314.797,3.05,0,0,0,0,1,1,"WE",0,1
"CA",26,"D",1952,"F",0.294,0.051,1,2,3,3,4,5,4.1,0.25,6.015,0.003,6.633,1.25,12.693,1.5,7,0,0,0,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1953,"F",0.489,0.379,3,4,5,5,6,7,5.1,1,0,0,4,0,4,0,1,0,1.5,0,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1960,"M",0.35,0.133,7,8,9,9,10,11,0,0,1,0,8.34,1.05,7.915,1.25,13.1,0.365,10.8,3,0,0,0,0,1,1,"WE",0,1
"CA",29,"D",1963,"M",0.395,0.003,1,2,3,3,4,5,4,0,13.5,0,26,0,26,0,16,0,6,0,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1954,"M",0.343,0.141,9,10,11,11,12,13,0,0,3,0,1,0,1,0,2,0,5.4,0,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1936,"F",0.449,0.245,8,9,10,10,11,12,2,1.5,5.5,0,5.5,0,6,0,9.5,0,1.5,0,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1972,"M",0.252,0.049,1,2,3,3,4,5,1.5,0,5.15,0.25,7.825,0.21,9.25,0.14,9.3,1,13.87,5.8,0,0,0,0,1,1,"WE",0,1
"CA",37,"D",1953,"F",0.584,0.098,2,3,4,4,5,6,4.75,0,6.5,0,1.9,0,3.4,0,19.25,0,0,1,0,0,0,0,1,1,"WE",0,1
"CA",38,"D",1969,"F",0.508,0.135,6,7,8,8,9,10,5.5,0.5,13.5,0,9,0,10,0,1,0,NA,NA,0,0,0,0,1,1,"WE",0,1
"CA",40,"D",1941,"F",0.469,0.171,11,12,13,13,14,15,5.3,0,2.5,0,5,0,5,0,3,0,1,0,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1960,"M",0.465,0.293,1,2,3,3,4,5,0,0,2.5,0,3,0,5,0,1,0.25,0.25,0,0,0,0,0,1,1,"WE",0,1
"CA",NA,"R",1953,"M",0.341,0.263,11,12,13,13,14,15,15.6,0,60.5,1,31.5,0,28.5,0,14.3,0,2,0,0,0,0,0,1,1,"WE",0,1
"CA",43,"D",1938,"F",0.656,0.079,12,13,14,14,15,16,10.4,0,2.5,0,1.25,0,3.25,0,0,0,0,0,0,0,0,0,1,1,"WE",0,1
"CA",47,"D",1941,"M",0.449,0.384,1,2,3,3,4,5,10.5,0,12,0,10.2,0,16.7,0,7,0,10.5,0,0,0,0,0,1,1,"WE",0,1
"CA",NA,"R",1953,"M",0.484,0.001,7,8,9,9,9,10,54.45,1.5,13.4,2.7,11.3,0,NA,NA,NA,NA,3.133,0,0,0,0,0,1,1,"WE",1,0
"CA",NA,"D",1961,"M",0.404,0.048,1,2,3,3,4,5,7.6,0,15.8,0,5,0,6,0,16.1,0,5.5,2.9,0,0,0,0,1,1,"WE",0,1
"CA",NA,"D",1958,"M",0.188,0.032,1,2,3,3,4,5,15.7,0,16.395,1.025,47.8,1.3,47.675,0.3,32.55,0,9.5,0,0,0,0,0,1,1,"WE",0,1
"CO",1,"D",1957,"F",0.431,0.303,9,10,11,11,12,13,0,0,4,1,4.5,0,2.5,0,1,0,5.5,0,0,0,0,0,1,1,"WE",0,1
"CO",5,"R",1954,"M",0.667,0.232,4,5,6,6,7,8,20.5,0,32.25,0,18.5,0,10.5,0,3.5,0,3.5,0,0,0,0,0,1,1,"WE",0,1
"CO",7,"D",1953,"M",0.282,0.072,4,5,6,6,7,8,14.7,2.5,6.45,0.5,5.5,0,4.025,0,3.5,0,2.5,0,0,0,0,0,1,1,"WE",0,1
"CT",1,"D",1948,"M",0.396,0.047,8,9,10,10,11,12,10,1,7.5,1,5.95,1.5,6.95,1.5,8.5,0,7.5,0,0,0,0,0,1,1,"NE",0,1
