"party","Vote_change_dummy","Vote51","Contribution_51_minus","Contribution_51_plus","state","Vote51_minus","Vote51_plus"
"R",0,"-",15000,0,"AL",1,0
"R",0,"-",26950,0,"AL",1,0
"R",0,"-",6000,500,"AL",1,0
"D",0,"+",15250,0,"AL",0,1
"R",0,"-",32200,500,"AK",1,0
"D",0,"+",NA,NA,"AZ",0,1
"R",0,"-",26000,2250,"AZ",1,0
"R",0,"-",12000,0,"AZ",1,0
"R",0,"-",9500,0,"AR",1,0
"R",0,"-",19500,0,"AR",1,0
"R",0,"-",10500,50,"CA",1,0
"D",0,"+",7500,1580,"CA",0,1
"D",0,"+",2000,1000,"CA",0,1
"R",0,"-",11405,300,"CA",1,0
"D",0,"+",14500,5000,"CA",0,1
"D",0,"+",15500,2700,"CA",0,1
"D",0,"+",2650,2470,"CA",0,1
"D",0,"+",27325,1100,"CA",0,1
"D",0,"+",10720,125,"CA",0,1
"D",0,"+",4700,500,"CA",0,1
"D",0,"+",1500,0,"CA",0,1
"D",0,"+",19900,1850,"CA",0,1
"D",0,"+",2000,8400,"CA",0,1
"D",0,"+",0,10900,"CA",0,1
"R",0,"-",76600,1050,"CA",1,0
"R",0,"-",248450,2800,"CA",1,0
"D",0,"+",6633,1250,"CA",0,1
"D",0,"+",4000,0,"CA",0,1
"D",0,"+",8340,1050,"CA",0,1
"D",0,"+",26000,0,"CA",0,1
"D",0,"+",1000,0,"CA",0,1
"D",0,"+",5500,0,"CA",0,1
"D",0,"+",7825,210,"CA",0,1
"D",0,"+",1900,0,"CA",0,1
"D",0,"+",9000,0,"CA",0,1
"D",0,"+",5000,0,"CA",0,1
"D",0,"+",3000,0,"CA",0,1
"R",0,"-",31500,0,"CA",1,0
"D",0,"+",1250,0,"CA",0,1
"D",0,"+",10200,0,"CA",0,1
"R",0,"-",11300,0,"CA",1,0
"D",0,"+",5000,0,"CA",0,1
"D",0,"+",47800,1300,"CA",0,1
"D",0,"+",4500,0,"CO",0,1
"R",0,"-",18500,0,"CO",1,0
"D",0,"+",5500,0,"CO",0,1
"D",0,"+",5950,1500,"CT",0,1
"D",0,"+",5000,0,"CT",0,1
"D",0,"+",2000,0,"CT",0,1
"R",0,"-",3300,0,"FL",1,0
"R",0,"-",46400,8900,"FL",1,0
"R",0,"-",15750,0,"FL",1,0
"D",0,"+",1000,0,"FL",0,1
"D",0,"+",5800,2000,"FL",0,1
"D",0,"+",1500,0,"FL",0,1
"D",0,"+",21650,1500,"FL",0,1
"D",0,"+",1500,0,"FL",0,1
"D",1,"+",13500,0,"GA",0,1
"D",0,"+",2500,0,"GA",0,1
"R",0,"-",7500,0,"GA",1,0
"D",0,"+",1000,0,"GA",0,1
