"party","Vote_change_dummy","Vote51","Contribution_51_minus","Contribution_51_plus","state","Vote51_minus","Vote51_plus"
"R",0,"-",45200,0,"ID",1,0
"D",0,"+",8000,0,"IL",0,1
"D",0,"+",2000,0,"IL",0,1
"D",0,"+",1000,0,"IL",0,1
"D",0,"+",7000,0,"IL",0,1
"D",0,"+",150,2375,"IL",0,1
"D",0,"+",3000,0,"IL",0,1
"D",0,"+",12950,2800,"IL",0,1
"R",0,"-",38950,9000,"IL",1,0
"R",0,"-",44450,1000,"IL",1,0
"D",0,"+",16765,2400,"IL",0,1
"R",0,"-",35000,1000,"IN",1,0
"D",0,"+",0,600,"IN",0,1
"R",0,"-",25500,1000,"IN",1,0
"R",0,"-",24300,0,"KY",1,0
"D",0,"+",1500,1000,"KY",0,1
"R",0,"-",2000,0,"KY",1,0
"R",0,"-",17500,0,"KY",1,0
"R",0,"-",100221,7587,"KY",1,0
"D",0,"+",31500,0,"LA",0,1
"D",0,"+",1075,1,"ME",0,1
"R",0,"-",10350,0,"MD",1,0
"D",0,"+",4750,0,"MD",0,1
"D",0,"+",500,0,"MD",0,1
"D",0,"+",86500,250,"MD",0,1
"D",0,"+",7500,250,"MA",0,1
"D",0,"+",1000,107,"MA",0,1
"D",0,"+",2750,0,"MA",0,1
"D",0,"+",9500,0,"MA",0,1
"R",0,"-",26000,0,"MI",1,0
"D",0,"+",5500,0,"MI",0,1
"R",1,"-",28200,0,"MI",1,0
"R",0,"-",63450,0,"MI",1,0
"D",0,"+",1500,250,"MN",0,1
"D",0,"+",19000,0,"MS",0,1
"R",0,"-",23000,0,"MS",1,0
"R",0,"-",27000,400,"MO",1,0
"R",0,"-",8250,500,"MO",1,0
"R",0,"-",10000,2500,"MO",1,0
"D",0,"+",1500,3700,"MO",0,1
"R",0,"-",25500,0,"MO",1,0
"R",0,"-",26500,2000,"MO",1,0
"R",0,"-",6700,1000,"NE",1,0
"R",0,"-",12450,7000,"NE",1,0
"D",0,"+",3500,0,"NV",0,1
"R",0,"-",31500,0,"NV",1,0
"D",0,"+",5200,3700,"NH",0,1
"R",1,"+",8099,0,"NJ",0,1
"D",0,"+",24750,20250,"NJ",0,1
"D",0,"+",1000,0,"NJ",0,1
"D",0,"+",2000,0,"NJ",0,1
"D",0,"+",8000,0,"NJ",0,1
"D",0,"+",4500,3500,"NY",0,1
"D",0,"+",750,600,"NY",0,1
"D",0,"+",1000,0,"NY",0,1
"D",0,"+",4500,0,"NY",0,1
"D",0,"+",17000,0,"NY",0,1
"D",0,"+",1000,0,"NY",0,1
"D",0,"+",3600,0,"NY",0,1
"D",0,"+",15925,2400,"NY",0,1
"R",1,"-",40925,500,"NY",1,0
"D",0,"+",6500,0,"NY",0,1
"D",0,"+",7000,0,"NC",0,1
"D",0,"+",3500,250,"NC",0,1
"R",0,"-",26000,500,"NC",1,0
"R",0,"-",45500,250,"NC",1,0
"R",0,"-",40000,4200,"NC",1,0
"R",0,"-",12100,100,"OH",1,0
"R",0,"-",4565,0,"OH",1,0
"D",0,"+",13000,0,"OH",0,1
"R",0,"-",8000,0,"OH",1,0
"R",0,"-",69575,2500,"OH",1,0
"R",0,"-",100100,0,"OH",1,0
"R",0,"-",16500,1000,"OH",1,0
"D",0,"+",10000,250,"OH",0,1
"R",0,"-",3500,0,"OH",1,0
"D",0,"+",5000,0,"OH",0,1
"D",0,"+",16900,0,"OH",0,1
"R",0,"-",37525,0,"OH",1,0
"R",0,"-",85150,0,"OH",1,0
"R",0,"-",NA,NA,"OK",1,0
"R",0,"-",21000,0,"OK",1,0
"R",0,"-",31200,2793,"OK",1,0
"D",0,"+",2500,0,"OR",0,1
"D",0,"+",14750,9125,"OR",0,1
"D",0,"+",4050,0,"OR",0,1
"D",0,"+",29000,0,"OR",0,1
"R",0,"-",32800,2700,"PA",1,0
"R",0,"-",23200,0,"PA",1,0
"R",0,"-",33100,0,"PA",1,0
"D",0,"+",6000,2700,"PA",0,1
"D",0,"+",5000,0,"PA",0,1
"D",0,"+",460,0,"RI",0,1
"D",0,"+",1300,0,"RI",0,1
"R",0,"-",25400,2700,"SC",1,0
"R",0,"-",31000,1000,"SC",1,0
"R",0,"-",33200,0,"SC",1,0
"R",0,"-",10000,0,"TN",1,0
"R",0,"-",0,0,"TN",1,0
"D",0,"+",5500,0,"TN",0,1
"D",0,"+",0,0,"TN",0,1
"R",0,"-",10250,0,"TX",1,0
"R",0,"-",136850,6000,"TX",1,0
"D",0,"+",0,0,"TX",0,1
"R",0,"-",38550,250,"TX",1,0
"R",0,"-",39100,0,"TX",1,0
"R",0,"-",52500,500,"TX",1,0
"D",0,"+",4300,0,"TX",0,1
"D",0,"+",4200,0,"TX",0,1
"R",0,"-",18350,0,"TX",1,0
"R",0,"-",13000,0,"TX",1,0
"D",1,"-",53950,250,"TX",1,0
"D",0,"+",0,0,"TX",0,1
"R",0,"-",14000,0,"TX",1,0
"R",0,"-",50400,9600,"TX",1,0
"D",1,"+",14500,0,"TX",0,1
"D",1,"+",20000,0,"TX",0,1
"D",0,"+",2700,0,"TX",0,1
"R",0,"-",16150,0,"UT",1,0
"D",0,"+",NA,NA,"VT",0,1
"R",0,"-",19000,0,"VA",1,0
"D",0,"+",3000,0,"VA",0,1
"R",0,"-",41000,0,"VA",1,0
"D",0,"+",6500,0,"VA",0,1
"D",0,"+",3185,0,"WA",0,1
"D",0,"+",5000,0,"WA",0,1
"R",0,"-",9500,0,"WA",1,0
"R",0,"-",95814,5000,"WA",1,0
"D",0,"+",9750,0,"WA",0,1
"D",0,"+",3500,0,"WA",0,1
"R",0,"-",59175,3700,"WV",1,0
"D",0,"+",10000,0,"WI",0,1
"D",0,"+",16500,500,"WI",0,1
"D",0,"+",2000,0,"WI",0,1
"R",0,"-",8750,1000,"AL",1,0
"D",0,"+",5050,0,"AZ",0,1
"R",0,"-",22400,0,"AR",1,0
"R",0,"-",40900,1000,"AR",1,0
"D",0,"+",2000,1700,"CA",0,1
"D",0,"+",13440,750,"CA",0,1
"D",0,"+",3650,0,"CA",0,1
"D",0,"+",2750,0,"CA",0,1
"R",0,"-",20950,6400,"CO",1,0
"R",0,"-",30000,0,"GA",1,0
"R",0,"-",6000,1500,"GA",1,0
"R",0,"-",6000,0,"GA",1,0
"R",0,"-",55080,11700,"IL",1,0
"R",0,"-",36150,13700,"IL",1,0
"R",0,"-",57450,6400,"LA",1,0
"D",0,"+",5000,0,"MA",0,1
"D",0,"+",0,0,"MA",0,1
"R",0,"-",20900,0,"MI",1,0
"D",0,"+",12500,250,"MI",0,1
"D",0,"+",6500,0,"MI",0,1
"R",0,"-",13700,11803,"MN",1,0
"R",0,"-",8100,0,"MS",1,0
"D",0,"+",10999,250,"NJ",0,1
"R",0,"-",18080,0,"NY",1,0
"D",0,"+",6100,500,"NY",0,1
"R",1,"+",34750,8193,"NY",0,1
"R",0,"+",30543,250,"NY",0,1
"R",0,"-",24500,1000,"NC",1,0
"D",0,"+",6500,0,"NC",0,1
"R",0,"-",2500,0,"OH",1,0
"D",0,"+",5000,0,"PA",0,1
"R",0,"-",26100,0,"TX",1,0
"D",0,"+",12200,1000,"VA",0,1
"R",0,"-",21700,2140,"WA",1,0
"R",0,"-",26800,2000,"WV",1,0
"R",0,"-",22400,750,"WI",1,0
"D",0,"+",16060,400,"AZ",0,1
"R",0,"-",17900,0,"AZ",1,0
"D",0,"+",0,27,"CA",0,1
"D",0,"+",15000,0,"CA",0,1
"D",0,"+",7975,118,"CA",0,1
"D",0,"+",2500,0,"CA",0,1
"D",0,"+",4500,115,"CA",0,1
"D",0,"+",14000,0,"CA",0,1
"D",0,"+",5500,0,"DE",0,1
"R",1,"-",5400,0,"FL",1,0
"R",0,"-",6500,0,"FL",1,0
"R",0,"-",3700,0,"FL",1,0
"D",0,"+",7400,1200,"FL",0,1
"D",0,"+",6000,0,"FL",0,1
"D",0,"+",4000,0,"FL",0,1
"D",0,"+",1500,250,"FL",0,1
"R",0,"+",47987,6387,"FL",0,1
"R",0,"-",14350,0,"GA",1,0
"D",0,"+",22200,9950,"IL",0,1
"R",0,"-",16000,0,"IN",1,0
"R",0,"-",18500,8500,"IN",1,0
"R",0,"-",35200,5400,"KS",1,0
"R",0,"-",8500,2500,"KY",1,0
"R",0,"-",21450,250,"LA",1,0
"R",0,"-",35200,0,"LA",1,0
"D",0,"+",1000,5000,"MD",0,1
"D",0,"+",0,0,"MD",0,1
"R",0,"-",29750,0,"MI",1,0
"R",0,"-",42527,10287,"NE",1,0
"D",0,"+",31500,6500,"NJ",0,1
"D",0,"+",1000,0,"NY",0,1
"D",0,"+",2500,0,"NY",0,1
"R",0,"-",27868,5400,"NY",1,0
"R",0,"-",NA,NA,"NC",1,0
"D",0,"+",2175,0,"PA",0,1
"R",0,"+",39553,5287,"PA",0,1
"R",0,"-",41608,5287,"PA",1,0
"R",0,"-",13100,0,"SC",1,0
"R",0,"-",7700,0,"TN",1,0
"D",1,"-",26000,0,"TX",1,0
"R",0,"-",28000,5000,"TX",1,0
"D",0,"+",1350,690,"WA",0,1
"R",0,"-",31100,800,"WI",1,0
"R",0,"-",19000,0,"WY",1,0
"R",0,"-",30600,0,"AL",1,0
"R",0,"-",NA,NA,"AZ",1,0
"R",0,"-",17500,2700,"CA",1,0
"R",0,"-",125226,10687,"CA",1,0
"R",0,"-",NA,NA,"CA",1,0
"R",0,"-",1500,0,"CA",1,0
"R",0,"-",16000,500,"CA",1,0
"R",0,"-",1000,0,"CA",1,0
"D",0,"+",2000,0,"CA",0,1
"D",0,"+",0,0,"CO",0,1
"R",0,"-",29200,2800,"CO",1,0
"R",1,"-",58300,2000,"CO",1,0
"D",0,"+",3725,0,"CT",0,1
"R",0,"-",3000,0,"FL",1,0
"R",0,"-",2700,0,"FL",1,0
"R",0,"-",NA,NA,"FL",1,0
"D",0,"+",5604,200,"GA",0,1
"R",0,"-",14500,0,"GA",1,0
"R",0,"-",9000,0,"GA",1,0
"R",0,"-",22700,0,"GA",1,0
"D",0,"+",0,0,"HI",0,1
"D",0,"+",5051,650,"HI",0,1
"R",0,"-",0,0,"ID",1,0
"D",0,"+",19900,1000,"IL",0,1
"D",0,"+",0,0,"IL",0,1
"R",1,"-",38250,3225,"IL",1,0
"R",0,"-",24500,0,"IL",1,0
"R",0,"-",88500,9750,"IL",1,0
"D",0,"+",13500,2000,"IN",0,1
"R",0,"-",35700,5200,"IN",1,0
"R",0,"-",23050,8250,"IN",1,0
"R",0,"-",18900,500,"IN",1,0
"D",0,"+",7500,5000,"IA",0,1
"R",0,"-",1600,18593,"IA",1,0
"R",0,"-",0,0,"KS",1,0
"R",0,"-",54800,10000,"KS",1,0
"D",0,"+",2700,1000,"MD",0,1
"D",0,"+",10000,0,"MD",0,1
"D",0,"+",0,0,"MA",0,1
"D",0,"+",11050,5650,"MA",0,1
"D",0,"+",21400,5650,"MA",0,1
"R",0,"-",NA,NA,"MI",1,0
"D",0,"+",0,0,"MI",0,1
"D",0,"+",0,0,"MI",0,1
"D",0,"+",0,0,"MN",0,1
"R",0,"-",36300,8100,"MN",1,0
"D",0,"+",890,640,"MN",0,1
"D",0,"-",18500,7500,"MN",1,0
"D",0,"+",1000,0,"MN",0,1
"R",0,"-",2500,0,"MS",1,0
"D",0,"+",NA,NA,"MO",0,1
"D",0,"+",0,0,"NH",0,1
"R",0,"-",NA,NA,"NJ",1,0
"R",1,"-",28250,0,"NJ",1,0
"R",0,"-",20356,0,"NJ",1,0
"D",0,"+",0,0,"NM",0,1
"R",0,"-",2500,0,"NM",1,0
"D",0,"+",NA,NA,"NM",0,1
"R",0,"-",11400,0,"NY",1,0
"D",0,"+",33500,500,"NY",0,1
"D",0,"+",0,0,"NY",0,1
"D",0,"+",17200,2000,"NY",0,1
"D",0,"+",6200,0,"NY",0,1
"D",0,"+",NA,NA,"NY",0,1
"D",0,"+",2500,0,"NY",0,1
"R",0,"-",18400,855,"NY",1,0
"R",0,"-",18700,0,"NC",1,0
"R",0,"-",16000,0,"NC",1,0
"R",0,"-",NA,NA,"NC",1,0
"R",0,"-",NA,NA,"ND",1,0
"R",0,"-",170825,2500,"OH",1,0
"R",0,"-",133350,2000,"OR",1,0
"D",0,"+",0,0,"PA",0,1
"R",1,"+",7000,0,"PA",0,1
"R",0,"-",3000,0,"PA",1,0
"R",0,"-",NA,NA,"PA",1,0
"R",0,"-",86525,900,"PA",1,0
"R",0,"-",77200,1250,"PA",1,0
"R",0,"-",0,0,"PA",1,0
"R",0,"-",0,0,"PA",1,0
"R",1,"+",5000,4200,"SC",0,1
"R",0,"-",3750,0,"SC",1,0
"R",0,"-",3500,0,"SD",1,0
"R",0,"-",3700,0,"TN",1,0
"R",0,"-",0,0,"TN",1,0
"R",0,"-",NA,NA,"TN",1,0
"R",0,"-",NA,NA,"TN",1,0
"R",0,"-",0,0,"TX",1,0
"R",0,"-",0,0,"TX",1,0
"R",0,"-",NA,NA,"TX",1,0
"R",0,"-",117127,4700,"TX",1,0
"R",0,"-",NA,NA,"TX",1,0
"R",0,"-",22475,300,"TX",1,0
"D",0,"+",142414,27909,"TX",0,1
"R",0,"-",64800,0,"TX",1,0
"R",0,"-",NA,NA,"TX",1,0
"R",0,"-",69478,0,"TX",1,0
"R",0,"-",28000,0,"TX",1,0
"R",0,"-",0,0,"TX",1,0
"D",1,"+",0,0,"TX",0,1
"R",0,"-",24100,0,"UT",1,0
"R",0,"-",0,0,"VA",1,0
"R",1,"+",0,0,"WA",0,1
"D",0,"+",6500,250,"WA",0,1
"R",0,"-",NA,NA,"WI",1,0
"R",0,"-",22700,0,"WI",1,0
"R",0,"-",10000,0,"AL",1,0
"R",0,"-",NA,NA,"AZ",1,0
"R",1,"+",44946,5287,"CA",0,1
"R",0,"-",46500,0,"CA",1,0
"R",0,"-",39523,8037,"IA",1,0
"R",0,"-",38467,20787,"IA",1,0
"R",0,"-",10700,0,"LA",1,0
"R",0,"-",24500,3043,"ME",1,0
"R",0,"-",58709,5537,"MI",1,0
"R",0,"-",0,0,"MI",1,0
"R",0,"-",16928,0,"NJ",1,0
"R",0,"-",39700,2000,"NY",1,0
"R",0,"-",NA,NA,"NC",1,0
"R",0,"-",41650,0,"OK",1,0
"R",1,"+",14000,1000,"PA",0,1
"R",0,"-",10500,0,"TX",1,0
"R",0,"-",151550,4950,"TX",1,0
"R",0,"-",29311,1095,"UT",1,0
"R",0,"-",12500,2000,"VA",1,0
"R",0,"-",46050,0,"VA",1,0
"R",0,"-",61150,2000,"WV",1,0
"R",0,"-",40325,0,"GA",1,0
"R",0,"-",NA,NA,"KS",1,0
"R",0,"-",15500,0,"MI",1,0
"R",0,"-",38230,5287,"MN",1,0
"R",0,"-",77918,5900,"MT",1,0
"D",0,"+",NA,NA,"NV",0,1
"D",0,"+",0,0,"NV",0,1
"R",0,"+",44117,7287,"NY",0,1
"R",0,"-",62359,5287,"VA",1,0
