"party","Vote_change_dummy","Vote51","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_51_minus","Contribution_51_plus","Contribution_6_minus","Contribution_6_plus","Contribution_7_minus","Contribution_7_plus","state","BioID","seniority_1151","birthday","Geographical","nominate_dim1","nominate_dim2","Vote51_minus","Vote51_plus","Vote51_NA"
"R",0,0,4000,250,9000,0,NA,NA,NA,NA,NA,NA,"NJ","L000554",12,1946,"NE",0.211,-0.224,1,0,0
"R",0,NA,19000,10400,12100,0,NA,NA,NA,NA,NA,NA,"NJ","G000548",7,1959,"NE",0.688,-0.243,NA,NA,1
"R",1,0,6000,0,17575,0,28250,0,NA,NA,NA,NA,"NJ","L000567",5,1952,"NE",0.329,-0.237,1,0,0
"R",0,0,32480,500,20677,100,20356,0,NA,NA,NA,NA,"NJ","F000372",12,1946,"NE",0.292,-0.262,1,0,0
"D",0,1,9200,0,9500,3000,0,0,NA,NA,NA,NA,"NM","L000580",3,1959,"WE",-0.313,0.047,0,1,0
"R",0,0,92500,0,97406,0,2500,0,NA,NA,NA,NA,"NM","P000588",7,1947,"WE",0.472,0.064,1,0,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NM",NA,NA,NA,"WE",NA,NA,0,1,0
"R",0,0,2000,2000,6000,0,11400,0,10511,0,NA,NA,"NY","K000210",13,1944,"NE",0.259,-0.03,1,0,0
"D",0,NA,8500,8950,2000,0,NA,NA,NA,NA,NA,NA,"NY","I000057",8,1958,"NE",-0.334,-0.051,NA,NA,1
"D",0,NA,3000,0,0,0,NA,NA,NA,NA,NA,NA,"NY","R000053",15,1930,"NE",-0.514,-0.341,NA,NA,1
"D",0,1,23000,9050,33000,35,33500,500,NA,NA,NA,NA,"NY","C001038",10,1962,"NE",-0.412,-0.07,0,1,0
"D",0,1,0,0,0,0,0,0,1000,0,NA,NA,"NY","S000248",15,1943,"NE",-0.491,-0.377,0,1,0
"D",0,1,2000,0,15000,1000,17200,2000,7000,0,NA,NA,"NY","E000179",15,1947,"NE",-0.408,-0.093,0,1,0
"D",0,1,500,0,0,0,6200,0,6700,0,NA,NA,"NY","L000480",15,1937,"NE",-0.389,-0.152,0,1,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY",NA,NA,NA,"NE",NA,NA,0,1,0
"R",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY",NA,NA,NA,"NE",NA,NA,NA,NA,1
"R",1,NA,3250,0,0,0,NA,NA,NA,NA,NA,NA,"NY","H001051",3,1951,"NE",0.215,-0.145,NA,NA,1
"D",0,1,4500,2500,2000,0,2500,0,NA,NA,NA,NA,"NY","S000480",16,1929,"NE",-0.465,-0.104,0,1,0
"R",0,0,2000,0,33550,1000,18400,855,0,0,NA,NA,"NY","C001092",3,1950,"NE",0.357,0.236,1,0,0
"R",0,NA,11000,0,30500,2000,NA,NA,NA,NA,NA,NA,"NC","E000291",3,1964,"SO",0.406,0.338,NA,NA,1
"R",0,0,27000,1000,12800,0,18700,0,NA,NA,NA,NA,"NC","P000606",3,1948,"SO",0.561,0.333,1,0,0
"R",0,0,2500,0,6500,0,16000,0,3850,0,NA,NA,"NC","M001187",3,1959,"SO",0.605,-0.201,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NC",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND",NA,NA,NA,"MW",NA,NA,1,0,0
"R",0,NA,53150,0,45800,0,3500,0,NA,NA,NA,NA,"OH","T000462",9,1962,"MW",0.386,-0.026,NA,NA,1
"R",0,0,29750,300,39480,1000,170825,2500,NA,NA,NA,NA,"OH","R000586",4,1958,"MW",0.387,0.143,1,0,0
"R",0,NA,10750,0,18000,0,0,0,NA,NA,NA,NA,"OK","B001283",3,1975,"SO",0.689,-0.157,NA,NA,1
"R",0,0,43250,2000,85850,0,133350,2000,105000,0,NA,NA,"OR","W000791",10,1957,"WE",0.333,-0.011,1,0,0
"D",0,1,0,0,20275,0,0,0,NA,NA,NA,NA,"PA","B001227",11,1945,"NE",-0.484,0.225,0,1,0
"R",1,1,19000,5400,26700,6500,7000,0,NA,NA,NA,NA,"PA","M001181",4,1955,"NE",0.22,0.076,0,1,0
"R",0,NA,25900,3000,0,0,NA,NA,NA,NA,NA,NA,"PA","F000451",4,1963,"NE",0.202,-0.186,NA,NA,1
"R",0,0,106850,1000,127362,0,3000,0,NA,NA,NA,NA,"PA","S001154",9,1961,"NE",0.374,0.323,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PA",NA,NA,NA,"NE",NA,NA,1,0,0
"R",0,0,13050,0,27000,0,86525,900,NA,NA,NA,NA,"PA","B001269",4,1956,"NE",0.278,0.393,1,0,0
"R",0,0,81850,0,45450,0,77200,1250,NA,NA,NA,NA,"PA","R000598",3,1962,"NE",0.498,0.044,1,0,0
