"party","Vote_change_dummy","Vote3","Contribution_3_minus","Contribution_3_plus","state","BioID","seniority_113","birthday","Geographical","nominate_dim1","nominate_dim2","Vote3_minus","Vote3_plus","Vote3_NA"
"R",0,0,69850,5000,"IL","K000378",2,1978,"MW",0.234,0.382,1,0,0
"D",0,1,9750,1000,"IL","B001286",1,1961,"MW",-0.239,0.054,0,1,0
"R",0,0,19100,4600,"IN","W000813",1,1963,"MW",0.436,0.315,1,0,0
"D",0,1,3250,0,"IN","C001072",4,1974,"MW",-0.43,0.04,0,1,0
"R",0,0,28350,0,"IN","B001275",2,1962,"MW",0.383,0.373,1,0,0
"R",0,0,32500,0,"KY","G000558",3,1964,"SO",0.426,0.275,1,0,0
"D",0,1,4000,0,"KY","Y000062",4,1947,"SO",-0.378,-0.275,0,1,0
"R",0,0,8600,0,"KY","M001184",2,1971,"SO",0.678,-0.735,1,0,0
"R",0,0,44800,0,"KY","R000395",14,1937,"SO",0.334,0.142,1,0,0
"R",0,0,107750,0,"KY","B001282",1,1973,"SO",0.484,0.294,1,0,0
"R",0,0,91500,0,"LA","S001176",4,1965,"SO",0.559,0.15,1,0,0
"D",0,1,19100,0,"LA","R000588",2,1973,"SO",-0.486,0.332,0,1,0
"D",0,1,250,0,"ME","P000597",3,1955,"NE",-0.421,-0.36,0,1,0
"R",0,0,34200,0,"MD","H001052",2,1957,"SO",0.671,-0.374,1,0,0
"D",0,1,13750,0,"MD","R000576",6,1946,"SO",-0.297,0.127,0,1,0
"D",0,1,0,0,"MD","S001168",4,1962,"SO",-0.465,-0.071,0,1,0
"D",0,1,75000,0,"MD","H000874",14,1939,"SO",-0.381,0.121,0,1,0
"D",0,1,9000,1000,"MA","N000015",13,1949,"NE",-0.417,-0.105,0,1,0
