"party","Vote_change_dummy","Vote3","Contribution_3_minus","Contribution_3_plus","state","BioID","seniority_113","birthday","Geographical","nominate_dim1","nominate_dim2","Vote3_minus","Vote3_plus","Vote3_NA"
"D",0,1,5000,0,"IL","L000563",5,1966,"MW",-0.227,0.176,0,1,0
"D",0,1,0,0,"IL","G000535",11,1953,"MW",-0.487,-0.26,0,1,0
"R",1,0,43300,0,"IL","R000580",4,1961,"MW",0.429,0.018,1,0,0
"D",0,1,NA,NA,"IL",NA,NA,NA,"MW",NA,NA,0,1,0
"R",0,0,16000,250,"IL","H001059",2,1966,"MW",0.49,-0.034,1,0,0
"R",0,0,106500,6000,"IL","S000364",9,1958,"MW",0.375,0.154,1,0,0
"D",0,1,8500,500,"IN","V000108",14,1949,"MW",-0.402,0.244,0,1,0
"R",0,0,12850,17600,"IN","S001188",3,1976,"MW",0.742,-0.119,1,0,0
"R",0,0,15100,500,"IN","R000592",2,1970,"MW",0.602,-0.16,1,0,0
"R",0,0,4000,0,"IN","B001284",1,1960,"MW",0.352,0.217,1,0,0
"R",0,0,11100,0,"IN","M001189",1,1969,"MW",0.563,-0.086,1,0,0
"R",0,0,NA,NA,"IN",NA,NA,NA,"MW",NA,NA,1,0,0
"D",0,1,4750,0,"IA","L000565",4,1952,"MW",-0.276,-0.027,0,1,0
"R",0,0,2000,0,"IA","K000362",6,1949,"MW",0.613,0.171,1,0,0
"R",0,0,22550,500,"KS","H001057",2,1968,"MW",0.744,-0.466,1,0,0
"R",0,0,102500,0,"KS","J000290",3,1963,"MW",0.523,0.004,1,0,0
"R",0,0,32000,11900,"KS","Y000063",2,1976,"MW",0.558,0.03,1,0,0
"R",0,0,212050,12400,"KS","P000602",2,1963,"MW",0.66,0.164,1,0,0
"R",0,0,151000,6000,"KY","W000413",10,1943,"SO",0.303,0.182,1,0,0
"R",0,0,65700,0,"LA","B001255",5,1956,"SO",0.392,0.308,1,0,0
"R",0,0,62750,0,"LA","F000456",3,1951,"SO",0.59,0.022,1,0,0
"D",0,1,1000,0,"MD","E000290",4,1958,"SO",-0.562,-0.294,0,1,0
"D",0,1,7500,0,"MD","D000620",1,1963,"SO",-0.276,0.041,0,1,0
"D",0,1,38800,0,"MD","C000984",10,1951,"SO",-0.438,-0.148,0,1,0
"D",0,1,NA,NA,"MD",NA,NA,NA,"SO",NA,NA,0,1,0
"D",0,1,0,0,"MA","T000465",4,1946,"NE",-0.396,-0.199,0,1,0
"D",0,1,5450,0,"MA","K000379",1,1980,"NE",-0.421,-0.206,0,1,0
"D",0,1,0,0,"MA","C001037",8,1952,"NE",-0.58,-0.082,0,1,0
"R",0,0,64700,0,"MI","B001271",2,1952,"MW",0.491,-0.15,1,0,0
"R",0,0,2500,0,"MI","A000367",2,1980,"MW",0.654,-0.757,1,0,0
"D",0,1,8500,1000,"MI","L000263",14,1931,"MW",-0.379,-0.091,0,1,0
"R",0,0,16000,0,"MI","M001150",6,1954,"MW",0.343,-0.001,1,0,0
"D",0,1,6500,0,"MI","C000714",14,1929,"MW",-0.658,-0.512,0,1,0
"D",0,1,9500,2000,"MN","W000799",4,1964,"MW",-0.275,0.131,0,1,0
"R",0,0,10000,0,"MN","K000363",6,1947,"MW",0.49,0.154,1,0,0
"R",0,0,22800,0,"MN","P000594",3,1965,"MW",0.402,-0.191,1,0,0
"D",0,1,2050,250,"MN","E000288",4,1963,"MW",-0.537,-0.58,0,1,0
"D",0,0,7000,0,"MN","P000258",12,1944,"MW",-0.148,0.712,1,0,0
"D",0,1,9750,0,"MN","N000127",1,1943,"MW",-0.372,-0.372,0,1,0
"R",0,0,84300,0,"MS","H001045",3,1956,"SO",0.384,0.48,1,0,0
"D",0,1,NA,NA,"MO",NA,NA,NA,"MW",NA,NA,0,1,0
"R",0,0,12500,0,"NV","H001055",2,1961,"WE",0.324,0.014,1,0,0
"D",0,1,500,0,"NH","S001170",3,1952,"NE",-0.315,-0.131,0,1,0
"R",0,0,4000,250,"NJ","L000554",10,1946,"NE",0.211,-0.224,1,0,0
"R",0,0,19000,10400,"NJ","G000548",6,1959,"NE",0.688,-0.243,1,0,0
"R",1,0,6000,0,"NJ","L000567",3,1952,"NE",0.329,-0.237,1,0,0
"R",0,0,32480,500,"NJ","F000372",10,1946,"NE",0.292,-0.262,1,0,0
"D",0,1,9200,0,"NM","L000580",1,1959,"WE",-0.313,0.047,0,1,0
"R",0,0,92500,0,"NM","P000588",5,1947,"WE",0.472,0.064,1,0,0
"D",0,1,NA,NA,"NM",NA,NA,NA,"WE",NA,NA,0,1,0
"R",0,0,2000,2000,"NY","K000210",11,1944,"NE",0.259,-0.03,1,0,0
"D",0,1,8500,8950,"NY","I000057",7,1958,"NE",-0.334,-0.051,0,1,0
"D",0,1,3000,0,"NY","R000053",14,1930,"NE",-0.514,-0.341,0,1,0
"D",0,1,23000,9050,"NY","C001038",8,1962,"NE",-0.412,-0.07,0,1,0
"D",0,1,0,0,"NY","S000248",13,1943,"NE",-0.491,-0.377,0,1,0
"D",0,1,2000,0,"NY","E000179",13,1947,"NE",-0.408,-0.093,0,1,0
"D",0,1,500,0,"NY","L000480",13,1937,"NE",-0.389,-0.152,0,1,0
"D",0,1,NA,NA,"NY",NA,NA,NA,"NE",NA,NA,0,1,0
"R",0,1,NA,NA,"NY",NA,NA,NA,"NE",NA,NA,0,1,0
"R",1,0,3250,0,"NY","H001051",2,1951,"NE",0.215,-0.145,1,0,0
"D",0,1,4500,2500,"NY","S000480",14,1929,"NE",-0.465,-0.104,0,1,0
"R",0,0,2000,0,"NY","C001092",1,1950,"NE",0.357,0.236,1,0,0
"R",0,0,11000,0,"NC","E000291",2,1964,"SO",0.406,0.338,1,0,0
"R",0,0,27000,1000,"NC","P000606",1,1948,"SO",0.561,0.333,1,0,0
"R",0,0,2500,0,"NC","M001187",1,1959,"SO",0.605,-0.201,1,0,0
"R",0,0,NA,NA,"NC",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,0,NA,NA,"ND",NA,NA,NA,"MW",NA,NA,1,0,0
"R",0,0,53150,0,"OH","T000462",7,1962,"MW",0.386,-0.026,1,0,0
"R",0,0,29750,300,"OH","R000586",2,1958,"MW",0.387,0.143,1,0,0
"R",0,0,10750,0,"OK","B001283",1,1975,"SO",0.689,-0.157,1,0,0
"R",0,0,43250,2000,"OR","W000791",8,1957,"WE",0.333,-0.011,1,0,0
"D",0,1,0,0,"PA","B001227",9,1945,"NE",-0.484,0.225,0,1,0
"R",1,0,19000,5400,"PA","M001181",2,1955,"NE",0.22,0.076,1,0,0
"R",0,0,25900,3000,"PA","F000451",3,1963,"NE",0.202,-0.186,1,0,0
"R",0,NA,106850,1000,"PA","S001154",7,1961,"NE",0.374,0.323,NA,NA,1
"R",0,0,NA,NA,"PA",NA,NA,NA,"NE",NA,NA,1,0,0
"R",0,0,13050,0,"PA","B001269",2,1956,"NE",0.278,0.393,1,0,0
"R",0,0,81850,0,"PA","R000598",1,1962,"NE",0.498,0.044,1,0,0
"R",0,0,56919,0,"PA","D000604",5,1960,"NE",0.244,-0.085,1,0,0
"R",0,0,34000,0,"PA","P000373",9,1939,"NE",0.538,0.012,1,0,0
"R",0,0,74250,0,"PA","M001151",6,1952,"NE",0.258,0.198,1,0,0
"R",1,0,12600,0,"SC","S000051",4,1960,"SO",0.686,-0.728,1,0,0
"R",0,0,9500,0,"SC","G000566",2,1964,"SO",0.655,-0.002,1,0,0
"R",0,0,15500,0,"SC","M001182",2,1967,"SO",0.75,-0.592,1,0,0
"R",0,NA,48650,6700,"SD","N000184",2,1971,"MW",0.398,0.326,NA,NA,1
"R",0,0,4500,0,"TN","R000582",3,1945,"SO",0.486,0.024,1,0,0
"R",0,0,6500,0,"TN","D000533",14,1947,"SO",0.604,-0.476,1,0,0
"R",0,0,27625,0,"TN","B001273",2,1951,"SO",0.58,0.219,1,0,0
"R",0,0,NA,NA,"TN",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,0,13000,0,"TN","F000458",2,1973,"SO",0.526,0.181,1,0,0
"R",0,0,44250,0,"TX","P000592",5,1948,"SO",0.594,-0.029,1,0,0
"R",0,0,18000,0,"TX","J000174",12,1930,"SO",0.61,0.277,1,0,0
"R",0,0,22100,0,"TX","H001036",6,1957,"SO",0.703,0.04,1,0,0
"R",0,0,84500,0,"TX","B000213",14,1949,"SO",0.528,0.047,1,0,0
"R",0,0,36600,1000,"TX","C001048",7,1956,"SO",0.503,0.366,1,0,0
"R",0,0,NA,NA,"TX",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,0,36875,1250,"TX","T000238",10,1958,"SO",0.525,0.313,1,0,0
"D",0,1,2000,0,"TX","H000636",9,1940,"SO",-0.34,0.235,0,1,0
"D",0,1,15500,0,"TX","O000170",1,1972,"SO",-0.304,-0.331,0,1,0
"R",0,0,95050,10400,"TX","F000461",2,1954,"SO",0.572,0.293,1,0,0
