"party","Vote_change_dummy","Vote52","Contribution_52_minus","Contribution_52_plus","Vote52_minus","Vote52_plus"
"R",0,"-",6700,1000,1,0
"D",0,"+",NA,NA,0,1
"D",0,"+",1000,0,0,1
"D",0,"+",5500,0,0,1
"D",0,"+",750,600,0,1
"R",1,"-",32425,0,1,0
"D",0,"+",7500,1000,0,1
"D",0,"+",7500,250,0,1
"R",0,"-",29000,500,1,0
"R",0,"-",33500,0,1,0
"R",0,"-",16600,600,1,0
"D",0,"+",14000,0,0,1
"R",0,"-",7000,0,1,0
"R",0,"-",71825,0,1,0
"R",0,"-",118600,1750,1,0
"R",0,"-",23000,1000,1,0
"D",0,"+",8500,250,0,1
"D",0,"+",16900,0,0,1
"R",0,"-",93650,0,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",48950,3950,1,0
"D",0,"+",2500,0,0,1
"D",0,"+",14500,9225,0,1
"D",0,"+",36000,0,0,1
"R",0,"-",40800,5400,1,0
"R",0,"-",32200,0,1,0
"D",0,"+",13000,5400,0,1
"D",0,"+",480,0,0,1
"D",0,"+",1300,0,0,1
"R",0,"-",19400,2700,1,0
"R",0,"-",36500,2000,1,0
"R",0,"-",21700,2000,1,0
"R",0,"-",13500,0,1,0
"R",0,"-",NA,NA,1,0
"D",0,"+",1500,0,0,1
"D",0,"+",1000,0,0,1
"R",0,"-",16950,0,1,0
"D",0,"+",NA,NA,0,1
"R",0,"-",36200,0,1,0
"D",0,"+",2300,0,0,1
"D",0,"+",4050,50,0,1
"R",0,"-",10850,0,1,0
"D",1,"-",63700,250,1,0
"D",0,"+",NA,NA,0,1
"R",0,"-",72900,9600,1,0
"D",1,"+",12500,0,0,1
"R",0,"-",20650,0,1,0
"R",0,"-",22500,0,1,0
"R",0,"-",55950,2000,1,0
"D",0,"+",8500,0,0,1
"R",0,"-",9750,0,1,0
"R",0,"-",96424,6000,1,0
"D",0,"+",9775,0,0,1
"D",0,"+",7000,0,0,1
"R",0,"-",59375,4700,1,0
"D",0,"+",15500,0,0,1
"D",0,"+",7500,500,0,1
"D",0,"+",2000,0,0,1
"R",0,"-",7250,0,1,0
"D",0,"+",3500,10000,0,1
"R",0,"-",24550,1500,1,0
"R",0,"-",34950,1000,1,0
"D",0,"+",6050,1600,0,1
"D",0,"+",4150,0,0,1
"D",0,"+",750,0,0,1
"R",0,"-",23750,6400,1,0
"R",0,"-",29000,2000,1,0
"R",0,"-",7500,1000,1,0
"R",0,"-",11500,0,1,0
"R",0,"-",3500,0,1,0
"R",0,"-",65273,11700,1,0
"R",0,"-",36150,8700,1,0
"R",0,"-",97946,6400,1,0
"D",0,"+",1100,0,0,1
"R",0,"-",21000,0,1,0
"D",0,"+",15000,550,0,1
"D",0,"+",16500,0,0,1
"R",0,"-",16200,10010,1,0
"R",0,"-",7200,0,1,0
"D",0,"+",4500,0,0,1
