"party","Vote_change_dummy","Vote7","Contribution_7_minus","Contribution_7_plus","BioID","seniority_117","Geographical","Vote7_minus","Vote7_plus"
"R",0,0,16,0,"R000575",10,"SO",1,0
"R",0,0,14.75,0,"A000055",13,"SO",1,0
"R",0,0,14.95,0,"B001274",6,"SO",1,0
"D",0,1,21.5,0,"S001185",6,"SO",0,1
"R",0,0,11.633,0,"Y000033",18,"WE",1,0
"D",0,1,0,0,"K000368",5,"WE",0,1
"D",0,1,NA,NA,"G000551",10,"WE",0,1
"R",0,0,5.633,0,"S001183",6,"WE",1,0
"R",0,0,6,0,"C001087",6,"SO",1,0
"R",0,0,8.5,0,"W000809",6,"SO",1,0
"R",0,0,3.133,0,"L000578",5,"WE",1,0
"D",0,1,3,0.25,"H001068",5,"WE",0,1
"D",0,1,2,0,"G000559",7,"WE",0,1
"R",0,0,4.333,0,"M001177",7,"WE",1,0
"D",0,1,47,0,"T000460",12,"WE",0,1
"D",0,1,5,0,"M001163",9,"WE",0,1
"D",0,1,1,0,"B001287",5,"WE",0,1
"D",0,1,13,3.4,"M001166",8,"WE",0,1
"D",0,1,0,0,"L000551",13,"WE",0,1
"D",0,1,0,0,"S001175",8,"WE",0,1
"D",0,1,7.47,0,"S001193",5,"WE",0,1
"D",1,1,48,0,"C001059",9,"WE",0,1
"D",0,1,NA,NA,"E000215",15,"WE",0,1
"D",0,1,12.5,1.075,"L000397",14,"WE",0,1
"R",0,0,10.287,0.5,"N000181",10,"WE",1,0
"R",0,0,314.797,3.05,"M001165",8,"WE",1,0
"D",0,1,0,0,"B001285",5,"WE",0,1
"D",0,1,1.5,0,"C001080",7,"WE",0,1
"D",0,1,10.8,3,"S001150",11,"WE",0,1
"D",0,1,6,0,"C001097",5,"WE",0,1
"D",0,1,5.4,0,"S000344",13,"WE",0,1
"D",0,1,1.5,0,"N000179",12,"WE",0,1
"D",0,1,13.87,5.8,"R000599",5,"WE",0,1
"D",0,1,0,1,"B001270",6,"WE",0,1
"D",0,1,NA,NA,"S001156",10,"WE",0,1
"D",0,1,1,0,"R000486",15,"WE",0,1
"D",0,1,0.25,0,"T000472",5,"WE",0,1
"R",0,0,2,0,"C000059",15,"WE",1,0
"D",0,1,0,0,"W000187",16,"WE",0,1
"D",0,1,10.5,0,"L000579",5,"WE",0,1
"D",0,1,5.5,2.9,"V000130",5,"WE",0,1
"D",0,1,9.5,0,"P000608",5,"WE",0,1
"D",0,1,5.5,0,"D000197",13,"WE",0,1
"R",0,0,3.5,0,"L000564",8,"WE",1,0
"D",0,1,2.5,0,"P000593",8,"WE",0,1
"D",0,1,7.5,0,"L000557",12,"NE",0,1
"D",0,1,1,0,"C001069",8,"NE",0,1
"D",0,1,10.1,0,"D000216",16,"NE",0,1
"D",0,1,1.2,0,"H001047",7,"NE",0,1
"R",0,0,5.8,0,"P000599",7,"SO",1,0
"R",0,0,1.5,0,"W000806",6,"SO",1,0
"R",0,0,26,0,"B001257",8,"SO",1,0
"D",0,1,2,0,"C001066",8,"SO",0,1
"R",0,0,35.4,5.9,"B001260",8,"SO",1,0
"D",0,1,2.5,0,"D000610",7,"SO",0,1
"D",0,1,2.5,0,"F000462",5,"SO",0,1
"D",0,1,0,0,"W000797",9,"SO",0,1
"D",0,1,2.5,0,"W000808",6,"SO",0,1
"R",0,0,0,0,"D000600",10,"SO",1,0
"D",1,1,5,0,"B000490",15,"SO",0,1
"D",0,1,0,0,"J000288",8,"SO",0,1
"R",0,0,NA,NA,"S001189",6,"SO",1,0
"D",0,1,9.5,0,"S001157",10,"SO",0,1
"R",0,0,38,0,"S001148",12,"WE",1,0
"D",0,1,33.5,0,"R000515",15,"MW",0,1
"D",0,1,4.75,0,"K000385",5,"MW",0,1
"D",0,1,1,0,"Q000023",7,"MW",0,1
"D",0,1,5,1,"D000096",13,"MW",0,1
"D",0,1,0.175,0,"S001145",12,"MW",0,1
"D",0,1,6.95,0,"S001190",4,"MW",0,1
"D",0,1,3.4,1,"F000454",7,"MW",0,1
"R",0,0,38.633,0,"D000619",5,"MW",1,0
"R",0,0,94.6,9.4,"K000378",6,"MW",1,0
"D",0,1,10.15,0,"B001286",5,"MW",0,1
"R",0,0,10.5,0,"W000813",5,"MW",1,0
"D",0,1,NA,NA,"C001072",8,"MW",0,1
"R",0,0,14,0.5,"B001275",6,"MW",1,0
"R",0,0,10,0,"G000558",7,"SO",1,0
"D",0,1,5,0,"Y000062",8,"SO",0,1
"R",0,0,0,0,"M001184",6,"SO",1,0
"R",0,0,3.45,0,"R000395",18,"SO",1,0
"R",0,0,116.157,1.985,"S001176",8,"SO",1,0
"D",0,1,0,0,"P000597",7,"NE",0,1
"R",0,0,0.5,0,"H001052",6,"SO",1,0
"D",0,1,2.5,0,"R000576",10,"SO",0,1
"D",0,1,0,0,"S001168",8,"SO",0,1
"D",0,1,90,0,"H000874",18,"SO",0,1
"D",0,1,40.6,1,"N000015",17,"NE",0,1
"D",0,1,0.5,0,"M000312",13,"NE",0,1
"D",0,1,0.75,0,"L000562",11,"NE",0,1
"D",0,1,0,0,"K000375",6,"NE",0,1
"R",0,0,9,0,"H001058",6,"MW",1,0
"D",0,1,24.5,0.5,"K000380",5,"MW",0,1
"R",1,1,33.233,0,"U000031",18,"MW",0,1
"R",0,0,25.2,0,"W000798",7,"MW",1,0
"D",0,1,3.75,0,"M001143",11,"MW",0,1
"D",0,1,12,0,"T000193",15,"SO",0,1
"R",0,0,16.7,0,"P000601",6,"SO",1,0
"R",0,0,18.133,0,"W000812",5,"MW",1,0
"R",0,0,1,0,"L000569",7,"MW",1,0
"R",0,0,32.05,0,"H001053",6,"MW",1,0
"D",0,1,0,0,"C001061",9,"MW",0,1
"R",0,0,19.4,0,"G000546",11,"MW",1,0
"R",0,0,NA,NA,"L000576",6,"MW",1,0
"R",0,0,20.3,0,"S001195",5,"MW",1,0
"R",0,0,7.4,0,"F000449",9,"MW",1,0
"R",0,0,9,0,"S001172",8,"MW",1,0
"D",0,1,2.5,0,"T000468",6,"WE",0,1
"R",0,0,6.112,0,"A000369",6,"WE",1,0
"D",0,1,9.5,1,"H001066",3,"WE",0,1
"D",0,1,4.85,1.5,"K000382",5,"NE",0,1
"R",1,0,0,0,"S000522",18,"NE",1,0
"D",0,1,42.15,0,"P000034",18,"NE",0,1
"D",0,1,2,0,"S001165",9,"NE",0,1
"D",0,1,5,0,"P000096",13,"NE",0,1
"D",0,1,18.5,0,"P000604",6,"NE",0,1
"D",0,1,18.25,0,"M001137",13,"NE",0,1
"D",0,1,3,0,"M001188",5,"NE",0,1
"D",0,1,0,0,"V000081",15,"NE",0,1
"D",0,1,25.35,2,"J000294",5,"NE",0,1
"D",0,1,5.2,0,"C001067",8,"NE",0,1
"D",0,1,1,0,"N000002",16,"NE",0,1
"D",0,1,12.35,0,"M000087",15,"NE",0,1
"D",0,1,60.75,2.548,"T000469",7,"NE",0,1
"R",1,1,13.3,0,"R000585",7,"NE",0,1
"D",0,1,7.85,0,"H001038",9,"NE",0,1
"D",0,1,7,0,"B001251",10,"SO",0,1
"D",0,1,4.5,0,"P000523",17,"SO",0,1
"R",0,0,0.5,0,"F000450",9,"SO",1,0
"R",0,0,17.07,0,"H001067",5,"SO",1,0
"R",0,0,22.5,0,"M001156",9,"SO",1,0
"R",0,0,0.67,0,"C000266",13,"MW",1,0
"R",0,0,6.1,0,"W000815",5,"MW",1,0
"D",0,1,29.85,0,"B001281",5,"MW",0,1
