"party","Vote_change_dummy","Vote52","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_51_minus","Contribution_51_plus","Contribution_52_minus","Contribution_52_plus","Contribution_6_minus","Contribution_6_plus","Contribution_7_minus","Contribution_7_plus","state","BioID","seniority_1152","birthday","Geographical","nominate_dim1","nominate_dim2","gender","pro_env_dummy","anti_env_dummy","district","Vote52_minus","Vote52_plus","Vote52_NA"
"R",0,0,175,0,130,0,150,0,140,0,243,0,160,0,"AL","R000575",8,1958,"SO",0.377,0.384,"M",0,1,3,1,0,0
"R",0,0,178.96,0,200,0,269.5,0,279.5,0,80,0,147.5,0,"AL","A000055",11,1965,"SO",0.403,0.479,"M",0,1,4,1,0,0
"R",0,0,85,0,50,0,60,5,60,5,25,0,149.5,0,"AL","B001274",4,1954,"SO",0.652,0.417,"M",1,1,5,1,0,0
"D",0,1,160,0,102.5,0,152.5,0,142.5,0,195,0,215,0,"AL","S001185",4,1965,"SO",0.398,0.4,"F",0,1,7,0,1,0
"R",0,0,86,0,278,0,322,5,314.5,5,280.11,15,116.33,0,"AK","Y000033",16,1933,"WE",0.283,0.022,"M",1,1,0,1,0,0
"D",0,NA,183,0,36.05,30.25,NA,NA,NA,NA,159.7,0,0,0,"AZ","K000368",3,1950,"WE",0.169,0.01,"F",0,0,NA,NA,NA,1
"D",0,1,NA,NA,15,0,NA,NA,NA,NA,NA,NA,NA,NA,"AZ","G000551",8,1948,"WE",0.598,0.264,"M",0,0,NA,0,1,0
"R",0,0,198.5,0,160,0,260,22.5,132.5,22.5,127,0,0,0,"AZ","G000565",4,1958,"WE",0.699,0.499,"M",1,1,NA,1,0,0
"R",0,0,87.5,0,NA,NA,120,0,80,54,239.88,20,56.33,0,"AZ","S001183",4,1962,"WE",0.561,0.251,"M",1,1,NA,1,0,0
"R",0,0,95,10,25,0,95,0,75,0,100,0,60,0,"AR","C001087",4,1966,"SO",0.457,0.32,"M",0,1,1,1,0,0
"R",0,0,70,0,110,0,195,0,195,0,70,0,85,0,"AR","W000809",4,1957,"SO",0.348,0.621,"M",0,1,3,1,0,0
"R",0,0,175,0,134,5.01,105,0.5,140,0.5,259.88,2.5,31.33,0,"CA","L000578",3,1960,"WE",0.538,0.026,"M",1,1,1,1,0,0
"D",0,1,74,0,133.2,2,75,15.8,90,15.8,65,0,30,2.5,"CA","H001068",3,1964,"WE",0.428,0.527,"M",1,1,2,0,1,0
"D",0,1,45,15,30,0,20,10,20,10,80,0,20,0,"CA","G000559",5,1945,"WE",0.309,0.096,"M",1,1,NA,0,1,0
"R",0,0,114.5,0,49.25,0,114.05,3,122.6,7.5,136.88,0,43.33,0,"CA","M001177",5,1956,"WE",0.682,0.401,"M",1,1,NA,1,0,0
"D",0,1,273.85,15,100,5,145,50,300,0,263.3,0,470,0,"CA","T000460",10,1951,"WE",0.393,0.068,"M",0,1,NA,0,1,0
"D",0,1,272.49,38.5,47,54,155,27,185,54,245,0,50,0,"CA","M001163",7,1944,"WE",0.435,0.146,"F",1,1,NA,0,1,0
"D",0,1,27.5,2.5,25.5,54,26.5,24.7,22,32.3,22.5,0,10,0,"CA","B001287",3,1965,"WE",0.241,0.013,"M",1,1,NA,0,1,0
"D",0,1,200.49,75,173.5,13.5,273.25,11,285,53,276.5,0,130,34,"CA","M001166",6,1951,"WE",0.263,0.159,"M",1,1,9,0,1,0
"D",0,1,10,0,58,2,107.2,1.25,106.65,38.9,273.6,0,289.3,39.78,"CA","P000197",16,1940,"WE",0.49,0.197,"F",1,1,NA,0,1,0
"D",0,1,71,0,29,0,47,5,57,2.5,6.5,0,0,0,"CA","L000551",11,1946,"WE",0.677,0.569,"F",1,1,NA,0,1,0
"D",0,NA,2.5,0,0,0,15,0,15,0,0,0,0,0,"CA","S001175",6,1950,"WE",0.381,0.41,"F",0,1,14,NA,NA,1
"D",0,1,161,43.5,186,8,199,18.5,274.25,4,251.1,0,74.7,0,"CA","S001193",3,1980,"WE",0.362,0.077,"M",1,1,NA,0,1,0
"D",1,1,241.14,0,580,20,367.5,0,597.5,0,275,0,480,0,"CA","C001059",7,1952,"WE",0.196,0.458,"M",0,1,NA,0,1,0
"D",0,1,35,0,21.5,0,20,84,10,84,98,0,NA,NA,"CA","E000215",13,1942,"WE",0.38,0.397,"F",1,1,NA,0,1,0
"D",0,1,20,104,75,0,0,109,30,1.5,30,7,125,10.75,"CA","L000397",12,1947,"WE",0.399,0.419,"F",1,1,NA,0,1,0
"R",0,0,435,10,565,2.5,766,10.5,972.75,39.5,602.57,15,102.87,5,"CA","N000181",8,1973,"WE",0.45,0.223,"M",1,1,22,1,0,0
"R",0,0,1726.6,35,2027.5,79,2484.5,28,3118.5,55.5,3807.25,56,3147.97,30.5,"CA","M001165",6,1965,"WE",0.453,0.233,"M",1,1,NA,1,0,0
"D",0,1,41,2.5,60.15,0.03,66.33,12.5,126.93,15,70,0,0,0,"CA","B001285",3,1952,"WE",0.294,0.051,"F",1,1,26,0,1,0
"D",0,1,51,10,0,0,40,0,40,0,10,0,15,0,"CA","C001080",5,1953,"WE",0.489,0.379,"F",0,1,NA,0,1,0
"D",0,1,0,0,10,0,83.4,10.5,79.15,12.5,131,3.65,108,30,"CA","S001150",9,1960,"WE",0.35,0.133,"M",1,1,NA,0,1,0
"D",0,NA,40,0,135,0,260,0,260,0,160,0,60,0,"CA","C001097",3,1963,"WE",0.395,0.003,"M",0,1,29,NA,NA,1
"D",0,1,0,0,30,0,10,0,10,0,20,0,54,0,"CA","S000344",11,1954,"WE",0.343,0.141,"M",0,1,NA,0,1,0
"D",0,1,20,15,55,0,55,0,60,0,95,0,15,0,"CA","N000179",10,1936,"WE",0.449,0.245,"F",0,1,NA,0,1,0
"D",0,1,15,0,51.5,2.5,78.25,2.1,92.5,1.4,93,10,138.7,58,"CA","R000599",3,1972,"WE",0.252,0.049,"M",1,1,NA,0,1,0
"D",0,NA,47.5,0,65,0,19,0,34,0,192.5,0,0,10,"CA","B001270",4,1953,"WE",0.584,0.098,"F",0,1,37,NA,NA,1
"D",0,1,55,5,135,0,90,0,100,0,10,0,NA,NA,"CA","S001156",8,1969,"WE",0.508,0.135,"F",0,1,38,0,1,0
"D",0,1,53,0,25,0,50,0,50,0,30,0,10,0,"CA","R000486",13,1941,"WE",0.469,0.171,"F",0,1,40,0,1,0
"D",0,1,0,0,25,0,30,0,50,0,10,2.5,2.5,0,"CA","T000472",3,1960,"WE",0.465,0.293,"M",0,1,NA,0,1,0
"R",0,0,156,0,605,10,315,0,285,0,143,0,20,0,"CA","C000059",13,1953,"WE",0.341,0.263,"M",0,1,NA,1,0,0
"D",0,1,104,0,25,0,12.5,0,32.5,0,0,0,0,0,"CA","W000187",14,1938,"WE",0.656,0.079,"F",0,1,43,0,1,0
"D",0,1,105,0,120,0,102,0,167,0,70,0,105,0,"CA","L000579",3,1941,"WE",0.449,0.384,"M",0,1,47,0,1,0
"R",0,0,544.5,15,134,27,113,0,NA,NA,NA,NA,31.33,0,"CA","I000056",9,1953,"WE",0.484,0.001,"M",0,0,NA,1,0,0
"D",0,1,76,0,158,0,50,0,60,0,161,0,55,29,"CA","V000130",3,1961,"WE",0.404,0.048,"M",0,1,NA,0,1,0
"D",0,NA,157,0,163.95,10.25,478,13,476.75,3,325.5,0,95,0,"CA","P000608",3,1958,"WE",0.188,0.032,"M",1,1,NA,NA,NA,1
"D",0,1,0,0,40,10,45,0,25,0,10,0,55,0,"CO","D000197",11,1957,"WE",0.431,0.303,"F",0,1,1,0,1,0
"R",0,0,205,0,322.5,0,185,0,105,0,35,0,35,0,"CO","L000564",6,1954,"WE",0.667,0.232,"M",0,1,5,1,0,0
"D",0,1,147,25,64.5,5,55,0,40.25,0,35,0,25,0,"CO","P000593",6,1953,"WE",0.282,0.072,"M",0,1,7,0,1,0
"D",0,1,100,10,75,10,59.5,15,69.5,15,85,0,75,0,"CT","L000557",10,1948,"NE",0.396,0.047,"M",1,1,1,0,1,0
"D",0,1,80,0,40,0,50,0,96,0,65,0,10,0,"CT","C001069",6,1953,"NE",0.34,0.03,"M",0,1,2,0,1,0
"D",0,1,NA,NA,53.75,0,15,0,15,0,13.5,0,101,0,"CT","D000216",14,1943,"NE",0.414,0.116,"F",0,1,3,0,1,0
"D",0,1,25,0,120,0,20,0,40,0,1,0,12,0,"CT","H001047",5,1966,"NE",0.24,0.226,"M",0,1,4,0,1,0
"R",0,0,20,0,60,0,30,0,30,0,167,0,58,0,"FL","P000599",5,1947,"SO",0.531,0.351,"M",0,1,8,1,0,0
"R",0,0,65,0,45,2,33,0,68,0,15,0,15,0,"FL","W000806",4,1949,"SO",0.525,0.094,"M",0,1,NA,1,0,0
"R",0,0,85,0,150,0,464,89,509,89,140,0,260,0,"FL","B001257",6,1963,"SO",0.419,0.017,"M",1,1,12,1,0,0
"D",0,1,25,0,40,0,10,0,10,0,26.5,25,20,0,"FL","C001066",6,1966,"SO",0.437,0.06,"F",0,1,14,0,1,0
"R",0,0,60,0,50,0,157.5,0,232.5,0,437.88,0,354,59,"FL","B001260",6,1951,"SO",0.362,0.095,"M",0,1,16,1,0,0
"D",0,1,35,0,25,0,10,0,20,0,15,0,0,0,"FL","H000324",13,1936,"SO",0.564,0.157,"M",0,1,20,0,1,0
"D",0,1,110,25,0,0,58,20,33,128,65,28,25,0,"FL","D000610",5,1966,"SO",0.401,0.078,"M",1,1,NA,0,1,0
"D",0,1,56,0,0,0,15,0,15,0,25,0,25,0,"FL","F000462",3,1948,"SO",0.397,0.054,"F",0,1,22,0,1,0
"D",0,1,95,55,64,28.5,216.5,15,222,0,0,0,0,0,"FL","W000797",7,1966,"SO",0.416,0.088,"F",0,1,NA,0,1,0
"D",0,1,20,0,35,0,15,0,0,0,15,0,25,0,"FL","W000808",4,1942,"SO",0.477,0.012,"F",0,0,24,0,1,0
"R",0,0,25,0,170,0,120,0,253,0,201,0,0,0,"FL","D000600",8,1961,"SO",0.284,0.141,"M",0,1,NA,1,0,0
"D",1,0,200,0,175,0,135,0,180,0,75,0,50,0,"GA","B000490",13,1947,"SO",0.285,0.454,"M",0,1,2,1,0,0
"D",0,1,25,0,10,0,25,0,25,0,15,0,0,0,"GA","J000288",6,1954,"SO",0.473,0.025,"M",0,1,4,0,1,0
"R",0,0,85,0,70,0,75,0,25,0,25,0,NA,NA,"GA","S001189",4,1969,"SO",0.535,0.354,"M",0,1,8,1,0,0
"D",0,1,25,0,82.5,0,10,0,10,0,0,0,95,0,"GA","S001157",8,1945,"SO",0.304,0.168,"M",0,1,13,0,1,0
"R",0,0,1036.94,10,806,0,452,0,532,0,401,0,380,0,"ID","S001148",10,1950,"WE",0.297,0.307,"M",0,1,2,1,0,0
"D",0,1,230,0,254,0,80,0,105,10,350,0,335,0,"IL","R000515",13,1946,"MW",0.479,0.203,"M",1,1,1,0,1,0
"D",0,1,35,0,75,10,20,0,55,0,155,0,47.5,0,"IL","K000385",3,1956,"MW",0.467,0.023,"F",0,1,2,0,1,0
"D",0,1,20,0,45,10,10,0,15,0,0,0,10,0,"IL","Q000023",5,1958,"MW",0.324,0.259,"M",0,1,5,0,1,0
"D",0,1,75,0,55,50,70,0,70,0,90,0,50,10,"IL","D000096",11,1941,"MW",0.486,0.26,"M",0,1,7,0,1,0
"D",0,1,0,36,30,0,1.5,23.75,1.5,23.75,0,12.75,1.75,0,"IL","S001145",10,1944,"MW",0.603,0.276,"F",1,1,9,0,1,0
"D",0,1,55,0,NA,NA,30,0,30.5,0,85,0,69.5,0,"IL","S001190",2,1961,"MW",0.187,0.14,"M",0,1,10,0,1,0
"D",0,1,128.5,48.5,157,12,129.5,28,114.5,34,92,0,34,10,"IL","F000454",5,1955,"MW",0.233,0.215,"M",1,1,11,0,1,0
"R",0,0,398.05,15,249,50,389.5,90,479.5,105,620.64,0,386.33,0,"IL","D000619",3,1970,"MW",0.279,0.17,"M",1,1,13,1,0,0
"R",0,0,698.5,50,684,45,444.5,10,607,20,618,0,946,94,"IL","K000378",4,1978,"MW",0.234,0.382,"M",1,1,16,1,0,0
"D",0,1,97.5,10,103.25,43.41,167.65,24,186.28,34.75,542.5,40,101.5,0,"IL","B001286",3,1961,"MW",0.239,0.054,"F",1,1,17,0,1,0
"R",0,0,191,46,267.5,50,350,10,330,10,314.88,0,105,0,"IN","W000813",3,1963,"MW",0.436,0.315,"F",1,1,2,1,0,0
"D",0,1,32.5,0,22.5,0,0,6,30,6,0,7,NA,NA,"IN","C001072",6,1974,"MW",0.43,0.04,"M",1,1,7,0,1,0
"R",0,0,283.5,0,284.5,0,255,10,245,10,62.5,0,140,5,"IN","B001275",4,1962,"MW",0.383,0.373,"M",1,1,8,1,0,0
"R",0,0,325,0,235,0,243,0,233,0,270,0,100,0,"KY","G000558",5,1964,"SO",0.426,0.275,"M",0,1,2,1,0,0
"D",0,1,40,0,15,0,15,10,15,20,0,0,50,0,"KY","Y000062",6,1947,"SO",0.378,0.275,"M",1,1,3,0,1,0
"R",0,0,86,0,60,0,20,0,0,0,60,0,0,0,"KY","M001184",4,1971,"SO",0.678,0.735,"M",0,0,4,1,0,0
"R",0,0,448,0,205,0,175,0,245,0,10,0,34.5,0,"KY","R000395",16,1937,"SO",0.334,0.142,"M",0,1,5,1,0,0
"R",0,0,1077.5,0,535.5,0,1002.21,75.87,1199.27,75.87,420.73,0,433.33,0,"KY","B001282",3,1973,"SO",0.484,0.294,"M",1,1,6,1,0,0
"R",0,0,915,0,941.5,0,1498.25,91,1681,64,1554.65,7.5,1161.57,19.85,"LA","S001176",6,1965,"SO",0.559,0.15,"M",1,1,1,1,0,0
"D",0,NA,191,0,302.5,0,315,0,340,0,528,0,NA,NA,"LA","R000588",4,1973,"SO",0.486,0.332,"M",0,1,2,NA,NA,1
"D",0,1,2.5,0,12.5,10,10.75,0.01,11.1,0.01,10,0,0,0,"ME","P000597",5,1955,"NE",0.421,0.36,"F",1,1,1,0,1,0
"R",0,0,342,0,85,0,103.5,0,123.5,0,2.5,0,5,0,"MD","H001052",4,1957,"SO",0.671,0.374,"M",0,1,1,1,0,0
"D",0,1,137.5,0,40,0,47.5,0,72.5,0,80,28,25,0,"MD","R000576",8,1946,"SO",0.297,0.127,"M",0,1,2,0,1,0
"D",0,1,0,0,0,0,5,0,5,0,0,0,0,0,"MD","S001168",6,1962,"SO",0.465,0.071,"M",0,1,3,0,1,0
