"","LastName","FirstName","Amount.oil.116","Amount.coal.116","Amount.mining.116","Amount.gas.116","Amount.env.116","Amount.alt_en.116","Party","StateAbbreviation"
"89","Carter","Buddy",68400,0,6000,6000,2500,2250,"R","GA"
"90","Pence","Greg",68150,38700,90806,0,0,20800,"R","IN"
"91","Gooden","Lance",66450,0,0,7700,0,0,"R","TX"
"92","Donovan","Dan",66100,0,0,8000,0,0,"R","NY"
"93","Barton","Joe",64850,0,0,1000,0,1000,"R","TX"
"94","LaHood","Darin",64600,3400,8400,7500,0,33600,"R","IL"
"95","Lucas","Frank D",64600,0,0,10000,0,5000,"R","OK"
"96","Veasey","Marc",64006,0,0,3000,1000,0,"D","TX"
"97","Walorski","Jackie",63450,5500,10500,4500,1000,7000,"R","IN"
"98","Carter","John",62350,0,1000,5500,0,5400,"R","TX"
"99","Ratcliffe","John",62000,0,0,9000,0,0,"R","TX"
"100","Smith","Lamar",57450,0,0,-2700,0,250,"R","TX"
"101","Bost","Mike",56340,32250,86825,7899,0,18000,"R","IL"
"102","Young","Don",56250,2000,18450,2000,0,0,"R","AK"
"103","Long","Billy",55000,2000,4000,8000,0,3500,"R","MO"
"104","Saccone","Rick",54350,35600,49275,12500,0,0,"R","PA"
"105","Collins","Chris",53900,0,0,21000,0,7500,"R","NY"
"106","Bilirakis","Gus",53600,0,0,7000,0,7600,"R","FL"
"107","Reschenthaler","Guy",53550,17400,20400,14750,0,0,"R","PA"
"108","Gallagher","Mike",53450,0,0,5000,0,0,"R","WI"
"109","Allred","Colin",53385,0,5,508,11947,3435,"D","TX"
"110","Zeldin","Lee",52775,2500,2500,4000,0,1125,"R","NY"
"111","Brat","Dave",51150,0,2200,1200,0,2000,"R","VA"
"112","Love","Mia",50677,5200,5450,0,10,1195,"R","UT"
"113","Green","Mark",49400,0,0,0,25,0,"R","TN"
"114","Duffy","Sean P",49000,0,1000,5000,0,0,"R","WI"
"115","Thornberry","Mac",48925,0,1000,0,0,4000,"R","TX"
"116","Gonzalez","Vicente",48762,0,0,12000,1000,0,"D","TX"
"117","Young","David",48647,5000,5000,8052,0,54750,"R","IA"
