"","LastName","FirstName","Amount.oil.117","Amount.coal.117","Amount.mining.117","Amount.gas.117","Amount.env.117","Amount.alt_en.117","Party","StateAbbreviation"
"1","McCarthy","Kevin",556734,56301,66420,80987,11250,3824,"R","CA"
"2","Pfluger","August",540601,0,5650,31416,0,5611,"R","TX"
"3","Scalise","Steve",528542,1910,6306,47245,2960,14111,"R","LA"
"4","Crenshaw","Dan",497554,900,1858,60733,145,5610,"R","TX"
"5","Hunt","Wesley",477942,5600,9462,148292,0,1382,"R","TX"
"6","Brady","Kevin",305000,0,2000,40900,0,1000,"R","TX"
"7","Fletcher","Lizzie",288880,0,0,92070,15936,12561,"D","TX"
"8","Roy","Chip",259851,67,3977,16723,0,520,"R","TX"
"9","Gonzales","Tony",246893,8,642,38551,0,140,"R","TX"
"10","Cuellar","Henry",228210,1250,11750,32500,0,0,"D","TX"
"11","Chase","Claire",210431,2800,2825,6260,0,0,"R","NM"
"12","Collins","Genevieve",209711,10400,11863,23424,0,2854,"R","TX"
"13","Van","Duyne Beth",204503,5608,6333,15683,0,728,"R","TX"
"14","Graves","Garret",194560,0,3500,46900,0,2000,"R","LA"
"15","McCaul","Michael",187041,0,3234,17032,0,1361,"R","TX"
"16","Arrington","Jodey",183028,0,0,15300,0,16900,"R","TX"
"17","Bice","Stephanie",179739,5025,5157,18922,8,2050,"R","OK"
"18","Bush","Pierce",176205,0,0,5300,0,600,"R","TX"
"19","Mullin","Markwayne",164215,10900,11900,26625,0,3000,"R","OK"
"20","Cheney","Liz",162384,29650,44816,8509,2000,16,"R","WY"
"21","Taylor","Van",161896,67,1067,5849,0,160,"R","TX"
"22","Hudson","Richard",161379,2800,2811,21352,0,1001,"R","NC"
"23","Rodgers","Cathy McMorris",156713,67,14828,23608,0,16,"R","WA"
"24","Williams","Roger",154646,0,0,10899,0,10,"R","TX"
"25","Gonzalez","Vicente",150500,0,1000,26500,125,0,"D","TX"
"26","Armstrong","Kelly",150050,36200,42200,11500,2800,17000,"R","ND"
"27","Laturner","Jake",149530,0,14500,2000,0,48565,"R","KS"
"28","Veasey","Marc",144049,0,0,26500,500,100,"D","TX"
"29","Richmond","Cedric",139800,0,1000,31000,5000,1000,"D","LA"
"30","Cole","Tom",136100,5600,6600,31500,5600,6000,"R","OK"
"31","Nunes","Devin",135445,250,2437,20528,413,9027,"R","CA"
"32","Herrell","Yvette",134431,0,3424,10711,0,10,"R","NM"
"33","Rosendale","Matt",132762,2100,7207,9611,0,26,"R","MT"
"34","Hern","Kevin",117945,6250,6250,17160,0,100,"R","OK"
"35","Reed","Tom",115762,0,600,26899,5514,10600,"R","NY"
"36","Stefanik","Elise",112972,403,2197,18035,7717,11424,"R","NY"
"37","Johnson","Bill",111597,18850,38350,27000,0,1029,"R","OH"
"38","Ladjevardian","Sima",107156,0,68,8617,9408,7023,"D","TX"
"39","Upton","Fred",103188,67,144,29470,0,2026,"R","MI"
"40","Young","Don",101931,0,18294,9610,0,6,"R","AK"
"41","Estes","Ron",101924,0,0,3000,0,42850,"R","KS"
"42","Katko","John",101038,0,60,22632,750,1019,"R","NY"
"43","Latta","Bob",99008,2500,9000,10500,5600,4,"R","OH"
"44","Schrader","Kurt",98000,0,0,25500,0,2499,"D","OR"
"45","Gooden","Lance",96200,0,0,19100,0,0,"R","TX"
"46","Davis","Rodney",95332,9100,10639,30837,1000,25506,"R","IL"
"47","Graves","Sam",94300,0,4000,31000,0,13200,"R","MO"
"48","Valadao","David",93236,5600,5630,13349,0,2618,"R","CA"
"49","Kelly","Mike",89076,15400,17000,35599,0,500,"R","PA"
"50","Malliotakis","Nicole",88105,2500,2502,7810,0,76,"R","NY"
"51","Costa","Jim",88000,2250,11250,6000,2000,0,"D","CA"
"52","Zeldin","Lee",85988,67,496,12891,0,8189,"R","NY"
"53","Balderson","Troy",85533,1000,2000,13599,0,4,"R","OH"
"54","McKinley","David",84750,26550,37288,5750,0,0,"R","WV"
"55","Tenney","Claudia",82718,25,763,6878,4,267,"R","NY"
"56","Johnson","Mike",81925,0,7600,1000,0,0,"R","LA"
"57","Davis","Wendy",81694,0,230,13499,43518,8823,"D","TX"
"58","Burgess","Michael",79575,0,1000,6800,2800,1000,"R","TX"
"59","Kulkarni","Sri",78759,0,3810,5881,16514,12436,"D","TX"
"60","Fitzpatrick","Brian",77448,5599,5651,20651,29124,4066,"R","PA"
"61","Stauber","Pete",76311,3500,20731,15599,0,25,"R","MN"
"62","Hurd","Will",76063,67,67,14399,0,250,"R","TX"
"63","Reschenthaler","Guy",75950,24525,26829,22800,0,0,"R","PA"
"64","Weber","Randy",74953,0,1000,13850,0,0,"R","TX"
"65","Granger","Kay",74454,1000,1011,9509,8600,16,"R","TX"
"66","Lucas","Frank D",73125,0,1000,13525,0,1000,"R","OK"
"67","Babin","Brian",72801,0,14,6300,0,0,"R","TX"
"68","Parnell","Sean",70606,29255,39150,8266,100,1112,"R","PA"
"69","Garcia","Mike",70269,1250,1791,3071,0,7034,"R","CA"
"70","LaHood","Darin",70100,750,3250,9300,0,33100,"R","IL"
"71","Barr","Andy",69441,47150,55169,6637,0,6,"R","KY"
"72","Nehls","Troy",69109,0,5,3900,4,781,"R","TX"
"73","Kinzinger","Adam",68932,0,5009,21002,0,11800,"R","IL"
"74","Walden","Greg",68500,8500,13500,10500,0,7098,"R","OR"
"75","Jackson","Ronny",68468,0,50,4225,25,2055,"R","TX"
"76","Duncan","Jeff",67103,0,0,3000,5963,400,"R","SC"
"77","Westerman","Bruce",66900,0,3000,15000,0,250,"R","AR"
"78","Hinson","Ashley",66884,13710,13741,16635,4,701,"R","IA"
"79","Allred","Colin",66466,0,1,2290,17399,1351,"D","TX"
"80","Carter","Buddy",66218,0,0,10500,3150,0,"R","GA"
"81","Joyce","David P",66004,15150,21150,16622,0,1004,"R","OH"
"82","Hill","French",65443,67,67,8399,0,0,"R","AR"
"83","Gottheimer","Josh",65157,0,0,2500,36065,3100,"D","NJ"
"84","Pence","Greg",65059,2800,5395,2700,0,8050,"R","IN"
"85","Ferguson","Drew",65040,7800,8300,10035,0,0,"R","GA"
"86","Carter","John",64728,67,94,7670,13,26,"R","TX"
"87","Adkins","Amanda",64180,0,11300,2800,0,10,"R","KS"
"88","Smith","Jason",64150,0,4000,7000,0,12000,"R","MO"
"89","Guest","Michael",63569,0,7,2801,0,1002,"R","MS"
"90","Garcia","Sylvia",63340,0,0,4000,1501,1500,"D","TX"
"91","Walberg","Tim",62476,0,9400,9599,1525,0,"R","MI"
"92","Lipinski","Daniel",62040,0,5600,27500,0,150,"D","IL"
"93","Walorski","Jackie",61786,67,1069,5599,1000,3002,"R","IN"
"94","McHenry","Patrick",61608,0,2,5000,5600,7500,"R","NC"
"95","Jordan","Jim",61476,1025,5365,1220,325,1299,"R","OH"
