"","LastName","FirstName","Amount.oil.113","Amount.coal.113","Amount.mining.113","Amount.gas.113","Amount.env.113","Amount.alt_en.113","Party","StateAbbreviation"
"1","Boehner","John",510400,270817,421017,49300,1000,7500,"R","OH"
"2","Williams","Roger",362933,0,2900,4650,0,0,"R","TX"
"3","Pompeo","Mike",320550,3000,8000,14500,0,7500,"R","KS"
"4","Boustany","Charles Jr",313700,0,3500,78450,0,3500,"R","LA"
"5","McCarthy","Kevin",288200,2000,9500,7000,0,24900,"R","CA"
"6","Landry","Jeff",278416,0,1000,2750,0,0,"R","LA"
"7","Cantor","Eric",272650,83894,163694,16000,0,5300,"R","VA"
"8","Pearce","Steve",264225,3500,31000,8000,0,1000,"R","NM"
"9","Camp","Dave",245500,14000,35000,61800,0,28500,"R","MI"
"10","Flores","Bill",233156,0,4333,21000,2500,0,"R","TX"
"11","Gardner","Cory",224500,17000,35000,27750,0,6000,"R","CO"
"12","Upton","Fred",224300,44633,103208,50500,0,9500,"R","MI"
"13","Fleming","John",220500,0,0,2500,13200,0,"R","LA"
"14","Canseco","Quico",219126,1000,2583,4000,2500,250,"R","TX"
"15","Cramer","Kevin",218800,12500,17500,16000,0,11750,"R","ND"
"16","Coffman","Mike",210275,12750,42031,9750,1000,450,"R","CO"
"17","Sullivan","John",192950,14500,18500,57000,0,0,"R","OK"
"18","Conaway","Mike",186300,0,2000,4250,0,2500,"R","TX"
"19","Lankford","James",182600,0,4500,12250,0,600,"R","OK"
"20","Olson","Pete",180450,1000,1500,32750,1000,0,"R","TX"
"21","Tipton","Scott",180124,15450,41975,7750,1000,0,"R","CO"
"22","Brady","Kevin",176165,0,0,39665,0,0,"R","TX"
"23","Barton","Joe",172900,7000,17500,29400,0,0,"R","TX"
"24","Hensarling","Jeb",171150,0,6500,12250,0,0,"R","TX"
"25","West","Allen",170325,6500,15700,4500,0,1300,"R","FL"
"26","Sessions","Pete",147800,2500,10000,16000,0,0,"R","TX"
"27","Williams","Michael",147550,0,0,17300,0,0,"R","TX"
"28","Hastings","Doc",144549,36553,114878,13000,9500,5250,"R","WA"
"29","Murphy","Tim",138500,52608,114333,49300,0,0,"R","PA"
"30","Scalise","Steve",135575,0,4000,12500,4000,0,"R","LA"
"31","Whitfield","Ed",131250,75375,127900,16500,0,7500,"R","KY"
"32","Jenkins","Lynn",128150,5000,16250,5500,0,1500,"R","KS"
"33","Daines","Steven",126675,14800,22800,750,0,0,"R","MT"
"34","Cassidy","Bill",123350,0,2000,10500,7800,0,"R","LA"
"35","Cole","Tom",121700,0,1250,12000,0,4500,"R","OK"
"36","Shimkus","John",121300,44459,86059,12500,0,16250,"R","IL"
"37","Reed","Tom",120021,0,2000,37150,0,1000,"R","NY"
"38","Lummis","Cynthia",119900,32800,52650,12500,0,0,"R","WY"
"39","Benishek","Dan",118550,3000,33000,1500,1500,1500,"R","MI"
"40","Cotton","Tom",114025,0,4100,500,0,2500,"R","AR"
"41","Farenthold","Blake",113452,0,2833,13500,0,0,"R","TX"
"42","Bachmann","Michele",113323,1250,8500,5000,0,5450,"R","MN"
"43","Mullin","Markwayne",113000,15500,18000,1000,0,0,"R","OK"
"44","McKinley","David",112600,229078,325278,14000,0,0,"R","WV"
"45","Matheson","Jim",112150,10000,22000,31400,0,0,"D","UT"
"46","Barrow","John",107400,8500,17000,22900,1000,0,"D","GA"
"47","Johnson","Bill",104700,70225,130250,20000,0,0,"R","OH"
"48","Culberson","John",104350,0,1000,10000,0,0,"R","TX"
"49","Cuellar","Henry",99125,0,3000,7500,0,0,"D","TX"
"50","Lungren","Dan",98200,9000,24450,0,1450,2500,"R","CA"
"51","Neugebauer","Randy",97250,0,2500,4000,0,0,"R","TX"
"52","Green","Gene",96700,0,0,17200,0,0,"D","TX"
"53","Denham","Jeff",96600,0,11500,8000,0,1500,"R","CA"
"54","Blackburn","Marsha",96500,2000,5000,16500,0,0,"R","TN"
"55","Shuster","Bill",96400,23250,38150,40000,0,0,"R","PA"
"56","Gibbs","Bob",95050,37700,77500,25500,1000,0,"R","OH"
"57","Noem","Kristi",94001,9000,13000,7000,0,29500,"R","SD"
"58","Strickland","Tony",92500,0,2000,2000,0,0,"R","CA"
"59","Griffin","Tim",90600,2000,2000,0,0,1000,"R","AR"
"60","Smith","Lamar",89250,0,0,15000,0,0,"R","TX"
"61","Terry","Lee",88500,5500,7500,10000,0,4000,"R","NE"
"62","Thompson","Glenn",88400,21500,28500,19000,0,0,"R","PA"
