"Cycle","RecipID","RealCode","Date","Amount","Type"
2012,"N00004118","E1600","10/17/2012",1450,"15 "
2012,"N00009869","E1600","06/24/2012",1000,"15 "
2012,"N00009869","E1600","06/26/2012",1000,"15 "
2012,"N00009869","E1600","06/25/2012",500,"15 "
2012,"N00009869","E1600","06/25/2012",1000,"15 "
2012,"N00009869","E1600","06/24/2012",1000,"15 "
2012,"N00009869","E1600","06/22/2012",500,"15 "
2012,"N00009869","E1600","06/26/2012",500,"15 "
2012,"N00009869","E1500","05/22/2012",2500,"15 "
2012,"N00009869","E1000","06/23/2012",500,"15 "
2012,"N00009869","E1600","06/24/2012",500,"15 "
2012,"N00009869","E5000","06/18/2012",1000,"15 "
2012,"N00009869","E1600","06/26/2012",2500,"15 "
2012,"N00009869","E1000","05/30/2012",2500,"15 "
2012,"N00009869","E1160","05/28/2012",1000,"15 "
2012,"N00009869","E1600","06/26/2012",500,"15 "
2012,"N00009869","E1600","06/25/2012",2500,"15 "
2012,"N00009869","E1600","06/21/2012",2500,"15 "
2012,"N00009869","E1160","05/28/2012",-1000,"15 "
2012,"N00009869","E1000","05/22/2012",500,"15 "
2012,"N00009869","E1120","05/10/2012",500,"15 "
2012,"N00033176","E1120","10/02/2012",2500,"15 "
2012,"N00009869","E1600","06/21/2012",500,"15 "
2012,"N00009869","E1120","05/10/2012",250,"15 "
2012,"N00009869","E1500","05/15/2012",2500,"15 "
2012,"N00009869","E1120","05/10/2012",250,"15 "
2012,"N00009869","E1120","05/10/2012",250,"15 "
2012,"N00033176","E1120","10/02/2012",2500,"15 "
2012,"N00033176","E1120","10/02/2012",2500,"15 "
2012,"N00009818","E3000","01/19/2012",2500,"15 "
2012,"N00009869","E1600","06/24/2012",500,"15 "
2012,"N00009869","E1600","06/21/2012",500,"15 "
2012,"N00009869","E1000","06/11/2012",1000,"15 "
2012,"N00009869","E1000","05/10/2012",250,"15 "
2012,"N00009869","E1000","05/22/2012",1000,"15 "
2012,"N00009869","E1160","05/28/2012",3500,"15 "
2012,"N00009869","E1120","05/10/2012",250,"15 "
2012,"N00009818","E1170","03/26/2012",2500,"15 "
2012,"N00009818","E3000","01/18/2012",500,"15 "
2012,"N00009818","E1600","03/21/2012",250,"15J"
2012,"N00003535","E1600","08/24/2012",200,"15 "
2012,"N00009818","E2000","05/21/2012",1500,"15 "
2012,"N00009818","E1000","05/23/2012",1000,"15 "
2012,"N00003535","E1000","08/17/2012",250,"15 "
2012,"N00003535","E1100","09/30/2012",250,"15 "
2012,"N00003535","E1110","09/25/2012",250,"15 "
2012,"N00003535","E1100","08/22/2012",500,"15 "
2012,"N00003535","E1000","08/10/2012",250,"15 "
2012,"N00009818","E1120","03/29/2012",1562,"15J"
2012,"N00009818","E1120","03/29/2012",1562,"15J"
2012,"N00003535","E1620","08/28/2012",250,"15 "
2012,"N00009818","E1600","03/22/2012",1000,"15 "
2012,"N00009818","E1620","02/07/2012",1000,"15 "
2012,"N00003535","E1620","09/30/2012",250,"15 "
2012,"N00003535","E1100","09/13/2012",250,"15 "
2012,"N00033728","E1240","10/17/2012",2500,"15 "
2012,"N00003535","E1100","09/11/2012",200,"15 "
2012,"N00033728","E1240","10/17/2012",1500,"15 "
2012,"N00033728","E1240","10/17/2012",2500,"15 "
2012,"N00009818","E2000","04/02/2012",750,"15 "
2012,"N00003535","E1700","09/19/2012",250,"15 "
2012,"N00003535","E1620","09/28/2012",250,"15 "
2012,"N00033728","E1120","10/16/2012",600,"15 "
2012,"N00033728","E1210","10/17/2012",2014,"15 "
2012,"N00033728","E1120","10/12/2012",2500,"15 "
2012,"N00033728","E1240","10/17/2012",2500,"15 "
2012,"N00033728","E1240","10/17/2012",2500,"15 "
2012,"N00033728","E1240","10/17/2012",1000,"15 "
2012,"N00033728","E1210","10/17/2012",250,"15 "
2012,"N00033728","E1240","10/17/2012",1500,"15 "
2012,"N00033728","E1100","06/25/2012",2500,"15 "
2012,"N00003535","E1500","09/30/2012",250,"15 "
2012,"N00033728","E1240","10/17/2012",500,"15 "
2012,"N00033728","E1210","10/17/2012",300,"15 "
2012,"N00033728","E1210","10/17/2012",400,"15 "
2012,"N00033728","E1160","10/01/2012",1000,"15 "
2012,"N00033728","E1240","10/17/2012",2500,"15 "
2012,"N00033728","E1100","06/23/2012",250,"15 "
2012,"N00033728","E1240","10/17/2012",2500,"15 "
2012,"N00033728","E1240","10/17/2012",1000,"15 "
2012,"N00033728","E1120","10/09/2012",300,"15 "
2012,"N00033728","E1210","10/17/2012",300,"15 "
2012,"N00033728","E1100","10/12/2012",500,"15 "
2012,"N00033728","E1160","05/17/2012",500,"15 "
2012,"N00033728","E1210","10/17/2012",1000,"15 "
2012,"N00033728","E1210","10/17/2012",2500,"15 "
2012,"N00033728","E2000","10/17/2012",250,"15 "
2012,"N00033728","E1600","10/01/2012",500,"15 "
2012,"N00033728","E1240","10/17/2012",300,"15 "
2012,"N00033728","E1100","10/15/2012",300,"15 "
2012,"N00033728","E1120","06/04/2012",1000,"15 "
2012,"N00033728","E1200","04/16/2012",1000,"15 "
2012,"N00033728","E1100","06/28/2012",1000,"15 "
2012,"N00033728","E1240","10/17/2012",250,"15 "
2012,"N00033728","E1220","10/17/2012",2500,"15 "
2012,"N00033728","E1210","10/17/2012",500,"15 "
2012,"N00033728","E1240","10/17/2012",2400,"15 "
2012,"N00003535","E1500","09/26/2012",250,"15 "
2012,"N00033728","E1620","06/30/2012",2500,"15 "
2012,"N00003535","E1500","07/18/2012",2500,"15 "
2012,"N00033728","E1120","10/02/2012",1000,"15 "
2012,"N00033728","E1120","10/09/2012",500,"15 "
2012,"N00003535","E1620","07/31/2012",500,"15 "
2012,"N00033728","E1100","10/12/2012",2000,"15 "
2012,"N00033728","E1000","10/09/2012",1000,"15 "
2012,"N00033728","E1240","10/17/2012",2500,"15 "
2012,"N00003535","E1110","09/21/2012",1000,"15 "
2012,"N00033728","E1210","10/17/2012",1000,"15 "
2012,"N00003535","E1600","08/30/2012",250,"15J"
2012,"N00033728","E1240","10/17/2012",2500,"15 "
