"Cycle","CID","RealCode","Date","Amount","Type"
2016,"N00007724","E1140","06/22/2015",500,"24K"
2016,"N00003682","E1140","09/16/2016",0,"24K"
2016,"N00003682","E1240","04/26/2016",1000,"24K"
2016,"N00027229","E1120","09/23/2016",1000,"24K"
2016,"N00004357","E1120","03/03/2016",2700,"24K"
2016,"N00035628","E1150","04/22/2016",1000,"24K"
2016,"N00003682","E1160","04/15/2015",2500,"24K"
2016,"N00031688","E1110","03/18/2016",1000,"24K"
2016,"N00029835","E4200","03/14/2016",1000,"24K"
2016,"N00005582","E1620","09/11/2015",1000,"24K"
2016,"N00009699","E1620","12/14/2015",2500,"24K"
2016,"N00013770","E1610","10/27/2015",1000,"24K"
2016,"N00033410","E1150","07/02/2015",2500,"24K"
2016,"N00027229","E1120","10/21/2016",2000,"24K"
2016,"N00031681","E1210","03/03/2015",5000,"24K"
2016,"N00026050","E4100","06/08/2015",5000,"24K"
2016,"N00003682","E1620","05/08/2015",2000,"24K"
2016,"N00007690","E1150","06/22/2016",2000,"24K"
2016,"N00005195","E1140","09/29/2015",5000,"24K"
2016,"N00035607","E1620","07/09/2015",2500,"24K"
2016,"N00035420","E1120","03/21/2016",1000,"24K"
2016,"N00031688","E1170","03/22/2016",1500,"24K"
2016,"N00004572","E1500","07/07/2016",5000,"24K"
2016,"N00004291","E1110","05/10/2016",1000,"24K"
2016,"N00029675","E1600","09/27/2016",1000,"24K"
2016,"N00026341","E1610","09/22/2015",500,"24K"
2016,"N00025292","E1120","10/17/2016",5000,"24K"
2016,"N00031417","E1600","02/23/2016",2500,"24K"
2016,"N00027035","E1620","04/20/2015",1000,"24K"
2016,"N00032546","E1170","06/16/2016",2500,"24K"
2016,"N00026050","E1120","09/08/2016",2500,"24K"
2016,"N00027462","E1600","08/12/2016",1000,"24K"
2016,"N00034580","E1630","08/30/2016",2500,"24K"
2016,"N00033367","E1620","10/05/2016",1000,"24K"
2016,"N00035380","E1150","09/01/2015",1000,"24K"
2016,"N00039780","E1210","06/20/2016",2000,"24K"
