"Cycle","CID","RealCode","Date","Amount","Type"
2020,"N00030752","E1600","10/01/2019",1000,"24K"
2020,"N00030693","E4100","03/29/2019",2000,"24K"
2020,"N00035774","E4100","02/28/2019",1000,"24K"
2020,"N00046125","E1160","12/20/2019",1000,"24K"
2020,"N00042868","E1600","10/31/2019",1000,"24K"
2020,"N00004572","E1600","10/31/2019",1000,"24K"
2020,"N00004558","E1600","10/10/2019",1000,"24K"
2020,"N00042353","E1600","11/01/2019",1000,"24K"
2020,"N00040559","E1600","11/01/2019",1000,"24K"
2020,"N00035187","E1600","10/31/2019",1000,"24K"
2020,"N00031688","E1600","07/24/2019",1000,"24K"
2020,"N00004614","E1600","10/31/2019",1000,"24K"
2020,"N00037034","E1610","06/18/2020",2500,"24K"
2020,"N00039090","E1160","09/16/2020",1000,"24K"
2020,"N00033220","E1600","11/06/2019",1000,"24K"
2020,"N00039777","E1600","10/14/2019",500,"24K"
2020,"N00026335","E1600","10/14/2019",500,"24K"
2020,"N00037442","E1600","10/14/2019",1000,"24K"
2020,"N00045753","E1600","11/06/2019",500,"24K"
2020,"N00033449","E1600","10/14/2019",500,"24K"
2020,"N00037422","E1600","10/14/2019",1000,"24K"
2020,"N00030642","E1600","10/14/2019",500,"24K"
2020,"N00025337","E1600","10/14/2019",250,"24K"
2020,"N00027462","E1600","10/14/2019",500,"24K"
2020,"N00042808","E1600","10/14/2019",500,"24K"
2020,"N00002893","E1600","10/14/2019",500,"24K"
2020,"N00032416","E1160","01/29/2019",1000,"24K"
2020,"N00030196","E1500","09/17/2019",1000,"24K"
2020,"N00046530","E1200","02/28/2020",250,"24K"
2020,"N00046125","E1200","02/10/2020",2500,"24K"
2020,"N00032457","E1200","03/02/2020",1000,"24K"
2020,"N00046530","E1200","02/28/2020",250,"24K"
2020,"N00033030","E3000","10/08/2019",1000,"24K"
2020,"N00006263","E1610","09/30/2019",500,"24K"
2020,"N00008799","E5000","12/26/2019",5000,"24K"
2020,"N00005883","E1120","03/07/2019",1000,"24K"
2020,"N00026314","E4100","03/12/2019",300,"24K"
2020,"N00036403","E4100","03/15/2019",300,"24K"
2020,"N00030788","E1160","05/01/2019",500,"24K"
2020,"N00042126","E1610","04/05/2019",100,"24K"
2020,"N00007999","E4100","05/08/2019",500,"24K"
2020,"N00030693","E4100","04/08/2019",350,"24Z"
2020,"N00041871","E1210","04/01/2019",500,"24K"
2020,"N00013323","E1000","02/06/2019",1500,"24K"
2020,"N00033539","E1000","04/08/2019",1000,"24K"
2020,"N00024759","E1000","04/11/2019",1000,"24K"
2020,"N00030196","E1500","06/17/2019",500,"24K"
2020,"N00031958","E1150","02/12/2019",1000,"24K"
2020,"N00035380","E1150","02/13/2019",1000,"24K"
2020,"N00044434","E1150","06/28/2019",1000,"24K"
2020,"N00003280","E1150","04/08/2019",4000,"24K"
2020,"N00002408","E1600","03/14/2019",1500,"24K"
2020,"N00002674","E1160","07/17/2019",500,"24K"
2020,"N00041871","E1210","04/01/2019",500,"24K"
2020,"N00035774","E4100","02/26/2020",7500,"24K"
2020,"N00037422","E1600","10/14/2019",-1000,"24K"
2020,"N00030693","E4100","03/29/2019",2000,"24K"
2020,"N00035774","E4100","02/28/2019",1000,"24K"
2020,"N00035504","E1120","09/17/2019",500,"24K"
2020,"N00043541","E1160","10/26/2020",-2000,"24K"
2020,"N00027509","E1160","10/22/2020",-1000,"24K"
2020,"N00002593","E1200","10/19/2020",-500,"24K"
2020,"N00034044","E1600","11/12/2020",-2500,"24K"
2020,"N00035483","E4200","11/03/2020",-2000,"24K"
2020,"N00041338","E1500","10/27/2020",1000,"24K"
2020,"N00044206","E1500","10/27/2020",500,"24K"
2020,"N00041731","E1500","10/27/2020",1000,"24K"
2020,"N00028138","E1500","11/20/2020",1000,"24K"
2020,"N00035774","E1220","07/30/2020",2500,"24K"
2020,"N00031177","E1220","07/15/2020",1500,"24K"
2020,"N00026314","E1220","07/21/2020",5000,"24K"
2020,"N00000491","E1220","09/10/2020",5000,"24K"
2020,"N00030780","E1220","09/10/2020",5000,"24K"
2020,"N00007999","E1220","07/30/2020",1500,"24K"
2020,"N00029441","E1220","07/15/2020",2500,"24K"
2020,"N00035483","E1220","09/10/2020",5000,"24K"
2020,"N00033982","E1220","09/10/2020",5000,"24K"
2020,"N00041335","E1220","07/30/2020",1500,"24K"
2020,"N00006263","E1220","09/07/2020",1000,"24K"
2020,"N00033054","E1220","07/15/2020",2200,"24K"
2020,"N00031233","E1200","06/06/2019",4000,"24K"
