"Cycle","RecipID","RealCode","Date","Amount","Type"
2016,"N00030759","E1000","02/17/2016",2000,"15 "
2016,"N00030759","E1120","03/22/2016",500,"15 "
2016,"N00005285","E3000","09/18/2015",2000,"15 "
2016,"N00005285","E1150","09/23/2015",1000,"15 "
2016,"N00005285","E1150","09/23/2015",1000,"15 "
2016,"N00005285","E1160","09/23/2015",1000,"15 "
2016,"N00030759","E1100","02/17/2016",400,"15 "
2016,"N00030759","E1150","02/16/2016",250,"15 "
2016,"N00036915","E1500","06/02/2016",500,"15E"
2016,"N00036915","E1160","06/23/2016",2700,"15 "
2016,"N00036915","E0000","06/07/2016",500,"15E"
2016,"N00039220","E1120","06/06/2016",-2700,"15 "
2016,"N00039220","E1150","05/17/2016",1200,"15 "
2016,"N00026050","E4100","04/15/2016",2000,"15 "
2016,"N00035616","E1120","06/06/2016",2700,"15 "
2016,"N00035616","E1140","06/13/2016",100,"15 "
2016,"N00035616","E5000","06/27/2016",800,"15 "
2016,"N00026050","E1170","06/20/2016",1000,"15 "
2016,"N00026050","E4100","06/28/2016",500,"15 "
2016,"N00026050","E1500","05/19/2016",1000,"15 "
2016,"N00035616","E1120","06/30/2016",250,"15 "
2016,"N00036915","E1110","06/11/2016",10,"15E"
2016,"N00035616","E1120","06/30/2016",1000,"15 "
2016,"N00035616","E1120","06/30/2016",2700,"15 "
2016,"N00035616","E1120","06/30/2016",2700,"15 "
2016,"N00026050","E1110","06/09/2016",500,"15 "
2016,"N00026050","E4100","04/15/2016",2500,"15 "
2016,"N00035616","E1120","06/30/2016",250,"15 "
2016,"N00036915","E1110","06/03/2016",50,"15E"
2016,"N00035616","E1120","06/30/2016",500,"15 "
2016,"N00035616","E1120","06/28/2016",200,"15 "
2016,"N00039220","E1150","05/17/2016",1200,"15 "
2016,"N00039220","E1120","06/06/2016",-2700,"15 "
2016,"N00026050","E1150","06/28/2016",500,"15 "
2016,"N00026050","E1200","06/06/2016",500,"15 "
2016,"N00035616","E1120","06/28/2016",50,"15 "
2016,"N00026050","E1000","05/20/2016",2500,"15 "
2016,"N00026050","E1000","06/04/2016",1000,"15 "
2016,"N00026050","E1620","06/06/2016",1000,"15 "
2016,"N00033177","E1500","06/30/2015",2000,"15J"
2016,"N00026050","E1000","05/19/2016",500,"15 "
2016,"N00033177","E1630","03/21/2015",2000,"15 "
2016,"N00035616","E1120","06/30/2016",2700,"15 "
2016,"N00036915","E1110","05/28/2016",100,"15E"
2016,"N00033177","E1140","01/13/2015",2450,"15 "
2016,"N00033177","E1500","03/31/2015",1000,"15J"
2016,"N00033177","E1500","03/31/2015",2700,"15J"
2016,"N00039220","E1120","06/06/2016",2700,"15 "
2016,"N00036915","E4100","05/31/2016",100,"15 "
2016,"N00036915","E1110","06/29/2016",100,"15E"
2016,"N00033177","E1140","09/21/2015",1000,"15 "
2016,"N00026050","E1000","05/20/2016",2700,"15 "
2016,"N00026050","E4100","04/18/2016",500,"15 "
2016,"N00026050","E4100","04/29/2016",1000,"15 "
2016,"N00035616","E1120","06/06/2016",2700,"15 "
2016,"N00035616","E1100","06/03/2016",200,"15 "
2016,"N00033177","E1620","12/14/2015",2300,"15 "
