"Cycle","CID","RealCode","Date","Amount","Type"
2018,"N00042164","E1300","02/14/2018",500,"24K"
2018,"N00031545","E1140","09/06/2018",1000,"24K"
2018,"N00042056","E1220","10/10/2018",3000,"24K"
2018,"N00033839","E1120","08/22/2018",1000,"24K"
2018,"N00030196","E1500","08/09/2018",2000,"24K"
2018,"N00041871","E1200","09/25/2018",2000,"24K"
2018,"N00033997","E1600","09/04/2018",1000,"24K"
2018,"N00009573","E1600","03/28/2017",1000,"24K"
2018,"N00033744","E1600","06/04/2018",1000,"24K"
2018,"N00036135","E1160","03/22/2018",3000,"24K"
2018,"N00034349","E1110","03/27/2017",2500,"24K"
2018,"N00033399","E1610","03/22/2018",5000,"24K"
2018,"N00030071","E1160","04/10/2018",1000,"24K"
2018,"N00036158","E1610","03/20/2018",1000,"24K"
2018,"N00025095","E1110","02/20/2018",2500,"24K"
2018,"N00026368","E1620","09/28/2017",1000,"24K"
2018,"N00030645","E1610","10/30/2017",2000,"24K"
2018,"N00001821","E1620","03/16/2018",2500,"24K"
2018,"N00029285","E1110","06/22/2017",1500,"24K"
2018,"N00026314","E1100","09/21/2018",3000,"24K"
2018,"N00027694","E1110","07/30/2018",1000,"24K"
2018,"N00027566","E1620","06/28/2017",1000,"24K"
2018,"N00002408","E1600","05/17/2018",1000,"24K"
2018,"N00031502","E1610","02/27/2018",1000,"24K"
2018,"N00036023","E1150","09/13/2018",2500,"24K"
2018,"N00009738","E1140","10/26/2017",2000,"24K"
2018,"N00007360","E1500","08/10/2018",5000,"24K"
2018,"N00004118","E1600","02/15/2018",2500,"24K"
2018,"N00026627","E1610","08/24/2017",1000,"24K"
2018,"N00004357","E1620","11/27/2017",1500,"24K"
2018,"N00004558","E1620","08/13/2018",1500,"24K"
2018,"N00026341","E1110","05/25/2018",1000,"24K"
2018,"N00027509","E1220","01/31/2017",-1000,"24K"
2018,"N00031782","E1620","12/20/2017",1000,"24K"
2018,"N00028133","E1150","10/09/2018",500,"24K"
2018,"N00033510","E1600","03/15/2018",1000,"24K"
2018,"N00028152","E1600","05/15/2018",5000,"24K"
2018,"N00027522","E1210","09/18/2017",2500,"24K"
2018,"N00038601","E1140","03/22/2018",1500,"24K"
2018,"N00002424","E1160","09/24/2018",-3000,"24K"
2018,"N00040559","E1170","08/09/2018",2000,"24K"
2018,"N00037049","E1110","07/06/2018",2500,"24K"
2018,"N00042808","E1600","06/05/2018",-2500,"24K"
2018,"N00030071","E1600","04/12/2018",1000,"24K"
2018,"N00030071","E1600","03/24/2017",1000,"24K"
2018,"N00006460","E1220","07/20/2017",2500,"24K"
2018,"N00012642","E1160","11/30/2018",-1000,"24K"
2018,"N00035820","E1160","12/13/2017",2500,"24K"
2018,"N00024978","E1600","12/05/2017",1000,"24K"
2018,"N00033987","E1620","11/03/2017",500,"24K"
2018,"N00034784","E1500","03/30/2017",2000,"24K"
2018,"N00037049","E1110","10/03/2018",2500,"24K"
2018,"N00031177","E1110","06/01/2018",2500,"24K"
2018,"N00036944","E1500","11/20/2017",5000,"24K"
2018,"N00039533","E1620","09/05/2018",-1000,"24K"
2018,"N00007017","E1620","06/26/2017",1000,"24K"
2018,"N00031134","E1110","07/24/2017",1000,"24K"
2018,"N00028133","E4100","10/11/2018",1000,"24K"
2018,"N00001821","E1620","10/11/2017",2500,"24K"
2018,"N00036023","E1140","09/26/2017",1000,"24K"
2018,"N00035440","E1620","02/28/2018",1000,"24K"
2018,"N00042047","E1610","09/25/2018",1000,"24K"
2018,"N00033399","E1170","09/24/2018",2500,"24K"
2018,"N00004118","E1620","09/22/2017",2500,"24K"
2018,"N00032029","E1100","09/05/2018",1000,"24K"
2018,"N00029459","E4200","06/12/2018",2500,"24K"
2018,"N00040607","E1200","09/13/2017",1000,"24K"
2018,"N00035391","E1110","05/29/2018",2500,"24K"
2018,"N00035820","E1600","11/16/2017",1000,"24K"
2018,"N00038781","E1110","10/23/2017",1500,"24K"
2018,"N00030771","E1120","04/24/2017",1500,"24K"
2018,"N00030196","E1620","06/11/2018",1000,"24K"
2018,"N00009573","E1600","12/28/2017",-750,"24K"
2018,"N00003288","E1140","12/28/2018",3500,"24K"
2018,"N00033443","E1600","05/15/2018",2000,"24K"
2018,"N00025292","E1110","03/27/2017",1500,"24K"
2018,"N00027441","E1110","06/19/2017",5000,"24K"
2018,"N00000781","E1600","05/10/2018",2000,"24K"
2018,"N00036403","E1300","09/28/2017",1000,"24K"
2018,"N00033399","E1170","07/24/2018",2000,"24K"
2018,"N00036154","E1610","04/10/2018",1000,"24K"
2018,"N00042646","E1620","06/06/2018",1000,"24K"
2018,"N00031127","E1160","07/25/2018",2500,"24K"
2018,"N00035516","E1620","12/12/2017",1000,"24K"
2018,"N00026368","E1620","06/20/2017",4000,"24K"
2018,"N00035509","E1500","06/04/2018",2500,"24K"
2018,"N00009699","E1600","03/30/2017",1000,"24K"
2018,"N00038767","E1620","07/25/2018",1000,"24K"
2018,"N00036944","E2000","06/26/2018",500,"24K"
2018,"N00027229","E1600","04/21/2017",1000,"24K"
2018,"N00005736","E1140","09/24/2018",1000,"24K"
2018,"N00004357","E1610","01/29/2018",5000,"24K"
2018,"N00009869","E1620","01/04/2018",1000,"24K"
2018,"N00040607","E1320","05/02/2017",1000,"24K"
2018,"N00005736","E1160","09/24/2018",2500,"24K"
2018,"N00035523","E1610","05/16/2017",1000,"24K"
2018,"N00000781","E1610","03/20/2018",1500,"24K"
2018,"N00034784","E1600","09/18/2017",1000,"24K"
2018,"N00031559","E1140","09/21/2018",3000,"24K"
2018,"N00041104","E1610","12/04/2018",1000,"24K"
2018,"N00004357","E1120","05/16/2017",5000,"24K"
2018,"N00004558","E1200","07/27/2017",500,"24K"
2018,"N00029285","E1620","05/02/2017",1000,"24K"
2018,"N00027741","E1610","02/27/2018",1000,"24K"
2018,"N00033744","E1600","03/15/2018",1000,"24K"
2018,"N00007690","E1140","09/26/2017",1000,"24K"
2018,"N00033410","E1140","09/26/2017",1000,"24K"
2018,"N00033539","E1100","05/03/2017",1000,"24K"
2018,"N00030771","E1220","11/22/2017",5000,"24K"
2018,"N00009869","E1120","01/12/2017",5000,"24K"
2018,"N00031857","E1620","02/16/2017",1000,"24K"
2018,"N00030622","E1620","10/06/2017",1000,"24K"
2018,"N00001285","E1500","06/28/2017",5000,"24K"
