"first_name.x","last_name.x","state.x","district.x","Vote3","Vote4","Vote51","Vote52","Vote6","BioID","GovtrackID","Vote7","party","Vote_count","Vote_change","opensecrets_id.x","Contribution_3_-.x","Contribution_3_+.x","Contribution_4_-.x","Contribution_4_+.x","Contribution_51_-.x","Contribution_51_+.x","Contribution_52_-.x","Contribution_52_+.x","Contribution_6_-.x","Contribution_6_+.x","Contribution_7_-.x","Contribution_7_+.x","name.x","last_name.y","first_name.y","state.y","opensecrets_id.y","bioguide_id","district.y","Contribution_3_-.y","Contribution_3_+.y","Contribution_4_-.y","Contribution_4_+.y","Contribution_51_-.y","Contribution_51_+.y","Contribution_52_-.y","Contribution_52_+.y","Contribution_6_-.y","Contribution_6_+.y","Contribution_7_-.y","Contribution_7_+.y","name.y"
"Martha","Roby","AL",2,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"martha roby","Roby","Martha","AL","N00030768","R000591",2,15000,0,9750,0,30600,0,58100,700,5500,0,NA,NA,"martha roby"
"Mike D.","Rogers","AL",3,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mike d rogers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robert B.","Aderholt","AL",4,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"robert b aderholt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spencer","Bachus","AL",6,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spencer bachus","Bachus","Spencer","AL","N00008091","B000013",6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spencer bachus"
"Ron","Barber","AZ",2,"+",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ron barber","Barber","Ron","AZ","N00033981","B001279",2,7000,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ron barber"
"Matt","Salmon","AZ",5,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"matt salmon","Salmon","Matt","AZ","N00006446","S000018",5,20500,750,-7000,0,NA,NA,NA,NA,NA,NA,NA,NA,"matt salmon"
"Ed","Pastor","AZ",7,"+",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ed pastor","Pastor","Ed","AZ","N00006397","P000099",7,12500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ed pastor"
"Trent","Franks","AZ",8,"-","-","-",NA,NA,NA,NA,NA,"R",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trent franks","Franks","Trent","AZ","N00006423","F000448",8,6100,0,7250,0,NA,NA,NA,NA,NA,NA,NA,NA,"trent franks"
"Kyrsten","Sinema","AZ",9,"+","+","+",NA,NA,NA,NA,NA,"I",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kyrsten sinema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tim","Griffin","AR",2,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tim griffin","Griffin","Tim","AR","N00031297","G000567",2,53500,2600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tim griffin"
