"","LastName","FirstName","State","Party","Chamber"
"1","Adams","Alma","North Carolina","Democrat","District 12"
"2","Aderholt","Robert B","Alabama","Republican","District 4"
"3","Aguilar","Pete","California","Democrat","District 31"
"4","Allen","Richard W","Georgia","Republican","District 12"
"5","Allred","Colin","Texas","Democrat","District 32"
"6","Amash","Justin","Michigan","Independent","District 3"
"7","Amodei","Mark","Nevada","Republican","District 2"
"8","Armstrong","Kelly","North Dakota","Republican","District 1"
"9","Arrington","Jodey","Texas","Republican","District 19"
"10","Axne","Cindy","Iowa","Democrat","District 3"
"11","Babin","Brian","Texas","Republican","District 36"
"12","Bacon","Donald John","Nebraska","Republican","District 2"
"13","Baird","Jim","Indiana","Republican","District 4"
"14","Balderson","Troy","Ohio","Republican","District 12"
"15","Banks","Jim","Indiana","Republican","District 3"
"16","Barr","Andy","Kentucky","Republican","District 6"
"17","Barragan","Nanette","California","Democrat","District 44"
"18","Bass","Karen","California","Democrat","District 37"
"19","Beatty","Joyce","Ohio","Democrat","District 3"
"20","Bera","Ami","California","Democrat","District 7"
"21","Bergman","John","Michigan","Republican","District 1"
"22","Beutler","Jaime Herrera","Washington","Republican","District 3"
"23","Beyer","Don","Virginia","Democrat","District 8"
"24","Biggs","Andy","Arizona","Republican","District 5"
"25","Bilirakis","Gus","Florida","Republican","District 12"
"26","Bishop","Dan","North Carolina","Republican","District 9"
"27","Bishop","Rob","Utah","Republican","District 1"
"28","Bishop","Sanford","Georgia","Democrat","District 2"
"29","Blumenauer","Earl","Oregon","Democrat","District 3"
"30","Bonamici","Suzanne","Oregon","Democrat","District 1"
"31","Bost","Mike","Illinois","Republican","District 12"
"32","Boyle","Brendan","Pennsylvania","Democrat","District 2"
"33","Brady","Kevin","Texas","Republican","District 8"
"34","Brindisi","Anthony","New York","Democrat","District 22"
"35","Brooks","Mo","Alabama","Republican","District 5"
"36","Brooks","Susan","Indiana","Republican","District 5"
"37","Brown","Anthony","Maryland","Democrat","District 4"
"38","Brownley","Julia","California","Democrat","District 26"
"39","Buchanan","Vernon","Florida","Republican","District 16"
"40","Buck","Ken","Colorado","Republican","District 4"
"41","Bucshon","Larry","Indiana","Republican","District 8"
"42","Budd","Ted","North Carolina","Republican","District 13"
"43","Burchett","Tim","Tennessee","Republican","District 2"
"44","Burgess","Michael","Texas","Republican","District 26"
"45","Bustos","Cheri","Illinois","Democrat","District 17"
"46","Butterfield","G K","North Carolina","Democrat","District 1"
"47","Byrne","Bradley","Alabama","Republican","District 1"
"48","Calvert","Ken","California","Republican","District 42"
"49","Carbajal","Salud","California","Democrat","District 24"
"50","Cardenas","Tony","California","Democrat","District 29"
"51","Carson","Andre","Indiana","Democrat","District 7"
"52","Carter","Buddy","Georgia","Republican","District 1"
"53","Carter","John","Texas","Republican","District 31"
"54","Cartwright","Matt","Pennsylvania","Democrat","District 8"
"55","Case","Ed","Hawaii","Democrat","District 1"
"56","Casten","Sean","Illinois","Democrat","District 6"
"57","Castor","Kathy","Florida","Democrat","District 14"
"58","Castro","Joaquin","Texas","Democrat","District 20"
"59","Chabot","Steve","Ohio","Republican","District 1"
"60","Cheney","Liz","Wyoming","Republican","District 1"
"61","Chu","Judy","California","Democrat","District 27"
"62","Cicilline","David","Rhode Island","Democrat","District 1"
"63","Cisneros","Gil","California","Democrat","District 39"
"64","Clark","Katherine","Massachusetts","Democrat","District 5"
"65","Clarke","Yvette","New York","Democrat","District 9"
"66","Clay","William L Jr","Missouri","Democrat","District 1"
"67","Cleaver","Emanuel","Missouri","Democrat","District 5"
"68","Cline","Ben","Virginia","Republican","District 6"
"69","Cloud","Michael","Texas","Republican","District 27"
"70","Clyburn","James E","South Carolina","Democrat","District 6"
"71","Cohen","Steve","Tennessee","Democrat","District 9"
"72","Cole","Tom","Oklahoma","Republican","District 4"
"73","Coleman","Bonnie Watson","New Jersey","Democrat","District 12"
"74","Collins","Doug","Georgia","Republican","District 9"
"75","Comer","James","Kentucky","Republican","District 1"
"76","Conaway","Mike","Texas","Republican","District 11"
"77","Connolly","Gerry","Virginia","Democrat","District 11"
"78","Cook","Paul","California","Republican","District 8"
"79","Cooper","Jim","Tennessee","Democrat","District 5"
"80","Correa","Lou","California","Democrat","District 46"
"81","Costa","Jim","California","Democrat","District 16"
"82","Courtney","Joe","Connecticut","Democrat","District 2"
"83","Cox","TJ","California","Democrat","District 21"
"84","Craig","Angie","Minnesota","Democrat","District 2"
"85","Crawford","Rick","Arkansas","Republican","District 1"
"86","Crenshaw","Dan","Texas","Republican","District 2"
"87","Crist","Charlie","Florida","Democrat","District 13"
"88","Crow","Jason","Colorado","Democrat","District 6"
"89","Cuellar","Henry","Texas","Democrat","District 28"
"90","Cunningham","Joe","South Carolina","Democrat","District 1"
"91","Curtis","John","Utah","Republican","District 3"
"92","Davids","Sharice","Kansas","Democrat","District 3"
"93","Davidson","Warren","Ohio","Republican","District 8"
"94","Davis","Danny K","Illinois","Democrat","District 7"
"95","Davis","Rodney","Illinois","Republican","District 13"
"96","Davis","Susan","California","Democrat","District 53"
"97","Dean","Madeleine","Pennsylvania","Democrat","District 4"
"98","DeFazio","Peter","Oregon","Democrat","District 4"
"99","DeGette","Diana","Colorado","Democrat","District 1"
"100","DeLauro","Rosa","Connecticut","Democrat","District 3"
"101","DelBene","Suzan","Washington","Democrat","District 1"
"102","Delgado","Antonio","New York","Democrat","District 19"
"103","Demings","Val","Florida","Democrat","District 10"
"104","Desaulnier","Mark","California","Democrat","District 11"
"105","Desjarlais","Scott","Tennessee","Republican","District 4"
"106","Deutch","Ted","Florida","Democrat","District 22"
"107","Diaz-Balart","Mario","Florida","Republican","District 25"
"108","Dingell","Debbie","Michigan","Democrat","District 12"
"109","Doggett","Lloyd","Texas","Democrat","District 35"
"110","Doyle","Mike","Pennsylvania","Democrat","District 18"
"111","Duncan","Jeff","South Carolina","Republican","District 3"
"112","Dunn","Neal","Florida","Republican","District 2"
"113","Emmer","Tom","Minnesota","Republican","District 6"
"114","Engel","Eliot","New York","Democrat","District 16"
"115","Escobar","Veronica","Texas","Democrat","District 16"
"116","Eshoo","Anna","California","Democrat","District 18"
"117","Espaillat","Adriano","New York","Democrat","District 13"
"118","Estes","Ron","Kansas","Republican","District 4"
"119","Evans","Dwight","Pennsylvania","Democrat","District 3"
"120","Ferguson","Drew","Georgia","Republican","District 3"
"121","Finkenauer","Abby","Iowa","Democrat","District 1"
"122","Fitzpatrick","Brian","Pennsylvania","Republican","District 1"
"123","Fleischmann","Chuck","Tennessee","Republican","District 3"
"124","Fletcher","Lizzie","Texas","Democrat","District 7"
"125","Flores","Bill","Texas","Republican","District 17"
"126","Fortenberry","Jeff","Nebraska","Republican","District 1"
"127","Foster","Bill","Illinois","Democrat","District 11"
"128","Foxx","Virginia","North Carolina","Republican","District 5"
"129","Frankel","Lois","Florida","Democrat","District 21"
"130","Fudge","Marcia","Ohio","Democrat","District 11"
"131","Fulcher","Russ","Idaho","Republican","District 1"
"132","Gabbard","Tulsi","Hawaii","Democrat","District 2"
"133","Gaetz","Matt","Florida","Republican","District 1"
"134","Gallagher","Mike","Wisconsin","Republican","District 8"
"135","Gallego","Ruben","Arizona","Democrat","District 7"
"136","Garamendi","John","California","Democrat","District 3"
"137","Garcia","Jesus","Illinois","Democrat","District 4"
"138","Garcia","Mike","California","Republican","District 25"
"139","Garcia","Sylvia","Texas","Democrat","District 29"
"140","Gianforte","Greg","Montana","Republican","District 1"
"141","Gibbs","Bob","Ohio","Republican","District 7"
"142","Gohmert","Louis B Jr","Texas","Republican","District 1"
"143","Golden","Jared","Maine","Democrat","District 2"
"144","Gomez","Jimmy","California","Democrat","District 34"
"145","Gonzalez","Anthony","Ohio","Republican","District 16"
"146","Gonzalez","Vicente","Texas","Democrat","District 15"
"147","Gooden","Lance","Texas","Republican","District 5"
"148","Gosar","Paul","Arizona","Republican","District 4"
"149","Gottheimer","Josh","New Jersey","Democrat","District 5"
"150","Granger","Kay","Texas","Republican","District 12"
"151","Graves","Garret","Louisiana","Republican","District 6"
"152","Graves","Sam","Missouri","Republican","District 6"
"153","Green","Al","Texas","Democrat","District 9"
"154","Green","Mark","Tennessee","Republican","District 7"
"155","Griffith","Morgan","Virginia","Republican","District 9"
"156","Grijalva","Raul M","Arizona","Democrat","District 3"
"157","Grothman","Glenn","Wisconsin","Republican","District 6"
"158","Guest","Michael","Mississippi","Republican","District 3"
"159","Guthrie","Brett","Kentucky","Republican","District 2"
"160","Haaland","Debra","New Mexico","Democrat","District 1"
"161","Hagedorn","Jim","Minnesota","Republican","District 1"
"162","Harder","Josh","California","Democrat","District 10"
"163","Harris","Andy","Maryland","Republican","District 1"
"164","Hartzler","Vicky","Missouri","Republican","District 4"
"165","Hastings","Alcee","Florida","Democrat","District 20"
"166","Hayes","Jahana","Connecticut","Democrat","District 5"
"167","Heck","Dennis","Washington","Democrat","District 10"
"168","Hern","Kevin","Oklahoma","Republican","District 1"
"169","Hice","Jody","Georgia","Republican","District 10"
"170","Higgins","Brian M","New York","Democrat","District 26"
"171","Higgins","Clay","Louisiana","Republican","District 3"
"172","Hill","French","Arkansas","Republican","District 2"
"173","Himes","Jim","Connecticut","Democrat","District 4"
"174","Holding","George","North Carolina","Republican","District 2"
"175","Hollingsworth","Trey","Indiana","Republican","District 9"
"176","Horn","Kendra","Oklahoma","Democrat","District 5"
"177","Horsford","Steven","Nevada","Democrat","District 4"
"178","Houlahan","Chrissy","Pennsylvania","Democrat","District 6"
"179","Hoyer","Steny H","Maryland","Democrat","District 5"
"180","Hudson","Richard","North Carolina","Republican","District 8"
"181","Huffman","Jared","California","Democrat","District 2"
"182","Huizenga","Bill","Michigan","Republican","District 2"
"183","Hurd","Will","Texas","Republican","District 23"
"184","Jackson Lee","Sheila","Texas","Democrat","District 18"
"185","Jacobs","Chris","New York","Republican","District 27"
"186","Jayapal","Pramila","Washington","Democrat","District 7"
"187","Jeffries","Hakeem","New York","Democrat","District 8"
"188","Johnson","Bill","Ohio","Republican","District 6"
"189","Johnson","Dusty","South Dakota","Republican","District 1"
"190","Johnson","Eddie Bernice","Texas","Democrat","District 30"
"191","Johnson","Hank","Georgia","Democrat","District 4"
"192","Johnson","Mike","Louisiana","Republican","District 4"
"193","Jordan","Jim","Ohio","Republican","District 4"
"194","Joyce","David P","Ohio","Republican","District 14"
"195","Joyce","John","Pennsylvania","Republican","District 13"
"196","Kaptur","Marcy","Ohio","Democrat","District 9"
"197","Katko","John","New York","Republican","District 24"
"198","Keating","Bill","Massachusetts","Democrat","District 9"
