"","LastName","FirstName","Amount.oil.114","Amount.coal.114","Amount.mining.114","Amount.gas.114","Amount.env.114","Amount.alt_en.114","Party","StateAbbreviation"
"1","Boehner","John",758255,342798,593348,72800,2600,6350,"R","OH"
"2","Pompeo","Mike",376850,10500,14000,31500,0,11400,"R","KS"
"3","Coffman","Mike",372000,21200,44950,10750,2250,500,"R","CO"
"4","McCarthy","Kevin",362000,1500,8000,58300,0,2000,"R","CA"
"5","Pearce","Steve",342820,1000,27812,8600,0,0,"R","NM"
"6","Brady","Kevin",321650,3000,3000,49950,0,1000,"R","TX"
"7","Ryan","Paul",309799,8650,22100,26850,6200,500,"R","WI"
"8","Cramer","Kevin",272250,19400,24400,16500,0,2000,"R","ND"
"9","Conaway","Mike",263450,0,0,5000,0,5100,"R","TX"
"10","Olson","Pete",248000,1000,3600,35500,0,0,"R","TX"
"11","Upton","Fred",245800,24500,34000,55700,0,4500,"R","MI"
"12","Boustany","Charles Jr",236350,0,0,38250,0,0,"R","LA"
"13","Zinke","Ryan",217395,8250,14850,1000,0,400,"R","MT"
"14","Scalise","Steve",217274,9500,16500,21100,7200,0,"R","LA"
"15","Flores","Bill",213789,1000,7000,23500,2000,10400,"R","TX"
"16","Johnson","Bill",213266,78856,141519,35100,1000,3500,"R","OH"
"17","Reed","Tom",211200,1000,2555,39950,0,10250,"R","NY"
"18","Williams","Roger",209500,0,7200,7500,0,0,"R","TX"
"19","Shuster","Bill",205048,52315,105090,62100,0,1000,"R","PA"
"20","Fleming","John",188000,0,11100,7000,16400,0,"R","LA"
"21","Douglas","Patrice",164675,0,7800,1500,0,0,"R","OK"
"22","Cantor","Eric",162015,19003,29996,21375,0,0,"R","VA"
"23","Sessions","Pete",159450,1000,3000,16300,0,0,"R","TX"
"24","Mullin","Markwayne",148950,2500,6000,14600,0,0,"R","OK"
"25","Jenkins","Lynn",147950,5200,16600,36500,0,3600,"R","KS"
"26","Barton","Joe",142100,5500,10500,9500,0,0,"R","TX"
"27","Whitfield","Ed",136500,31000,37000,23500,0,13000,"R","KY"
"28","Harper","Gregg",136300,3000,3000,12500,0,0,"R","MS"
"29","Cuellar","Henry",135758,0,8000,16000,0,0,"D","TX"
