"","LastName","FirstName","Amount.oil.114","Amount.coal.114","Amount.mining.114","Amount.gas.114","Amount.env.114","Amount.alt_en.114","Amount.oil.115","Amount.coal.115","Amount.mining.115","Amount.gas.115","Amount.env.115","Amount.alt_en.115","Amount.oil.116","Amount.coal.116","Amount.mining.116","Amount.gas.116","Amount.env.116","Amount.alt_en.116","Party","StateAbbreviation"
"24","Mullin","Markwayne",148950,2500,6000,14600,0,0,227850,10000,11000,36800,0,0,183350,2700,4700,36000,0,1500,"R","OK"
"25","Jenkins","Lynn",147950,5200,16600,36500,0,3600,88700,0,13300,11000,0,6750,NA,NA,NA,NA,NA,NA,"R","KS"
"26","Barton","Joe",142100,5500,10500,9500,0,0,234282,4500,6500,18450,0,0,64850,0,0,1000,0,1000,"R","TX"
"27","Whitfield","Ed",136500,31000,37000,23500,0,13000,55100,9500,16000,0,0,500,NA,NA,NA,NA,NA,NA,"R","KY"
"28","Harper","Gregg",136300,3000,3000,12500,0,0,60550,0,1000,8500,0,0,17660,0,1000,2500,0,0,"R","MS"
"29","Cuellar","Henry",135758,0,8000,16000,0,0,162952,1000,4800,22500,0,0,173919,1500,8000,17000,0,500,"D","TX"
"30","Barrow","John",132650,6000,14500,20000,1500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","GA"
"31","Tipton","Scott",130739,16750,44300,6000,2000,1000,139100,22400,53400,6500,0,0,106350,8500,33149,11300,0,0,"R","CO"
"32","Thompson","Glenn",125330,17500,28250,31450,0,0,85550,9250,17250,22200,0,0,80100,9216,14916,15000,0,0,"R","PA"
"33","Buck","Ken",124450,2000,7600,15350,0,500,64950,2300,6300,5500,0,2500,44700,0,2500,6500,0,1000,"R","CO"
"34","Cole","Tom",123200,1000,2000,13000,0,2000,125750,17200,19200,13700,0,5000,119250,0,1000,35400,0,7493,"R","OK"
"35","Graves","Garret",122035,0,6000,8250,28000,0,169499,0,7250,35000,20550,2500,193801,2000,8500,64301,3700,2000,"R","LA"
"36","Hurd","Will",115873,0,0,2600,0,250,337089,1000,3500,20900,0,2950,461594,8200,8450,51950,0,3400,"R","TX"
"37","Benishek","Dan",113950,3000,18599,1500,2000,0,20525,2000,4000,0,1000,0,NA,NA,NA,NA,NA,NA,"R","MI"
"38","Smith","Lamar",112350,1000,2000,0,0,0,108400,0,0,0,0,0,57450,0,0,-2700,0,250,"R","TX"
"39","Walden","Greg",112350,1000,4000,8500,329,4750,151900,3500,7500,18000,0,0,290750,14000,37000,29800,0,8400,"R","OR"
"40","Shimkus","John",112300,16000,25000,18000,0,23250,180582,29200,40700,46000,0,37700,148250,14000,29000,30000,0,24400,"R","IL"
"41","Murphy","Tim",111000,38600,47900,43500,0,0,51750,27200,34950,21500,0,0,1000,0,0,0,0,0,"R","PA"
"42","Bishop","Rob",110600,7500,17750,11000,5750,3599,151516,8000,28750,25750,14750,2000,121188,16750,31750,7250,5700,0,"R","UT"
"43","Farenthold","Blake",109325,0,1000,13000,6600,0,77950,0,500,13500,0,0,31600,0,0,4500,0,0,"R","TX"
"44","Green","Gene",102350,1000,1000,23100,0,0,107700,0,0,41500,0,0,24000,0,0,11000,0,0,"D","TX"
"45","Blackburn","Marsha",101600,1000,4000,13500,0,0,85900,500,500,13500,0,0,NA,NA,NA,NA,NA,NA,"R","TN"
"46","Lucas","Frank D",101450,1500,2500,10000,0,1000,62050,0,1000,6000,0,3500,64600,0,0,10000,0,5000,"R","OK"
"47","Thornberry","Mac",101375,0,0,0,0,1750,82175,0,-1000,0,0,8000,48925,0,1000,0,0,4000,"R","TX"
"48","Costa","Jim",99929,3000,10500,23999,3500,4000,95525,3500,6500,21000,2000,2000,98505,3500,12000,15000,3000,1000,"D","CA"
"49","Weber","Randy",97800,0,0,14350,3600,0,66550,0,3700,5750,0,0,94550,0,8100,15850,0,0,"R","TX"
"50","Rodgers","Cathy McMorris",96600,3500,21250,6000,1000,0,119600,0,13650,7000,0,4250,129550,0,50704,10000,0,5820,"R","WA"
"51","Camp","Dave",96499,9000,15500,23499,0,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","MI"
"52","Hensarling","Jeb",95800,0,10400,15200,0,0,70000,0,0,8900,0,0,10200,0,0,0,0,0,"R","TX"
"53","Terry","Lee",95750,5000,8555,21000,0,32350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","NE"
"54","Neugebauer","Randy",94900,0,2600,1000,0,2500,2700,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"R","TX"
"55","Hill","French",94600,0,0,7460,250,0,34950,0,0,7700,750,0,45900,0,0,2000,500,0,"R","AR"
"56","Poe","Ted",94200,0,0,21750,0,1000,75000,0,0,7400,0,2700,6200,0,0,0,0,5000,"R","TX"
"57","Southerland","Steve",92250,6600,7600,0,2000,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","FL"
"58","Culberson","John",92150,0,0,6000,0,0,133625,0,0,22825,0,0,313827,5000,7000,40599,5400,250,"R","TX"
"59","Simpson","Mike",92000,9000,46200,10500,14150,1250,46700,3700,12450,5000,7750,1000,47500,1000,13500,5000,3500,3200,"R","ID"
"60","Lummis","Cynthia",91050,22500,29750,9000,0,0,18700,13500,20500,1000,0,0,NA,NA,NA,NA,NA,NA,"R","WY"
"61","Tiberi","Pat",90350,2500,7000,8500,0,0,83000,3500,7500,6000,0,1500,38250,0,1000,3500,0,2000,"R","OH"
"62","Kelly","Mike",89850,45200,60150,34950,0,0,76412,37100,40850,21412,0,0,85100,27500,34550,24000,0,1500,"R","PA"
"63","Russell","Steven",89650,0,2600,4000,0,0,93250,0,5400,6500,0,0,85750,0,0,11000,0,0,"R","OK"
"64","Davis","Rodney",85690,61665,110312,12500,0,17600,61750,5100,8100,15500,0,15000,73500,12600,16600,14500,0,31500,"R","IL"
"65","McKinley","David",84450,116850,193150,20250,0,0,80000,37700,70150,17000,0,0,85175,23000,30500,15000,0,0,"R","WV"
"66","Latta","Bob",84000,0,2000,15000,1000,11700,78750,0,0,7500,0,1250,93825,2700,5700,6000,0,3500,"R","OH"
"67","Granger","Kay",83850,0,2000,0,0,0,72350,0,0,0,0,1000,70900,0,0,2500,0,1000,"R","TX"
"68","Issa","Darrell",82400,1800,12650,11350,0,4250,45000,1000,2000,16100,0,0,24050,1585,1835,5400,0,1000,"R","CA"
"69","McCaul","Michael",82050,1000,3600,19500,0,0,111150,0,2000,17100,0,0,126700,0,0,12200,0,1250,"R","TX"
"70","Valadao","David",81150,0,4000,3000,0,0,59750,0,3550,1000,0,5000,103599,5000,6650,8052,0,1250,"R","CA"
"71","Kinzinger","Adam",80600,3000,6000,16000,0,11500,67250,1000,4000,16500,0,21200,45500,0,12500,15500,0,12500,"R","IL"
"72","Rothfus","Keith J",79550,71240,127304,16700,0,0,43550,43850,59850,12050,0,0,81311,54600,127425,21400,0,0,"R","PA"
"73","Huelskamp","Tim",73550,0,0,4250,0,5200,52400,0,0,1000,0,2700,NA,NA,NA,NA,NA,NA,"R","KS"
"74","Roskam","Peter",73550,1000,3000,17750,0,0,35350,0,0,5450,0,1000,131500,5200,12700,9000,0,1500,"R","IL"
"75","Walters","Mimi",73550,0,0,7500,0,0,63250,0,100,5000,0,4700,132550,5000,10100,23900,0,2000,"R","CA"
"76","Demaio","Carl",73150,2600,2600,0,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","CA"
"77","Bridenstine","James",72950,0,0,3500,0,0,49100,1000,1000,3250,0,0,NA,NA,NA,NA,NA,NA,"R","OK"
"78","Denham","Jeff",71798,2500,10700,13000,0,0,189499,1000,6200,42999,0,2500,266341,6000,8500,60552,0,2500,"R","CA"
"79","Nunes","Devin",70500,0,1000,6000,0,3600,73500,2000,3000,8500,0,250,124552,2700,5300,5250,0,1500,"R","CA"
"80","Gibbs","Bob",69800,14600,18100,20100,0,0,34000,2000,8000,2000,1000,3500,36250,14500,20500,6500,500,1000,"R","OH"
"81","Yoder","Kevin",68700,1000,13400,2000,0,23900,49375,0,13800,2000,0,44800,95350,16900,27700,6000,0,51400,"R","KS"
"82","Burgess","Michael",67956,0,0,0,0,0,43100,0,0,0,0,0,35250,0,0,4000,0,5200,"R","TX"
"83","Comstock","Barbara",67300,8800,10800,12150,500,0,75975,4450,9450,19000,0,0,91753,6400,11400,29800,0,0,"R","VA"
"84","Renacci","Jim",66199,0,-1250,8000,0,1000,53243,0,0,4500,1000,2250,NA,NA,NA,NA,NA,NA,"R","OH"
"85","Nunnelee","Alan",66100,3000,10200,4600,0,500,100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"R","MS"
"86","Stewart","Chris",65350,2500,10000,8250,0,7800,95200,8256,13756,14400,0,0,85650,4200,7200,0,0,0,"R","UT"
"87","Westerman","Bruce",65150,5200,5200,0,0,0,41200,1000,2000,3000,0,2250,73400,1000,4000,2000,0,250,"R","AR"
"88","Royce","Ed",64900,0,6200,0,3500,0,49300,0,0,2500,1000,2000,19600,0,1000,0,1000,2500,"R","CA"
"89","Guthrie","Brett",64750,14600,18850,8750,0,0,57500,11700,12700,8000,0,0,48050,2500,8500,4500,0,0,"R","KY"
"90","Noem","Kristi",64550,2000,3000,9000,0,32050,77150,250,2750,0,500,25800,1000,0,0,1000,0,0,"R","SD"
"91","Meehan","Patrick",64400,0,0,25600,0,0,78200,0,1000,30300,0,7870,40750,1500,1500,13500,0,5000,"R","PA"
"92","Strickland","Tony",62400,0,0,500,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","CA"
"93","Ellmers","Renee",62250,1000,1000,10000,0,0,30500,0,0,4500,0,1000,NA,NA,NA,NA,NA,NA,"R","NC"
"94","Love","Mia",61700,1000,3000,5500,0,7481,68686,0,3000,3800,200,2300,50677,5200,5450,0,10,1195,"R","UT"
"95","Black","Diane",60625,1000,2000,5000,0,0,43250,0,0,3000,1000,1000,-1750,2000,2000,-1000,0,2500,"R","TN"
"96","Lamborn","Doug",59000,9000,17500,4000,1000,0,67377,15500,38000,8500,1000,0,22791,6000,15000,1000,0,0,"R","CO"
"97","Walberg","Tim",58750,13000,20000,1000,0,0,49450,12500,28500,1000,0,0,69400,1000,17500,4500,0,0,"R","MI"
"98","Dietzel","Paul",58600,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","LA"
"99","Palazzo","Steven",57850,0,0,4000,3600,0,41200,0,1000,3500,0,0,29450,0,1000,3000,0,0,"R","MS"
"100","Wagner","Ann",57500,40650,44150,2000,0,0,45500,12900,14900,6000,0,500,27500,8000,13000,3000,0,1000,"R","MO"
"101","Pitts","Joe",57000,1500,3500,10500,0,0,16000,0,0,3500,0,0,-1000,0,0,-1000,0,0,"R","PA"
"102","Kiehne","Gary",56900,0,0,0,0,0,18250,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"R","AZ"
"103","Marchant","Kenny",56400,0,1000,8000,0,0,86450,0,0,15700,0,0,71650,1000,2000,16000,0,0,"R","TX"
"104","Griffith","Morgan",56300,35400,42150,5000,0,0,38568,26100,32850,3500,0,0,36350,31300,33300,5500,0,250,"R","VA"
"105","Hastings","Doc",55750,3800,12300,4500,2500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","WA"
"106","Stivers","Steve",55600,17850,25050,5500,0,0,56350,15775,15775,12500,0,0,96500,21000,70475,13000,0,2000,"R","OH"
"107","Dent","Charlie",54900,2000,4000,7500,0,0,33900,0,2000,5000,250,500,3000,0,0,1000,0,0,"R","PA"
"108","McClintock","Tom",54450,0,6000,4000,0,2500,20900,0,0,4000,0,0,14750,0,5500,2000,0,1000,"R","CA"
"109","Veasey","Marc",54400,0,0,4000,3500,500,71800,0,0,2000,1000,500,64006,0,0,3000,1000,0,"D","TX"
"110","Riser","Neil",52800,1000,1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","LA"
"111","Hudson","Richard",52250,0,4500,10500,0,0,90900,0,3500,15200,0,0,85700,0,7000,5500,0,1000,"R","NC"
"112","Duncan","Jeff",51660,1000,1000,16500,5000,0,44750,0,0,10500,5000,0,73350,0,1000,5500,0,2000,"R","SC"
"113","Joyce","David P",51300,22000,34200,9200,7500,2000,29850,13900,38100,3500,3000,2200,40600,22200,36875,7000,3000,6400,"R","OH"
"114","Collins","Chris",50800,0,0,17800,0,0,63950,0,0,22000,0,0,53900,0,0,21000,0,7500,"R","NY"
"115","Jenkins","Evan",50416,103700,205433,0,0,0,42600,28600,51200,3000,0,0,NA,NA,NA,NA,NA,NA,"R","WV"
"116","Richmond","Cedric",50100,0,0,2000,4600,0,62500,0,0,5000,3700,0,79200,0,0,15000,1000,0,"D","LA"
"117","Ratcliffe","John",49950,0,0,0,0,0,40050,0,0,6400,0,0,62000,0,0,9000,0,0,"R","TX"
"118","Hoyer","Steny H",49750,0,-1000,15500,5000,9000,40500,0,0,15000,2288,4500,43750,0,0,9500,4500,2000,"D","MD"
"119","Carter","John",49600,0,0,6000,0,0,16700,0,0,0,0,0,62350,0,1000,5500,0,5400,"R","TX"
"120","McSally","Martha",49200,6100,7600,1000,400,500,77161,0,13325,1500,125,1200,NA,NA,NA,NA,NA,NA,"R","AZ"
"121","Hall","Ralph",48700,1000,2000,9000,0,0,1500,0,0,-1000,0,0,NA,NA,NA,NA,NA,NA,"R","TX"
"122","Garrett","Scott",48600,0,0,8000,0,10625,32100,0,0,1250,0,5400,NA,NA,NA,NA,NA,NA,"R","NJ"
"123","Gohmert","Louis B Jr",47600,0,2000,2000,2000,0,23750,0,1000,1250,0,0,45300,0,0,250,0,0,"R","TX"
"124","Zeldin","Lee",47150,0,0,1000,0,0,65663,0,0,7250,0,800,52775,2500,2500,4000,0,1125,"R","NY"
"125","Johnson","Sam",46900,0,0,9600,0,0,37050,0,0,5700,0,1000,550,0,0,500,0,0,"R,R,D","TX"
"126","Goodlatte","Bob",45250,0,1000,3250,0,0,39950,0,0,5450,0,0,7500,0,0,1000,0,0,"R","VA"
"127","Rigell","Scott",45000,1000,1555,4000,0,0,7200,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,"R","VA"
"128","Long","Billy",44850,11500,13500,2000,0,0,45000,2500,6000,5500,0,0,55000,2000,4000,8000,0,3500,"R","MO"
"129","Romanoff","Andrew",43860,500,7550,1250,11550,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","CO"
"130","Young","Don",43450,2000,11600,0,2000,0,59700,2000,20000,0,1500,0,56250,2000,18450,2000,0,0,"R","AK"
"131","Castro","Joaquin",43250,0,0,3000,4000,2900,25600,0,0,2500,2000,0,12890,0,0,0,4700,500,"D","TX"
"132","Casey","Nick",42936,20400,24000,19636,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","WV"
"133","LaMalfa","Doug",42500,0,5600,12000,0,0,27550,0,0,10250,0,0,21980,2700,2700,9630,0,2250,"R","CA"
"134","Mills","Stewart",42200,2600,2900,0,0,0,24550,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"R","MN"
"135","Matheson","Jim",41500,7000,10000,7500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","UT"
"136","Emmer","Tom",41400,500,500,0,0,0,10950,0,1000,300,0,8000,28500,0,2500,1500,0,27493,"R","MN"
"137","Stutzman","Marlin",41100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","IN"
"138","Babin","Brian",41050,0,0,2500,0,0,53650,0,4700,7700,1000,0,81357,0,5400,11400,0,0,"R","TX"
"139","Barr","Andy",41050,168131,240810,1500,0,700,38500,87200,98050,3000,0,0,113547,74650,153625,20452,0,0,"R","KY"
"140","Gallego","Pete",40950,3000,4000,4500,12749,250,1350,0,250,100,35064,500,NA,NA,NA,NA,NA,NA,"D","TX"
"141","Brooks","Susan",40750,0,1000,1500,0,4000,35200,1750,2750,1000,2000,5000,21300,3000,9000,0,0,7500,"R","IN"
"142","Rogers","Hal",40100,46600,60600,0,8850,0,21800,21400,38400,0,0,0,40996,8000,12500,5000,0,0,"R","KY"
"143","Walorski","Jackie",39840,5600,10600,0,0,9500,28500,2000,4000,0,0,11000,63450,5500,10500,4500,1000,7000,"R","IN"
"144","Stefanik","Elise",39800,0,0,0,0,0,55675,0,0,5500,6650,3750,45500,0,0,5000,10850,13943,"R","NY"
"145","Allen","Richard W",39750,0,1750,10200,0,0,15500,0,0,0,0,0,9800,0,1500,2500,0,0,"R","GA"
"146","Chaffetz","Jason",39350,4000,8000,3250,0,0,57700,3000,5000,0,0,0,1000,0,0,0,0,0,"R","UT"
"147","Mooney","Alex",38667,61780,113385,500,700,0,35200,20726,31126,9000,0,250,25850,15800,17800,4500,0,250,"R","WV"
"148","Bostic","Curtis",38250,0,0,22500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","SC"
"149","Harris","Andy",38000,2500,6500,2250,0,0,20500,2000,5000,2000,250,0,12750,2000,4000,0,0,0,"R","MD"
"150","Ryan","Tim",38000,0,1000,16500,7200,500,15500,0,0,4000,6400,0,13725,5400,7400,6200,5513,322,"D","OH"
"151","Young","Todd",37950,14050,22750,8050,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","IN"
"152","Heck","Joe",37900,2600,18000,6000,0,6500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","NV"
"153","Logue","Dan",37550,0,1000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","CA"
"154","Griffin","Tim",37200,0,0,8500,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","AR"
"155","Duffy","Sean P",36550,0,1000,0,0,0,22495,0,1000,2000,0,2500,49000,0,1000,5000,0,0,"R","WI"
"156","Byrne","Bradley",35250,20000,20000,5000,1000,0,33450,10400,10900,4000,0,0,19200,0,2000,1000,2700,0,"R","AL"
"157","Paulsen","Erik",35250,0,0,0,6250,1000,61799,0,1000,3700,0,2000,146470,5000,5000,13752,0,1000,"R","MN"
"158","Price","Tom",35250,0,3000,2000,0,0,22000,0,0,2500,0,0,NA,NA,NA,NA,NA,NA,"R","GA"
"159","Calvert","Ken",35000,1000,10000,2500,1000,500,62500,9500,20000,4000,0,7900,33500,0,2000,0,0,6400,"R","CA"
"160","Fincher","Steve",34700,1000,2000,0,0,0,14000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"R","TN"
"161","Schock","Aaron",34700,2000,4000,9500,0,11000,0,0,0,0,0,3000,NA,NA,NA,NA,NA,NA,"R","IL"
"162","McHenry","Patrick",34500,0,0,5500,0,0,69250,0,0,6500,0,0,79000,0,0,10000,0,20200,"R","NC"
"163","Canseco","Quico",34350,0,5200,0,0,0,NA,NA,NA,NA,NA,NA,500,0,0,0,0,0,"R","TX"
"164","Marino","Tom",34000,500,500,8000,0,0,17750,2950,2950,4250,0,10000,10000,2700,2700,0,0,0,"R","PA"
"165","Ross","Dennis",34000,250,250,0,0,0,13500,0,0,0,0,0,13000,0,0,0,0,0,"R","FL"
"166","Ribble","Reid",33800,0,0,3000,0,0,18400,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,"R","WI"
"167","Mica","John L",33500,0,3000,8000,0,0,27500,0,2550,2500,0,500,NA,NA,NA,NA,NA,NA,"R","FL"
"168","Garcia","Marilinda",33400,13000,13000,2700,0,2600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","NH"
"169","Carter","Buddy",33250,0,1000,1000,0,0,13500,0,0,1000,0,0,68400,0,6000,6000,2500,2250,"R","GA"
"170","Barletta","Lou",33020,750,1750,4500,0,0,34550,4200,4950,9000,0,0,NA,NA,NA,NA,NA,NA,"R","PA"
"171","Centilli","Doug",32800,0,0,5700,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","TX"
"172","Bilirakis","Gus",32500,1000,1000,1000,0,0,23700,0,0,0,0,0,53600,0,0,7000,0,7600,"R","FL"
"173","Rogers","Mike",32200,1000,1000,3500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","MI"
"174","Guinta","Frank",32050,0,250,1000,0,1000,28600,0,0,0,0,750,NA,NA,NA,NA,NA,NA,"R","NH"
"175","Israel","Steve",31900,0,0,8000,11500,22700,15600,0,0,4000,4097,5400,NA,NA,NA,NA,NA,NA,"D","NY"
"176","Vela","Filemon",31600,0,0,0,0,1000,35000,0,0,7000,0,1000,36006,0,0,7000,1000,1000,"D","TX"
"177","Costello","Ryan",31500,0,6150,11500,0,0,36250,0,1500,9500,5400,1000,27200,1000,-1700,7200,500,0,"R","PA"
"178","Lujan","Ben Ray",31500,3000,9000,5000,5430,0,28000,2000,9500,12000,9525,6000,22651,1000,6000,7000,5967,500,"D","NM"
"179","Messer","Luke",31500,3000,8550,0,0,3000,43400,0,31200,2000,0,2500,NA,NA,NA,NA,NA,NA,"R","IN"
"180","Capuano","Michael E",31250,0,0,11400,0,0,21500,0,1000,2100,1500,0,22325,0,2700,10100,750,0,"D","MA"
"181","Larsen","Rick",31000,0,0,9500,0,0,34500,0,0,14000,3000,0,27751,0,0,9000,1500,15,"D","WA"
"182","Gibson","Chris",30950,0,0,7000,13200,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","NY"
"183","Lance","Leonard",30500,0,0,9500,1000,0,26200,0,0,7000,0,0,38400,0,0,4000,0,250,"R","NJ"
"184","Miller","Candice S",30500,0,0,4000,0,13500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","MI"
"185","Jolly","David",30400,0,0,0,1250,0,12600,0,0,3500,0,1000,NA,NA,NA,NA,NA,NA,"R","FL"
"186","Bost","Mike",30300,16900,16900,0,0,0,30250,27050,33400,2500,0,1000,56340,32250,86825,7899,0,18000,"R","IL"
"187","Rahall","Nick",29600,4800,10800,15600,250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","WV"
"188","Rokita","Todd",29500,22150,61600,0,0,0,26600,500,2500,0,0,6000,NA,NA,NA,NA,NA,NA,"R","IN"
"189","Moolenaar","John",29300,0,0,2000,0,1000,10050,0,0,0,0,1000,12750,0,0,1000,0,0,"R","MI"
"190","Rouzer","David",29100,0,0,1500,0,0,23740,0,0,2000,0,0,37000,0,0,1000,0,3500,"R","NC"
"191","Stapleton","Corey",29060,500,500,0,0,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","MT"
"192","Doyle","Mike",29000,5500,11000,13500,0,0,26000,0,1500,19000,2477,0,11500,0,500,8500,1500,250,"D","PA"
"193","Perry","Scott",28600,0,0,10500,0,0,35000,0,0,10500,0,0,46550,0,2000,4000,0,0,"R","PA"
"194","Posey","Bill",28400,0,0,0,0,0,15600,0,0,0,0,0,11400,0,0,0,0,0,"R","FL"
"195","Kline","John",28300,48050,83000,1000,0,0,5000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"R","MN"
"196","Amash","Justin",28000,0,0,0,0,0,22650,0,0,0,0,0,19900,0,0,0,0,0,"R","MI"
"197","Welch","Peter",27700,0,0,6500,10200,9950,20052,0,0,7000,4650,8525,18000,0,0,3000,2451,50,"D","VT"
"198","Fitzpatrick","Michael G",26700,2000,2000,6000,8600,4000,3000,0,0,0,0,0,0,0,0,0,-1000,0,"R","PA"
"199","Jolley","Clark",25970,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","OK"
"200","Perlmutter","Ed",25900,0,5500,1000,13950,0,11950,0,5250,0,9250,1000,8111,0,3000,0,1250,0,"D","CO"
"201","Tobin","Andy",25450,200,2200,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","AZ"
"202","Dold","Bob",25350,2600,3600,7000,5900,0,43900,1000,2000,12250,7900,11750,NA,NA,NA,NA,NA,NA,"R","IL"
"203","Ose","Doug",25250,0,3600,0,2500,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","CA"
