"","LastName","FirstName","Amount.oil.114","Amount.coal.114","Amount.mining.114","Amount.gas.114","Amount.env.114","Amount.alt_en.114","Amount.oil.115","Amount.coal.115","Amount.mining.115","Amount.gas.115","Amount.env.115","Amount.alt_en.115","Amount.oil.116","Amount.coal.116","Amount.mining.116","Amount.gas.116","Amount.env.116","Amount.alt_en.116","Party","StateAbbreviation"
"1","Boehner","John",758255,342798,593348,72800,2600,6350,171900,16900,23150,9850,13200,0,NA,NA,NA,NA,NA,NA,"R","OH"
"2","Pompeo","Mike",376850,10500,14000,31500,0,11400,194325,1000,2000,25500,0,0,NA,NA,NA,NA,NA,NA,"R","KS"
"3","Coffman","Mike",372000,21200,44950,10750,2250,500,193244,15900,36250,4450,500,1000,222403,1000,18000,15500,600,4000,"R","CO"
"4","McCarthy","Kevin",362000,1500,8000,58300,0,2000,355050,15700,30700,24800,1000,20800,484650,68600,184500,69300,5250,54150,"R","CA"
"5","Pearce","Steve",342820,1000,27812,8600,0,0,271906,1000,25400,10000,0,0,2500,0,0,0,0,0,"R","NM"
"6","Brady","Kevin",321650,3000,3000,49950,0,1000,415650,0,0,82500,0,14700,377134,1000,1000,53450,0,19750,"R","TX"
"7","Ryan","Paul",309799,8650,22100,26850,6200,500,761678,58860,75290,81975,23920,26725,386943,14700,24515,66050,100,10600,"R","WI"
"8","Cramer","Kevin",272250,19400,24400,16500,0,2000,216200,26000,30000,23500,0,15000,NA,NA,NA,NA,NA,NA,"R","ND"
"9","Conaway","Mike",263450,0,0,5000,0,5100,146547,3500,3500,250,0,1500,150500,0,0,1000,4750,1793,"R","TX"
"10","Olson","Pete",248000,1000,3600,35500,0,0,221200,1000,2000,49800,0,7700,206328,0,6000,44500,0,0,"R","TX"
"11","Upton","Fred",245800,24500,34000,55700,0,4500,229000,4000,8000,52600,0,6000,151250,2500,7500,49300,0,0,"R","MI"
"12","Boustany","Charles Jr",236350,0,0,38250,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","LA"
"13","Zinke","Ryan",217395,8250,14850,1000,0,400,180891,21000,31100,7500,2000,2017,7100,0,0,-1000,0,0,"R","MT"
"14","Scalise","Steve",217274,9500,16500,21100,7200,0,285300,6400,13900,26750,0,0,383665,0,13225,22700,0,1435,"R","LA"
"15","Flores","Bill",213789,1000,7000,23500,2000,10400,223400,500,3500,17500,1000,0,188600,0,2500,22500,0,0,"R","TX"
"16","Johnson","Bill",213266,78856,141519,35100,1000,3500,127950,25800,38800,40000,1000,12500,124050,53140,90870,25200,0,2500,"R","OH"
"17","Reed","Tom",211200,1000,2555,39950,0,10250,121050,0,0,31900,0,35500,122475,0,500,21400,0,40225,"R","NY"
"18","Williams","Roger",209500,0,7200,7500,0,0,136250,0,0,0,0,0,95450,0,0,5400,0,0,"R","TX"
"19","Shuster","Bill",205048,52315,105090,62100,0,1000,198512,25300,39350,64500,0,0,91112,5000,6250,42400,0,1000,"R","PA"
"20","Fleming","John",188000,0,11100,7000,16400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","LA"
"21","Douglas","Patrice",164675,0,7800,1500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","OK"
"22","Cantor","Eric",162015,19003,29996,21375,0,0,-7264,-900,-1650,-375,0,0,NA,NA,NA,NA,NA,NA,"R","VA"
"23","Sessions","Pete",159450,1000,3000,16300,0,0,139550,0,1000,27600,0,0,267675,0,1000,33900,0,0,"R","TX"
