"last_name","first_name","state","opensecrets_id","bioguide_id","district","Industry_Type","total"
"Abraham","Ralph","LA","N00036633","A000374",5,"-",9200
"Abraham","Ralph","LA","N00036633","A000374",5,"+",0
"Adams","Alma","NC","N00035451","A000370",12,"-",8000
"Adams","Alma","NC","N00035451","A000370",12,"+",0
"Aderholt","Robert","AL","N00003028","A000055",4,"-",27950
"Aderholt","Robert","AL","N00003028","A000055",4,"+",0
"Aguilar","Pete","CA","N00033997","A000371",33,"-",11219
"Aguilar","Pete","CA","N00033997","A000371",33,"+",750
"Allen","Rick","GA","N00033720","A000372",12,"-",3500
"Allen","Rick","GA","N00033720","A000372",12,"+",0
"Amash","Justin","MI","N00031938","A000367",3,"-",5000
"Amash","Justin","MI","N00031938","A000367",3,"+",0
"Amodei","Mark","NV","N00031177","A000369",2,"-",35500
"Amodei","Mark","NV","N00031177","A000369",2,"+",0
"Arrington","Jodey","TX","N00038285","A000375",19,"-",28000
"Arrington","Jodey","TX","N00038285","A000375",19,"+",5000
"Babin","Brian","TX","N00005736","B001291",36,"-",32550
"Babin","Brian","TX","N00005736","B001291",36,"+",1000
"Bacon","Don","NE","N00037049","B001298",2,"-",48620
"Bacon","Don","NE","N00037049","B001298",2,"+",10287
"Balderson","Troy","OH","N00042194","B001306",12,"-",86150
"Balderson","Troy","OH","N00042194","B001306",12,"+",14550
"Banks","Jim","IN","N00037185","B001299",3,"-",13500
"Banks","Jim","IN","N00037185","B001299",3,"+",0
"Barletta","Lou","PA","N00025495","B001269",11,"-",89505
"Barletta","Lou","PA","N00025495","B001269",11,"+",900
"Barr","Garland","KY","N00031233","B001282",6,"-",118927
"Barr","Garland","KY","N00031233","B001282",6,"+",7287
"Barragán","Nanette","CA","N00037019","B001300",44,"-",4500
"Barragán","Nanette","CA","N00037019","B001300",44,"+",96
"Barton","Joe","TX","N00005656","B000213",6,"-",-2050
"Barton","Joe","TX","N00005656","B000213",6,"+",0
"Bass","Karen","CA","N00031877","B001270",37,"-",3400
"Bass","Karen","CA","N00031877","B001270",37,"+",0
"Beatty","Joyce","OH","N00033904","B001281",3,"-",14000
"Beatty","Joyce","OH","N00033904","B001281",3,"+",0
"Bera","Ami","CA","N00030717","B001287",6,"-",2200
"Bera","Ami","CA","N00030717","B001287",6,"+",3230
"Bergman","Jack","MI","N00039533","B001301",1,"-",31750
"Bergman","Jack","MI","N00039533","B001301",1,"+",0
"Beyer","Donald","VA","N00036018","B001292",8,"-",15700
"Beyer","Donald","VA","N00036018","B001292",8,"+",1250
"Biggs","Andy","AZ","N00039293","B001302",5,"-",14400
"Biggs","Andy","AZ","N00039293","B001302",5,"+",0
"Bilirakis","Gus","FL","N00027462","B001257",12,"-",50900
"Bilirakis","Gus","FL","N00027462","B001257",12,"+",8900
"Bishop","Mike","MI","N00036449","B001293",8,"-",76601
"Bishop","Mike","MI","N00036449","B001293",8,"+",5287
"Bishop","Rob","UT","N00025292","B001250",1,"-",16650
"Bishop","Rob","UT","N00025292","B001250",1,"+",0
"Bishop","Sanford","GA","N00002674","B000490",2,"-",18000
"Bishop","Sanford","GA","N00002674","B000490",2,"+",0
"Blum","Rod","IA","N00033744","B001294",1,"-",50273
"Blum","Rod","IA","N00033744","B001294",1,"+",13037
"Blumenauer","Earl","OR","N00007727","B000574",3,"-",14500
"Blumenauer","Earl","OR","N00007727","B000574",3,"+",9225
"Blunt Rochester","Lisa","DE","N00038414","B001303",0,"-",7500
"Blunt Rochester","Lisa","DE","N00038414","B001303",0,"+",0
"Bonamici","Suzanne","OR","N00033474","B001278",1,"-",2500
"Bonamici","Suzanne","OR","N00033474","B001278",1,"+",0
"Bost","Mike","IL","N00035420","B001295",12,"-",65273
"Bost","Mike","IL","N00035420","B001295",12,"+",11700
"Boyle","Brendan","PA","N00035307","B001296",2,"-",3500
"Boyle","Brendan","PA","N00035307","B001296",2,"+",0
"Brady","Kevin","TX","N00005883","B000755",8,"-",136000
"Brady","Kevin","TX","N00005883","B000755",8,"+",6000
"Brady","Robert","PA","N00001619","B001227",1,"-",250
"Brady","Robert","PA","N00001619","B001227",1,"+",0
"Brat","David","VA","N00036013","B001290",7,"-",17600
"Brat","David","VA","N00036013","B001290",7,"+",2000
"Brooks","Mo","AL","N00030910","B001274",5,"-",6000
"Brooks","Mo","AL","N00030910","B001274",5,"+",500
"Brooks","Susan","IN","N00033495","B001284",5,"-",18050
"Brooks","Susan","IN","N00033495","B001284",5,"+",8250
"Brown","Anthony","MD","N00036999","B001304",4,"-",11000
"Brown","Anthony","MD","N00036999","B001304",4,"+",5000
"Brownley","Julia","CA","N00034254","B001285",26,"-",12693
"Brownley","Julia","CA","N00034254","B001285",26,"+",1500
"Buchanan","Vern","FL","N00027626","B001260",16,"-",23250
"Buchanan","Vern","FL","N00027626","B001260",16,"+",0
"Buck","Ken","CO","N00030829","B001297",4,"-",23750
"Buck","Ken","CO","N00030829","B001297",4,"+",6400
"Bucshon","Larry","IN","N00031227","B001275",8,"-",24500
"Bucshon","Larry","IN","N00031227","B001275",8,"+",1000
"Burgess","Michael","TX","N00025219","B001248",26,"-",14000
"Burgess","Michael","TX","N00025219","B001248",26,"+",0
"Bustos","Cheri","IL","N00033390","B001286",17,"-",17628
"Bustos","Cheri","IL","N00033390","B001286",17,"+",3475
"Butterfield","George","NC","N00027035","B001251",1,"-",7500
"Butterfield","George","NC","N00027035","B001251",1,"+",1000
"Byrne","Bradley","AL","N00035380","B001289",1,"-",14500
"Byrne","Bradley","AL","N00035380","B001289",1,"+",2700
"Calvert","Ken","CA","N00007099","C000059",41,"-",28500
"Calvert","Ken","CA","N00007099","C000059",41,"+",0
"Capuano","Michael","MA","N00000267","C001037",7,"-",21400
"Capuano","Michael","MA","N00000267","C001037",7,"+",5650
"Carbajal","Salud","CA","N00037015","C001112",24,"-",8975
"Carbajal","Salud","CA","N00037015","C001112",24,"+",118
"Carson","André","IN","N00029513","C001072",7,"-",3000
"Carson","André","IN","N00029513","C001072",7,"+",600
"Carter","Earl","GA","N00035346","C001103",1,"-",29000
"Carter","Earl","GA","N00035346","C001103",1,"+",2000
"Carter","John","TX","N00025095","C001051",31,"-",32500
"Carter","John","TX","N00025095","C001051",31,"+",1000
"Cartwright","Matthew","PA","N00034128","C001090",8,"-",2500
"Cartwright","Matthew","PA","N00034128","C001090",8,"+",1000
"Castor","Kathy","FL","N00027514","C001066",14,"-",1000
"Castor","Kathy","FL","N00027514","C001066",14,"+",0
"Castro","Joaquin","TX","N00033316","C001091",20,"-",4050
"Castro","Joaquin","TX","N00033316","C001091",20,"+",50
"Chabot","Steve","OH","N00003689","C000266",1,"-",16600
"Chabot","Steve","OH","N00003689","C000266",1,"+",600
"Cheney","Liz","WY","N00035504","C001109",0,"-",25500
"Cheney","Liz","WY","N00035504","C001109",0,"+",0
"Chu","Judy","CA","N00030600","C001080",28,"-",4000
"Chu","Judy","CA","N00030600","C001080",28,"+",0
"Cicilline","David","RI","N00032019","C001084",1,"-",480
"Cicilline","David","RI","N00032019","C001084",1,"+",0
"Clark","Katherine","MA","N00035278","C001101",5,"-",4500
"Clark","Katherine","MA","N00035278","C001101",5,"+",0
"Clarke","Yvette","NY","N00026961","C001067",9,"-",18000
