"last_name","first_name","Vote6","BioID","GovtrackID","Vote7","Party","State","District"
"Byrne","Bradley","-",NA,NA,NA,"R","AL","AL-01"
"Roby","Martha","-",NA,NA,NA,"R","AL","AL-02"
"Rogers","Mike D.","-",NA,NA,NA,"R","AL","AL-03"
"Aderholt","Robert B.","-",NA,NA,NA,"R","AL","AL-04"
"Brooks","Mo","-","B001274",412395,"-","R","AL","AL-05"
"Palmer","Gary","-","P000609",412608,"-","R","AL","AL-06"
"Sewell","Terri","+","S001185",412396,"+","D","AL","AL-07"
"Young","Don","-","Y000033",400440,"-","R","AK","AK-AL"
"Radewagen","Amata Coleman","-",NA,NA,NA,"R","AS","AS-AL"
"O'Halleran","Tom","+","O000171",412682,"+","D","AZ","AZ-01"
"Kirkpatrick","Ann",NA,"K000368",412286,"+","D","AZ","AZ-02"
"Grijalva","Raul","+","G000551",400162,"+","D","AZ","AZ-03"
"Gosar","Paul","-","G000565",412397,"?","R","AZ","AZ-04"
"Biggs","Andy","-","B001302",412683,"-","R","AZ","AZ-05"
"Schweikert","David","-","S001183",412399,"-","R","AZ","AZ-06"
"Gallego","Ruben","+","G000574",412612,"+","D","AZ","AZ-07"
"Lesko","Debbie","-","L000589",412745,"-","R","AZ","AZ-08"
"Stanton","Greg","+","S001211",412753,"+","D","AZ","AZ-09"
"Crawford","Rick","-","C001087",412400,"-","R","AR","AR-01"
"Hill","French","-","H001072",412609,"-","R","AR","AR-02"
"Womack","Steve","-","W000809",412402,"-","R","AR","AR-03"
"Westerman","Bruce","-","W000821",412610,"-","R","AR","AR-04"
"LaMalfa","Doug","-","L000578",412510,"-","R","CA","CA-01"
"Huffman","Jared","+","H001068",412511,"+","D","CA","CA-02"
"Garamendi","John","+","G000559",412382,"+","D","CA","CA-03"
"McClintock","Tom","-","M001177",412295,"-","R","CA","CA-04"
"Thompson","Mike","+","T000460",400403,"+","D","CA","CA-05"
"Matsui","Doris O.","+",NA,NA,NA,"D","CA","CA-06"
"Bera","Ami","+","B001287",412512,"+","D","CA","CA-07"
"Cook","Paul","-",NA,NA,NA,"R","CA","CA-08"
"McNerney","Jerry","+","M001166",412189,"+","D","CA","CA-09"
"Harder","Josh","+","H001090",412754,"+","D","CA","CA-10"
"DeSaulnier","Mark","+","D000623",412613,"+","D","CA","CA-11"
"Pelosi","Nancy","n/a","P000197",400314,"n/a","D","CA","CA-12"
"Lee","Barbara J.","+",NA,NA,NA,"D","CA","CA-13"
"Speier","Jackie","+","S001175",412259,"+","D","CA","CA-14"
"Swalwell","Eric","?","S001193",412514,"+","D","CA","CA-15"
"Costa","Jim","-","C001059",400618,"+","D","CA","CA-16"
"Khanna","Ro","+","K000389",412684,"+","D","CA","CA-17"
"Eshoo","Anna G.","+",NA,NA,NA,"D","CA","CA-18"
"Lofgren","Zoe","+","L000397",400245,"+","D","CA","CA-19"
"Panetta","Jimmy","+","P000613",412685,"+","D","CA","CA-20"
"Cox","TJ","+",NA,NA,NA,"D","CA","CA-21"
"Nunes","Devin G.","-",NA,NA,NA,"R","CA","CA-22"
"McCarthy","Kevin","-","M001165",412190,"-","R","CA","CA-23"
"Carbajal","Salud","+","C001112",412686,"+","D","CA","CA-24"
"Hill","Katie","+",NA,NA,NA,"D","CA","CA-25"
"Brownley","Julia","+","B001285",412516,"+","D","CA","CA-26"
"Chu","Judy M.","+",NA,NA,NA,"D","CA","CA-27"
"Schiff","Adam B.","+",NA,NA,NA,"D","CA","CA-28"
"Cárdenas","Tony","+",NA,NA,NA,"D","CA","CA-29"
"Sherman","Brad J.","+",NA,NA,NA,"D","CA","CA-30"
"Aguilar","Pete","+","A000371",412615,"+","D","CA","CA-31"
"Napolitano","Grace","+","N000179",400290,"+","D","CA","CA-32"
"Lieu","Ted","+","L000582",412616,"+","D","CA","CA-33"
"Gomez","Jimmy","+","G000585",412739,"+","D","CA","CA-34"
"Torres","Norma","+","T000474",412617,"+","D","CA","CA-35"
"Ruiz","Raul","+","R000599",412519,"+","D","CA","CA-36"
"Bass","Karen","+","B001270",412404,"+","D","CA","CA-37"
"Sanchez","Linda","+","S001156",400355,"+","D","CA","CA-38"
"Cisneros","Gilbert","+",NA,NA,NA,"D","CA","CA-39"
"Roybal-Allard","Lucille","+","R000486",400347,"+","D","CA","CA-40"
"Takano","Mark","+","T000472",412520,"+","D","CA","CA-41"
"Calvert","Ken S.","-",NA,NA,NA,"R","CA","CA-42"
"Waters","Maxine","+","W000187",400422,"+","D","CA","CA-43"
"Barragán","Nanette","+",NA,NA,NA,"D","CA","CA-44"
"Porter","Katie","+","P000618",412758,"+","D","CA","CA-45"
"Correa","J.","+","C001110",412688,"+","D","CA","CA-46"
"Lowenthal","Alan S.","+",NA,NA,NA,"D","CA","CA-47"
"Rouda","Harley","+",NA,NA,NA,"D","CA","CA-48"
"Levin","Mike","+","L000593",412760,"+","D","CA","CA-49"
"Hunter","Duncan D.","-",NA,NA,NA,"R","CA","CA-50"
"Vargas","Juan","+","V000130",412522,"+","D","CA","CA-51"
"Peters","Scott H.","+",NA,NA,NA,"D","CA","CA-52"
"Davis","Susan A.","+",NA,NA,NA,"D","CA","CA-53"
"DeGette","Diana L.","+",NA,NA,NA,"D","CO","CO-01"
"Neguse","Joe","+","N000191",412761,"+","D","CO","CO-02"
"Tipton","Scott","-",NA,NA,NA,"R","CO","CO-03"
"Buck","Ken","-","B001297",412619,"-","R","CO","CO-04"
"Lamborn","Doug","-","L000564",412191,"-","R","CO","CO-05"
"Crow","Jason","+","C001121",412762,"+","D","CO","CO-06"
"Perlmutter","Ed","+","P000593",412192,"+","D","CO","CO-07"
"Larson","John B.","+",NA,NA,NA,"D","CT","CT-01"
"Courtney","Joe","+","C001069",412193,"+","D","CT","CT-02"
"DeLauro","Rosa L.","+",NA,NA,NA,"D","CT","CT-03"
"Himes","Jim","+","H001047",412282,"+","D","CT","CT-04"
"Hayes","Jahana","+","H001081",412763,"+","D","CT","CT-05"
"Blunt Rochester","Lisa","+","B001303",412689,"+","D","DE","DE-AL"
"Norton","Eleanor Holmes","+",NA,NA,NA,"D","DC","DC-AL"
"Gaetz","Matt","-","G000578",412690,"+","R","FL","FL-01"
"Dunn","Neal","-","D000628",412691,"-","R","FL","FL-02"
"Yoho","Ted S.","-",NA,NA,NA,"R","FL","FL-03"
"Rutherford","John","-","R000609",412692,"-","R","FL","FL-04"
"Lawson","Al","+","L000586",412693,"+","D","FL","FL-05"
"Waltz","Michael","+","W000823",412764,"-","R","FL","FL-06"
"Murphy","Stephanie","+","M001202",412694,"+","D","FL","FL-07"
"Posey","Bill","-","P000599",412309,"-","R","FL","FL-08"
"Soto","Darren","+","S001200",412695,"+","D","FL","FL-09"
"Demings","Val","+","D000627",412696,"+","D","FL","FL-10"
"Webster","Daniel","-","W000806",412410,"-","R","FL","FL-11"
"Bilirakis","Gus","-","B001257",412250,"-","R","FL","FL-12"
"Crist","Charlie","+","C001111",412697,"+","D","FL","FL-13"
"Castor","Kathy","+","C001066",412195,"+","D","FL","FL-14"
"Spano","Ross","-",NA,NA,NA,"R","FL","FL-15"
"Buchanan","Vern","-","B001260",412196,"-","R","FL","FL-16"
"Steube","Greg","-","S001214",412766,"-","R","FL","FL-17"
"Mast","Brian","+","M001199",412698,"+","R","FL","FL-18"
"Rooney","Francis","+",NA,NA,NA,"R","FL","FL-19"
"Hastings","Alcee L.",NA,NA,NA,NA,"D","FL","FL-20"
"Frankel","Lois","+","F000462",412529,"+","D","FL","FL-21"
"Deutch","Ted","+","D000610",412385,"+","D","FL","FL-22"
"Wasserman Schultz","Debbie","+","W000797",400623,"+","D","FL","FL-23"
"Wilson","Frederica","+","W000808",412412,"+","D","FL","FL-24"
"Díaz-Balart","Mario","-",NA,NA,NA,"R","FL","FL-25"
"Mucarsel-Powell","Debbie","+",NA,NA,NA,"D","FL","FL-26"
"Shalala","Donna","+",NA,NA,NA,"D","FL","FL-27"
"Carter","Buddy","-","C001103",412622,"n/a","R","GA","GA-01"
"Bishop","Sanford D.","+",NA,NA,NA,"D","GA","GA-02"
"Ferguson","A. Drew","-",NA,NA,NA,"R","GA","GA-03"
"Johnson","Hank","+","J000288",412199,"+","D","GA","GA-04"
"Lewis","John R.","+",NA,NA,NA,"D","GA","GA-05"
