"","LastName","FirstName","State","Party","Amount.oil.114","Amount.coal.114","Amount.mining.114","Amount.gas.114","Amount.env.114","Amount.alt_en.114","member_id","Alias"
"234","Lipinski","Daniel","IL","D",3500,0,0,0,0,0,"L000563",NA
"235","LoBiondo","Frank","NJ","R",14750,0,0,1000,8390,700,"L000554",NA
"236","Loebsack","David","IA","D",5750,0,0,3000,6500,9000,"L000565",NA
"237","Lofgren","Zoe","CA","D",4000,0,0,0,2000,12400,"L000397",NA
"238","Long","Billy","MO","R",44850,11500,13500,2000,0,0,"L000576",NA
"239","Loudermilk","Barry","GA","R",10000,0,0,0,0,0,"L000583",NA
"240","Love","Mia","UT","R",61700,1000,3000,5500,0,7481,"L000584",NA
"241","Lowenthal","Alan","CA","D",10000,0,0,3000,9950,1000,"L000579",NA
"242","Lowey","Nita M","NY","D",500,0,0,0,6850,0,"L000480",NA
"243","Lucas","Frank D","OK","R",101450,1500,2500,10000,0,1000,"L000491",NA
"244","Luetkemeyer","Blaine","MO","R",7250,2500,2500,4000,0,9500,"L000569",NA
"245","Lujan","Ben Ray","NM","D",31500,3000,9000,5000,5430,0,"L000570",NA
"246","Lummis","Cynthia","WY","R",91050,22500,29750,9000,0,0,"L000571",NA
"247","Lynch","Stephen","MA","D",4000,0,700,1000,0,1000,"L000562",NA
"248","MacArthur","Thomas","NJ","R",5000,0,0,0,0,0,"M001193",NA
"249","Maloney","Carolyn","NY","D",12400,0,0,0,5850,1000,"M000087",NA
"250","Maloney","Sean Patrick","NY","D",7200,0,0,500,29150,3500,"M001185",NA
"251","Marchant","Kenny","TX","R",56400,0,1000,8000,0,0,"M001158",NA
"252","Marino","Tom","PA","R",34000,500,500,8000,0,0,"M001179",NA
"253","Massie","Thomas","KY","R",21500,6600,9600,0,0,0,"M001184",NA
"254","Matsui","Doris","CA","D",13500,0,0,4000,2000,1000,"M001163",NA
"255","McCarthy","Kevin","CA","R",362000,1500,8000,58300,0,2000,"M001165",NA
"256","McCaul","Michael","TX","R",82050,1000,3600,19500,0,0,"M001157",NA
"257","McClintock","Tom","CA","R",54450,0,6000,4000,0,2500,"M001177",NA
"258","McCollum","Betty","MN","D",0,0,0,0,1077,0,"M001143",NA
"259","McDermott","Jim","WA","D",0,0,0,0,7250,500,"M000404",NA
"260","McGovern","James P","MA","D",4000,0,0,0,1250,0,"M000312",NA
"261","McHenry","Patrick","NC","R",34500,0,0,5500,0,0,"M001156",NA
"262","McKinley","David","WV","R",84450,116850,193150,20250,0,0,"M001180",NA
"263","McNerney","Jerry","CA","D",6500,0,0,2000,34000,21150,"M001166",NA
"264","McSally","Martha","AZ","R",49200,6100,7600,1000,400,500,"M001197",NA
"265","Meadows","Mark","NC","R",6000,0,0,0,0,0,"M001187",NA
"266","Meehan","Patrick","PA","R",64400,0,0,25600,0,0,"M001181",NA
"267","Meeks","Gregory","NY","D",9100,0,0,2000,0,0,"M001137",NA
"268","Meng","Grace","NY","D",0,0,0,0,0,1000,"M001188",NA
"269","Messer","Luke","IN","R",31500,3000,8550,0,0,3000,"M001189",NA
"270","Mica","John L","FL","R",33500,0,3000,8000,0,0,"M000689",NA
"271","Miller","Candice S","MI","R",30500,0,0,4000,0,13500,"M001150",NA
"272","Miller","Jeff","FL","R",3000,0,0,0,7600,0,"M001144",NA
"273","Moolenaar","John","MI","R",29300,0,0,2000,0,1000,"M001194",NA
"274","Mooney","Alex","WV","R",38667,61780,113385,500,700,0,NA,NA
"275","Moore","Gwen","WI","D",0,0,0,0,1000,0,"M001160",NA
"276","Moulton","Seth","MA","D",9650,0,500,0,21800,250,"M001196",NA
"277","Mullin","Markwayne","OK","R",148950,2500,6000,14600,0,0,"M001190",NA
"278","Mulvaney","Mick","SC","R",23250,0,0,1750,0,1000,"M001182",NA
"279","Murphy","Patrick","FL","D",11400,0,0,0,25910,2000,"M001191",NA
"280","Murphy","Tim","PA","R",111000,38600,47900,43500,0,0,"M001151",NA
"281","Nadler","Jerrold","NY","D",5700,0,0,0,0,0,"N000002",NA
"282","Napolitano","Grace","CA","D",6500,0,0,6500,2000,0,"N000179",NA
"283","Neal","Richard E","MA","D",8500,0,0,4000,0,1000,"N000015",NA
"284","Neugebauer","Randy","TX","R",94900,0,2600,1000,0,2500,"N000182",NA
"285","Newhouse","Dan","WA","R",6800,0,0,1800,2250,0,"N000189",NA
"286","Noem","Kristi","SD","R",64550,2000,3000,9000,0,32050,"N000184",NA
"287","Nolan","Rick","MN","D",500,1000,12800,0,10451,3000,"N000127",NA
"288","Norcross","Don","NJ","D",4500,0,0,1000,0,1000,"N000188",NA
"289","Nugent","Richard","FL","R",13950,0,0,0,0,0,"N000185",NA
"290","Nunes","Devin","CA","R",70500,0,1000,6000,0,3600,"N000181",NA
"291","O'Rourke","Beto","TX","D",19500,0,0,0,1000,0,"O000170",NA
"292","Olson","Pete","TX","R",248000,1000,3600,35500,0,0,"O000168",NA
"293","Palazzo","Steven","MS","R",57850,0,0,4000,3600,0,"P000601",NA
"294","Pallone","Frank Jr","NJ","D",12250,0,0,8500,2500,1500,"P000034",NA
"295","Palmer","Gary","AL","R",21500,5000,5250,0,0,0,"P000609",NA
"296","Pascrell","Bill Jr","NJ","D",2500,0,0,2000,2500,0,"P000096",NA
"297","Paulsen","Erik","MN","R",35250,0,0,0,6250,1000,"P000594",NA
"298","Payne","Donald M Jr","NJ","D",2500,0,500,0,0,0,"P000604",NA
"299","Pearce","Steve","NM","R",342820,1000,27812,8600,0,0,"P000588",NA
"300","Pelosi","Nancy","CA","D",250,0,0,0,25800,4000,"P000197",NA
"301","Perlmutter","Ed","CO","D",25900,0,5500,1000,13950,0,"P000593",NA
"302","Perry","Scott","PA","R",28600,0,0,10500,0,0,"P000605",NA
"303","Peters","Scott","CA","D",6500,0,0,2500,50459,5000,"P000608",NA
"304","Peterson","Collin","MN","D",16500,4500,4500,0,0,21500,"P000258",NA
"305","Pingree","Chellie","ME","D",250,0,0,0,9700,2000,"P000597",NA
"306","Pittenger","Robert","NC","R",17500,250,2750,9500,0,0,"P000606",NA
"307","Pitts","Joe","PA","R",57000,1500,3500,10500,0,0,"P000373",NA
"308","Pocan","Mark","WI","D",6350,0,0,2000,2500,500,"P000607",NA
"309","Poe","Ted","TX","R",94200,0,0,21750,0,1000,"P000592",NA
"310","Poliquin","Bruce","ME","R",24650,4600,4600,0,0,3000,"P000611",NA
"311","Polis","Jared","CO","D",6200,0,0,0,18400,0,"P000598",NA
"312","Pompeo","Mike","KS","R",376850,10500,14000,31500,0,11400,"P000602",NA
"313","Posey","Bill","FL","R",28400,0,0,0,0,0,"P000599",NA
"314","Price","David","NC","D",1000,0,0,0,4000,250,"P000523",NA
"315","Price","Tom","GA","R",35250,0,3000,2000,0,0,"P000591",NA
"316","Quigley","Mike","IL","D",1500,0,0,0,5100,0,"Q000023",NA
"317","Radewagen","Amata Coleman","AS","R",0,0,0,0,0,0,"R000600",NA
"318","Rangel","Charles B","NY","D",8800,0,0,0,1000,0,"R000053",NA
"319","Ratcliffe","John","TX","R",49950,0,0,0,0,0,"R000601",NA
"320","Reed","Tom","NY","R",211200,1000,2555,39950,0,10250,"R000585",NA
"321","Reichert","Dave","WA","R",8900,0,1500,5000,5000,7500,"R000578",NA
"322","Renacci","Jim","OH","R",66199,0,-1250,8000,0,1000,"R000586",NA
"323","Ribble","Reid","WI","R",33800,0,0,3000,0,0,"R000587",NA
"324","Rice","Kathleen","NY","D",22600,0,0,1000,17550,7450,"R000602",NA
"325","Rice","Tom","SC","R",10500,1000,2000,2500,0,0,"R000597",NA
"326","Richmond","Cedric","LA","D",50100,0,0,2000,4600,0,"R000588",NA
"327","Rigell","Scott","VA","R",45000,1000,1555,4000,0,0,"R000589",NA
"328","Roby","Martha","AL","R",10500,3600,5600,3000,0,0,"R000591",NA
"329","Rodgers McMorris","Cathy","WA","R",0,0,0,0,0,0,"M001159",NA
"330","Roe","Phil","TN","R",3250,0,0,0,0,0,"R000582",NA
"331","Rogers","Hal","KY","R",40100,46600,60600,0,8850,0,"R000395",NA
"332","Rogers","Mike D","AL","R",7500,14450,14450,1000,0,0,"R000575",NA
"333","Rohrabacher","Dana","CA","R",14400,0,0,0,0,250,"R000409",NA
"334","Rokita","Todd","IN","R",29500,22150,61600,0,0,0,"R000592",NA
"335","Rooney","Tom","FL","R",11500,0,0,1000,0,0,"R000583",NA
"336","Ros-Lehtinen","Ileana","FL","R",2000,0,0,0,5600,0,"R000435",NA
"337","Roskam","Peter","IL","R",73550,1000,3000,17750,0,0,"R000580",NA
"338","Ross","Dennis","FL","R",34000,250,250,0,0,0,"R000593",NA
"339","Rothfus","Keith J","PA","R",79550,71240,127304,16700,0,0,"R000598",NA
"340","Rouzer","David","NC","R",29100,0,0,1500,0,0,"R000603",NA
"341","Roybal-Allard","Lucille","CA","D",1300,0,0,0,1000,0,"R000486",NA
"342","Royce","Ed","CA","R",64900,0,6200,0,3500,0,"R000487",NA
"343","Ruiz","Raul","CA","D",5000,0,0,3000,46387,11200,"R000599",NA
"344","Ruppersberger","Dutch","MD","D",4500,1000,1000,2000,0,7800,"R000576",NA
"345","Rush","Bobby","IL","D",8500,0,0,1000,2000,5000,"R000515",NA
"346","Russell","Steven","OK","R",89650,0,2600,4000,0,0,"R000604",NA
"347","Ryan","Paul","WI","R",309799,8650,22100,26850,6200,500,"R000570",NA
"348","Ryan","Tim","OH","D",38000,0,1000,16500,7200,500,"R000577",NA
"349","Salmon","Matt","AZ","R",15400,2000,16250,4500,0,13950,"S000018",NA
"350","Sanchez","Linda","CA","D",4750,0,0,0,4500,0,"S001156",NA
"351","Sanchez","Loretta","CA","D",1500,0,0,0,1000,0,"S000030",NA
"352","Sanford","Mark","SC","R",15350,0,0,0,0,4500,"S000051",NA
"353","Sarbanes","John","MD","D",3000,0,0,0,0,5000,"S001168",NA
"354","Scalise","Steve","LA","R",217274,9500,16500,21100,7200,0,"S001176",NA
"355","Schakowsky","Jan","IL","D",0,0,0,0,9800,8500,"S001145",NA
"356","Schiff","Adam","CA","D",0,0,0,0,3250,0,"S001150",NA
"357","Schrader","Kurt","OR","D",4250,1000,1000,2500,0,1000,"S001180",NA
"358","Schultz Wasserman","Debbie","FL","D",0,0,0,0,0,0,"W000797",NA
"359","Schweikert","David","AZ","R",10000,1000,8750,0,0,0,"S001183",NA
"360","Scott","Austin","GA","R",5500,0,1750,2000,1000,0,"S001189",NA
"361","Scott","Bobby","VA","D",1000,0,0,0,750,0,"S000185",NA
"362","Scott","David","GA","D",2500,0,0,0,0,0,"S001157",NA
"363","Sensenbrenner","Jim","WI","R",6000,0,0,0,0,250,"S000244","Jr."
"364","Serrano","Jose E","NY","D",0,0,0,0,0,0,"S000248",NA
"365","Sessions","Pete","TX","R",159450,1000,3000,16300,0,0,"S000250",NA
"366","Sewell","Terri","AL","D",15000,14500,14500,0,0,0,"S001185",NA
"367","Sherman","Brad","CA","D",2000,0,0,0,0,0,"S000344",NA
"368","Shimkus","John","IL","R",112300,16000,25000,18000,0,23250,"S000364",NA
"369","Shuster","Bill","PA","R",205048,52315,105090,62100,0,1000,"S000394",NA
"370","Simpson","Mike","ID","R",92000,9000,46200,10500,14150,1250,"S001148",NA
"371","Sinema","Kyrsten","AZ","D",2500,0,5000,2500,21497,1250,"S001191",NA
"372","Sires","Albio","NJ","D",5400,0,0,3000,500,0,"S001165",NA
"373","Slaughter","Louise M","NY","D",0,0,0,0,2250,6000,"S000480",NA
"374","Smith","Adam","WA","D",1500,0,0,0,3000,500,"S000510",NA
"375","Smith","Adrian","NE","R",15500,2000,4500,3000,0,4500,"S001172",NA
"376","Smith","Chris","NJ","R",500,0,0,0,0,0,"S000522",NA
"377","Smith","Jason","MO","R",24400,13100,37665,0,0,5100,"S001195",NA
"378","Smith","Lamar","TX","R",112350,1000,2000,0,0,0,"S000583",NA
"379","Speier","Jackie","CA","D",0,0,0,0,2000,2000,"S001175",NA
"380","Stefanik","Elise","NY","R",39800,0,0,0,0,0,"S001196",NA
"381","Stewart","Chris","UT","R",65350,2500,10000,8250,0,7800,"S001192",NA
"382","Stivers","Steve","OH","R",55600,17850,25050,5500,0,0,"S001187",NA
"383","Stutzman","Marlin","IN","R",41100,0,0,0,0,0,"S001188",NA
"384","Swalwell","Eric","CA","D",14300,0,0,1000,2000,8200,"S001193",NA
"385","Takano","Mark","CA","D",0,0,0,0,3700,5200,"T000472",NA
"386","Thompson","Bennie G","MS","D",14000,0,0,6000,3000,0,"T000193",NA
"387","Thompson","Glenn","PA","R",125330,17500,28250,31450,0,0,"T000467",NA
"388","Thompson","Mike","CA","D",18250,0,1000,2000,5000,1500,"T000460",NA
"389","Thornberry","Mac","TX","R",101375,0,0,0,0,1750,"T000238",NA
"390","Tiberi","Pat","OH","R",90350,2500,7000,8500,0,0,"T000462",NA
"391","Tipton","Scott","CO","R",130739,16750,44300,6000,2000,1000,"T000470",NA
"392","Titus","Dina","NV","D",6600,0,13000,0,2500,5500,"T000468",NA
"393","Tonko","Paul","NY","D",4500,0,0,3500,4750,10800,"T000469",NA
"394","Torres","Norma","CA","D",3000,0,0,0,2500,0,"T000474",NA
"395","Trott","Dave","MI","R",9500,0,0,2000,0,0,"T000475",NA
"396","Tsongas","Niki","MA","D",0,0,0,0,5000,1000,"T000465",NA
"397","Turner","Michael R","OH","R",23000,0,0,6000,0,0,"T000463",NA
"398","Upton","Fred","MI","R",245800,24500,34000,55700,0,4500,"U000031",NA
"399","Valadao","David","CA","R",81150,0,4000,3000,0,0,"V000129",NA
"400","Van Hollen","Chris","MD","D",0,0,0,0,0,0,"V000128",NA
"401","Vargas","Juan","CA","D",2500,0,0,0,1000,0,"V000130",NA
"402","Veasey","Marc","TX","D",54400,0,0,4000,3500,500,"V000131",NA
"403","Vela","Filemon","TX","D",31600,0,0,0,0,1000,"V000132",NA
"404","Velazquez","Nydia","NY","D",0,0,0,0,0,0,"V000081",NA
"405","Visclosky","Pete","IN","D",7500,1700,1700,0,0,0,"V000108",NA
"406","Wagner","Ann","MO","R",57500,40650,44150,2000,0,0,"W000812",NA
"407","Walberg","Tim","MI","R",58750,13000,20000,1000,0,0,"W000798",NA
"408","Walden","Greg","OR","R",112350,1000,4000,8500,329,4750,"W000791",NA
"409","Walker","Mark","NC","R",4050,0,0,2000,0,0,"W000819",NA
"410","Walorski","Jackie","IN","R",39840,5600,10600,0,0,9500,"W000813",NA
"411","Walters","Mimi","CA","R",73550,0,0,7500,0,0,"W000820",NA
"412","Walz","Tim","MN","D",6500,0,0,0,6000,8500,"W000799",NA
"413","Waters","Maxine","CA","D",2500,10400,10400,0,1000,1000,"W000187",NA
"414","Weber","Randy","TX","R",97800,0,0,14350,3600,0,"W000814",NA
"415","Webster","Daniel","FL","R",13350,0,0,250,0,0,"W000806",NA
"416","Welch","Peter","VT","D",27700,0,0,6500,10200,9950,"W000800",NA
"417","Wenstrup","Brad","OH","R",21100,2600,3600,0,0,0,"W000815",NA
"418","Westerman","Bruce","AR","R",65150,5200,5200,0,0,0,"W000821",NA
"419","Westmoreland","Lynn A","GA","R",17050,0,500,5000,0,0,"W000796",NA
"420","Whitfield","Ed","KY","R",136500,31000,37000,23500,0,13000,"W000413",NA
"421","Williams","Roger","TX","R",209500,0,7200,7500,0,0,"W000816",NA
"422","Wilson","Frederica","FL","D",2500,0,0,0,1000,0,"W000808",NA
"423","Wilson","Joe","SC","R",19000,0,0,2000,0,0,"W000795",NA
"424","Wittman","Rob","VA","R",9950,0,0,3000,8500,0,"W000804",NA
"425","Womack","Steve","AR","R",13700,0,0,0,0,0,"W000809",NA
"426","Woodall","Rob","GA","R",16750,0,0,5250,0,0,"W000810",NA
"427","Yarmuth","John","KY","D",0,0,0,0,4750,0,"Y000062",NA
"428","Yoder","Kevin","KS","R",68700,1000,13400,2000,0,23900,"Y000063",NA
"429","Yoho","Ted","FL","R",7000,0,0,0,0,0,"Y000065",NA
"430","Young","David","IA","R",20750,0,0,7000,0,10100,"Y000066",NA
"431","Young","Don","AK","R",43450,2000,11600,0,2000,0,"Y000033",NA
"432","Young","Todd","IN","R",37950,14050,22750,8050,0,1000,"Y000064",NA
"433","Zeldin","Lee","NY","R",47150,0,0,1000,0,0,"Z000017",NA
"434","Zinke","Ryan","MT","R",217395,8250,14850,1000,0,400,"Z000018",NA
