"","LastName","FirstName","State","Party","Amount.oil.115","Amount.coal.115","Amount.mining.115","Amount.gas.115","Amount.env.115","Amount.alt_en.115","member_id","Alias"
"1","Adams","Alma","NC","D",0,0,0,0,8508,250,"A000370",NA
"2","Aderholt","Robert B","AL","R",19200,8000,9000,0,0,0,"A000055",NA
"3","Aguilar","Pete","CA","D",1103,0,0,1100,30846,755,"A000371",NA
"4","Allen","Richard W","GA","R",15500,0,0,0,0,0,"A000372",NA
"5","Amash","Justin","MI","R",22650,0,0,0,0,0,"A000367",NA
"6","Amodei","Mark","NV","R",10000,0,38450,2000,0,0,"A000369",NA
"7","Arrington","Jodey","TX","R",84925,0,500,4000,1000,12050,"A000375",NA
"8","Babin","Brian","TX","R",53650,0,4700,7700,1000,0,"B001291",NA
"9","Bacon","Donald John","NE","R",24950,0,0,100,0,6200,"B001298",NA
"10","Balderson","Troy","OH","R",0,0,0,0,0,0,"B001306",NA
"11","Banks","Jim","IN","R",28035,0,2000,500,57650,0,"B001299",NA
"12","Barletta","Lou","PA","R",34550,4200,4950,9000,0,0,"B001269",NA
"13","Barr","Andy","KY","R",38500,87200,98050,3000,0,0,"B001282",NA
"14","Barragan","Nanette","CA","D",336,0,2,142,40486,314,"B001300",NA
"15","Barton","Joe","TX","R",234282,4500,6500,18450,0,0,"B000213",NA
"16","Bass","Karen","CA","D",1000,0,5000,0,8700,0,"B001270",NA
"17","Beatty","Joyce","OH","D",5550,0,0,1500,0,0,"B001281",NA
"18","Bera","Ami","CA","D",3095,0,0,2745,44633,4815,"B001287",NA
"19","Bergman","John","MI","R",33600,0,4000,0,0,4000,"B001301",NA
"20","Beutler Herrera","Jaime","WA","R",0,0,0,0,0,0,"H001056",NA
"21","Beyer","Don","VA","D",22850,0,0,11600,5218,8400,"B001292",NA
"22","Biggs","Andy","AZ","R",8000,0,5000,1000,0,0,"B001302",NA
"23","Bilirakis","Gus","FL","R",23700,0,0,0,0,0,"B001257",NA
"24","Bishop","Mike","MI","R",20400,0,1000,0,0,0,"B001293",NA
"25","Bishop","Rob","UT","R",151516,8000,28750,25750,14750,2000,"B001250",NA
"26","Bishop","Sanford","GA","D",14000,3000,7000,0,0,1000,"B000490",NA
"27","Black","Diane","TN","R",43250,0,0,3000,1000,1000,"B001273",NA
"28","Blackburn","Marsha","TN","R",85900,500,500,13500,0,0,"B001243",NA
"29","Blum","Rod","IA","R",21900,0,0,900,0,14050,"B001294",NA
"30","Blumenauer","Earl","OR","D",3900,0,0,3650,10650,17200,"B000574",NA
"31","Bonamici","Suzanne","OR","D",8150,0,0,2750,9358,0,"B001278",NA
"32","Bost","Mike","IL","R",30250,27050,33400,2500,0,1000,"B001295",NA
"33","Boyle","Brendan","PA","D",3750,0,0,3000,6899,0,"B001296",NA
"34","Brady","Kevin","TX","R",415650,0,0,82500,0,14700,"B000755",NA
"35","Brady","Robert A","PA","D",28875,0,0,0,0,0,"B001227",NA
"36","Brat","Dave","VA","R",7000,0,0,2000,0,2250,"B001290",NA
"37","Brooks","Mo","AL","R",0,0,0,0,0,0,"B001274",NA
"38","Brooks","Susan","IN","R",35200,1750,2750,1000,2000,5000,"B001284",NA
"39","Brown","Anthony","MD","D",4500,0,0,1000,3275,6650,"B001304",NA
"40","Brownley","Julia","CA","D",1143,90,90,50,25623,1425,"B001285",NA
"41","Buchanan","Vernon","FL","R",5500,0,0,2000,500,0,"B001260",NA
"42","Buck","Ken","CO","R",64950,2300,6300,5500,0,2500,"B001297",NA
"43","Bucshon","Larry","IN","R",17000,19000,22500,0,0,5000,"B001275",NA
"44","Budd","Ted","NC","R",0,0,0,0,0,0,"B001305",NA
"45","Burgess","Michael","TX","R",43100,0,0,0,0,0,"B001248",NA
"46","Bustos","Cheri","IL","D",12140,0,0,4000,16006,17205,"B001286",NA
"47","Butterfield","G K","NC","D",15500,0,0,3000,2500,2000,"B001251",NA
"48","Byrne","Bradley","AL","R",33450,10400,10900,4000,0,0,"B001289",NA
"49","Calvert","Ken","CA","R",62500,9500,20000,4000,0,7900,"C000059",NA
"50","Capuano","Michael E","MA","D",21500,0,1000,2100,1500,0,"C001037",NA
"51","Carbajal","Salud","CA","D",5675,0,250,0,40137,500,"C001112",NA
"52","Cardenas","Tony","CA","D",24800,0,0,7300,6200,1500,"C001097",NA
"53","Carson","Andre","IN","D",1250,0,0,0,0,1000,"C001072",NA
"54","Carter","Buddy","GA","R",13500,0,0,1000,0,0,"C001103",NA
"55","Carter","John","TX","R",16700,0,0,0,0,0,"C001051",NA
"56","Cartwright","Matt","PA","D",2500,0,0,1000,13671,0,"C001090",NA
"57","Castor","Kathy","FL","D",0,0,0,0,3100,0,"C001066",NA
"58","Castro","Joaquin","TX","D",25600,0,0,2500,2000,0,"C001091",NA
"59","Chabot","Steve","OH","R",2100,0,0,1000,750,0,"C000266",NA
"60","Cheney","Liz","WY","R",124775,9000,12000,2500,0,0,"C001109",NA
"61","Chu","Judy","CA","D",0,0,0,0,3200,0,"C001080",NA
"62","Cicilline","David","RI","D",0,0,0,0,2000,1500,"C001084",NA
"63","Clark","Katherine","MA","D",7503,0,0,1000,9575,1300,"C001101",NA
"64","Clarke","Yvette","NY","D",2000,0,0,0,2000,0,"C001067",NA
"65","Clay","William L Jr","MO","D",4000,0,0,0,2000,0,"C001049",NA
"66","Cleaver","Emanuel","MO","D",1000,0,0,0,2000,0,"C001061",NA
"67","Cloud","Michael","TX","R",0,0,0,0,0,0,"C001115",NA
"68","Clyburn","James E","SC","D",13430,0,0,3000,1250,1500,"C000537",NA
"69","Coffman","Mike","CO","R",193244,15900,36250,4450,500,1000,"C001077",NA
"70","Cohen","Steve","TN","D",0,0,0,0,500,500,"C001068",NA
"71","Cole","Tom","OK","R",125750,17200,19200,13700,0,5000,"C001053",NA
"72","Watson Coleman","Bonnie","NJ","D",0,0,0,0,0,0,"W000822",NA
"73","Collins","Chris","NY","R",63950,0,0,22000,0,0,"C001092",NA
"74","Collins","Doug","GA","R",30250,0,0,1600,0,0,"C001093",NA
"75","Comer","James","KY","R",13350,21251,23251,0,0,0,"C001108",NA
"76","Comstock","Barbara","VA","R",75975,4450,9450,19000,0,0,"C001105",NA
"77","Conaway","Mike","TX","R",146547,3500,3500,250,0,1500,"C001062",NA
"78","Connolly","Gerry","VA","D",3800,0,0,3750,4665,2000,"C001078",NA
"79","Cook","Paul","CA","R",18000,0,2750,13500,0,5400,"C001094",NA
"80","Cooper","Jim","TN","D",3500,0,0,1000,0,2700,"C000754",NA
"81","Correa","Lou","CA","D",19500,0,0,0,250,5500,"C001110",NA
"82","Costa","Jim","CA","D",95525,3500,6500,21000,2000,2000,"C001059",NA
"83","Costello","Ryan","PA","R",36250,0,1500,9500,5400,1000,"C001106",NA
"84","Courtney","Joe","CT","D",3000,0,0,2000,5550,0,"C001069",NA
"85","Cramer","Kevin","ND","R",216200,26000,30000,23500,0,15000,"C001096",NA
"86","Crawford","Rick","AR","R",6250,0,0,3000,0,0,"C001087",NA
"87","Crist","Charlie","FL","D",13500,0,0,0,24201,1002,"C001111",NA
