"Cycle","CID","RealCode","Date","Amount","Type"
2020,"N00039090","E1160",2020-09-16,1000,"24K"
2020,"N00043541","E1160",2020-10-26,-2000,"24K"
2020,"N00027509","E1160",2020-10-22,-1000,"24K"
2020,"N00002593","E1200",2020-10-19,-500,"24K"
2020,"N00034044","E1600",2020-11-12,-2500,"24K"
2020,"N00035483","E4200",2020-11-03,-2000,"24K"
2020,"N00041338","E1500",2020-10-27,1000,"24K"
2020,"N00044206","E1500",2020-10-27,500,"24K"
2020,"N00041731","E1500",2020-10-27,1000,"24K"
2020,"N00028138","E1500",2020-11-20,1000,"24K"
2020,"N00035774","E1220",2020-07-30,2500,"24K"
2020,"N00031177","E1220",2020-07-15,1500,"24K"
2020,"N00026314","E1220",2020-07-21,5000,"24K"
2020,"N00000491","E1220",2020-09-10,5000,"24K"
2020,"N00030780","E1220",2020-09-10,5000,"24K"
2020,"N00007999","E1220",2020-07-30,1500,"24K"
2020,"N00029441","E1220",2020-07-15,2500,"24K"
2020,"N00035483","E1220",2020-09-10,5000,"24K"
2020,"N00033982","E1220",2020-09-10,5000,"24K"
2020,"N00041335","E1220",2020-07-30,1500,"24K"
2020,"N00006263","E1220",2020-09-07,1000,"24K"
2020,"N00033054","E1220",2020-07-15,2200,"24K"
2020,"N00046125","E1160",2020-11-23,5000,"24K"
2020,"N00035516","E1160",2020-11-23,5000,"24K"
2020,"N00044434","E1160",2020-10-23,5000,"24K"
2020,"N00031226","E1160",2020-10-30,5000,"24K"
2020,"N00046125","E1200",2020-11-12,2500,"24K"
2020,"N00035516","E1200",2020-11-12,2500,"24K"
2020,"N00045369","E1200",2020-10-16,1000,"24K"
2020,"N00030622","E1200",2020-10-21,1000,"24K"
2020,"N00026341","E1600",2020-10-20,2000,"24K"
2020,"N00040597","E1600",2020-10-15,2500,"24K"
2020,"N00030600","E1600",2020-10-20,2500,"24K"
2020,"N00006701","E1600",2020-10-20,3000,"24K"
2020,"N00009585","E1600",2020-10-20,5000,"24K"
2020,"N00035825","E1600",2020-10-20,5000,"24K"
2020,"N00000615","E1620",2020-11-02,500,"24K"
2020,"N00000575","E1620",2020-10-20,2500,"24K"
2020,"N00013855","E1620",2020-10-20,2500,"24K"
2020,"N00037019","E1600",2020-10-30,2500,"24K"
2020,"N00027035","E1600",2020-10-30,5000,"24K"
2020,"N00045773","E1600",2020-10-30,1000,"24K"
2020,"N00025726","E1600",2020-10-19,1000,"24K"
2020,"N00036149","E1600",2020-10-30,2500,"24K"
2020,"N00034639","E1600",2020-10-30,1000,"24K"
2020,"N00038450","E1600",2020-10-30,1000,"24K"
2020,"N00033390","E1600",2020-10-30,5000,"24K"
2020,"N00033395","E1600",2020-10-19,2500,"24K"
2020,"N00013323","E1600",2020-10-19,2500,"24K"
2020,"N00040597","E1600",2020-10-30,2500,"24K"
2020,"N00038601","E1600",2020-10-19,2500,"24K"
2020,"N00038601","E1600",2020-10-30,2500,"24K"
2020,"N00024809","E1600",2020-10-30,1000,"24K"
2020,"N00037034","E1600",2020-10-30,1000,"24K"
2020,"N00003522","E1600",2020-10-30,1000,"24K"
2020,"N00035934","E1600",2020-10-19,5000,"24K"
2020,"N00004403","E1600",2020-10-30,1000,"24K"
2020,"N00012233","E1600",2020-10-30,2500,"24K"
2020,"N00038414","E1600",2020-10-30,2500,"24K"
2020,"N00035504","E1600",2020-10-19,2500,"24K"
2020,"N00029788","E1600",2020-10-30,1000,"24K"
2020,"N00036275","E1600",2020-10-30,1000,"24K"
2020,"N00030184","E1600",2020-10-30,2500,"24K"
2020,"N00002674","E1600",2020-10-30,1000,"24K"
2020,"N00045434","E1600",2020-10-19,1000,"24K"
2020,"N00024790","E1600",2020-10-30,2500,"24K"
2020,"N00030622","E1600",2020-10-30,2500,"24K"
2020,"N00024978","E1600",2020-10-30,1000,"24K"
2020,"N00038285","E1600",2020-10-30,2500,"24K"
2020,"N00044346","E1600",2020-10-30,500,"24K"
2020,"N00000515","E1600",2020-10-30,2500,"24K"
2020,"N00042715","E1600",2020-10-30,1000,"24K"
2020,"N00028073","E1600",2020-10-30,2500,"24K"
2020,"N00030676","E1170",2020-10-28,1000,"24K"
2020,"N00027035","E1170",2020-10-28,5000,"24K"
2020,"N00005582","E1170",2020-10-28,2500,"24K"
2020,"N00027459","E1170",2020-10-28,5000,"24K"
2020,"N00025219","E1170",2020-10-28,2500,"24K"
2020,"N00033591","E1170",2020-10-28,2500,"24K"
2020,"N00037515","E1170",2020-10-28,1000,"24K"
2020,"N00035774","E1620",2020-10-22,1000,"24K"
2020,"N00005883","E1620",2020-10-22,1000,"24K"
2020,"N00004887","E1620",2020-10-22,1000,"24K"
2020,"N00035523","E1620",2020-10-22,500,"24K"
2020,"N00033390","E1620",2020-10-22,1000,"24K"
2020,"N00006236","E1620",2020-11-04,1000,"24K"
2020,"N00040597","E1620",2020-11-02,-1000,"24K"
2020,"N00040597","E1620",2020-11-02,1000,"24K"
2020,"N00035483","E1620",2020-10-22,1000,"24K"
2020,"N00036944","E1620",2020-10-22,1000,"24K"
2020,"N00003522","E1620",2020-10-22,2000,"24K"
2020,"N00026050","E1620",2020-11-04,1000,"24K"
2020,"N00026460","E1620",2020-10-22,1000,"24K"
2020,"N00044298","E1620",2020-10-23,-1000,"24K"
2020,"N00000153","E1620",2020-10-22,1000,"24K"
2020,"N00009660","E1620",2020-10-22,500,"24K"
2020,"N00027860","E1620",2020-11-04,1000,"24K"
2020,"N00004133","E1620",2020-10-22,1000,"24K"
2020,"N00035527","E1620",2020-10-22,1000,"24K"
2020,"N00046125","E1110",2020-11-16,5000,"24K"
2020,"N00035516","E1110",2020-11-16,5000,"24K"
2020,"N00035527","E4200",2020-10-19,-1500,"24K"
2020,"N00035527","E4200",2020-10-19,1500,"24K"
2020,"N00036135","E1150",2020-10-16,2000,"24K"
2020,"N00044592","E1150",2020-11-03,1000,"24K"
2020,"N00041194","E1150",2020-10-15,2500,"24K"
2020,"N00026460","E1150",2020-10-15,2500,"24K"
2020,"N00025219","E1150",2020-10-15,2500,"24K"
2020,"N00029459","E1150",2020-10-15,2500,"24K"
2020,"N00042282","E1150",2020-10-15,2500,"24K"
2020,"N00045369","E1150",2020-10-15,5000,"24K"
2020,"N00038809","E1150",2020-10-15,2500,"24K"
2020,"N00037034","E1150",2020-10-20,5000,"24K"
2020,"N00045167","E1150",2020-10-23,2500,"24K"
2020,"N00046125","E1150",2020-11-16,5000,"24K"
2020,"N00035516","E1150",2020-11-16,5000,"24K"
2020,"N00000699","E4100",2020-11-19,2000,"24K"
2020,"N00042164","E4100",2020-10-28,2000,"24K"
2020,"N00030780","E1120",2020-10-15,5000,"24K"
2020,"N00005582","E1120",2020-10-15,1000,"24K"
2020,"N00033982","E1120",2020-10-15,5000,"24K"
2020,"N00045773","E1520",2020-10-26,1000,"24K"
2020,"N00046125","E1160",2020-11-13,5000,"24K"
2020,"N00041550","E1160",2020-10-22,5000,"24K"
2020,"N00045369","E1160",2020-10-22,5000,"24K"
2020,"N00038285","E1600",2020-10-20,2000,"24K"
2020,"N00004887","E1600",2020-10-20,1000,"24K"
2020,"N00008122","E1600",2020-10-20,2000,"24K"
2020,"N00026050","E1600",2020-11-20,1000,"24K"
2020,"N00042194","E1210",2020-10-19,1000,"24K"
2020,"N00029574","E1210",2020-10-26,1000,"24K"
2020,"N00029441","E1700",2020-08-10,1000,"24K"
2020,"N00029441","E1700",2020-08-24,-1000,"24K"
2020,"N00029441","E1700",2020-09-08,1000,"24K"
2020,"N00030196","E1700",2020-09-22,5000,"24K"
2020,"N00030191","E1220",2020-10-15,2000,"24K"
