"","LastName","FirstName","State","Party","Chamber"
"1","Adams","Alma","North Carolina","Democrat","District 12"
"2","Aderholt","Robert B","Alabama","Republican","District 4"
"3","Aguilar","Pete","California","Democrat","District 31"
"4","Allen","Richard W","Georgia","Republican","District 12"
"5","Amash","Justin","Michigan","Republican","District 3"
"6","Amodei","Mark","Nevada","Republican","District 2"
"7","Arrington","Jodey","Texas","Republican","District 19"
"8","Babin","Brian","Texas","Republican","District 36"
"9","Bacon","Donald John","Nebraska","Republican","District 2"
"10","Balderson","Troy","Ohio","Republican","District 12"
"11","Banks","Jim","Indiana","Republican","District 3"
"12","Barletta","Lou","Pennsylvania","Republican","District 11"
"13","Barr","Andy","Kentucky","Republican","District 6"
"14","Barragan","Nanette","California","Democrat","District 44"
"15","Barton","Joe","Texas","Republican","District 6"
"16","Bass","Karen","California","Democrat","District 37"
"17","Beatty","Joyce","Ohio","Democrat","District 3"
"18","Bera","Ami","California","Democrat","District 7"
"19","Bergman","John","Michigan","Republican","District 1"
"20","Beutler Herrera","Jaime","Washington","Republican","District 3"
"21","Beyer","Don","Virginia","Democrat","District 8"
"22","Biggs","Andy","Arizona","Republican","District 5"
"23","Bilirakis","Gus","Florida","Republican","District 12"
"24","Bishop","Mike","Michigan","Republican","District 8"
"25","Bishop","Rob","Utah","Republican","District 1"
"26","Bishop","Sanford","Georgia","Democrat","District 2"
"27","Black","Diane","Tennessee","Republican","District 6"
"28","Blackburn","Marsha","Tennessee","Republican","District 7"
"29","Blum","Rod","Iowa","Republican","District 1"
"30","Blumenauer","Earl","Oregon","Democrat","District 3"
"31","Bonamici","Suzanne","Oregon","Democrat","District 1"
"32","Bordallo","Madeleine Z","Guam","Democrat","At Large"
"33","Bost","Mike","Illinois","Republican","District 12"
"34","Boyle","Brendan","Pennsylvania","Democrat","District 13"
"35","Brady","Kevin","Texas","Republican","District 8"
"36","Brady","Robert A","Pennsylvania","Democrat","District 1"
"37","Brat","Dave","Virginia","Republican","District 7"
"38","Brooks","Mo","Alabama","Republican","District 5"
"39","Brooks","Susan","Indiana","Republican","District 5"
"40","Brown","Anthony","Maryland","Democrat","District 4"
"41","Brownley","Julia","California","Democrat","District 26"
"42","Buchanan","Vernon","Florida","Republican","District 16"
"43","Buck","Ken","Colorado","Republican","District 4"
"44","Bucshon","Larry","Indiana","Republican","District 8"
"45","Budd","Ted","North Carolina","Republican","District 13"
"46","Burgess","Michael","Texas","Republican","District 26"
"47","Bustos","Cheri","Illinois","Democrat","District 17"
"48","Butterfield","G K","North Carolina","Democrat","District 1"
"49","Byrne","Bradley","Alabama","Republican","District 1"
"50","Calvert","Ken","California","Republican","District 42"
"51","Capuano","Michael E","Massachusetts","Democrat","District 7"
"52","Carbajal","Salud","California","Democrat","District 24"
"53","Cardenas","Tony","California","Democrat","District 29"
"54","Carson","Andre","Indiana","Democrat","District 7"
"55","Carter","Buddy","Georgia","Republican","District 1"
"56","Carter","John","Texas","Republican","District 31"
"57","Cartwright","Matt","Pennsylvania","Democrat","District 17"
"58","Castor","Kathy","Florida","Democrat","District 14"
"59","Castro","Joaquin","Texas","Democrat","District 20"
"60","Chabot","Steve","Ohio","Republican","District 1"
"61","Cheney","Liz","Wyoming","Republican","District 1"
"62","Chu","Judy","California","Democrat","District 27"
"63","Cicilline","David","Rhode Island","Democrat","District 1"
"64","Clark","Katherine","Massachusetts","Democrat","District 5"
"65","Clarke","Yvette","New York","Democrat","District 9"
"66","Clay","William L Jr","Missouri","Democrat","District 1"
"67","Cleaver","Emanuel","Missouri","Democrat","District 5"
"68","Cloud","Michael","Texas","Republican","District 27"
"69","Clyburn","James E","South Carolina","Democrat","District 6"
"70","Coffman","Mike","Colorado","Republican","District 6"
"71","Cohen","Steve","Tennessee","Democrat","District 9"
"72","Cole","Tom","Oklahoma","Republican","District 4"
"73","Watson Coleman","Bonnie","New Jersey","Democrat","District 12"
"74","Collins","Chris","New York","Republican","District 27"
"75","Collins","Doug","Georgia","Republican","District 9"
"76","Comer","James","Kentucky","Republican","District 1"
"77","Comstock","Barbara","Virginia","Republican","District 10"
"78","Conaway","Mike","Texas","Republican","District 11"
"79","Connolly","Gerry","Virginia","Democrat","District 11"
"80","Cook","Paul","California","Republican","District 8"
"81","Cooper","Jim","Tennessee","Democrat","District 5"
"82","Correa","Lou","California","Democrat","District 46"
"83","Costa","Jim","California","Democrat","District 16"
"84","Costello","Ryan","Pennsylvania","Republican","District 6"
"85","Courtney","Joe","Connecticut","Democrat","District 2"
"86","Cramer","Kevin","North Dakota","Republican","District 1"
"87","Crawford","Rick","Arkansas","Republican","District 1"
"88","Crist","Charlie","Florida","Democrat","District 13"
"89","Crowley","Joseph","New York","Democrat","District 14"
"90","Cuellar","Henry","Texas","Democrat","District 28"
"91","Culberson","John","Texas","Republican","District 7"
"92","Cummings","Elijah E","Maryland","Democrat","District 7"
"93","Curbelo","Carlos","Florida","Republican","District 26"
"94","Curtis","John","Utah","Republican","District 3"
"95","Davidson","Warren","Ohio","Republican","District 8"
"96","Davis","Danny K","Illinois","Democrat","District 7"
"97","Davis","Rodney","Illinois","Republican","District 13"
"98","Davis","Susan","California","Democrat","District 53"
"99","DeFazio","Peter","Oregon","Democrat","District 4"
"100","DeGette","Diana","Colorado","Democrat","District 1"
"101","Delaney","John K","Maryland","Democrat","District 6"
"102","DeLauro","Rosa","Connecticut","Democrat","District 3"
"103","DelBene","Suzan","Washington","Democrat","District 1"
"104","Demings","Val","Florida","Democrat","District 10"
"105","Denham","Jeff","California","Republican","District 10"
"106","Desaulnier","Mark","California","Democrat","District 11"
"107","Desjarlais","Scott","Tennessee","Republican","District 4"
"108","Deutch","Ted","Florida","Democrat","District 22"
"109","Diaz-Balart","Mario","Florida","Republican","District 25"
"110","Dingell","Debbie","Michigan","Democrat","District 12"
"111","Doggett","Lloyd","Texas","Democrat","District 35"
"112","Donovan","Dan","New York","Republican","District 11"
"113","Doyle","Mike","Pennsylvania","Democrat","District 14"
"114","Duffy","Sean P","Wisconsin","Republican","District 7"
"115","Duncan","Jeff","South Carolina","Republican","District 3"
"116","Duncan","John J Jr","Tennessee","Republican","District 2"
"117","Dunn","Neal","Florida","Republican","District 2"
"118","Ellison","Keith","Minnesota","Democrat","District 5"
"119","Emmer","Tom","Minnesota","Republican","District 6"
"120","Engel","Eliot","New York","Democrat","District 16"
"121","Eshoo","Anna","California","Democrat","District 18"
"122","Espaillat","Adriano","New York","Democrat","District 13"
"123","Estes","Ron","Kansas","Republican","District 4"
"124","Esty","Elizabeth","Connecticut","Democrat","District 5"
"125","Evans","Dwight","Pennsylvania","Democrat","District 2"
"126","Faso","John","New York","Republican","District 19"
"127","Ferguson","Drew","Georgia","Republican","District 3"
"128","Fitzpatrick","Brian","Pennsylvania","Republican","District 8"
"129","Fleischmann","Chuck","Tennessee","Republican","District 3"
"130","Flores","Bill","Texas","Republican","District 17"
"131","Fortenberry","Jeff","Nebraska","Republican","District 1"
"132","Foster","Bill","Illinois","Democrat","District 11"
"133","Foxx","Virginia","North Carolina","Republican","District 5"
"134","Frankel","Lois","Florida","Democrat","District 21"
"135","Frelinghuysen","Rodney","New Jersey","Republican","District 11"
"136","Fudge","Marcia","Ohio","Democrat","District 11"
"137","Gabbard","Tulsi","Hawaii","Democrat","District 2"
"138","Gaetz","Matt","Florida","Republican","District 1"
"139","Gallagher","Mike","Wisconsin","Republican","District 8"
"140","Gallego","Ruben","Arizona","Democrat","District 7"
"141","Garamendi","John","California","Democrat","District 3"
"142","Garrett","Tom","Virginia","Republican","District 5"
"143","Gianforte","Greg","Montana","Republican","District 1"
"144","Gibbs","Bob","Ohio","Republican","District 7"
"145","Gohmert","Louis B Jr","Texas","Republican","District 1"
"146","Gomez","Jimmy","California","Democrat","District 34"
"147","Gonzalez","Vicente","Texas","Democrat","District 15"
"148","Goodlatte","Bob","Virginia","Republican","District 6"
"149","Gosar","Paul","Arizona","Republican","District 4"
"150","Gottheimer","Josh","New Jersey","Democrat","District 5"
"151","Gowdy","Trey","South Carolina","Republican","District 4"
"152","Granger","Kay","Texas","Republican","District 12"
"153","Graves","Garret","Louisiana","Republican","District 6"
"154","Graves","Sam","Missouri","Republican","District 6"
"155","Graves","Tom","Georgia","Republican","District 14"
"156","Green","Al","Texas","Democrat","District 9"
"157","Green","Gene","Texas","Democrat","District 29"
"158","Griffith","Morgan","Virginia","Republican","District 9"
"159","Grijalva","Raul M","Arizona","Democrat","District 3"
"160","Grisham Lujan","Michelle","New Mexico","Democrat","District 1"
"161","Grothman","Glenn","Wisconsin","Republican","District 6"
"162","Guthrie","Brett","Kentucky","Republican","District 2"
"163","Gutierrez","Luis V","Illinois","Democrat","District 4"
"164","Hanabusa","Colleen","Hawaii","Democrat","District 1"
"165","Handel","Karen","Georgia","Republican","District 6"
"166","Harper","Gregg","Mississippi","Republican","District 3"
"167","Harris","Andy","Maryland","Republican","District 1"
"168","Hartzler","Vicky","Missouri","Republican","District 4"
"169","Hastings","Alcee","Florida","Democrat","District 20"
"170","Heck","Dennis","Washington","Democrat","District 10"
"171","Hensarling","Jeb","Texas","Republican","District 5"
"172","Hern","Kevin","Oklahoma","Republican","District 1"
"173","Hice","Jody","Georgia","Republican","District 10"
"174","Higgins","Brian M","New York","Democrat","District 26"
"175","Higgins","Clay","Louisiana","Republican","District 3"
"176","Hill","French","Arkansas","Republican","District 2"
"177","Himes","Jim","Connecticut","Democrat","District 4"
"178","Holding","George","North Carolina","Republican","District 2"
"179","Hollingsworth","Trey","Indiana","Republican","District 9"
"180","Hoyer","Steny H","Maryland","Democrat","District 5"
"181","Hudson","Richard","North Carolina","Republican","District 8"
"182","Huffman","Jared","California","Democrat","District 2"
"183","Huizenga","Bill","Michigan","Republican","District 2"
"184","Hultgren","Randy","Illinois","Republican","District 14"
"185","Hunter","Duncan D","California","Republican","District 50"
"186","Hurd","Will","Texas","Republican","District 23"
"187","Issa","Darrell","California","Republican","District 49"
"188","Jackson Lee","Sheila","Texas","Democrat","District 18"
"189","Jayapal","Pramila","Washington","Democrat","District 7"
"190","Jeffries","Hakeem","New York","Democrat","District 8"
"191","Jenkins","Evan","West Virginia","Republican","District 3"
"192","Jenkins","Lynn","Kansas","Republican","District 2"
"193","Johnson","Bill","Ohio","Republican","District 6"
"194","Johnson","Eddie Bernice","Texas","Democrat","District 30"
"195","Johnson","Hank","Georgia","Democrat","District 4"
"196","Johnson","Mike","Louisiana","Republican","District 4"
"197","Johnson","Sam","Texas","Republican","District 3"
"198","Jones","Brenda","Michigan","Democrat","District 13"
