"","LastName.x","LastName.y","FirstName.x","FirstName.y","State.x","Party.x","member_id","Amount.oil.114","Amount.coal.114","Amount.mining.114","Amount.gas.114","Amount.env.114","Amount.alt_en.114","Amount.oil.115","Amount.coal.115","Amount.mining.115","Amount.gas.115","Amount.env.115","Amount.alt_en.115","Amount.oil.116","Amount.coal.116","Amount.mining.116","Amount.gas.116","Amount.env.116","Amount.alt_en.116","Vote.114","Vote.115","Vote.116","Vote_count","Vote_change","Alias.y"
"27","Bonamici","Bonamici","Suzanne","Suzanne","OR","D","B001278",250,0,0,0,6390,3000,8150,0,0,2750,9358,1500,3079,0,0,2564,2951,1500,"+","+","+",3,0,NA
"28","Bost","Bost","Mike","Mike","IL","R","B001295",30300,16900,16900,0,0,0,30250,27050,33400,2500,0,18000,56340,32250,86825,7899,0,18000,"-","-","-",3,0,NA
"29","Boustany","Boustany","Charles Jr","Charles","LA","R","B001255",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,"Jr."
"30","Boyle","Boyle","Brendan","Brendan","PA","D","B001296",11000,0,0,3000,4990,0,3750,0,0,3000,6899,0,6000,0,0,6000,2010,0,"+","+","+",3,0,NA
"31","Brady","Brady","Kevin","Kevin P.","TX","R","B000755",321650,3000,3000,49950,0,1000,415650,0,0,82500,0,19750,377134,1000,1000,53450,0,19750,NA,"-","-",2,0,NA
"32","Brady","Brady","Robert A","Robert A.","PA","D","B001227",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"+","+",NA,2,0,NA
"33","Brat","Brat","Dave","David Alan","VA","R","B001290",24500,0,500,0,0,1000,7000,0,0,2000,0,2000,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"34","Bridenstine","Bridenstine","James","Jim","OK","R","B001283",72950,0,0,3500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"35","Brooks","Brooks","Mo","Mo","AL","R","B001274",5500,2500,2500,0,0,0,0,0,0,0,0,4000,2250,2500,16000,0,500,4000,"-","-","-",3,0,NA
"36","Brooks","Brooks","Susan","Susan W.","IN","R","B001284",40750,0,1000,1500,0,4000,35200,1750,2750,1000,2000,7500,21300,3000,9000,0,0,7500,"-","-","-",3,0,NA
"37","Brown","Brown","Corrine","Corrine","FL","D","B000911",5000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"38","Brownley","Brownley","Julia","Julia","CA","D","B001285",500,0,0,0,55362,1750,1143,90,90,50,25623,505,1351,0,0,0,9201,505,"+","+","+",3,0,NA
"39","Buchanan","Buchanan","Vernon","Vern","FL","R","B001260",3000,0,0,3000,0,0,5500,0,0,2000,500,1000,31750,0,0,0,0,1000,"-","-","-",3,0,NA
"40","Buck","Buck","Ken","Ken","CO","R","B001297",124450,2000,7600,15350,0,500,64950,2300,6300,5500,0,1000,44700,0,2500,6500,0,1000,"-","-","-",3,0,NA
"41","Bucshon","Bucshon","Larry","Larry","IN","R","B001275",20300,51050,98500,0,0,500,17000,19000,22500,0,0,250,16200,21900,23900,1000,0,250,"-","-","-",3,0,NA
"42","Burgess","Burgess","Michael","Michael C.","TX","R","B001248",67956,0,0,0,0,0,43100,0,0,0,0,5200,35250,0,0,4000,0,5200,"-","-","-",3,0,NA
"43","Bustos","Bustos","Cheri","Cheri","IL","D","B001286",3000,0,0,2000,21946,16000,12140,0,0,4000,16006,19258,7870,3,3,1020,5929,19258,"+","+","+",3,0,NA
"44","Butterfield","Butterfield","G K","G.K.","NC","D","B001251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,NA
"45","Byrne","Byrne","Bradley","Bradley","AL","R","B001289",35250,20000,20000,5000,1000,0,33450,10400,10900,4000,0,0,19200,0,2000,1000,2700,0,"-","-","-",3,0,NA
"46","Calvert","Calvert","Ken","Ken S.","CA","R","C000059",35000,1000,10000,2500,1000,500,62500,9500,20000,4000,0,6400,33500,0,2000,0,0,6400,"-","-","-",3,0,NA
"47","Capps","Capps","Lois","Lois","CA","D","C001036",3000,0,0,0,42000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"48","Capuano","Capuano","Michael E","Michael E.","MA","D","C001037",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"+","+",NA,2,0,NA
"49","Cardenas","Cárdenas","Tony","Tony","CA","D","C001097",13500,0,0,10000,3000,250,24800,0,0,7300,6200,2000,24530,0,0,3000,1604,2000,"+","+","+",3,0,NA
"50","Carney","Carney","John","John","DE","D","C001083",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,"Jr."
"51","Carson","Carson","Andre","Andre","IN","D","C001072",8750,0,0,0,0,0,1250,0,0,0,0,0,2250,0,0,0,250,0,"+","+","+",3,0,NA
"52","Carter","Carter","Buddy","Buddy","GA","R","C001103",33250,0,1000,1000,0,0,13500,0,0,1000,0,2250,68400,0,6000,6000,2500,2250,"-","-","-",3,0,NA
"53","Carter","Carter","John","John R.","TX","R","C001051",49600,0,0,6000,0,0,16700,0,0,0,0,5400,62350,0,1000,5500,0,5400,"-","-","-",3,0,NA
"54","Cartwright","Cartwright","Matt","Matt A.","PA","D","C001090",0,0,0,0,4000,0,2500,0,0,1000,13671,1000,7502,0,0,0,19137,1000,"+","+","+",3,0,NA
"55","Castor","Castor","Kathy","Kathy","FL","D","C001066",1500,0,0,1000,2500,250,0,0,0,0,3100,0,59,0,0,0,2253,0,"+",NA,"+",2,0,NA
"56","Castro","Castro","Joaquin","Joaquin","TX","D","C001091",43250,0,0,3000,4000,2900,25600,0,0,2500,2000,500,12890,0,0,0,4700,500,"+","+","+",3,0,NA
"57","Chabot","Chabot","Steve","Steve","OH","R","C000266",14600,0,0,1000,0,0,2100,0,0,1000,750,0,20700,9250,53425,0,0,0,"-","-","-",3,0,NA
"58","Chaffetz","Chaffetz","Jason","Jason","UT","R","C001076",39350,4000,8000,3250,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"59","Chu","Chu","Judy","Judy M.","CA","D","C001080",0,2500,2500,0,2000,0,0,0,0,0,3200,0,1000,0,0,0,2950,0,"+","+","+",3,0,NA
"60","Cicilline","Cicilline","David","David","RI","D","C001084",500,0,0,0,1000,4000,0,0,0,0,2000,0,500,0,0,0,2000,0,"+","+","+",3,0,NA
"61","Clark","Clark","Katherine","Katherine M.","MA","D","C001101",15400,0,300,12400,6375,1150,7503,0,0,1000,9575,1000,8206,0,0,0,5913,1000,"+","+","+",3,0,NA
"62","Clarke","Clarke","Yvette","Yvette D.","NY","D","C001067",0,0,0,0,0,0,2000,0,0,0,2000,0,1250,0,0,1000,2000,0,"+","+","+",3,0,NA
"63","Clawson","Clawson","Curt","Curtis","FL","R","C001102",1000,0,500,0,0,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"64","Clay","Clay","William L Jr","William Lacy","MO","D","C001049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,NA
"65","Cleaver","Cleaver","Emanuel","Emanuel","MO","D","C001061",0,0,0,0,2000,0,1000,0,0,0,2000,0,0,0,0,0,2500,0,"+","+","+",3,0,NA
"66","Clyburn","Clyburn","James E","James E.","SC","D","C000537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+",NA,"+",2,0,NA
"67","Coffman","Coffman","Mike","Mike","CO","R","C001077",372000,21200,44950,10750,2250,500,193244,15900,36250,4450,500,4000,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"68","Cohen","Cohen","Steve","Steve","TN","D","C001068",250,0,0,0,5250,0,0,0,0,0,500,0,3000,0,0,0,4500,0,"+","+","+",3,0,NA
"69","Cole","Cole","Tom","Tom","OK","R","C001053",123200,1000,2000,13000,0,2000,125750,17200,19200,13700,0,7493,119250,0,1000,35400,0,7493,"-","-","-",3,0,NA
"70","Watson Coleman","Watson Coleman","Bonnie","Bonnie","NJ","D","W000822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+",NA,"+",2,0,NA
"71","Collins","Collins","Chris","Chris","NY","R","C001092",50800,0,0,17800,0,0,63950,0,0,22000,0,7500,NA,NA,NA,NA,NA,NA,"-","-","-",3,0,NA
"72","Collins","Collins","Doug","Doug","GA","R","C001093",17250,0,500,2000,0,0,30250,0,0,1600,0,0,35000,0,500,2500,0,0,"-","-","-",3,0,NA
"73","Comstock","Comstock","Barbara","Barbara","VA","R","C001105",67300,8800,10800,12150,500,0,75975,4450,9450,19000,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"74","Conaway","Conaway","Mike","K. Michael","TX","R","C001062",263450,0,0,5000,0,5100,146547,3500,3500,250,0,1793,150500,0,0,1000,4750,1793,"-","-","-",3,0,NA
"75","Connolly","Connolly","Gerry","Gerald E.","VA","D","C001078",5000,0,0,3000,3000,0,3800,0,0,3750,4665,0,2002,0,0,2000,1500,0,"+","+","+",3,0,NA
"76","Conyers","Conyers","John Jr","John","MI","D","C000714",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","+",NA,2,0,"Jr."
"77","Cook","Cook","Paul","Paul","CA","R","C001094",4800,0,750,0,0,7100,18000,0,2750,13500,0,6400,21500,0,1450,14000,0,6400,"-","-","-",3,0,NA
"78","Cooper","Cooper","Jim","Jim","TN","D","C000754",6200,0,0,1000,0,0,3500,0,0,1000,0,1250,6500,0,0,0,0,1250,"+","+","+",3,0,NA
"79","Costa","Costa","Jim","Jim","CA","D","C001059",99929,3000,10500,23999,3500,4000,95525,3500,6500,21000,2000,1000,98505,3500,12000,15000,3000,1000,"+",NA,"-",2,1,NA
"80","Costello","Costello","Ryan","Ryan","PA","R","C001106",31500,0,6150,11500,0,0,36250,0,1500,9500,5400,0,NA,NA,NA,NA,NA,NA,"-","+",NA,2,1,NA
"81","Courtney","Courtney","Joe","Joe","CT","D","C001069",3500,0,0,0,5750,0,3000,0,0,2000,5550,0,750,0,0,0,3100,0,"+","+","+",3,0,NA
"82","Cramer","Cramer","Kevin","Kevin","ND","R","C001096",272250,19400,24400,16500,0,2000,216200,26000,30000,23500,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"83","Crawford","Crawford","Rick","Rick","AR","R","C001087",12800,0,0,2000,0,1000,6250,0,0,3000,0,0,7250,0,1000,1000,0,0,"-","-","-",3,0,NA
"84","Crenshaw","Crenshaw","Ander","Ander","FL","R","C001045",7500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"85","Crowley","Crowley","Joseph","Joseph","NY","D","C001038",5500,0,0,5500,6700,7575,18000,0,500,6000,3500,500,NA,NA,NA,NA,NA,NA,"+","+",NA,2,0,NA
"86","Cuellar","Cuellar","Henry","Henry","TX","D","C001063",135758,0,8000,16000,0,0,162952,1000,4800,22500,0,500,173919,1500,8000,17000,0,500,"-","-","+",3,1,NA
"87","Culberson","Culberson","John","John A.","TX","R","C001048",92150,0,0,6000,0,0,133625,0,0,22825,0,250,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"88","Cummings","Cummings","Elijah E","Elijah E.","MD","D","C000984",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"+","+","+",3,0,NA
"89","Curbelo","Curbelo","Carlos","Carlos","FL","R","C001107",17500,0,0,0,500,0,55400,0,0,4000,10750,7000,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"90","Davidson","Davidson","Warren","Warren","OH","R","D000626",0,0,0,0,0,0,5416,0,1002,25,100,0,10500,0,0,0,0,0,"-","-","-",3,0,NA
"91","Davis","Davis","Danny K","Danny K.","IL","D","D000096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,NA
"92","Davis","Davis","Rodney","Rodney","IL","R","D000619",85690,61665,110312,12500,0,17600,61750,5100,8100,15500,0,31500,73500,12600,16600,14500,0,31500,"-","-","-",3,0,NA
"93","Davis","Davis","Susan","Susan A.","CA","D","D000598",0,0,0,0,6500,0,0,0,0,0,5200,1000,0,0,0,0,1500,1000,"+","+","+",3,0,NA
"94","DeFazio","DeFazio","Peter","Peter A.","OR","D","D000191",7000,0,0,1000,3140,500,5500,0,0,0,3112,40,14500,0,0,2500,2375,40,"+","+","+",3,0,NA
"95","DeGette","DeGette","Diana","Diana L.","CO","D","D000197",1500,0,0,0,4500,250,0,0,1000,0,11150,0,6510,0,0,0,1500,0,"+","+","+",3,0,NA
"96","Delaney","Delaney","John K","John K.","MD","D","D000620",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"+","+",NA,2,0,NA
"97","DeLauro","DeLauro","Rosa","Rosa L.","CT","D","D000216",0,0,1400,0,5500,0,0,0,4575,0,5000,500,500,0,825,0,2850,500,"+",NA,"+",2,0,NA
"98","DelBene","DelBene","Suzan","Suzan K.","WA","D","D000617",10000,0,0,0,47301,1250,10000,0,0,0,33957,300,14011,0,0,0,23051,300,"+","+","+",3,0,NA
"99","Denham","Denham","Jeff","Jeff","CA","R","D000612",71798,2500,10700,13000,0,0,189499,1000,6200,42999,0,2500,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"100","Dent","Dent","Charlie","Charlie","PA","R","D000604",54900,2000,4000,7500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"101","DeSantis","DeSantis","Ron","Ron","FL","R","D000621",22000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"102","Desaulnier","DeSaulnier","Mark","Mark","CA","D","D000623",8000,0,0,0,5140,0,8000,0,0,0,3750,1500,7175,0,0,0,650,1500,"+","+","+",3,0,NA
"103","Desjarlais","DesJarlais","Scott","Scott","TN","R","D000616",2250,1000,1000,0,0,0,8400,800,800,0,0,0,12400,0,0,0,0,0,"-","-","-",3,0,NA
"104","Deutch","Deutch","Ted","Ted","FL","D","D000610",0,0,0,0,1000,2000,3500,0,0,0,2500,2000,2800,0,0,0,1700,2000,"+","+","+",3,0,NA
"105","Diaz-Balart","Díaz-Balart","Mario","Mario","FL","R","D000600",3500,0,0,0,8000,0,6000,0,0,3500,1000,0,26500,0,0,0,0,0,"-",NA,"-",2,0,NA
"106","Dingell","Dingell","Debbie","Debbie","MI","D","D000624",14000,0,3000,6500,11076,0,14200,0,0,4000,5027,250,8000,0,0,1000,5903,250,"+","+","+",3,0,NA
"107","Doggett","Doggett","Lloyd","Lloyd A.","TX","D","D000399",8150,0,0,-1000,4250,4250,10800,0,0,0,2750,0,2706,0,0,0,4275,0,"+","+","+",3,0,NA
"108","Dold","Dold","Bob","Robert","IL","R","D000613",25350,2600,3600,7000,5900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"109","Donovan","Donovan","Dan","Daniel M.","NY","R","D000625",0,0,0,0,0,0,26000,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,"Jr."
"110","Doyle","Doyle","Mike","Mike","PA","D","D000482",29000,5500,11000,13500,0,0,26000,0,1500,19000,2477,250,11500,0,500,8500,1500,250,"+","+","+",3,0,NA
"111","Duckworth","Duckworth","Tammy","Tammy","IL","D","D000622",3750,-250,0,2500,27599,13850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"112","Duffy","Duffy","Sean P","Sean","WI","R","D000614",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"-","-","-",3,0,NA
"113","Duncan","Duncan","Jeff","Jeff","SC","R","D000615",51660,1000,1000,16500,5000,0,44750,0,0,10500,5000,2000,73350,0,1000,5500,0,2000,"-","-","-",3,0,NA
"114","Duncan","Duncan","John J Jr","John J Jr.","TN","R","D000534",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,"Jr."
"115","Edwards","Edwards","Donna","Donna","MD","D","E000290",3000,0,0,3000,8750,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"116","Ellison","Ellison","Keith","Keith M.","MN","D","E000288",2750,0,0,500,7700,750,7663,0,0,0,17245,1466,NA,NA,NA,NA,NA,NA,"+","+",NA,2,0,NA
"117","Ellmers","Ellmers","Renee","Renee","NC","R","E000291",62250,1000,1000,10000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"118","Emmer","Emmer","Tom","Tom","MN","R","E000294",41400,500,500,0,0,0,10950,0,1000,300,0,27493,28500,0,2500,1500,0,27493,"-","-",NA,2,0,NA
"119","Engel","Engel","Eliot","Eliot L.","NY","D","E000179",2000,0,3600,0,2000,0,11200,0,2700,0,1000,2000,9150,0,2000,0,2000,2000,"+","+","+",3,0,NA
"120","Eshoo","Eshoo","Anna","Anna G.","CA","D","E000215",3000,0,0,1000,3210,11900,0,0,0,0,14500,7700,1000,0,0,0,1900,7700,NA,"+","+",2,0,NA
"121","Esty","Esty","Elizabeth","Elizabeth H.","CT","D","E000293",1000,0,1150,1000,61280,4600,3700,0,1600,3700,27659,0,NA,NA,NA,NA,NA,NA,"+","+",NA,2,0,NA
"122","Farenthold","Farenthold","Blake","Blake","TX","R","F000460",109325,0,1000,13000,6600,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"123","Farr","Farr","Sam","Sam","CA","D","F000030",250,0,0,0,17550,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"124","Fincher","Fincher","Steve","Stephen","TN","R","F000458",34700,1000,2000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"125","Fitzpatrick","Fitzpatrick","Michael G","Michael","PA","R","F000451",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"126","Fleischmann","Fleischmann","Chuck","Chuck","TN","R","F000459",23400,2000,5000,4000,0,0,17200,3000,5000,4500,0,0,9000,0,1000,3500,0,0,"-","-","-",3,0,NA
"127","Fleming","Fleming","John","John","LA","R","F000456",188000,0,11100,7000,16400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"128","Flores","Flores","Bill","Bill","TX","R","F000461",213789,1000,7000,23500,2000,10400,223400,500,3500,17500,1000,0,188600,0,2500,22500,0,0,"-","-","-",3,0,NA
"129","Forbes","Forbes","Randy","J. Randy","VA","R","F000445",10500,0,5200,2000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"130","Fortenberry","Fortenberry","Jeff","Jeff","NE","R","F000449",800,0,0,0,0,2000,500,0,0,0,6400,1000,2500,0,0,0,5300,1000,"-","-","-",3,0,NA
"131","Foster","Foster","Bill","Bill","IL","D","F000454",15850,0,0,3100,29050,8950,19350,0,0,5400,28519,9610,7950,0,0,0,16500,9610,"+","+","+",3,0,NA
"132","Foxx","Foxx","Virginia","Virginia","NC","R","F000450",25050,3000,3000,5000,0,0,19250,2000,4500,5000,0,0,23950,19250,65325,2500,0,0,"-","-","-",3,0,NA
"133","Frankel","Frankel","Lois","Lois","FL","D","F000462",5100,0,0,0,2000,0,1000,0,5,0,3910,1,2,0,0,0,2503,1,"+","+","+",3,0,NA
"134","Franks","Franks","Trent","Trent","AZ","R","F000448",12700,0,5000,5100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"135","Frelinghuysen","Frelinghuysen","Rodney","Rodney P.","NJ","R","F000372",8050,2000,2000,3000,0,500,23000,2000,5000,5500,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"136","Fudge","Fudge","Marcia","Marcia L.","OH","D","F000455",14950,0,0,1250,1000,0,-600,0,0,1000,1000,0,0,0,0,0,1000,0,"+","+","+",3,0,NA
"137","Gabbard","Gabbard","Tulsi","Tulsi","HI","D","G000571",2250,0,0,1000,2500,17150,6800,0,0,0,5000,939,4193,0,15,10,16,939,"+","+","+",3,0,NA
"138","Gallego","Gallego","Ruben","Ruben","AZ","D","G000574",0,0,0,0,5641,1000,3000,0,0,1500,9960,11000,2503,0,0,1000,5210,11000,"+","+","+",3,0,NA
"139","Garamendi","Garamendi","John","John","CA","D","G000559",0,0,0,0,16094,5100,1000,0,0,1000,5327,2500,0,0,0,0,3000,2500,"+","+","+",3,0,NA
"140","Garrett","Garrett","Scott","E. Scott","NJ","R","G000548",48600,0,0,8000,0,10625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"141","Gibbs","Gibbs","Bob","Bob","OH","R","G000563",69800,14600,18100,20100,0,0,34000,2000,8000,2000,1000,1000,36250,14500,20500,6500,500,1000,"-","-","-",3,0,NA
"142","Gibson","Gibson","Chris","Chris","NY","R","G000564",30950,0,0,7000,13200,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"143","Gohmert","Gohmert","Louis B Jr","Louie","TX","R","G000552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-",3,0,NA
"144","Goodlatte","Goodlatte","Bob","Bob","VA","R","G000289",45250,0,1000,3250,0,0,39950,0,0,5450,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"145","Gosar","Gosar","Paul","Paul","AZ","R","G000565",12500,2000,14000,1500,500,2000,6000,3000,23750,1000,250,3000,18600,5500,35125,0,0,3000,"-","-","-",3,0,NA
"146","Gowdy","Gowdy","Trey","Trey","SC","R","G000566",20000,0,0,5500,0,0,28700,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
