"","LastName.x","LastName.y","FirstName.x","FirstName.y","State.x","Party.x","member_id","Amount.oil.114","Amount.coal.114","Amount.mining.114","Amount.gas.114","Amount.env.114","Amount.alt_en.114","Amount.oil.115","Amount.coal.115","Amount.mining.115","Amount.gas.115","Amount.env.115","Amount.alt_en.115","Amount.oil.116","Amount.coal.116","Amount.mining.116","Amount.gas.116","Amount.env.116","Amount.alt_en.116","Vote.114","Vote.115","Vote.116","Vote_count","Vote_change","Alias.y"
"1","Adams","Adams","Alma","Alma","NC","D","A000370",0,0,0,0,6390,0,0,0,0,0,8508,0,3,0,0,0,2263,0,"+","+","+",3,0,NA
"2","Aderholt","Aderholt","Robert B","Robert B.","AL","R","A000055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-",3,0,NA
"3","Aguilar","Aguilar","Pete","Pete","CA","D","A000371",500,0,0,0,43561,250,1103,0,0,1100,30846,1528,4983,0,0,646,8075,1528,"+","+","+",3,0,NA
"4","Allen","Allen","Richard W","Rick","GA","R","A000372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-",3,0,NA
"5","Amash","Amash","Justin","Justin","MI","R","A000367",28000,0,0,0,0,0,22650,0,0,0,0,0,19900,0,0,0,0,0,"-","-","-",3,0,NA
"6","Amodei","Amodei","Mark","Mark E.","NV","R","A000369",8750,0,28000,2500,0,3000,10000,0,38450,2000,0,0,26000,1000,45700,6000,0,0,"-","-","-",3,0,NA
"7","Ashford","Ashford","Brad","Brad","NE","D","A000373",500,0,0,0,8990,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"8","Babin","Babin","Brian","Brian","TX","R","B001291",41050,0,0,2500,0,0,53650,0,4700,7700,1000,0,81357,0,5400,11400,0,0,"-","-","-",3,0,NA
"9","Barletta","Barletta","Lou","Lou","PA","R","B001269",33020,750,1750,4500,0,0,34550,4200,4950,9000,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"10","Barr","Barr","Andy","Garland","KY","R","B001282",41050,168131,240810,1500,0,700,38500,87200,98050,3000,0,0,113547,74650,153625,20452,0,0,"-","-","-",3,0,NA
"11","Barton","Barton","Joe","Joe","TX","R","B000213",142100,5500,10500,9500,0,0,234282,4500,6500,18450,0,1000,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"12","Bass","Bass","Karen","Karen","CA","D","B001270",3250,0,3500,750,3600,1000,1000,0,5000,0,8700,1000,3500,0,1000,0,1100,1000,"+","+","+",3,0,NA
"13","Beatty","Beatty","Joyce","Joyce","OH","D","B001281",4500,0,0,0,1500,0,5550,0,0,1500,0,0,1000,0,0,0,0,0,"+","+","+",3,0,NA
"14","Becerra","Becerra","Xavier","Xavier","CA","D","B000287",8000,0,0,2500,4000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"15","Benishek","Benishek","Dan","Dan","MI","R","B001271",113950,3000,18599,1500,2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"16","Bera","Bera","Ami","Ami","CA","D","B001287",14150,0,0,0,84869,2750,3095,0,0,2745,44633,2625,10,0,0,10,13880,2625,"+","+","+",3,0,NA
"17","Beutler Herrera","Herrera-Beutler","Jaime","Jaime","WA","R","H001056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-",NA,2,0,NA
"18","Beyer","Beyer","Don","Donald","VA","D","B001292",8700,0,0,5100,17540,6450,22850,0,0,11600,5218,11900,15902,0,2500,8900,5380,11900,"+","+","+",3,0,NA
"19","Bilirakis","Bilirakis","Gus","Gus","FL","R","B001257",32500,1000,1000,1000,0,0,23700,0,0,0,0,7600,53600,0,0,7000,0,7600,"-","-","-",3,0,NA
"20","Bishop","Bishop","Mike","Mike","MI","R","B001293",24500,0,400,1000,0,0,20400,0,1000,0,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"21","Bishop","Bishop","Rob","Rob","UT","R","B001250",110600,7500,17750,11000,5750,3599,151516,8000,28750,25750,14750,0,121188,16750,31750,7250,5700,0,"-","-","-",3,0,NA
"22","Bishop","Bishop","Sanford","Sanford D.","GA","D","B000490",9000,1000,6000,0,0,0,14000,3000,7000,0,0,1000,11750,2500,8500,1000,0,1000,"-","+","+",3,1,NA
"23","Black","Black","Diane","Diane","TN","R","B001273",60625,1000,2000,5000,0,0,43250,0,0,3000,1000,2500,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"24","Blackburn","Blackburn","Marsha","Marsha","TN","R","B001243",101600,1000,4000,13500,0,0,85900,500,500,13500,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"25","Blum","Blum","Rod","Rod","IA","R","B001294",6450,0,0,0,0,6250,21900,0,0,900,0,18500,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"26","Blumenauer","Blumenauer","Earl","Earl","OR","D","B000574",2500,0,0,2000,11250,8842,3900,0,0,3650,10650,16220,3532,0,0,3275,4838,16220,"+","+","+",3,0,NA
