"last_name","first_name","name","party","state","member_id","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","District","Vote_count","Vote_change","amount.oil.113","amount.coal.113","amount.mining.113","amount.gas.113","amount.env.113","amount.alt_en.113","amount.oil.114","amount.coal.114","amount.mining.114","amount.gas.114","amount.env.114","amount.alt_en.114","amount.oil.115","amount.coal.115","amount.mining.115","amount.gas.115","amount.env.115","amount.alt_en.115","amount.oil.116","amount.coal.116","amount.mining.116","amount.gas.116","amount.env.116","amount.alt_en.116","amount.oil.117","amount.coal.117","amount.mining.117","amount.gas.117","amount.env.117","amount.alt_en.117"
"McCarthy","Kevin","kevin mccarthy","R","CA","M001165","-","-","-","-","-","-",23,6,0,288200,2000,9500,7000,0,24900,362000,1500,8000,58300,0,2000,355050,15700,30700,24800,1000,20800,484650,68600,184500,69300,5250,54150,556734,56301,66420,80987,11250,3824
"Capps","Lois","lois capps","D","CA","C001036","+","+",NA,NA,NA,NA,24,2,0,5500,500,500,0,56606,2750,3000,0,0,0,42000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McKeon","Buck P.","buck p mckeon","R","CA",NA,"-",NA,NA,NA,NA,NA,25,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brownley","Julia","julia brownley","D","CA","B001285","+","+","+","+","+","+",26,6,0,500,0,0,0,38608,850,500,0,0,0,55362,1750,1143,90,90,50,25623,1425,1351,0,0,0,9201,505,386,0,0,0,8211,100
"Chu","Judy M.","judy m chu,judy chu","D","CA","C001080","+","+","+","+","+","+",27,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schiff","Adam B.","adam b schiff","D","CA","S001150","+","+","+","+","+","+",28,6,0,0,0,0,0,7000,0,0,0,0,0,3250,0,0,0,0,0,1250,0,2638,0,100,525,16523,3859,31933,58,723,2404,21681,4258
"Cárdenas","Tony","tony c rdenas","D","CA","C001097","+","+","+",NA,"+","+",29,5,0,17500,0,0,0,2500,0,13500,0,0,10000,3000,250,24800,0,0,7300,6200,1500,24530,0,0,3000,1604,2000,17500,0,0,2000,0,2000
"Sherman","Brad J.","brad j sherman,brad sherman","D","CA","S000344","+","+","+","+","+","+",30,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miller","Gary G.","gary g miller","R","CA","M001139","-",NA,NA,NA,NA,NA,31,1,0,12000,0,0,0,0,7500,9900,0,555,5200,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Napolitano","Grace","grace napolitano,grace f napolitano","D","CA","N000179","+","+","+","+","+","+",32,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waxman","Henry A.","henry a waxman","D","CA","W000215","+",NA,NA,NA,NA,NA,33,1,0,1000,0,0,1000,14500,5000,2600,0,0,0,22949,4600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Becerra","Xavier","xavier becerra","D","CA","B000287","+","+",NA,NA,NA,NA,34,2,0,2000,0,0,0,1000,3000,8000,0,0,2500,4000,1000,6000,0,0,2000,4200,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Negrete McLeod","Gloria","gloria negrete mcleod","D","CA","N000187","+",NA,NA,NA,NA,NA,35,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruiz","Raul","raul ruiz","D","CA","R000599","+","+","+","+","+","+",36,6,0,250,0,0,0,2500,1250,5000,0,0,3000,46387,11200,9000,280,280,3500,27078,6900,3626,0,0,0,13619,11150,3803,0,5,1000,1690,16813
"Bass","Karen","karen bass","D","CA","B001270","+","+","+",NA,"+","+",37,5,0,0,0,0,0,500,250,3250,0,3500,750,3600,1000,1000,0,5000,0,8700,0,3500,0,1000,0,1100,1000,13775,0,0,0,1626,9000
"Sanchez","Linda","linda sanchez","D","CA",NA,"+","+","+","+","+","+",38,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Royce","Ed","ed royce","R","CA",NA,"-","-","-","-",NA,NA,39,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roybal-Allard","Lucille","lucille roybal allard","D","CA",NA,"+","+","+","+","+","+",40,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Takano","Mark","mark takano","D","CA","T000472","+","+","+","+","+","+",41,6,0,250,0,0,0,15020,250,0,0,0,0,3700,5200,0,0,0,0,6300,0,0,0,0,0,1604,0,0,0,0,0,18,541
"Calvert","Ken S.","ken s calvert,ken calvert","R","CA","C000059","-","-","-","-","-","-",42,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waters","Maxine","maxine waters","D","CA","W000187","+","+","+","+","+","+",43,6,0,250,0,0,0,1500,0,2500,10400,10400,0,1000,1000,5000,0,0,0,4700,0,4250,0,0,0,2375,0,6535,0,0,0,16,0
"Hahn","Janice","janice hahn","D","CA","H001063","+","+",NA,NA,NA,NA,44,2,0,15050,0,0,300,7750,2000,4000,0,0,0,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campbell","John","john campbell","R","CA","C001064",NA,NA,NA,NA,NA,NA,45,0,0,13000,0,0,0,0,0,1000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sanchez","Loretta L.","loretta l sanchez,loretta sanchez","D","CA","S000030","+","+",NA,NA,NA,NA,46,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lowenthal","Alan S.","alan s lowenthal","D","CA","L000579","+","+","+","+","+","+",47,6,0,21850,0,0,3600,21250,2750,10000,0,0,3000,9950,1000,11000,0,1000,2000,7223,100,7000,0,2500,0,5100,0,1025,0,5000,0,3450,1000
"Rohrabacher","Dana T.","dana t rohrabacher,dana rohrabacher","R","CA","R000409","-","-","-","-",NA,NA,48,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Issa","Darrell","darrell issa","R","CA","I000056","-","-","-","-",NA,NA,49,4,0,77450,1500,6500,10500,0,1000,82400,1800,12650,11350,0,4250,45000,1000,2000,16100,0,0,24050,1585,1835,5400,0,1000,28202,0,384,6602,0,702
"Hunter","Duncan D.","duncan d hunter,duncan hunter","R","CA","H000981","-","-","-","-","-",NA,50,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hunter","Duncan D.","duncan d hunter","R","CA","H001048","-","-","-","-","-",NA,50,5,0,1400,0,1000,2400,0,500,11100,0,2000,0,3000,0,10500,0,0,1000,0,0,0,0,0,1000,0,1000,5250,1000,1600,0,0,0
"Vargas","Juan","juan vargas","D","CA","V000130","+","+","+","+","+","+",51,6,0,15000,0,0,0,0,0,2500,0,0,0,1000,0,0,0,0,0,1000,0,2000,0,0,0,500,3500,8500,0,0,0,0,0
"Peters","Scott H.","scott h peters","D","CA","P000608","+","+","+",NA,"+","+",52,5,0,0,0,0,0,18250,0,6500,0,0,2500,50459,5000,9400,0,0,5900,27449,10050,31703,0,10000,15200,16392,9038,16000,0,0,11000,2000,3000
"Davis","Susan A.","susan a davis","D","CA","D000598","+","+","+","+","+",NA,53,5,0,0,0,0,0,1500,2500,0,0,0,0,6500,0,0,0,0,0,5200,500,0,0,0,0,1500,1000,NA,NA,NA,NA,NA,NA
"DeGette","Diana L.","diana l degette,diana degette","D","CO","D000197","+","+","+","+","+","+",1,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polis","Jared","jared polis","D","CO","P000598","+","+","+","+",NA,NA,2,4,0,6500,0,0,0,6750,0,6200,0,0,0,18400,0,7500,0,0,0,10975,0,1000,0,0,0,-500,0,NA,NA,NA,NA,NA,NA
"Tipton","Scott","scott tipton,scott r tipton","R","CO","T000470","-","-","-","-","-",NA,3,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gardner","Cory","cory gardner","R","CO","G000562","-",NA,NA,NA,NA,NA,4,1,0,224500,17000,35000,27750,0,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamborn","Doug","doug lamborn","R","CO","L000564","-","-","-","-","-","-",5,6,0,68000,10499,24999,11500,1000,0,59000,9000,17500,4000,1000,0,67377,15500,38000,8500,1000,0,22791,6000,15000,1000,0,0,10500,0,9000,1000,0,0
"Coffman","Mike","mike coffman","R","CO","C001077","-","-","-","+",NA,NA,6,4,1,210275,12750,42031,9750,1000,450,372000,21200,44950,10750,2250,500,193244,15900,36250,4450,500,1000,222403,1000,18000,15500,600,4000,5400,0,0,0,0,0
"Perlmutter","Ed","ed perlmutter","D","CO","P000593","+","+","+","+","+","+",7,6,0,42450,0,8050,11000,13583,6900,25900,0,5500,1000,13950,0,11950,0,5250,0,9250,1000,8111,0,3000,0,1250,0,15351,0,3000,0,2000,0
"Larson","John B.","john b larson","D","CT","L000557","+","+","+","+","+","+",1,6,0,8750,0,0,2500,3700,0,8600,3000,3000,6100,2700,1000,11000,0,0,3000,2500,0,0,0,0,0,1000,0,17000,0,0,0,0,0
"Courtney","Joe","joe courtney","D","CT","C001069","+","+","+","+","+","+",2,6,0,2900,0,0,0,1500,0,3500,0,0,0,5750,0,3000,0,0,2000,5550,0,750,0,0,0,3100,0,NA,NA,NA,NA,NA,NA
"DeLauro","Rosa L.","rosa l delauro","D","CT","D000216","+","+",NA,"+","+","+",3,5,0,1000,0,0,0,1551,0,0,0,1400,0,5500,0,0,0,4575,0,5000,0,500,0,825,0,2850,500,10850,0,0,0,500,1010
"Himes","Jim","jim himes","D","CT",NA,"+","+","+","+","+","+",4,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Esty","Elizabeth H.","elizabeth h esty","D","CT","E000293","+","+","+","+",NA,NA,5,4,0,10750,750,750,9500,34800,11600,1000,0,1150,1000,61280,4600,3700,0,1600,3700,27659,1000,2700,0,0,2700,23703,0,NA,NA,NA,NA,NA,NA
"Carney","John","john carney,john c carney","D","DE","C001083","+","+",NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miller","Jeff","jeff miller","R","FL","M001144","-","-",NA,NA,NA,NA,1,2,0,500,0,0,0,4000,0,3000,0,0,0,7600,0,1000,0,0,1000,2500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southerland","Steve","steve southerland","R","FL",NA,"-",NA,NA,NA,NA,NA,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yoho","Ted S.","ted s yoho","R","FL","Y000065","-","-","-","-","-",NA,3,5,0,5000,0,500,0,0,0,7000,0,0,0,0,0,9150,0,0,3750,0,0,4500,0,0,3000,0,0,NA,NA,NA,NA,NA,NA
"Crenshaw","Ander","ander crenshaw","R","FL","C001045","-","-",NA,NA,NA,NA,4,2,0,1000,0,0,0,0,0,7500,0,0,0,0,0,1000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown","Corrine","corrine brown","D","FL","B000911","+","+",NA,NA,NA,NA,5,2,0,1500,0,0,0,0,0,5000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DeSantis","Ron","ron desantis","R","FL","D000621","-","-","-",NA,NA,NA,6,3,0,39750,0,1500,750,0,0,22000,0,0,0,0,0,68920,0,1500,4425,25,50,2300,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Mica","John L.","john l mica","R","FL","M000689","-","-",NA,NA,NA,NA,7,2,0,75000,1500,5500,12000,0,0,33500,0,3000,8000,0,0,27500,0,2550,2500,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Posey","Bill","bill posey","R","FL","P000599","-","-",NA,"-","-","-",8,5,0,13000,0,0,0,0,0,28400,0,0,0,0,0,15600,0,0,0,0,0,11400,0,0,0,0,0,14700,0,0,0,2000,0
"Grayson","Alan","alan grayson","D","FL","G000556","+","+",NA,NA,NA,NA,9,2,0,800,0,0,0,4950,0,1450,0,0,0,8983,0,NA,NA,NA,NA,NA,NA,10196,0,0,190,2818,85,NA,NA,NA,NA,NA,NA
"Webster","Daniel","daniel webster","R","FL","W000806","-","-","-","-","-","-",10,6,0,27000,5000,5000,1000,0,0,13350,0,0,250,0,0,6300,0,600,0,0,0,3000,0,300,0,0,0,1025,0,5,0,0,0
"Nugent","Rich","rich nugent","R","FL",NA,"-","-",NA,NA,NA,NA,11,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bilirakis","Gus","gus bilirakis,gus m bilirakis","R","FL","B001257","-","-","-","-","-","-",12,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Castor","Kathy","kathy castor","D","FL","C001066","+","+",NA,"+","+","+",14,5,0,1000,0,0,1000,3820,250,1500,0,0,1000,2500,250,0,0,0,0,3100,0,59,0,0,0,2253,0,112,0,5600,0,5135,7820
"Ross","Dennis","dennis ross,dennis a ross","R","FL","R000593","-","-",NA,"-",NA,NA,15,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buchanan","Vern","vern buchanan","R","FL","B001260","-","-","-","-","-","-",16,6,0,12500,0,0,4000,10000,1500,3000,0,0,3000,0,0,5500,0,0,2000,500,0,31750,0,0,0,0,1000,54776,0,0,5599,3000,12500
"Rooney","Tom","tom rooney","R","FL",NA,"-","-","-","-",NA,NA,17,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Murphy","Patrick","patrick murphy","D","FL","M001191","+","+",NA,NA,NA,NA,18,2,0,5850,2750,2750,0,13895,2750,11400,0,0,0,25910,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
