"last_name","first_name","name","party","state","member_id","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","District","Vote_count","Vote_change","amount.oil.113","amount.coal.113","amount.mining.113","amount.gas.113","amount.env.113","amount.alt_en.113","amount.oil.114","amount.coal.114","amount.mining.114","amount.gas.114","amount.env.114","amount.alt_en.114","amount.oil.115","amount.coal.115","amount.mining.115","amount.gas.115","amount.env.115","amount.alt_en.115","amount.oil.116","amount.coal.116","amount.mining.116","amount.gas.116","amount.env.116","amount.alt_en.116","amount.oil.117","amount.coal.117","amount.mining.117","amount.gas.117","amount.env.117","amount.alt_en.117"
"Roby","Martha","martha roby","R","AL","R000591","-","-","-","-","-",NA,2,5,0,7000,3500,4500,1000,0,0,10500,3600,5600,3000,0,0,21950,7500,7500,2000,0,0,28100,2000,2000,2500,0,0,NA,NA,NA,NA,NA,NA
"Rogers","Mike D.","mike d rogers","R","AL","R000575","-","-","-","-","-","-",3,6,0,18750,15000,16000,0,0,0,7500,14450,14450,1000,0,0,12500,11000,11000,3000,0,0,7000,7000,7000,0,0,0,7500,3800,3800,0,1000,0
"Aderholt","Robert B.","robert b aderholt","R","AL","A000055","-","-","-","-","-","-",4,6,0,32700,10500,11500,0,0,0,17500,13648,18397,0,0,0,19200,8000,9000,0,0,0,16053,3600,5600,0,0,2500,9255,8760,9760,0,0,0
"Brooks","Mo","mo brooks","R","AL","B001274","-","-","-","-","-","-",5,6,0,6250,0,1000,0,0,0,5500,2500,2500,0,0,0,NA,NA,NA,NA,NA,NA,2250,2500,16000,0,500,4000,2503,0,0,0,0,0
"Bachus","Spencer","spencer bachus","R","AL","B000013","-",NA,NA,NA,NA,NA,6,1,0,40500,19000,26000,5000,0,0,-1000,0,0,-1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sewell","Terri","terri sewell,terri a sewell","D","AL","S001185","+","+","+","+","+","+",7,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Young","Don","don young","R","AK","Y000033","-","-","-","-","-","-",NA,6,0,55450,2250,8550,7000,4000,0,43450,2000,11600,0,2000,0,59700,2000,20000,0,1500,0,56250,2000,18450,2000,0,0,101931,0,18294,9610,0,6
"Kirkpatrick","Ann","ann kirkpatrick","D","AZ","K000368","+","+",NA,NA,NA,"+",1,3,0,6750,0,4000,1500,2500,0,6700,0,7500,0,7000,1000,NA,NA,NA,NA,NA,NA,3746,0,5,22,15743,3022,800,0,5007,159,675,437
"Barber","Ron","ron barber","D","AZ","B001279","+",NA,NA,NA,NA,NA,2,1,0,4000,0,250,3000,14981,6600,2450,0,3500,1700,22265,12200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grijalva","Raul","raul grijalva","D","AZ",NA,"+","+","+","+","+","+",3,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gosar","Paul","paul gosar,paul a gosar","R","AZ","G000565","-","-","-","-","-",NA,4,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon","Matt","matt salmon","R","AZ","S000018","-","-",NA,NA,NA,NA,5,2,0,44139,2500,8500,18639,0,4750,15400,2000,16250,4500,0,13950,14150,0,7000,2500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schweikert","David","david schweikert","R","AZ","S001183","-","-","-","-","-","-",6,6,0,24250,0,12750,5500,0,0,10000,1000,8750,0,0,0,10000,0,5250,0,0,0,40950,0,6000,1500,0,5400,34579,0,2100,7599,0,13050
"Pastor","Ed","ed pastor","D","AZ","P000099","+",NA,NA,NA,NA,NA,7,1,0,9500,0,6000,7000,1500,0,0,0,2500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Franks","Trent","trent franks","R","AZ","F000448","-","-","-",NA,NA,NA,8,3,0,14900,0,2500,6000,0,0,12700,0,5000,5100,0,0,5500,0,5000,3000,0,0,250,0,1000,0,0,0,NA,NA,NA,NA,NA,NA
"Sinema","Kyrsten","kyrsten sinema","I","AZ","S001191","+","+","+",NA,NA,NA,9,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crawford","Rick","rick crawford","R","AR",NA,"-","-","-","-","-","-",1,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Griffin","Tim","tim griffin","R","AR","G000567","-",NA,NA,NA,NA,NA,2,1,0,90600,2000,2000,0,0,1000,37200,0,0,8500,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Womack","Steve","steve womack","R","AR","W000809","-","-","-","-","-","-",3,6,0,28000,0,1000,1750,0,0,13700,0,0,0,0,0,16500,0,0,3000,0,0,43650,0,0,1000,0,0,34100,0,0,1000,0,0
"Cotton","Tom","tom cotton","R","AR","C001095","-",NA,NA,NA,NA,NA,4,1,0,114025,0,4100,500,0,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LaMalfa","Doug","doug lamalfa","R","CA","L000578","-","-","-","-","-","-",1,6,0,20000,0,1000,0,0,0,42500,0,5600,12000,0,0,27550,0,0,10250,0,0,21980,2700,2700,9630,0,2250,30876,0,0,7599,6750,2000
"Huffman","Jared","jared huffman","D","CA","H001068","+","+","+","+","+","+",2,6,0,0,0,0,0,40100,2384,9900,0,0,9500,22550,950,5000,120,120,5000,27849,1025,3500,0,0,2500,37033,1000,1,0,0,0,24465,1695
"Garamendi","John","john garamendi","D","CA","G000559","+","+","+","+","+","+",3,6,0,5500,0,1000,5500,33285,2750,0,0,0,0,16094,5100,1000,0,0,1000,5327,6400,0,0,0,0,3000,2500,2500,0,0,0,2250,2750
"McClintock","Tom","tom mcclintock","R","CA","M001177","-","-","-","-","-","-",4,6,0,35800,0,2000,4000,0,0,54450,0,6000,4000,0,2500,20900,0,0,4000,0,0,14750,0,5500,2000,0,1000,38126,0,-500,5599,450,250
"Thompson","Mike","mike thompson","D","CA","T000460","+","+","+","+","+","+",5,6,0,7200,0,0,1000,2750,3500,18250,0,1000,2000,5000,1500,7500,0,0,0,14000,9885,22000,0,0,1000,3025,8000,24250,0,0,2000,200,25103
"Matsui","Doris O.","doris o matsui","D","CA","M001163","+","+","+","+","+","+",6,6,0,11000,0,0,0,1000,1000,13500,0,0,4000,2000,1000,14500,0,0,1000,6200,0,17000,0,1000,3000,4537,5000,16000,0,0,0,1500,1000
"Bera","Ami","ami bera","D","CA","B001287","+","+","+","+","+","+",7,6,0,20150,0,0,0,46626,8000,14150,0,0,0,84869,2750,3095,0,0,2745,44633,4815,10,0,0,10,13880,2625,4068,0,0,4000,8206,770
"Cook","Paul","paul cook","R","CA","C001094","-","-","-","-","-",NA,8,5,0,300,0,6500,0,0,5000,4800,0,750,0,0,7100,18000,0,2750,13500,0,5400,21500,0,1450,14000,0,6400,2000,0,200,1000,0,3800
"McNerney","Jerry","jerry mcnerney","D","CA","M001166","+","+","+","+","+","+",9,6,0,5000,0,0,1000,54400,26602,6500,0,0,2000,34000,21150,4500,0,0,2000,46457,18750,6900,0,0,3500,9950,12700,5000,0,0,3000,8350,17450
"Denham","Jeff","jeff denham","R","CA","D000612","-","-","-","-",NA,NA,10,4,0,96600,0,11500,8000,0,1500,71798,2500,10700,13000,0,0,189499,1000,6200,42999,0,2500,266341,6000,8500,60552,0,2500,-3500,0,0,-3500,0,0
"Miller","George","george miller","D","CA","M000725","+",NA,NA,NA,NA,NA,11,1,0,3500,250,250,0,7300,0,2000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pelosi","Nancy","nancy pelosi","D","CA","P000197","+","+","+","+",NA,NA,12,4,0,35000,0,0,0,29750,6250,250,0,0,0,25800,4000,2393,0,0,905,19295,7233,6233,0,75,1260,23626,19095,31408,154,5923,4347,27823,18337
"Lee","Barbara J.","barbara j lee,barbara lee","D","CA","L000551","+","+","+","+","+","+",13,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Speier","Jackie","jackie speier","D","CA","S001175","+","+","+",NA,"+","+",14,5,0,500,0,0,0,800,0,0,0,0,0,2000,2000,0,0,0,0,13800,1000,0,0,0,0,2900,0,0,0,0,0,1275,0
"Swalwell","Eric","eric swalwell","D","CA","S001193","+","+","+","+",NA,"+",15,5,0,2750,0,0,0,0,500,14300,0,0,1000,2000,8200,9200,0,500,2000,9900,5900,25558,0,0,3000,3965,3361,9285,101,1106,35,5731,2724
"Costa","Jim","jim costa","D","CA","C001059","-","+",NA,"+","-","+",16,5,3,82750,5000,6000,14250,1000,2250,99929,3000,10500,23999,3500,4000,95525,3500,6500,21000,2000,2000,98505,3500,12000,15000,3000,1000,88000,2250,11250,6000,2000,0
"Honda","Mike","mike honda","D","CA",NA,"+","+",NA,NA,NA,NA,17,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eshoo","Anna G.","anna g eshoo","D","CA","E000215","+",NA,"+","+","+","+",18,5,0,1000,0,0,0,7950,19500,3000,0,0,1000,3210,11900,0,0,0,0,14500,4700,1000,0,0,0,1900,7700,0,0,0,0,-900,17900
"Lofgren","Zoe","zoe lofgren","D","CA","L000397","+","+","+","+","+","+",19,6,0,2000,0,0,0,500,10000,4000,0,0,0,2000,12400,3700,0,0,0,17100,6400,5000,0,0,0,9000,21600,6000,0,0,0,1501,11600
"Farr","Sam","sam farr","D","CA","F000030","+","+",NA,NA,NA,NA,20,2,0,0,0,0,0,15700,0,250,0,0,0,17550,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valadao","David G.","david g valadao","R","CA","V000129","-","-","-","-",NA,"-",21,5,0,60000,0,1500,1000,0,0,81150,0,4000,3000,0,0,59750,0,3550,1000,0,5000,103599,5000,6650,8052,0,1250,93236,5600,5630,13349,0,2618
"Nunes","Devin G.","devin g nunes,devin nunes","R","CA","N000181","-","-","-","-","-","-",22,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
