"party","state","Vote_change_dummy","amount.oil.113","amount.coal.113","amount.mining.113","amount.gas.113","amount.env.113","amount.alt_en.113","amount.oil.114","amount.coal.114","amount.mining.114","amount.gas.114","amount.env.114","amount.alt_en.114","amount.oil.115","amount.coal.115","amount.mining.115","amount.gas.115","amount.env.115","amount.alt_en.115","amount.oil.116","amount.coal.116","amount.mining.116","amount.gas.116","amount.env.116","amount.alt_en.116","amount.oil.117","amount.coal.117","amount.mining.117","amount.gas.117","amount.env.117","amount.alt_en.117"
"D","CA",0,2000,0,0,0,500,10000,4000,0,0,0,2000,12400,3700,0,0,0,17100,6400,5000,0,0,0,9000,21600,6000,0,0,0,1501,11600
"D","CA",0,0,0,0,0,15700,0,250,0,0,0,17550,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","CA",0,60000,0,1500,1000,0,0,81150,0,4000,3000,0,0,59750,0,3550,1000,0,5000,103599,5000,6650,8052,0,1250,93236,5600,5630,13349,0,2618
"R","CA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","CA",0,288200,2000,9500,7000,0,24900,362000,1500,8000,58300,0,2000,355050,15700,30700,24800,1000,20800,484650,68600,184500,69300,5250,54150,556734,56301,66420,80987,11250,3824
"D","CA",0,5500,500,500,0,56606,2750,3000,0,0,0,42000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","CA",0,500,0,0,0,38608,850,500,0,0,0,55362,1750,1143,90,90,50,25623,1425,1351,0,0,0,9201,505,386,0,0,0,8211,100
"D","CA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","CA",0,0,0,0,0,7000,0,0,0,0,0,3250,0,0,0,0,0,1250,0,2638,0,100,525,16523,3859,31933,58,723,2404,21681,4258
"D","CA",0,17500,0,0,0,2500,0,13500,0,0,10000,3000,250,24800,0,0,7300,6200,1500,24530,0,0,3000,1604,2000,17500,0,0,2000,0,2000
"D","CA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","CA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","CA",0,2000,0,0,0,1000,3000,8000,0,0,2500,4000,1000,6000,0,0,2000,4200,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","CA",0,250,0,0,0,2500,1250,5000,0,0,3000,46387,11200,9000,280,280,3500,27078,6900,3626,0,0,0,13619,11150,3803,0,5,1000,1690,16813
"D","CA",0,0,0,0,0,500,250,3250,0,3500,750,3600,1000,1000,0,5000,0,8700,0,3500,0,1000,0,1100,1000,13775,0,0,0,1626,9000
"D","CA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","CA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","CA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","CA",0,250,0,0,0,15020,250,0,0,0,0,3700,5200,0,0,0,0,6300,0,0,0,0,0,1604,0,0,0,0,0,18,541
"R","CA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","CA",0,250,0,0,0,1500,0,2500,10400,10400,0,1000,1000,5000,0,0,0,4700,0,4250,0,0,0,2375,0,6535,0,0,0,16,0
"D","CA",0,15050,0,0,300,7750,2000,4000,0,0,0,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","CA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","CA",0,21850,0,0,3600,21250,2750,10000,0,0,3000,9950,1000,11000,0,1000,2000,7223,100,7000,0,2500,0,5100,0,1025,0,5000,0,3450,1000
"R","CA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","CA",0,77450,1500,6500,10500,0,1000,82400,1800,12650,11350,0,4250,45000,1000,2000,16100,0,0,24050,1585,1835,5400,0,1000,28202,0,384,6602,0,702
"R","CA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","CA",0,1400,0,1000,2400,0,500,11100,0,2000,0,3000,0,10500,0,0,1000,0,0,0,0,0,1000,0,1000,5250,1000,1600,0,0,0
"D","CA",0,15000,0,0,0,0,0,2500,0,0,0,1000,0,0,0,0,0,1000,0,2000,0,0,0,500,3500,8500,0,0,0,0,0
"D","CA",0,0,0,0,0,18250,0,6500,0,0,2500,50459,5000,9400,0,0,5900,27449,10050,31703,0,10000,15200,16392,9038,16000,0,0,11000,2000,3000
"D","CA",0,0,0,0,0,1500,2500,0,0,0,0,6500,0,0,0,0,0,5200,500,0,0,0,0,1500,1000,NA,NA,NA,NA,NA,NA
"D","CO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","CO",0,6500,0,0,0,6750,0,6200,0,0,0,18400,0,7500,0,0,0,10975,0,1000,0,0,0,-500,0,NA,NA,NA,NA,NA,NA
"R","CO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","CO",0,68000,10499,24999,11500,1000,0,59000,9000,17500,4000,1000,0,67377,15500,38000,8500,1000,0,22791,6000,15000,1000,0,0,10500,0,9000,1000,0,0
"R","CO",1,210275,12750,42031,9750,1000,450,372000,21200,44950,10750,2250,500,193244,15900,36250,4450,500,1000,222403,1000,18000,15500,600,4000,5400,0,0,0,0,0
"D","CO",0,42450,0,8050,11000,13583,6900,25900,0,5500,1000,13950,0,11950,0,5250,0,9250,1000,8111,0,3000,0,1250,0,15351,0,3000,0,2000,0
"D","CT",0,8750,0,0,2500,3700,0,8600,3000,3000,6100,2700,1000,11000,0,0,3000,2500,0,0,0,0,0,1000,0,17000,0,0,0,0,0
"D","CT",0,2900,0,0,0,1500,0,3500,0,0,0,5750,0,3000,0,0,2000,5550,0,750,0,0,0,3100,0,NA,NA,NA,NA,NA,NA
"D","CT",0,1000,0,0,0,1551,0,0,0,1400,0,5500,0,0,0,4575,0,5000,0,500,0,825,0,2850,500,10850,0,0,0,500,1010
"D","CT",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","CT",0,10750,750,750,9500,34800,11600,1000,0,1150,1000,61280,4600,3700,0,1600,3700,27659,1000,2700,0,0,2700,23703,0,NA,NA,NA,NA,NA,NA
"D","DE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","FL",0,500,0,0,0,4000,0,3000,0,0,0,7600,0,1000,0,0,1000,2500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","FL",0,5000,0,500,0,0,0,7000,0,0,0,0,0,9150,0,0,3750,0,0,4500,0,0,3000,0,0,NA,NA,NA,NA,NA,NA
"R","FL",0,1000,0,0,0,0,0,7500,0,0,0,0,0,1000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","FL",0,1500,0,0,0,0,0,5000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","FL",0,39750,0,1500,750,0,0,22000,0,0,0,0,0,68920,0,1500,4425,25,50,2300,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"R","FL",0,75000,1500,5500,12000,0,0,33500,0,3000,8000,0,0,27500,0,2550,2500,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","FL",0,13000,0,0,0,0,0,28400,0,0,0,0,0,15600,0,0,0,0,0,11400,0,0,0,0,0,14700,0,0,0,2000,0
"D","FL",0,800,0,0,0,4950,0,1450,0,0,0,8983,0,NA,NA,NA,NA,NA,NA,10196,0,0,190,2818,85,NA,NA,NA,NA,NA,NA
"R","FL",0,27000,5000,5000,1000,0,0,13350,0,0,250,0,0,6300,0,600,0,0,0,3000,0,300,0,0,0,1025,0,5,0,0,0
"R","FL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","FL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","FL",0,1000,0,0,1000,3820,250,1500,0,0,1000,2500,250,0,0,0,0,3100,0,59,0,0,0,2253,0,112,0,5600,0,5135,7820
"R","FL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","FL",0,12500,0,0,4000,10000,1500,3000,0,0,3000,0,0,5500,0,0,2000,500,0,31750,0,0,0,0,1000,54776,0,0,5599,3000,12500
"R","FL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","FL",0,5850,2750,2750,0,13895,2750,11400,0,0,0,25910,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","FL",0,NA,NA,NA,NA,NA,NA,0,0,0,0,300,0,0,0,0,0,2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","FL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","FL",0,9500,0,0,0,10557,250,5100,0,0,0,2000,0,1000,0,5,0,3910,0,2,0,0,0,2503,1,5170,0,0,0,2020,55
"D","FL",0,4250,0,0,0,7100,0,1000,0,0,1000,31350,5750,1050,0,0,0,22330,8400,3000,0,0,0,6537,0,395,0,0,250,8275,3185
"D","FL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","FL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","FL",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","GA",1,5500,0,2000,2000,0,0,9000,1000,6000,0,0,0,14000,3000,7000,0,0,1000,11750,2500,8500,1000,0,1000,17500,1250,9250,5000,0,1000
"R","GA",0,9000,0,3500,4000,0,0,17050,0,500,5000,0,0,5750,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","GA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","GA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","GA",0,37500,0,3000,4000,0,0,35250,0,3000,2000,0,0,22000,0,0,2500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","GA",0,16000,0,1500,2000,0,0,16750,0,0,5250,0,0,18500,0,0,2000,0,0,16500,0,500,2500,1000,0,1500,0,0,0,0,0
"R","GA",0,10500,0,2250,2500,0,0,5500,0,1750,2000,1000,0,3000,0,3000,0,3885,0,3500,0,500,0,0,0,5000,0,3000,5000,0,0
"R","GA",0,20250,500,3500,2250,0,0,17250,0,500,2000,0,0,30250,0,0,1600,0,0,35000,0,500,2500,0,0,NA,NA,NA,NA,NA,NA
"D","GA",0,3000,0,0,1000,0,0,2500,0,0,0,0,0,9250,0,250,2000,0,0,1000,0,0,0,0,0,6000,0,0,5000,0,0
"R","GA",0,38750,0,15000,3500,0,0,23200,0,9550,1000,0,0,33800,0,20700,3000,0,0,36000,0,18250,4500,0,0,26100,0,0,1500,0,0
"D","HI",0,2500,0,0,0,500,2500,NA,NA,NA,NA,NA,NA,3500,0,0,0,0,2000,0,0,0,0,500,0,NA,NA,NA,NA,NA,NA
"D","HI",0,3250,0,0,0,6435,14030,2250,0,0,1000,2500,17150,6800,0,0,0,5000,8195,4193,0,15,10,16,939,NA,NA,NA,NA,NA,NA
"R","ID",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","ID",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","IL",0,3500,0,0,3500,0,1000,8500,0,0,1000,2000,5000,15500,0,0,12000,4000,1000,13000,0,1000,5000,1000,1000,27000,0,0,17500,2000,1000
"D","IL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","IL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","IL",0,0,0,1000,0,0,1500,0,0,0,0,1000,0,0,0,0,0,2117,0,0,0,0,0,0,2500,0,0,0,0,0,-2500
"D","IL",0,2250,0,0,0,0,0,1500,0,0,0,5100,0,3700,0,0,0,3900,0,0,0,0,0,6525,0,0,0,0,0,3000,0
"R","IL",1,42250,2000,7500,15250,0,2500,73550,1000,3000,17750,0,0,35350,0,0,5450,0,1000,131500,5200,12700,9000,0,1500,NA,NA,NA,NA,NA,NA
"D","IL",0,3500,0,0,1500,0,1000,2000,0,500,0,1000,1000,2000,0,0,0,1000,6000,3000,0,0,0,0,0,1000,0,0,0,0,8000
"D","IL",0,5750,250,250,1000,40693,3000,3750,-250,0,2500,27599,13850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","IL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","IL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","IL",0,6750,0,0,3500,23500,1000,15850,0,0,3100,29050,8950,19350,0,0,5400,28519,4200,7950,0,0,0,16500,9610,6340,0,0,0,14977,7120
"R","IL",0,33000,18200,26200,0,0,0,85690,61665,110312,12500,0,17600,61750,5100,8100,15500,0,15000,73500,12600,16600,14500,0,31500,95332,9100,10639,30837,1000,25506
"R","IL",0,8750,2000,4500,3000,0,1500,21250,1000,1000,10000,0,250,18000,1000,1000,11000,0,0,25200,1500,1500,7500,0,1000,NA,NA,NA,NA,NA,NA
"R","IL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","IL",0,54199,3500,6000,3000,0,9750,80600,3000,6000,16000,0,11500,67250,1000,4000,16500,0,21200,45500,0,12500,15500,0,12500,68932,0,5009,21002,0,11800
"D","IL",0,1000,0,0,0,11976,1450,3000,0,0,2000,21946,16000,12140,0,0,4000,16006,17205,7870,3,3,1020,5929,19258,9739,40,65,2113,18575,52630
"D","IN",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","IN",0,41000,9500,18250,0,0,2500,39840,5600,10600,0,0,9500,28500,2000,4000,0,0,11000,63450,5500,10500,4500,1000,7000,61786,67,1069,5599,1000,3002
"R","IN",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","IN",0,10600,11500,14500,0,0,1000,29500,22150,61600,0,0,0,26600,500,2500,0,0,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","IN",0,8500,750,3250,0,250,1000,40750,0,1000,1500,0,4000,35200,1750,2750,1000,2000,5000,21300,3000,9000,0,0,7500,1000,0,0,0,0,0
"R","IN",0,30500,0,7750,0,0,2000,31500,3000,8550,0,0,3000,43400,0,31200,2000,0,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","IN",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","IN",0,26400,48800,59300,0,0,2000,20300,51050,98500,0,0,500,17000,19000,22500,0,0,5000,16200,21900,23900,1000,0,250,18505,13800,24800,3500,0,0
"R","IN",0,19700,18650,29900,3250,0,0,37950,14050,22750,8050,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","IA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","IA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","KS",0,64700,0,0,4500,0,9750,73550,0,0,4250,0,5200,52400,0,0,1000,0,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","KS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","KS",0,64700,3000,16000,2900,0,10500,68700,1000,13400,2000,0,23900,49375,0,13800,2000,0,44800,95350,16900,27700,6000,0,51400,NA,NA,NA,NA,NA,NA
"R","KS",0,320550,3000,8000,14500,0,7500,376850,10500,14000,31500,0,11400,194325,1000,2000,25500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","KY",0,131250,75375,127900,16500,0,7500,136500,31000,37000,23500,0,13000,55100,9500,16000,0,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","KY",0,44250,31499,37499,2000,0,0,64750,14600,18850,8750,0,0,57500,11700,12700,8000,0,0,48050,2500,8500,4500,0,0,51005,0,3500,9500,0,0
"D","KY",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","KY",0,32451,19500,28000,1750,0,0,21500,6600,9600,0,0,0,14000,1000,1000,0,0,0,10200,1000,2000,0,0,0,12950,500,1500,1000,0,2750
"R","KY",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","KY",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","LA",0,135575,0,4000,12500,4000,0,217274,9500,16500,21100,7200,0,285300,6400,13900,26750,0,0,383665,0,13225,22700,0,1435,528542,1910,6306,47245,2960,14111
"D","LA",0,25750,0,500,0,750,0,50100,0,0,2000,4600,0,62500,0,0,5000,3700,0,79200,0,0,15000,1000,0,139800,0,1000,31000,5000,1000
