"BioID","GovtrackID","last_name","first_name","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","party","name","state","district","Vote_count","Vote_change"
"M001199",412698,"Mast","Brian",NA,NA,"+","+","+","+","R","mast brian","FL","18",4,0
NA,NA,"Rooney","Francis",NA,NA,NA,"+","+",NA,"R","rooney francis","FL","19",2,0
"F000465",412700,"Ferguson","A. Drew",NA,NA,"-","-","-","-","R","ferguson a drew,ferguson a","GA","3",4,0
NA,NA,"Handel","Karen",NA,NA,"-","-",NA,NA,"R",NA,"GA","6",2,0
"K000391",412701,"Krishnamoorthi","Raja",NA,NA,"+","+","+","+","D","krishnamoorthi raja","IL","8",4,0
"B001299",412702,"Banks","Jim",NA,NA,"-","-","-","-","R","banks jim","IN","3",4,0
"H001074",412703,"Hollingsworth","Trey",NA,NA,"-","-","-","-","R","hollingsworth trey","IN","9",4,0
NA,NA,"Marshall","Roger",NA,NA,"-","-","-",NA,"R","marshall roger","KS","1",3,0
"E000298",412735,"Estes","Ron",NA,NA,"-","-","-","-","R","estes ron","KS","4",4,0
"C001108",412676,"Comer","James",NA,NA,"-","-","-","-","R","comer james","KY","1",4,0
"H001077",412705,"Higgins","Clay",NA,NA,"-","-","-","-","R","higgins clay","LA","3",4,0
"J000299",412706,"Johnson","Mike",NA,NA,"-","-","-",NA,"R","johnson mike","LA","4",3,0
"B001304",412707,"Brown","Anthony",NA,NA,"+","+","+","+","D","brown anthony","MD","4",4,0
"R000606",412708,"Raskin","Jamie",NA,NA,"+","+","+","+","D","raskin jamie","MD","8",4,0
"B001301",412709,"Bergman","Jack",NA,NA,"-","-","-","-","R","bergman jack","MI","1",4,0
NA,NA,"Mitchell","Paul",NA,NA,"-","-","-",NA,"R","mitchell paul","MI","10",3,0
NA,NA,"Lewis","Jason",NA,NA,"-","-",NA,NA,"R",NA,"MN","2",2,0
NA,NA,"Gianforte","Greg",NA,NA,"-","-","-",NA,"R","gianforte greg","MT","0",3,0
"B001298",412713,"Bacon","Don",NA,NA,"-","-","-","-","R","bacon don","NE","2",4,0
NA,NA,"Rosen","Jacky",NA,NA,"+","+",NA,NA,"D",NA,"NV","3",2,0
NA,NA,"Kihuen","Ruben",NA,NA,"+","+",NA,NA,"D",NA,"NV","4",2,0
"G000583",412714,"Gottheimer","Josh",NA,NA,"+","+","+","+","D","gottheimer josh","NJ","5",4,0
"S001201",412717,"Suozzi","Thomas",NA,NA,"+","+","+","+","D","suozzi thomas","NY","3",4,0
"E000297",412718,"Espaillat","Adriano",NA,NA,"+","+","+","+","D","espaillat adriano","NY","13",4,0
NA,NA,"Faso","John",NA,NA,"+","+",NA,NA,"R",NA,"NY","19",2,0
"T000478",412720,"Tenney","Claudia",NA,NA,"-","-",NA,"-","R","tenney claudia","NY","22",3,0
"B001305",412712,"Budd","Ted",NA,NA,"-","-","-","-","R","budd ted","NC","13",4,0
"E000296",412677,"Evans","Dwight",NA,NA,"+","+","+","+","D","evans dwight","PA","2",4,0
"F000466",412721,"Fitzpatrick","Brian",NA,NA,"+","+","+","+","R","fitzpatrick brian","PA","8",4,0
"S001199",412722,"Smucker","Lloyd",NA,NA,"-","-","-","-","R","smucker lloyd","PA","16",4,0
"N000190",412738,"Norman","Ralph",NA,NA,"-","-","-","-","R","norman ralph","SC","5",4,0
