"BioID","GovtrackID","last_name","first_name","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","party","name","state","district","Vote_count","Vote_change"
"B000825",456805,"Boebert","Lauren",NA,NA,NA,NA,NA,"-","R","boebert lauren","CO","3",1,0
"N000192",456819,"Newman","Marie",NA,NA,NA,NA,NA,"+","D","newman marie","IL","3",1,0
"M001211",456820,"Miller","Mary",NA,NA,NA,NA,NA,"-","R","miller mary","IL","15",1,0
"S001218",456861,"Stansbury","Melanie",NA,NA,NA,NA,NA,"+","D","stansbury melanie","NM","1",1,0
"H001084",456834,"Herrell","Yvette",NA,NA,NA,NA,NA,"-","R","herrell yvette","NM","2",1,0
"L000273",456835,"Fernandez","Teresa",NA,NA,NA,NA,NA,"+","D","fernandez teresa","NM","3",1,0
"M001213",456851,"Moore","Blake",NA,NA,NA,NA,NA,"-","R","moore blake","UT","1",1,0
"O000086",456852,"Owens","Burgess",NA,NA,NA,NA,NA,"-","R","owens burgess","UT","4",1,0
"B000668",456842,"Bentz","Cliff",NA,NA,NA,NA,NA,"-","R","bentz cliff","OR","2",1,0
"B000740",456841,"Bice","Stephanie",NA,NA,NA,NA,NA,"-","R","bice stephanie","OK","5",1,0
"H001091",456816,"Hinson","Ashley",NA,NA,NA,NA,NA,"-","R","hinson ashley","IA","1",1,0
"M001215",456817,"Miller-Meeks","Mariannette",NA,NA,NA,NA,NA,"-","R","miller meeks mariannette","IA","2",1,0
"F000446",456818,"Feenstra","Randy",NA,NA,NA,NA,NA,"-","R","feenstra randy","IA","4",1,0
"A000148",456825,"Auchincloss","Jake",NA,NA,NA,NA,NA,"+","D","auchincloss jake","MA","4",1,0
"M001214",456821,"Mrvan","Frank",NA,NA,NA,NA,NA,"+","D","mrvan frank","IN","1",1,0
"S000929",456822,"Spartz","Victoria",NA,NA,NA,NA,NA,"-","R","spartz victoria","IN","5",1,0
"R000305",456831,"Ross","Deborah",NA,NA,NA,NA,NA,"+","D","ross deborah","NC","2",1,0
"M001210",412845,"Murphy","Greg",NA,NA,NA,NA,NA,"-","R","murphy greg","NC","3",1,0
"M001135",456832,"Manning","Kathy",NA,NA,NA,NA,NA,"+","D","manning kathy","NC","6",1,0
"B001311",412844,"Bishop","Dan",NA,NA,NA,NA,NA,"-","R","bishop dan","NC","9",1,0
"C001104",456833,"Cawthorn","Madison",NA,NA,NA,NA,NA,"-","R","cawthorn madison","NC","11",1,0
"G000595",456853,"Good","Robert",NA,NA,NA,NA,NA,"-","R","good robert","VA","5",1,0
"S001159",456854,"Strickland","Marilyn",NA,NA,NA,NA,NA,"+","D","strickland marilyn","WA","10",1,0
"M000194",456843,"Mace","Nancy",NA,NA,NA,NA,NA,"+","R","mace nancy","SC","1",1,0
"M000871",456823,"Mann","Tracey",NA,NA,NA,NA,NA,"-","R","mann tracey","KS","1",1,0
"L000266",456824,"LaTurner","Jake",NA,NA,NA,NA,NA,"-","R","laturner jake","KS","2",1,0
