"","LastName","FirstName","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","Party","State","District","Vote_count","Vote_change"
"636","Timmons","William",NA,NA,NA,NA,"-","-","R","SC","SC-04",2,0
"637","Johnson","Dusty",NA,NA,NA,NA,"-","-","R","SD","SD-AL",2,0
"638","Burchett","Tim",NA,NA,NA,NA,"-","-","R","TN","TN-02",2,0
"639","Rose","John",NA,NA,NA,NA,"-","-","R","TN","TN-06",2,0
"640","Green","Mark",NA,NA,NA,NA,"-","-","R","TN","TN-07",2,0
"641","Crenshaw","Dan",NA,NA,NA,NA,"-","-","R","TX","TX-02",2,0
"642","Taylor","Van",NA,NA,NA,NA,"-","-","R","TX","TX-03",2,0
"643","Gooden","Lance",NA,NA,NA,NA,"-","-","R","TX","TX-05",2,0
"644","Wright","Ron",NA,NA,NA,NA,"-",NA,"R","TX","TX-06",1,0
"645","Fletcher","Lizzie",NA,NA,NA,NA,"+","+","D","TX","TX-07",2,0
"646","Escobar","Veronica",NA,NA,NA,NA,"+","+","D","TX","TX-16",2,0
"647","Roy","Chip",NA,NA,NA,NA,"-","-","R","TX","TX-21",2,0
"648","Garcia","Sylvia",NA,NA,NA,NA,"+","+","D","TX","TX-29",2,0
"649","Allred","Colin",NA,NA,NA,NA,"+","+","D","TX","TX-32",2,0
"650","McAdams","Ben",NA,NA,NA,NA,"+",NA,"D","UT","UT-04",1,0
"651","Plaskett","Stacey",NA,NA,NA,NA,"+",NA,"D","VI","VI-AL",1,0
"652","Luria","Elaine",NA,NA,NA,NA,"+","+","D","VA","VA-02",2,0
"653","Riggleman","Denver",NA,NA,NA,NA,"-",NA,"R","VA","VA-05",1,0
"654","Cline","Ben",NA,NA,NA,NA,"-","-","R","VA","VA-06",2,0
"655","Spanberger","Abigail",NA,NA,NA,NA,"+","+","D","VA","VA-07",2,0
"656","Wexton","Jennifer",NA,NA,NA,NA,"+","+","D","VA","VA-10",2,0
"657","Schrier","Kim",NA,NA,NA,NA,"+","+","D","WA","WA-08",2,0
"658","Miller","Carol",NA,NA,NA,NA,"-","-","R","WV","WV-03",2,0
"659","Steil","Bryan",NA,NA,NA,NA,"-","-","R","WI","WI-01",2,0
"660","Carl","Jerry",NA,NA,NA,NA,NA,"-","R","AL","AL-01",1,0
"661","Moore","Barry",NA,NA,NA,NA,NA,"-","R","AL","AL-02",1,0
"662","Obernolte","Jay",NA,NA,NA,NA,NA,"-","R","CA","CA-08",1,0
"663","Garcia","Mike",NA,NA,NA,NA,NA,"-","R","CA","CA-25",1,0
"664","Kim","Young",NA,NA,NA,NA,NA,"+","R","CA","CA-39",1,0
"665","Steel","Michelle",NA,NA,NA,NA,NA,"-","R","CA","CA-48",1,0
"666","Jacobs","Sara",NA,NA,NA,NA,NA,"+","D","CA","CA-53",1,0
"667","Boebert","Lauren",NA,NA,NA,NA,NA,"-","R","CO","CO-03",1,0
"668","Cammack","Kat",NA,NA,NA,NA,NA,"-","R","FL","FL-03",1,0
"669","Franklin","Scott",NA,NA,NA,NA,NA,"-","R","FL","FL-15",1,0
"670","Donalds","Byron",NA,NA,NA,NA,NA,"-","R","FL","FL-19",1,0
"671","Giménez","Carlos",NA,NA,NA,NA,NA,"-","R","FL","FL-26",1,0
"672","Salazar","María  Elvira",NA,NA,NA,NA,NA,"+","R","FL","FL-27",1,0
"673","Williams","Nikema",NA,NA,NA,NA,NA,"+","D","GA","GA-05",1,0
"674","Bourdeaux","Carolyn",NA,NA,NA,NA,NA,"+","D","GA","GA-07",1,0
"675","Clyde","Andrew",NA,NA,NA,NA,NA,"-","R","GA","GA-09",1,0
"676","Greene","Marjorie Taylor",NA,NA,NA,NA,NA,"-","R","GA","GA-14",1,0
"677","Kahele","Kaialiʻi",NA,NA,NA,NA,NA,"+","D","HI","HI-02",1,0
"678","Newman","Marie",NA,NA,NA,NA,NA,"+","D","IL","IL-03",1,0
"679","Miller","Mary",NA,NA,NA,NA,NA,"-","R","IL","IL-15",1,0
"680","Mrvan","Frank",NA,NA,NA,NA,NA,"+","D","IN","IN-01",1,0
"681","Spartz","Victoria",NA,NA,NA,NA,NA,"-","R","IN","IN-05",1,0
"682","Hinson","Ashley",NA,NA,NA,NA,NA,"-","R","IA","IA-01",1,0
"683","Miller-Meeks","Mariannette",NA,NA,NA,NA,NA,"-","R","IA","IA-02",1,0
"684","Feenstra","Randy",NA,NA,NA,NA,NA,"-","R","IA","IA-04",1,0
"685","Mann","Tracey",NA,NA,NA,NA,NA,"-","R","KS","KS-01",1,0
"686","LaTurner","Jake",NA,NA,NA,NA,NA,"-","R","KS","KS-02",1,0
"687","Carter","Troy",NA,NA,NA,NA,NA,"+","D","LA","LA-02",1,0
"688","Letlow","Julia",NA,NA,NA,NA,NA,"-","R","LA","LA-05",1,0
"689","Mfume","Kweisi",NA,NA,NA,NA,NA,"+","D","MD","MD-07",1,0
"690","Auchincloss","Jake",NA,NA,NA,NA,NA,"+","D","MA","MA-04",1,0
"691","Meijer","Peter",NA,NA,NA,NA,NA,"+","R","MI","MI-03",1,0
"692","McClain","Lisa",NA,NA,NA,NA,NA,"-","R","MI","MI-10",1,0
"693","Fischbach","Michelle",NA,NA,NA,NA,NA,"-","R","MN","MN-07",1,0
"694","Bush","Cori",NA,NA,NA,NA,NA,"+","D","MO","MO-01",1,0
"695","Rosendale","Matt",NA,NA,NA,NA,NA,"-","R","MT","MT-AL",1,0
"696","Stansbury","Melanie",NA,NA,NA,NA,NA,"+","D","NM","NM-01",1,0
"697","Herrell","Yvette",NA,NA,NA,NA,NA,"-","R","NM","NM-02",1,0
"698","Leger Fernández","Teresa",NA,NA,NA,NA,NA,"+","D","NM","NM-03",1,0
"699","Garbarino","Andrew",NA,NA,NA,NA,NA,"+","R","NY","NY-02",1,0
"700","Malliotakis","Nicole",NA,NA,NA,NA,NA,"-","R","NY","NY-11",1,0
"701","Torres","Ritchie",NA,NA,NA,NA,NA,"+","D","NY","NY-15",1,0
