"","LastName","FirstName","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","Party","State","District","Vote_count","Vote_change"
"485","Adams","Alma",NA,"+","+","+","+","+","D","NC","NC-12",5,0
"486","Davidson","Warren",NA,"-","-","-","-","-","R","OH","OH-08",5,0
"487","Russell","Steve",NA,"-","-","-",NA,NA,"R","OK","OK-05",3,0
"488","Costello","Ryan",NA,"-","+","+",NA,NA,"R","PA","PA-06",3,1
"489","Boyle","Brendan",NA,"+","+","+","+","+","D","PA","PA-13,PA-13,PA-02",5,0
"490","Ratcliffe","John",NA,"-","-","-","-",NA,"R","TX","TX-04",4,0
"491","Hurd","Will",NA,"-","-","-","-",NA,"R","TX","TX-23",4,0
"492","Babin","Brian",NA,"-","-","-","-","-","R","TX","TX-36",5,0
"493","Love","Mia",NA,"-","-","-",NA,NA,"R","UT","UT-04",3,0
"494","Brat","David Alan",NA,"-","-","-",NA,NA,"R","VA","VA-07",3,0
"495","Beyer","Donald",NA,"+","+","+","+","+","D","VA","VA-08",5,0
"496","Comstock","Barbara",NA,"-","-","-",NA,NA,"R","VA","VA-10",3,0
"497","Newhouse","Dan",NA,"-","-","-","-","-","R","WA","WA-04",5,0
"498","Mooney","Alex",NA,"-","-","-","-","-","R","WV","WV-02",5,0
"499","Jenkins","Evan",NA,"-","-","-",NA,NA,"R","WV","WV-03",3,0
"500","Grothman","Glenn",NA,"-","-","-","-","-","R","WI","WI-06",5,0
"501","O'Halleran","Tom",NA,NA,"+","+","+","+","D","AZ","AZ-01",4,0
"502","Biggs","Andy",NA,NA,"-","-","-","-","R","AZ","AZ-05",4,0
"503","Khanna","Ro",NA,NA,"+","+","+","+","D","CA","CA-17",4,0
"504","Panetta","Jimmy",NA,NA,"+","+","+","+","D","CA","CA-20",4,0
"505","Carbajal","Salud",NA,NA,"+","+","+","+","D","CA","CA-24",4,0
"506","Gomez","Jimmy",NA,NA,"+","+","+","+","D","CA","CA-34",4,0
"507","Barragán","Nanette",NA,NA,"+","+","+","+","D","CA","CA-44",4,0
"508","Correa","J.",NA,NA,"+","+","+","+","D","CA","CA-46",4,0
"509","Blunt Rochester","Lisa",NA,NA,"+","+","+","+","D","DE","DE-AL",4,0
"510","Gaetz","Matt",NA,NA,"-",NA,"-","+","R","FL","FL-01",3,1
"511","Dunn","Neal",NA,NA,"-","-","-","-","R","FL","FL-02",4,0
"512","Rutherford","John",NA,NA,"-","-","-","-","R","FL","FL-04",4,0
"513","Lawson","Al",NA,NA,NA,"+","+","+","D","FL","FL-05",3,0
"514","Murphy","Stephanie",NA,NA,"+","+","+","+","D","FL","FL-07",4,0
"515","Soto","Darren",NA,NA,"+","+","+","+","D","FL","FL-09",4,0
"516","Demings","Val",NA,NA,"+","+","+","+","D","FL","FL-10",4,0
"517","Crist","Charlie",NA,NA,"+","+","+","+","D","FL","FL-13",4,0
"518","Mast","Brian",NA,NA,"+","+","+","+","R","FL","FL-18",4,0
"519","Rooney","Francis",NA,NA,NA,"+","+",NA,"R","FL","FL-19",2,0
"520","Ferguson","A. Drew",NA,NA,"-","-","-","-","R","GA","GA-03",4,0
"521","Handel","Karen",NA,NA,"-","-",NA,NA,"R","GA","GA-06",2,0
"522","Krishnamoorthi","Raja",NA,NA,"+","+","+","+","D","IL","IL-08",4,0
"523","Banks","Jim",NA,NA,"-","-","-","-","R","IN","IN-03",4,0
"524","Hollingsworth","Trey",NA,NA,"-","-","-","-","R","IN","IN-09",4,0
"525","Marshall","Roger",NA,NA,"-","-","-",NA,"R","KS","KS-01",3,0
"526","Estes","Ron",NA,NA,"-","-","-","-","R","KS","KS-04",4,0
"527","Comer","James",NA,NA,"-","-","-","-","R","KY","KY-01",4,0
"528","Higgins","Clay",NA,NA,"-","-","-","-","R","LA","LA-03",4,0
"529","Johnson","Mike",NA,NA,"-","-","-",NA,"R","LA","LA-04",3,0
"530","Brown","Anthony",NA,NA,"+","+","+","+","D","MD","MD-04",4,0
"531","Raskin","Jamie",NA,NA,"+","+","+","+","D","MD","MD-08",4,0
"532","Bergman","Jack",NA,NA,"-","-","-","-","R","MI","MI-01",4,0
"533","Mitchell","Paul",NA,NA,"-","-","-",NA,"R","MI","MI-10",3,0
"534","Lewis","Jason",NA,NA,"-","-",NA,NA,"R","MN","MN-02",2,0
"535","Gianforte","Greg",NA,NA,"-","-","-",NA,"R","MT","MT-AL",3,0
"536","Bacon","Don",NA,NA,"-","-","-","-","R","NE","NE-02",4,0
"537","Rosen","Jacky",NA,NA,"+","+",NA,NA,"D","NV","NV-03",2,0
"538","Kihuen","Ruben",NA,NA,"+","+",NA,NA,"D","NV","NV-04",2,0
"539","Gottheimer","Josh",NA,NA,"+","+","+","+","D","NJ","NJ-05",4,0
"540","Suozzi","Thomas",NA,NA,"+","+","+","+","D","NY","NY-03",4,0
"541","Espaillat","Adriano",NA,NA,"+","+","+","+","D","NY","NY-13",4,0
"542","Faso","John",NA,NA,"+","+",NA,NA,"R","NY","NY-19",2,0
"543","Tenney","Claudia",NA,NA,"-","-",NA,"-","R","NY","NY-22",3,0
"544","Budd","Ted",NA,NA,"-","-","-","-","R","NC","NC-13",4,0
"545","Evans","Dwight",NA,NA,"+","+","+","+","D","PA","PA-02,PA-03",4,0
"546","Fitzpatrick","Brian",NA,NA,"+","+","+","+","R","PA","PA-08,PA-01",4,0
"547","Smucker","Lloyd",NA,NA,"-","-","-","-","R","PA","PA-16,PA-11",4,0
"548","Norman","Ralph",NA,NA,"-","-","-","-","R","SC","SC-05",4,0
"549","Kustoff","David",NA,NA,"-","-","-","-","R","TN","TN-08",4,0
"550","Gonzalez","Vicente",NA,NA,"-","+","+","+","D","TX","TX-15",4,1
"551","Arrington","Jodey",NA,NA,"-","-","-","-","R","TX","TX-19",4,0
"552","Taylor","Scott",NA,NA,"-","-",NA,NA,"R","VA","VA-02",2,0
"553","McEachin","A. Donald",NA,NA,NA,"+","+","+","D","VA","VA-04",3,0
"554","Garrett","Thomas",NA,NA,NA,"-",NA,NA,"R","VA","VA-05",1,0
"555","Jayapal","Pramila",NA,NA,"+","+","+","+","D","WA","WA-07",4,0
"556","Gallagher","Mike",NA,NA,"-","-","-","-","R","WI","WI-08",4,0
"557","Cheney","Liz",NA,NA,"-","-","-","-","R","WY","WY-AL",4,0
"558","Cloud","Michael",NA,NA,NA,"-","-","-","R","OH","OH-10,TX-27",3,0
"559","Lesko","Debbie",NA,NA,NA,"-","-","-","R","OH","OH-10,AZ-08",3,0
"560","Lamb","Conor",NA,NA,NA,"+","+","+","D","PA","PA-18,PA-17",3,0
"561","Curtis","John",NA,NA,NA,"-","-","-","R","UT","UT-03",3,0
"562","Radewagen","Amata Coleman",NA,NA,NA,NA,"-",NA,"R","AS","AS-AL",1,0
"563","Stanton","Greg",NA,NA,NA,NA,"+","+","D","AZ","AZ-09",2,0
"564","Harder","Josh",NA,NA,NA,NA,"+","+","D","CA","CA-10",2,0
"565","Cox","TJ",NA,NA,NA,NA,"+",NA,"D","CA","CA-21",1,0
