"","LastName","FirstName","Amount.oil","Amount.coal","Amount.mining","Amount.gas","Amount.env","Amount.alternative_en","Party","StateAbbreviation"
"30","Tipton","Scott",136400,22400,53400,6500,0,0,"R","CO"
"31","Williams","Roger",136250,0,0,0,0,0,"R","TX"
"32","Culberson","John",133625,0,0,22825,0,0,"R","TX"
"33","Johnson","Bill",127950,25800,38800,40000,1000,12500,"R","OH"
"34","Cole","Tom",125750,17200,19200,13700,0,5000,"R","OK"
"35","Reed","Tom",121050,0,0,31900,0,35500,"R","NY"
"36","Rodgers","Cathy McMorris",119600,0,13650,7000,0,4250,"R","WA"
"37","McCaul","Michael",111150,0,2000,17100,0,0,"R","TX"
"38","Smith","Lamar",108400,0,0,0,0,0,"R","TX"
"39","Green","Gene",107700,0,0,41500,0,0,"D","TX"
"40","Costa","Jim",95525,3500,6500,21000,2000,2000,"D","CA"
"41","Stewart","Chris",95200,8256,13756,14400,0,0,"R","UT"
"42","Stutzman","Marlin",93830,1000,1000,0,0,0,"R","IN"
"43","Russell","Steven",93250,0,5400,6500,0,0,"R","OK"
"44","Hudson","Richard",90900,0,3500,15200,0,0,"R","NC"
"45","Jenkins","Lynn",88700,0,13300,11000,0,6750,"R","KS"
"46","Marchant","Kenny",86450,0,0,15700,0,0,"R","TX"
"47","Blackburn","Marsha",85900,500,500,13500,0,0,"R","TN"
"48","Thompson","Glenn",85550,9250,17250,22200,0,0,"R","PA"
"49","Tiberi","Pat",83000,3500,7500,6000,0,1500,"R","OH"
"50","Thornberry","Mac",82175,0,0,0,0,8000,"R","TX"
"51","McKinley","David",80000,37700,70150,17000,0,0,"R","WV"
"52","Latta","Bob",78750,0,0,7500,0,1250,"R","OH"
"53","Meehan","Patrick",78200,0,1000,30300,0,7870,"R","PA"
"54","Farenthold","Blake",77950,0,500,13500,0,0,"R","TX"
"55","Noem","Kristi",77150,250,2750,0,500,25800,"R","SD"
"56","Kelly","Mike",76412,37100,40850,21412,0,0,"R","PA"
"57","McSally","Martha",76161,0,13325,1500,125,1200,"R","AZ"
"58","Comstock","Barbara",75975,4450,9450,19000,0,0,"R","VA"
"59","Poe","Ted",75000,0,0,7400,0,2700,"R","TX"
"60","Nunes","Devin",73500,2000,3000,8500,0,250,"R","CA"
"61","Granger","Kay",72350,0,0,0,0,1000,"R","TX"
"62","Veasey","Marc",71800,0,0,2000,1000,500,"D","TX"
"63","Love","Mia",70036,0,3000,3800,200,2300,"R","UT"
"64","Hensarling","Jeb",70000,0,0,8900,0,0,"R","TX"
"65","McHenry","Patrick",69250,0,0,6500,0,0,"R","NC"
"66","DeSantis","Ron",68920,0,1500,4425,25,50,"R","FL"
"67","Lamborn","Doug",67377,15500,38000,8500,1000,0,"R","CO"
"68","Kinzinger","Adam",67250,1000,4000,16500,0,21200,"R","IL"
"69","Weber","Randy",66550,0,3700,5750,0,0,"R","TX"
"70","Zeldin","Lee",65663,0,0,7250,0,800,"R","NY"
"71","Buck","Ken",64950,2300,6300,5500,0,2500,"R","CO"
"72","Katko","John",64950,0,0,9000,250,1000,"R","NY"
"73","Collins","Chris",63950,0,0,22000,0,0,"R","NY"
"74","Walters","Mimi",63250,0,100,5000,0,4700,"R","CA"
"75","Calvert","Ken",62500,9500,20000,4000,0,7900,"R","CA"
"76","Richmond","Cedric",62500,0,0,5000,3700,0,"D","LA"
"77","Lucas","Frank D",62050,0,1000,6000,0,3500,"R","OK"
"78","Paulsen","Erik",61799,0,1000,3700,0,2000,"R","MN"
"79","Davis","Rodney",61750,5100,8100,15500,0,15000,"R","IL"
"80","Harper","Gregg",60550,0,1000,8500,0,0,"R","MS"
"81","Valadao","David",59750,0,3550,1000,0,5000,"R","CA"
"82","Young","Don",59450,2000,20000,0,1500,0,"R","AK"
"83","Chaffetz","Jason",57700,3000,5000,0,0,0,"R","UT"
"84","Guthrie","Brett",57500,11700,12700,8000,0,0,"R","KY"
"85","Stivers","Steve",56350,15775,15775,12500,0,0,"R","OH"
"86","LaHood","Darin",56050,5050,7050,14700,0,31600,"R","IL"
"87","Stefanik","Elise",55675,0,0,5500,6650,3750,"R","NY"
"88","Schrader","Kurt",55500,2000,2000,15000,2500,3200,"D","OR"
"89","Curbelo","Carlos",55400,0,0,4000,10750,4700,"R","FL"
"90","Whitfield","Ed",55100,9500,16000,0,0,500,"R","KY"
"91","Poliquin","Bruce",54100,0,100,3800,0,500,"R","ME"
"92","Holding","George",54082,1000,1000,5500,0,22700,"R","NC"
"93","Babin","Brian",53650,0,4700,7700,1000,0,"R","TX"
"94","Renacci","Jim",53243,0,0,4500,1000,2250,"R","OH"
"95","Huelskamp","Tim",52400,0,0,1000,0,2700,"R","KS"
"96","Murphy","Tim",51750,27200,34950,21500,0,0,"R","PA"
"97","Knight","Steve",50400,0,850,0,0,0,"R","CA"
"98","Walberg","Tim",49450,12500,28500,1000,0,0,"R","MI"
"99","Yoder","Kevin",49375,0,13800,2000,0,44800,"R","KS"
"100","Royce","Ed",49300,0,0,2500,1000,2000,"R","CA"
"101","Bridenstine","James",49100,1000,1000,3250,0,0,"R","OK"
"102","Simpson","Mike",46700,3700,12450,5000,7750,1000,"R","ID"
"103","Wagner","Ann",45500,12900,14900,6000,0,500,"R","MO"
"104","Issa","Darrell",45000,1000,2000,16100,0,0,"R","CA"
"105","Long","Billy",45000,2500,6000,5500,0,0,"R","MO"
"106","Duncan","Jeff",44750,0,0,10500,5000,0,"R","SC"
"107","Dold","Bob",43900,1000,2000,12250,7900,11750,"R","IL"
"108","Rothfus","Keith J",43550,43850,59850,12050,0,0,"R","PA"
"109","Messer","Luke",43400,0,31200,2000,0,2500,"R","IN"
"110","Black","Diane",43250,0,0,3000,1000,1000,"R","TN"
"111","Burgess","Michael",43100,0,0,0,0,0,"R","TX"
"112","Hardy","Cresent",42700,0,15000,7000,0,0,"R","NV"
"113","Jenkins","Evan",42600,28600,51200,3000,0,0,"R","WV"
"114","Palazzo","Steven",41200,0,1000,3500,0,0,"R","MS"
"115","Westerman","Bruce",41200,1000,2000,3000,0,2250,"R","AR"
"116","Hoyer","Steny H",40500,0,0,15000,2288,4500,"D","MD"
"117","Ratcliffe","John",40050,0,0,6400,0,0,"R","TX"
"118","Goodlatte","Bob",39950,0,0,5450,0,0,"R","VA"
"119","Griffith","Morgan",38568,26100,32850,3500,0,0,"R","VA"
"120","Barr","Andy",38500,87200,98050,3000,0,0,"R","KY"
"121","Johnson","Sam",37050,0,0,5700,0,1000,"R","TX"
"122","Costello","Ryan",36250,0,1500,9500,5400,1000,"R","PA"
"123","Peterson","Collin",35575,1500,4500,0,0,23500,"D","MN"
"124","Roskam","Peter",35350,0,0,5450,0,1000,"R","IL"
"125","Brooks","Susan",35200,1750,2750,1000,2000,5000,"R","IN"
"126","Mooney","Alex",35200,20726,31126,9000,0,250,"R","WV"
"127","Perry","Scott",35000,0,0,10500,0,0,"R","PA"
"128","Vela","Filemon",35000,0,0,7000,0,1000,"D","TX"
"129","Hill","French",34950,0,0,7700,750,0,"R","AR"
"130","Barletta","Lou",34550,4200,4950,9000,0,0,"R","PA"
"131","Larsen","Rick",34500,0,0,14000,3000,0,"D","WA"
"132","Gibbs","Bob",34000,2000,8000,2000,1000,3500,"R","OH"
"133","Dent","Charlie",33900,0,2000,5000,250,500,"R","PA"
"134","Graves","Tom",33800,0,20700,3000,0,0,"R","GA"
"135","Byrne","Bradley",33450,10400,10900,4000,0,0,"R","AL"
"136","Smith","Jason",33300,2000,8750,1000,0,7000,"R","MO"
"137","Ashford","Brad",33250,2000,3000,1750,0,8000,"D","NE"
"138","Garrett","Scott",31850,0,0,1250,0,5400,"R","NJ"
"139","Ellmers","Renee",30500,0,0,4500,0,1000,"R","NC"
"140","Newhouse","Dan",30400,4000,8000,5150,0,250,"R","WA"
"141","Bost","Mike",30250,27050,33400,2500,0,1000,"R","IL"
"142","Collins","Doug",30250,0,0,1600,0,0,"R","GA"
"143","Turner","Michael R",29950,0,0,2000,0,0,"R","OH"
"144","Joyce","David P",29850,13900,38100,3500,3000,2200,"R","OH"
"145","Van","Hollen Chris",29750,0,0,5325,77905,25420,"D","MD"
"146","Brady","Robert A",28875,0,0,0,0,0,"D","PA"
"147","Gowdy","Trey",28700,0,0,1000,0,0,"R","SC"
"148","Guinta","Frank",28600,0,0,0,0,750,"R","NH"
"149","Walorski","Jackie",28500,2000,4000,0,0,11000,"R","IN"
"150","Lujan","Ben Ray",28000,2000,9500,12000,9525,6000,"D","NM"
"151","LaMalfa","Doug",27550,0,0,10250,0,0,"R","CA"
"152","Mica","John L",27500,0,2550,2500,0,500,"R","FL"
"153","Kelly","Trent",27450,2700,2700,3000,0,0,"R","MS"
"154","MacArthur","Thomas",26600,0,0,15900,1500,1000,"R","NJ"
"155","Rokita","Todd",26600,500,2500,0,0,6000,"R","IN"
"156","Lance","Leonard",26200,0,0,7000,0,0,"R","NJ"
"157","Donovan","Dan",26000,0,0,1000,0,0,"R","NY"
"158","Doyle","Mike",26000,0,1500,19000,2477,0,"D","PA"
"159","Castro","Joaquin",25600,0,0,2500,2000,0,"D","TX"
"160","Young","David",25000,0,0,2500,0,22750,"R","IA"
"161","Cardenas","Tony",24800,0,0,7300,6200,1500,"D","CA"
"162","Murphy","Patrick",24203,0,617,8200,105523,17627,"D","FL"
"163","Green","Al",24200,0,0,0,0,0,"D","TX"
"164","Gohmert","Louis B Jr",23750,0,1000,1250,0,0,"R","TX"
"165","Rouzer","David",23740,0,0,2000,0,0,"R","NC"
"166","Bilirakis","Gus",23700,0,0,0,0,0,"R","FL"
