"","LastName","FirstName","State","Party","Chamber"
"1","Adams","Alma","North Carolina","Democrat","District 12"
"2","Aderholt","Robert B","Alabama","Republican","District 4"
"3","Aguilar","Pete","California","Democrat","District 31"
"4","Allen","Richard W","Georgia","Republican","District 12"
"5","Amash","Justin","Michigan","Republican","District 3"
"6","Amodei","Mark","Nevada","Republican","District 2"
"7","Ashford","Brad","Nebraska","Democrat","District 2"
"8","Babin","Brian","Texas","Republican","District 36"
"9","Barletta","Lou","Pennsylvania","Republican","District 11"
"10","Barr","Andy","Kentucky","Republican","District 6"
"11","Barton","Joe","Texas","Republican","District 6"
"12","Bass","Karen","California","Democrat","District 37"
"13","Beatty","Joyce","Ohio","Democrat","District 3"
"14","Becerra","Xavier","California","Democrat","District 34"
"15","Benishek","Dan","Michigan","Republican","District 1"
"16","Bera","Ami","California","Democrat","District 7"
"17","Beutler","Jaime Herrera","Washington","Republican","District 3"
"18","Beyer","Don","Virginia","Democrat","District 8"
"19","Bilirakis","Gus","Florida","Republican","District 12"
"20","Bishop","Mike","Michigan","Republican","District 8"
"21","Bishop","Rob","Utah","Republican","District 1"
"22","Bishop","Sanford","Georgia","Democrat","District 2"
"23","Black","Diane","Tennessee","Republican","District 6"
"24","Blackburn","Marsha","Tennessee","Republican","District 7"
"25","Blum","Rod","Iowa","Republican","District 1"
"26","Blumenauer","Earl","Oregon","Democrat","District 3"
"27","Bonamici","Suzanne","Oregon","Democrat","District 1"
"28","Bordallo","Madeleine Z","Guam","Democrat","At Large"
"29","Bost","Mike","Illinois","Republican","District 12"
"30","Boustany","Charles Jr","Louisiana","Republican","District 3"
"31","Boyle","Brendan","Pennsylvania","Democrat","District 13"
"32","Brady","Kevin","Texas","Republican","District 8"
"33","Brady","Robert A","Pennsylvania","Democrat","District 1"
"34","Brat","Dave","Virginia","Republican","District 7"
"35","Bridenstine","James","Oklahoma","Republican","District 1"
"36","Brooks","Mo","Alabama","Republican","District 5"
"37","Brooks","Susan","Indiana","Republican","District 5"
"38","Brown","Corrine","Florida","Democrat","District 5"
"39","Brownley","Julia","California","Democrat","District 26"
"40","Buchanan","Vernon","Florida","Republican","District 16"
"41","Buck","Ken","Colorado","Republican","District 4"
"42","Bucshon","Larry","Indiana","Republican","District 8"
"43","Burgess","Michael","Texas","Republican","District 26"
"44","Bustos","Cheri","Illinois","Democrat","District 17"
"45","Butterfield","G K","North Carolina","Democrat","District 1"
"46","Byrne","Bradley","Alabama","Republican","District 1"
"47","Calvert","Ken","California","Republican","District 42"
"48","Capps","Lois","California","Democrat","District 24"
"49","Capuano","Michael E","Massachusetts","Democrat","District 7"
"50","Cardenas","Tony","California","Democrat","District 29"
"51","Carney","John","Delaware","Democrat","District 1"
"52","Carson","Andre","Indiana","Democrat","District 7"
"53","Carter","Buddy","Georgia","Republican","District 1"
"54","Carter","John","Texas","Republican","District 31"
"55","Cartwright","Matt","Pennsylvania","Democrat","District 17"
"56","Castor","Kathy","Florida","Democrat","District 14"
"57","Castro","Joaquin","Texas","Democrat","District 20"
"58","Chabot","Steve","Ohio","Republican","District 1"
"59","Chaffetz","Jason","Utah","Republican","District 3"
"60","Chu","Judy","California","Democrat","District 27"
"61","Cicilline","David","Rhode Island","Democrat","District 1"
"62","Clark","Katherine","Massachusetts","Democrat","District 5"
"63","Clarke","Yvette","New York","Democrat","District 9"
"64","Clawson","Curt","Florida","Republican","District 19"
"65","Clay","William L Jr","Missouri","Democrat","District 1"
"66","Cleaver","Emanuel","Missouri","Democrat","District 5"
"67","Clyburn","James E","South Carolina","Democrat","District 6"
"68","Coffman","Mike","Colorado","Republican","District 6"
"69","Cohen","Steve","Tennessee","Democrat","District 9"
"70","Cole","Tom","Oklahoma","Republican","District 4"
"71","Coleman","Bonnie Watson","New Jersey","Democrat","District 12"
"72","Collins","Chris","New York","Republican","District 27"
"73","Collins","Doug","Georgia","Republican","District 9"
"74","Comstock","Barbara","Virginia","Republican","District 10"
"75","Conaway","Mike","Texas","Republican","District 11"
"76","Connolly","Gerry","Virginia","Democrat","District 11"
"77","Conyers","John Jr","Michigan","Democrat","District 13"
"78","Cook","Paul","California","Republican","District 8"
"79","Cooper","Jim","Tennessee","Democrat","District 5"
"80","Costa","Jim","California","Democrat","District 16"
"81","Costello","Ryan","Pennsylvania","Republican","District 6"
"82","Courtney","Joe","Connecticut","Democrat","District 2"
"83","Cramer","Kevin","North Dakota","Republican","District 1"
"84","Crawford","Rick","Arkansas","Republican","District 1"
"85","Crenshaw","Ander","Florida","Republican","District 4"
"86","Crowley","Joseph","New York","Democrat","District 14"
"87","Cuellar","Henry","Texas","Democrat","District 28"
"88","Culberson","John","Texas","Republican","District 7"
"89","Cummings","Elijah E","Maryland","Democrat","District 7"
"90","Curbelo","Carlos","Florida","Republican","District 26"
"91","Davidson","Warren","Ohio","Republican","District 8"
"92","Davis","Danny K","Illinois","Democrat","District 7"
"93","Davis","Rodney","Illinois","Republican","District 13"
"94","Davis","Susan","California","Democrat","District 53"
"95","DeFazio","Peter","Oregon","Democrat","District 4"
"96","DeGette","Diana","Colorado","Democrat","District 1"
"97","Delaney","John K","Maryland","Democrat","District 6"
"98","DeLauro","Rosa","Connecticut","Democrat","District 3"
"99","DelBene","Suzan","Washington","Democrat","District 1"
"100","Denham","Jeff","California","Republican","District 10"
"101","Dent","Charlie","Pennsylvania","Republican","District 15"
"102","DeSantis","Ron","Florida","Republican","District 6"
"103","Desaulnier","Mark","California","Democrat","District 11"
"104","Desjarlais","Scott","Tennessee","Republican","District 4"
"105","Deutch","Ted","Florida","Democrat","District 21"
"106","Diaz-Balart","Mario","Florida","Republican","District 25"
"107","Dingell","Debbie","Michigan","Democrat","District 12"
"108","Doggett","Lloyd","Texas","Democrat","District 35"
"109","Dold","Bob","Illinois","Republican","District 10"
"110","Donovan","Dan","New York","Republican","District 11"
"111","Doyle","Mike","Pennsylvania","Democrat","District 14"
"112","Duckworth","Tammy","Illinois","Democrat","District 8"
"113","Duffy","Sean P","Wisconsin","Republican","District 7"
"114","Duncan","Jeff","South Carolina","Republican","District 3"
"115","Duncan","John J Jr","Tennessee","Republican","District 2"
"116","Edwards","Donna","Maryland","Democrat","District 4"
"117","Ellison","Keith","Minnesota","Democrat","District 5"
"118","Ellmers","Renee","North Carolina","Republican","District 2"
"119","Emmer","Tom","Minnesota","Republican","District 6"
"120","Engel","Eliot","New York","Democrat","District 16"
"121","Eshoo","Anna","California","Democrat","District 18"
"122","Esty","Elizabeth","Connecticut","Democrat","District 5"
"123","Farenthold","Blake","Texas","Republican","District 27"
"124","Farr","Sam","California","Democrat","District 20"
"125","Fincher","Steve","Tennessee","Republican","District 8"
"126","Fitzpatrick","Michael G","Pennsylvania","Republican","District 8"
"127","Fleischmann","Chuck","Tennessee","Republican","District 3"
"128","Fleming","John","Louisiana","Republican","District 4"
"129","Flores","Bill","Texas","Republican","District 17"
"130","Forbes","Randy","Virginia","Republican","District 4"
"131","Fortenberry","Jeff","Nebraska","Republican","District 1"
"132","Foster","Bill","Illinois","Democrat","District 11"
"133","Foxx","Virginia","North Carolina","Republican","District 5"
"134","Frankel","Lois","Florida","Democrat","District 22"
"135","Franks","Trent","Arizona","Republican","District 8"
"136","Frelinghuysen","Rodney","New Jersey","Republican","District 11"
"137","Fudge","Marcia","Ohio","Democrat","District 11"
"138","Gabbard","Tulsi","Hawaii","Democrat","District 2"
"139","Gallego","Ruben","Arizona","Democrat","District 7"
"140","Garamendi","John","California","Democrat","District 3"
"141","Garrett","Scott","New Jersey","Republican","District 5"
"142","Gibbs","Bob","Ohio","Republican","District 7"
"143","Gibson","Chris","New York","Republican","District 19"
"144","Gohmert","Louis B Jr","Texas","Republican","District 1"
"145","Goodlatte","Bob","Virginia","Republican","District 6"
"146","Gosar","Paul","Arizona","Republican","District 4"
"147","Gowdy","Trey","South Carolina","Republican","District 4"
"148","Graham","Gwen","Florida","Democrat","District 2"
"149","Granger","Kay","Texas","Republican","District 12"
"150","Graves","Garret","Louisiana","Republican","District 6"
"151","Graves","Sam","Missouri","Republican","District 6"
"152","Graves","Tom","Georgia","Republican","District 14"
"153","Grayson","Alan","Florida","Democrat","District 9"
"154","Green","Al","Texas","Democrat","District 9"
"155","Green","Gene","Texas","Democrat","District 29"
"156","Griffith","Morgan","Virginia","Republican","District 9"
"157","Grijalva","Raul M","Arizona","Democrat","District 3"
"158","Grisham","Michelle Lujan","New Mexico","Democrat","District 1"
"159","Grothman","Glenn","Wisconsin","Republican","District 6"
"160","Guinta","Frank","New Hampshire","Republican","District 1"
"161","Guthrie","Brett","Kentucky","Republican","District 2"
"162","Gutierrez","Luis V","Illinois","Democrat","District 4"
"163","Hahn","Janice","California","Democrat","District 44"
"164","Hanabusa","Colleen","Hawaii","Democrat","District 1"
"165","Hanna","Richard","New York","Republican","District 22"
"166","Hardy","Cresent","Nevada","Republican","District 4"
"167","Harper","Gregg","Mississippi","Republican","District 3"
"168","Harris","Andy","Maryland","Republican","District 1"
"169","Hartzler","Vicky","Missouri","Republican","District 4"
"170","Hastings","Alcee","Florida","Democrat","District 20"
"171","Heck","Dennis","Washington","Democrat","District 10"
"172","Heck","Joe","Nevada","Republican","District 3"
"173","Hensarling","Jeb","Texas","Republican","District 5"
"174","Hice","Jody","Georgia","Republican","District 10"
"175","Higgins","Brian M","New York","Democrat","District 26"
"176","Hill","French","Arkansas","Republican","District 2"
"177","Himes","Jim","Connecticut","Democrat","District 4"
"178","Hinojosa","Ruben","Texas","Democrat","District 15"
"179","Holding","George","North Carolina","Republican","District 13"
"180","Honda","Mike","California","Democrat","District 17"
"181","Hoyer","Steny H","Maryland","Democrat","District 5"
"182","Hudson","Richard","North Carolina","Republican","District 8"
"183","Huelskamp","Tim","Kansas","Republican","District 1"
"184","Huffman","Jared","California","Democrat","District 2"
"185","Huizenga","Bill","Michigan","Republican","District 2"
"186","Hultgren","Randy","Illinois","Republican","District 14"
"187","Hunter","Duncan D","California","Republican","District 50"
"188","Hurd","Will","Texas","Republican","District 23"
"189","Hurt","Robert","Virginia","Republican","District 5"
"190","Israel","Steve","New York","Democrat","District 3"
"191","Issa","Darrell","California","Republican","District 49"
"192","Jackson Lee","Sheila","Texas","Democrat","District 18"
"193","Jeffries","Hakeem","New York","Democrat","District 8"
"194","Jenkins","Evan","West Virginia","Republican","District 3"
"195","Jenkins","Lynn","Kansas","Republican","District 2"
"196","Johnson","Bill","Ohio","Republican","District 6"
"197","Johnson","Eddie Bernice","Texas","Democrat","District 30"
"198","Johnson","Hank","Georgia","Democrat","District 4"
