"Cycle","CID","RealCode","Date","Amount","Type"
2012,"N00026595","E1140",2012-12-05,2500,"24K"
2012,"N00030910","E1600",2012-12-17,-2500,"24K"
2012,"N00005395","E1160",2012-12-05,2000,"24K"
2012,"N00003675","E1160",2012-12-14,-2500,"24K"
2012,"N00007724","E1320",2012-12-17,1000,"24K"
2012,"N00025881","E1630",2012-11-20,1000,"24K"
2012,"N00006897","E1320",2012-11-30,1000,"24K"
2012,"N00027566","E1620",2012-12-20,2500,"24K"
2012,"N00031253","E1620",2012-12-05,1000,"24K"
2012,"N00005285","E1610",2012-12-12,1000,"24K"
2012,"N00027605","E1210",2012-12-19,2000,"24K"
2012,"N00002685","E1610",2012-12-12,1500,"24K"
2012,"N00029273","E1200",2012-12-06,5000,"24K"
2012,"N00031412","E1160",2012-11-30,2000,"24K"
2012,"N00027605","E1620",2012-12-18,1000,"24K"
2012,"N00031127","E1620",2012-12-10,1000,"24K"
2012,"N00033410","E1170",2012-12-07,2000,"24K"
2012,"N00026050","E5000",2012-12-05,1000,"24K"
2012,"N00005395","E1110",2012-12-06,1000,"24K"
2012,"N00027510","E1620",2012-12-18,2500,"24K"
2012,"N00000491","E1140",2012-12-05,1000,"24K"
2012,"N00033101","E1600",2012-12-21,5000,"24K"
2012,"N00033406","E1620",2012-12-28,-1000,"24K"
2012,"N00026595","E1620",2012-12-04,2500,"24K"
2012,"N00009957","E1120",2012-11-20,-2500,"24K"
2012,"N00025284","E1600",2012-12-03,1000,"24K"
2012,"N00027605","E1620",2012-12-19,1000,"24K"
2012,"N00026595","E1620",2012-11-20,2500,"24K"
2012,"N00033410","E1110",2012-11-30,2000,"24K"
2012,"N00002793","E1150",2012-12-31,-1000,"24K"
2012,"N00030191","E1220",2012-12-06,2500,"24K"
2012,"N00024992","E1620",2012-11-26,1000,"24K"
2012,"N00031782","E1160",2012-11-30,1000,"24K"
2012,"N00003522","E1110",2012-11-30,-1000,"24K"
2012,"N00031820","E1610",2012-12-12,1000,"24K"
2012,"N00004643","E1620",2012-12-04,5000,"24K"
2012,"N00024753","E1170",2012-12-07,1000,"24K"
2012,"N00030752","E1620",2012-12-12,1500,"24K"
2012,"N00033782","E1620",2012-12-12,2500,"24K"
2012,"N00033054","E1610",2012-11-28,2500,"24K"
2012,"N00007724","E1620",2012-12-20,1000,"24K"
2012,"N00030771","E1600",2012-12-03,1000,"24K"
2012,"N00033782","E1620",2012-12-18,500,"24K"
2012,"N00008051","E1120",2012-12-07,1000,"24K"
2012,"N00004643","E1200",2012-12-04,2500,"24K"
2012,"N00031253","E1110",2012-12-05,5000,"24K"
2012,"N00003675","E1500",2012-11-29,-5000,"24K"
2012,"N00033782","E1500",2012-12-05,5000,"24K"
2012,"N00003105","E1620",2012-11-26,1000,"24K"
2012,"N00027522","E1620",2012-12-19,1000,"24K"
2012,"N00026171","E1610",2012-11-28,1000,"24K"
2012,"N00006236","E1620",2012-11-27,3000,"24K"
2012,"N00029391","E1630",2012-11-30,-1000,"24K"
2012,"N00000699","E1630",2012-12-03,-5000,"24K"
