"","LastName","FirstName","Party","District","State","Vote.114","Vote.115","Vote.116","Vote_count","Vote_change","member_id","Alias"
"1","Byrne","Bradley","R","AL-01","AL","-","-","-",3,0,"B001289",NA
"2","Roby","Martha","R","AL-02","AL","-","-","-",3,0,"R000591",NA
"3","Rogers","Mike D.","R","AL-03","AL","-","-","-",3,0,"R000575",NA
"4","Aderholt","Robert B.","R","AL-04","AL","-","-","-",3,0,"A000055",NA
"5","Brooks","Mo","R","AL-05","AL","-","-","-",3,0,"B001274",NA
"6","Palmer","Gary","R","AL-06","AL","-","-","-",3,0,"P000609",NA
"7","Sewell","Terri","D","AL-07","AL","+","+","+",3,0,"S001185",NA
"8","Young","Don","R","AK-AL","AK","-","-","-",3,0,"Y000033",NA
"9","Kirkpatrick","Ann","D","AZ-01","AZ","+",NA,NA,1,0,"K000368",NA
"10","McSally","Martha","R","AZ-02","AZ","-","-",NA,2,0,"M001197",NA
"11","Grijalva","Raul","D","AZ-03","AZ","+","+","+",3,0,"G000551",NA
"12","Gosar","Paul","R","AZ-04","AZ","-","-","-",3,0,"G000565",NA
"13","Salmon","Matt","R","AZ-05","AZ","-",NA,NA,1,0,"S000018",NA
"14","Schweikert","David","R","AZ-06","AZ","-","-","-",3,0,"S001183",NA
"15","Gallego","Ruben","D","AZ-07","AZ","+","+","+",3,0,"G000574",NA
"16","Franks","Trent","R","AZ-08","AZ","-","-",NA,2,0,"F000448",NA
"17","Sinema","Kyrsten","I","AZ-09","AZ","+","+",NA,2,0,"S001191",NA
"18","Crawford","Rick","R","AR-01","AR","-","-","-",3,0,"C001087",NA
"19","Hill","French","R","AR-02","AR","-","-","-",3,0,"H001072",NA
"20","Womack","Steve","R","AR-03","AR","-","-","-",3,0,"W000809",NA
"21","Westerman","Bruce","R","AR-04","AR","-","-","-",3,0,"W000821",NA
"22","LaMalfa","Doug","R","CA-01","CA","-","-","-",3,0,"L000578",NA
"23","Huffman","Jared","D","CA-02","CA","+","+","+",3,0,"H001068",NA
"24","Garamendi","John","D","CA-03","CA","+","+","+",3,0,"G000559",NA
"25","McClintock","Tom","R","CA-04","CA","-","-","-",3,0,"M001177",NA
"26","Thompson","Mike","D","CA-05","CA","+","+","+",3,0,"T000460",NA
"27","Matsui","Doris O.","D","CA-06","CA","+","+","+",3,0,"M001163",NA
"28","Bera","Ami","D","CA-07","CA","+","+","+",3,0,"B001287",NA
"29","Cook","Paul","R","CA-08","CA","-","-","-",3,0,"C001094",NA
"30","McNerney","Jerry","D","CA-09","CA","+","+","+",3,0,"M001166",NA
"31","Denham","Jeff","R","CA-10","CA","-","-",NA,2,0,"D000612",NA
"32","DeSaulnier","Mark","D","CA-11","CA","+","+","+",3,0,"D000623",NA
"33","Pelosi","Nancy","D","CA-12","CA","+","+",NA,2,0,"P000197",NA
"34","Lee","Barbara J.","D","CA-13","CA","+","+","+",3,0,"L000551",NA
