"","LastName","FirstName","State","Party","Amount.oil.116","Amount.coal.116","Amount.mining.116","Amount.gas.116","Amount.env.116","Amount.alt_en.116","member_id","Alias"
"1","Adams","Alma","NC","D",3,0,0,0,2263,0,"A000370",NA
"2","Aderholt","Robert B","AL","R",16053,3600,5600,0,0,2500,"A000055",NA
"3","Aguilar","Pete","CA","D",4983,0,0,646,8075,1528,"A000371",NA
"4","Allen","Richard W","GA","R",9800,0,1500,2500,0,0,"A000372",NA
"5","Allred","Colin","TX","D",53385,0,5,508,11947,3435,"A000376",NA
"6","Amash","Justin","MI","R",19900,0,0,0,0,0,"A000367",NA
"7","Amodei","Mark","NV","R",26000,1000,45700,6000,0,0,"A000369",NA
"8","Armstrong","Kelly","ND","R",240501,22100,35150,18500,0,10500,"A000377",NA
"9","Arrington","Jodey","TX","R",70750,0,0,1500,0,24200,"A000375",NA
"10","Axne","Cindy","IA","D",5086,0,17,2723,20467,6483,"A000378",NA
"11","Babin","Brian","TX","R",81357,0,5400,11400,0,0,"B001291",NA
"12","Bacon","Donald John","NE","R",79640,0,2000,18402,0,25000,"B001298",NA
"13","Baird","Jim","IN","R",0,0,1000,0,0,1000,"B001307",NA
"14","Balderson","Troy","OH","R",127598,10200,12200,5500,0,2700,"B001306",NA
"15","Banks","Jim","IN","R",15000,0,1000,0,0,0,"B001299",NA
"16","Barr","Andy","KY","R",113547,74650,153625,20452,0,0,"B001282",NA
"17","Barragan","Nanette","CA","D",6015,0,0,4015,19757,2500,"B001300",NA
"18","Bass","Karen","CA","D",3500,0,1000,0,1100,1000,"B001270",NA
"19","Beatty","Joyce","OH","D",1000,0,0,0,0,0,"B001281",NA
"20","Bera","Ami","CA","D",10,0,0,10,13880,2625,"B001287",NA
"21","Bergman","John","MI","R",37345,0,10000,0,350,0,"B001301",NA
"22","Beutler Herrera","Jaime","WA","R",0,0,0,0,0,0,"H001056",NA
"23","Beyer","Don","VA","D",15902,0,2500,8900,5380,11900,"B001292",NA
"24","Biggs","Andy","AZ","R",17000,0,7500,3000,0,0,"B001302",NA
"25","Bilirakis","Gus","FL","R",53600,0,0,7000,0,7600,"B001257",NA
"26","Bishop","Dan","NC","R",0,0,0,0,0,0,"B001311",NA
"27","Bishop","Rob","UT","R",121188,16750,31750,7250,5700,0,"B001250",NA
"28","Bishop","Sanford","GA","D",11750,2500,8500,1000,0,1000,"B000490",NA
"29","Blumenauer","Earl","OR","D",3532,0,0,3275,4838,16220,"B000574",NA
