"","LastName","FirstName","State","Party","Amount.oil.116","Amount.coal.116","Amount.mining.116","Amount.gas.116","Amount.env.116","Amount.alt_en.116","member_id","Alias"
"30","Bonamici","Suzanne","OR","D",3079,0,0,2564,2951,1500,"B001278",NA
"31","Bost","Mike","IL","R",56340,32250,86825,7899,0,18000,"B001295",NA
"32","Boyle","Brendan","PA","D",6000,0,0,6000,2010,0,"B001296",NA
"33","Brady","Kevin","TX","R",377134,1000,1000,53450,0,19750,"B000755",NA
"34","Brindisi","Anthony","NY","D",1830,0,4,7,31983,2519,"B001308",NA
"35","Brooks","Mo","AL","R",2250,2500,16000,0,500,4000,"B001274",NA
"36","Brooks","Susan","IN","R",21300,3000,9000,0,0,7500,"B001284",NA
"37","Brown","Anthony","MD","D",9000,0,0,2000,3250,5000,"B001304",NA
"38","Brownley","Julia","CA","D",1351,0,0,0,9201,505,"B001285",NA
"39","Buchanan","Vernon","FL","R",31750,0,0,0,0,1000,"B001260",NA
"40","Buck","Ken","CO","R",44700,0,2500,6500,0,1000,"B001297",NA
"41","Bucshon","Larry","IN","R",16200,21900,23900,1000,0,250,"B001275",NA
"42","Budd","Ted","NC","R",37700,0,2000,0,0,0,"B001305",NA
"43","Burchett","Tim","TN","R",11050,250,250,0,0,0,"B001309",NA
"44","Burgess","Michael","TX","R",35250,0,0,4000,0,5200,"B001248",NA
"45","Bustos","Cheri","IL","D",7870,3,3,1020,5929,19258,"B001286",NA
"46","Butterfield","G K","NC","D",11500,0,0,0,1763,2000,"B001251",NA
"47","Byrne","Bradley","AL","R",19200,0,2000,1000,2700,0,"B001289",NA
"48","Calvert","Ken","CA","R",33500,0,2000,0,0,6400,"C000059",NA
"49","Carbajal","Salud","CA","D",2950,0,0,0,27701,6000,"C001112",NA
"50","Cardenas","Tony","CA","D",24530,0,0,3000,1604,2000,"C001097",NA
"51","Carson","Andre","IN","D",2250,0,0,0,250,0,"C001072",NA
"52","Carter","Buddy","GA","R",68400,0,6000,6000,2500,2250,"C001103",NA
"53","Carter","John","TX","R",62350,0,1000,5500,0,5400,"C001051",NA
"54","Cartwright","Matt","PA","D",7502,0,0,0,19137,1000,"C001090",NA
"55","Case","Ed","HI","D",0,0,0,0,750,250,"C001055",NA
"56","Casten","Sean","IL","D",3421,0,3,1027,38561,31815,"C001117",NA
"57","Castor","Kathy","FL","D",59,0,0,0,2253,0,"C001066",NA
"58","Castro","Joaquin","TX","D",12890,0,0,0,4700,500,"C001091",NA
"59","Chabot","Steve","OH","R",20700,9250,53425,0,0,0,"C000266",NA
"60","Cheney","Liz","WY","R",93700,16000,24500,3000,0,0,"C001109",NA
"61","Chu","Judy","CA","D",1000,0,0,0,2950,0,"C001080",NA
"62","Cicilline","David","RI","D",500,0,0,0,2000,0,"C001084",NA
"63","Cisneros","Gil","CA","D",4287,0,0,1002,10934,4532,"C001123","Jr."
"64","Clark","Katherine","MA","D",8206,0,0,0,5913,1000,"C001101",NA
"65","Clarke","Yvette","NY","D",1250,0,0,1000,2000,0,"C001067",NA
"66","Clay","William L Jr","MO","D",0,2500,2500,0,1500,0,"C001049",NA
"67","Cleaver","Emanuel","MO","D",0,0,0,0,2500,0,"C001061",NA
"68","Cline","Ben","VA","R",9950,1000,1000,3200,0,0,"C001118",NA
"69","Cloud","Michael","TX","R",23200,0,0,2000,0,0,"C001115",NA
"70","Clyburn","James E","SC","D",20006,0,0,5500,4750,2500,"C000537",NA
"71","Cohen","Steve","TN","D",3000,0,0,0,4500,0,"C001068",NA
"72","Cole","Tom","OK","R",119250,0,1000,35400,0,7493,"C001053",NA
"73","Watson Coleman","Bonnie","NJ","D",0,0,0,0,0,0,"W000822",NA
"74","Collins","Doug","GA","R",35000,0,500,2500,0,0,"C001093",NA
"75","Comer","James","KY","R",11250,2000,3000,1000,0,11000,"C001108",NA
"76","Conaway","Mike","TX","R",150500,0,0,1000,4750,1793,"C001062",NA
"77","Connolly","Gerry","VA","D",2002,0,0,2000,1500,0,"C001078",NA
"78","Cook","Paul","CA","R",21500,0,1450,14000,0,6400,"C001094",NA
"79","Cooper","Jim","TN","D",6500,0,0,0,0,1250,"C000754",NA
"80","Correa","Lou","CA","D",39500,0,0,4500,1500,100,"C001110",NA
"81","Costa","Jim","CA","D",98505,3500,12000,15000,3000,1000,"C001059",NA
"82","Courtney","Joe","CT","D",750,0,0,0,3100,0,"C001069",NA
"83","Cox","TJ","CA","D",1212,0,0,7,8213,7322,"C001124",NA
"84","Craig","Angie","MN","D",702,0,0,2,39376,5326,"C001119",NA
"85","Crawford","Rick","AR","R",7250,0,1000,1000,0,0,"C001087",NA
"86","Crenshaw","Dan","TX","R",134058,1000,7400,6900,155,2700,"C001120",NA
"87","Crist","Charlie","FL","D",28505,0,0,0,16881,0,"C001111",NA
"88","Crow","Jason","CO","D",11020,0,507,1852,66533,5032,"C001121",NA
"89","Cuellar","Henry","TX","D",173919,1500,8000,17000,0,500,"C001063",NA
"90","Cunningham","Joe","SC","D",23,0,0,0,914,154,"C001122",NA
"91","Curtis","John","UT","R",30900,3700,6700,0,0,0,"C001114",NA
"92","Davids","Sharice","KS","D",6970,0,1263,2757,20416,9614,"D000629",NA
"93","Davidson","Warren","OH","R",10500,0,0,0,0,0,"D000626",NA
"94","Davis","Danny K","IL","D",3000,0,0,0,0,0,"D000096",NA
"95","Davis","Rodney","IL","R",73500,12600,16600,14500,0,31500,"D000619",NA
"96","Davis","Susan","CA","D",0,0,0,0,1500,1000,"D000598",NA
"97","Dean","Madeleine","PA","D",502,0,0,501,4787,0,"D000631",NA
"98","DeFazio","Peter","OR","D",14500,0,0,2500,2375,40,"D000191",NA
"99","DeGette","Diana","CO","D",6510,0,0,0,1500,0,"D000197",NA
"100","DeLauro","Rosa","CT","D",500,0,825,0,2850,500,"D000216",NA
"101","DelBene","Suzan","WA","D",14011,0,0,0,23051,300,"D000617",NA
"102","Delgado","Antonio","NY","D",6052,0,0,1400,19611,6464,"D000630",NA
"103","Demings","Val","FL","D",0,0,300,0,1500,0,"D000627",NA
"104","Desaulnier","Mark","CA","D",7175,0,0,0,650,1500,"D000623",NA
"105","Desjarlais","Scott","TN","R",12400,0,0,0,0,0,"D000616",NA
"106","Deutch","Ted","FL","D",2800,0,0,0,1700,2000,"D000610",NA
"107","Diaz-Balart","Mario","FL","R",26500,0,0,0,0,0,"D000600",NA
"108","Dingell","Debbie","MI","D",8000,0,0,1000,5903,250,"D000624",NA
"109","Doggett","Lloyd","TX","D",2706,0,0,0,4275,0,"D000399",NA
"110","Doyle","Mike","PA","D",11500,0,500,8500,1500,250,"D000482",NA
"111","Duncan","Jeff","SC","R",73350,0,1000,5500,0,2000,"D000615",NA
"112","Dunn","Neal","FL","R",1000,0,0,0,0,0,"D000628",NA
"113","Emmer","Tom","MN","R",28500,0,2500,1500,0,27493,"E000294",NA
"114","Engel","Eliot","NY","D",9150,0,2000,0,2000,2000,"E000179",NA
"115","Escobar","Veronica","TX","D",15383,0,0,26,3299,0,"E000299",NA
"116","Eshoo","Anna","CA","D",1000,0,0,0,1900,7700,"E000215",NA
"117","Espaillat","Adriano","NY","D",0,0,0,0,2000,2500,"E000297",NA
"118","Estes","Ron","KS","R",131675,0,0,4000,0,41700,"E000298",NA
"119","Evans","Dwight","PA","D",1100,0,0,0,5958,0,"E000296",NA
"120","Ferguson","Drew","GA","R",17700,0,500,2500,0,0,"F000465",NA
"121","Finkenauer","Abby","IA","D",1971,200,217,6,19871,17444,"F000467",NA
"122","Fitzpatrick","Brian","PA","R",69408,0,0,12052,8000,750,"F000466",NA
"123","Fleischmann","Chuck","TN","R",9000,0,1000,3500,0,0,"F000459",NA
"124","Fletcher","Lizzie","TX","D",93042,0,505,16066,10351,9192,"F000468",NA
"125","Flores","Bill","TX","R",188600,0,2500,22500,0,0,"F000461",NA
"126","Fortenberry","Jeff","NE","R",2500,0,0,0,5300,1000,"F000449",NA
"127","Foster","Bill","IL","D",7950,0,0,0,16500,9610,"F000454",NA
"128","Foxx","Virginia","NC","R",23950,19250,65325,2500,0,0,"F000450",NA
"129","Frankel","Lois","FL","D",2,0,0,0,2503,1,"F000462",NA
"130","Fudge","Marcia","OH","D",0,0,0,0,1000,0,"F000455",NA
"131","Fulcher","Russ","ID","R",25000,0,2250,0,0,1500,"F000469",NA
"132","Gabbard","Tulsi","HI","D",4193,0,15,10,16,939,"G000571",NA
"133","Gaetz","Matt","FL","R",6200,0,0,0,0,0,"G000578",NA
"134","Gallagher","Mike","WI","R",53450,0,0,5000,0,0,"G000579",NA
"135","Gallego","Ruben","AZ","D",2503,0,0,1000,5210,11000,"G000574",NA
"136","Garamendi","John","CA","D",0,0,0,0,3000,2500,"G000559",NA
"137","Garcia","Jesus","IL","D",0,0,0,0,3400,0,"G000586",NA
"138","Garcia","Mike","CA","R",0,0,0,0,0,0,"G000061",NA
"139","Garcia","Sylvia","TX","D",23508,0,0,3001,7834,350,"G000587",NA
"140","Gianforte","Greg","MT","R",219640,28225,32225,3500,0,350,"G000584",NA
"141","Gibbs","Bob","OH","R",36250,14500,20500,6500,500,1000,"G000563",NA
"142","Gohmert","Louis B Jr","TX","R",45300,0,0,250,0,0,"G000552",NA
"143","Golden","Jared","ME","D",6078,0,7,5425,18520,6312,"G000592",NA
"144","Gomez","Jimmy","CA","D",3250,0,0,3250,18459,2550,"G000585",NA
"145","Gonzalez","Anthony","OH","R",27550,22600,30850,1500,0,3500,"G000588",NA
"146","Gonzalez","Vicente","TX","D",48762,0,0,12000,1000,0,"G000581",NA
"147","Gooden","Lance","TX","R",66450,0,0,7700,0,0,"G000589",NA
"148","Gosar","Paul","AZ","R",18600,5500,35125,0,0,3000,"G000565",NA
"149","Gottheimer","Josh","NJ","D",44605,0,1250,5000,46298,6495,"G000583",NA
"150","Granger","Kay","TX","R",70900,0,0,2500,0,1000,"G000377",NA
"151","Graves","Garret","LA","R",193801,2000,8500,64301,3700,2000,"G000577",NA
"152","Graves","Sam","MO","R",39300,0,2000,7000,0,8500,"G000546",NA
"153","Green","Al","TX","D",4956,0,0,2700,0,1000,"G000553",NA
"154","Green","Mark","TN","R",49400,0,0,0,25,0,"G000590",NA
"155","Griffith","Morgan","VA","R",36350,31300,33300,5500,0,250,"G000568",NA
"156","Grijalva","Raul M","AZ","D",238,0,0,0,23210,50,"G000551",NA
"157","Grothman","Glenn","WI","R",34950,0,0,0,0,1000,"G000576",NA
"158","Guest","Michael","MS","R",35150,0,0,2500,0,0,"G000591",NA
"159","Guthrie","Brett","KY","R",48050,2500,8500,4500,0,0,"G000558",NA
"160","Haaland","Debra","NM","D",6499,0,0,2702,10459,3520,"H001080",NA
"161","Hagedorn","Jim","MN","R",17000,2700,3700,0,0,500,"H001088",NA
"162","Harder","Josh","CA","D",4027,0,8,110,32016,10913,"H001090",NA
"163","Harris","Andy","MD","R",12750,2000,4000,0,0,0,"H001052",NA
"164","Hartzler","Vicky","MO","R",13800,1000,1000,2000,0,3500,"H001053",NA
"165","Hastings","Alcee","FL","D",0,0,0,0,0,0,"H000324",NA
"166","Hayes","Jahana","CT","D",271,0,0,252,2588,273,"H001081",NA
"167","Heck","Dennis","WA","D",4000,0,0,0,7250,250,"H001064",NA
"168","Hern","Kevin","OK","R",119761,6500,6500,7000,0,0,"H001082",NA
"169","Hice","Jody","GA","R",7000,0,15967,0,0,6900,"H001071",NA
"170","Higgins","Brian M","NY","D",13100,0,0,10100,0,1000,"H001038",NA
"171","Higgins","Clay","LA","R",69150,0,0,18650,0,0,"H001077",NA
"172","Hill","French","AR","R",45900,0,0,2000,500,0,"H001072",NA
"173","Himes","Jim","CT","D",2001,0,2000,1000,7456,0,"H001047",NA
"174","Holding","George","NC","R",72950,0,0,2000,0,22800,"H001065",NA
"175","Hollingsworth","Trey","IN","R",29450,11000,11000,0,0,17000,"H001074",NA
"176","Horn","Kendra","OK","D",18557,0,0,2425,275,1500,"H001083",NA
"177","Horsford","Steven","NV","D",6044,0,11000,2502,11662,1312,"H001066",NA
"178","Houlahan","Chrissy","PA","D",2023,0,0,15,18329,6012,"H001085",NA
"179","Hoyer","Steny H","MD","D",43750,0,0,9500,4500,2000,"H000874",NA
"180","Hudson","Richard","NC","R",85700,0,7000,5500,0,1000,"H001067",NA
"181","Huffman","Jared","CA","D",3500,0,0,2500,37033,1000,"H001068",NA
"182","Huizenga","Bill","MI","R",46175,0,0,0,0,0,"H001058",NA
"183","Hurd","Will","TX","R",461594,8200,8450,51950,0,3400,"H001073",NA
"184","Jackson Lee","Sheila","TX","D",0,0,0,0,0,0,"J000032",NA
"185","Jacobs","Chris","NY","R",0,0,0,0,0,0,"J000020",NA
"186","Jayapal","Pramila","WA","D",1011,900,910,0,17231,515,"J000298",NA
"187","Jeffries","Hakeem","NY","D",0,0,0,0,2250,25,"J000294",NA
"188","Johnson","Bill","OH","R",124050,53140,90870,25200,0,2500,"J000292",NA
"189","Johnson","Dusty","SD","R",29850,0,1000,0,0,13400,"J000301",NA
"190","Johnson","Eddie Bernice","TX","D",3756,0,0,0,2000,0,"J000126",NA
"191","Johnson","Hank","GA","D",0,0,0,0,500,0,"J000288",NA
"192","Johnson","Mike","LA","R",78350,0,7400,19400,0,0,"J000299",NA
"193","Jordan","Jim","OH","R",16000,0,1000,0,0,0,"J000289",NA
"194","Joyce","David P","OH","R",40600,22200,36875,7000,3000,6400,"J000295",NA
"195","Joyce","John","PA","R",10500,0,0,5000,0,0,"J000302",NA
"196","Kaptur","Marcy","OH","D",4500,0,7500,3500,1000,0,"K000009",NA
"197","Katko","John","NY","R",122590,0,0,18552,0,0,"K000386",NA
"198","Keating","Bill","MA","D",6250,0,0,2500,1850,100,"K000375",NA
"199","Keller","Fred","PA","R",0,0,0,0,0,0,"K000395",NA
"200","Kelly","Mike","PA","R",85100,27500,34550,24000,0,1500,"K000376",NA
"201","Kelly","Robin","IL","D",3000,0,0,0,0,0,"K000385",NA
"202","Kelly","Trent","MS","R",29087,350,350,1000,0,0,"K000388",NA
"203","Kennedy","Joe III","MA","D",13875,0,15,1015,21485,6655,"K000379","III"
"204","Khanna","Ro","CA","D",11311,0,0,0,0,5641,"K000389",NA
"205","Kildee","Dan","MI","D",0,0,0,0,4000,0,"K000380",NA
"206","Kilmer","Derek","WA","D",12375,0,0,0,25613,0,"K000381",NA
"207","Kim","Andy","NJ","D",8142,0,0,99,35904,806,"K000394",NA
"208","Kind","Ron","WI","D",7500,0,0,3000,1800,12375,"K000188",NA
"209","King","Pete","NY","R",12900,0,0,2500,0,0,"K000210",NA
"210","King","Steven A","IA","R",7750,1000,1000,0,0,27418,"K000362",NA
"211","Kinzinger","Adam","IL","R",45500,0,12500,15500,0,12500,"K000378",NA
"212","Kirkpatrick","Ann","AZ","D",3746,0,5,22,15743,3022,"K000368",NA
"213","Krishnamoorthi","Raja","IL","D",21925,500,500,250,4408,12100,"K000391",NA
"214","Kuster","Ann","NH","D",1260,0,0,250,30532,4600,"K000382",NA
"215","Kustoff","David","TN","R",25000,0,0,0,0,1000,"K000392",NA
"216","LaHood","Darin","IL","R",64600,3400,8400,7500,0,33600,"L000585",NA
"217","LaMalfa","Doug","CA","R",21980,2700,2700,9630,0,2250,"L000578",NA
"218","Lamb","Conor","PA","D",24797,4000,4500,8726,7425,4925,"L000588",NA
"219","Lamborn","Doug","CO","R",22791,6000,15000,1000,0,0,"L000564",NA
"220","Langevin","Jim","RI","D",900,0,0,0,2000,0,"L000559",NA
"221","Larsen","Rick","WA","D",27751,0,0,9000,1500,15,"L000560",NA
"222","Larson","John","CT","D",0,0,0,0,1000,0,"L000557",NA
"223","Latta","Bob","OH","R",93825,2700,5700,6000,0,3500,"L000566",NA
"224","Lawrence","Brenda","MI","D",2500,0,500,2500,1010,0,"L000581",NA
"225","Lawson","Al","FL","D",0,0,0,0,1000,0,"L000586","Jr."
"226","Lee","Barbara","CA","D",3463,0,0,0,20655,185,"L000551",NA
"227","Lee","Susie","NV","D",11893,0,15465,9100,41576,4355,"L000590",NA
"228","Lesko","Debbie","AZ","R",41450,0,18800,2500,0,0,"L000589",NA
"229","Levin","Andy","MI","D",3,0,0,2,5870,4000,"L000592",NA
"230","Levin","Mike","CA","D",9015,0,1,5404,45795,15042,"L000593",NA
"231","Lieu","Ted","CA","D",400,0,0,150,11600,25,"L000582",NA
"232","Lipinski","Daniel","IL","D",27000,0,0,2500,0,1000,"L000563",NA
"233","Loebsack","David","IA","D",8262,0,0,0,2750,32301,"L000565",NA
"234","Lofgren","Zoe","CA","D",5000,0,0,0,9000,21600,"L000397",NA
"235","Long","Billy","MO","R",55000,2000,4000,8000,0,3500,"L000576",NA
"236","Loudermilk","Barry","GA","R",24000,0,500,1000,0,0,"L000583",NA
"237","Lowenthal","Alan","CA","D",7000,0,2500,0,5100,0,"L000579",NA
"238","Lowey","Nita M","NY","D",500,0,0,0,6903,0,"L000480",NA
"239","Lucas","Frank D","OK","R",64600,0,0,10000,0,5000,"L000491",NA
"240","Luetkemeyer","Blaine","MO","R",11000,0,1750,2000,0,6000,"L000569",NA
"241","Lujan","Ben Ray","NM","D",22651,1000,6000,7000,5967,500,"L000570",NA
"242","Luria","Elaine","VA","D",5656,0,0,5457,15541,9195,"L000591",NA
"243","Lynch","Stephen","MA","D",1000,0,2500,0,0,2500,"L000562",NA
"244","Malinowski","Tom","NJ","D",27303,0,3,22,44966,7599,"M001203",NA
"245","Maloney","Carolyn","NY","D",11400,0,2000,0,3550,1500,"M000087",NA
"246","Maloney","Sean Patrick","NY","D",1055,0,0,0,7470,50,"M001185",NA
"247","Marchant","Kenny","TX","R",71650,1000,2000,16000,0,0,"M001158",NA
"248","Marshall","Roger","KS","R",25082,0,0,1000,0,48693,"M001198",NA
"249","Massie","Thomas","KY","R",10200,1000,2000,0,0,0,"M001184",NA
"250","Mast","Brian","FL","R",102569,5101,5101,12299,0,160,"M001199",NA
"251","Matsui","Doris","CA","D",17000,0,1000,3000,4537,5000,"M001163",NA
"252","McAdams","Ben","UT","D",4694,50,3350,0,15690,6766,"M001209",NA
"253","McBath","Lucy","GA","D",1492,0,10,35,11385,162,"M001208",NA
"254","McCarthy","Kevin","CA","R",484650,68600,184500,69300,5250,54150,"M001165",NA
"255","McCaul","Michael","TX","R",126700,0,0,12200,0,1250,"M001157",NA
"256","McClintock","Tom","CA","R",14750,0,5500,2000,0,1000,"M001177",NA
"257","McCollum","Betty","MN","D",1,0,0,0,6250,261,"M001143",NA
"258","McEachin","Donald","VA","D",4550,0,0,2500,19855,9750,"M001200",NA
"259","McGovern","James P","MA","D",3505,0,0,0,2433,782,"M000312",NA
"260","McHenry","Patrick","NC","R",79000,0,0,10000,0,20200,"M001156",NA
"261","McKinley","David","WV","R",85175,23000,30500,15000,0,0,"M001180",NA
"262","McNerney","Jerry","CA","D",6900,0,0,3500,9950,12700,"M001166",NA
"263","Meeks","Gregory","NY","D",2500,0,0,0,0,0,"M001137",NA
"264","Meng","Grace","NY","D",5,0,0,0,1001,1200,"M001188",NA
"265","Meuser","Dan","PA","R",10300,8100,9100,2500,0,500,"M001204",NA
"266","Mfume","Kweisi","MD","D",0,0,0,0,0,0,"M000687",NA
"267","Miller","Carol","WV","R",16700,44950,115725,3500,0,0,"M001205",NA
"268","Mitchell","Paul","MI","R",6000,0,0,1000,0,10000,"M001201",NA
"269","Moolenaar","John","MI","R",12750,0,0,1000,0,0,"M001194",NA
"270","Mooney","Alex","WV","R",25850,15800,17800,4500,0,250,"M001195",NA
"271","Moore","Gwen","WI","D",0,0,0,0,2000,0,"M001160",NA
"272","Morelle","Joseph D","NY","D",7503,0,0,7002,3250,2500,"M001206",NA
"273","Moulton","Seth","MA","D",4100,0,0,4000,1300,0,"M001196",NA
"274","Mucarsel-Powell","Debbie","FL","D",10053,0,3,2700,16814,657,"M001207","Debbie"
"275","Mullin","Markwayne","OK","R",183350,2700,4700,36000,0,1500,"M001190",NA
"276","Murphy","Greg","NC","R",0,0,0,0,0,0,"M001210",NA
"277","Murphy","Stephanie","FL","D",700,0,0,250,18491,1255,"M001202",NA
"278","Nadler","Jerrold","NY","D",5400,0,0,0,1510,0,"N000002",NA
"279","Napolitano","Grace","CA","D",3500,0,0,3500,3000,2500,"N000179",NA
"280","Neal","Richard E","MA","D",39900,0,0,13500,1500,7500,"N000015",NA
"281","Neguse","Joseph","CO","D",555,0,0,2,11374,1795,"N000191",NA
"282","Newhouse","Dan","WA","R",20000,0,1000,1500,0,0,"N000189",NA
"283","Norcross","Don","NJ","D",26210,0,0,7500,500,0,"N000188",NA
"284","Norman","Ralph","SC","R",27150,0,250,0,0,1000,"N000190",NA
"285","Nunes","Devin","CA","R",124552,2700,5300,5250,0,1500,"N000181",NA
"286","O'Halleran","Tom","AZ","D",650,5000,6500,600,9550,270,"O000171",NA
"287","Ocasio-Cortez","Alexandria","NY","D",859,0,0,39,7436,282,"O000172","Alexandria"
"288","Olson","Pete","TX","R",206328,0,6000,44500,0,0,"O000168",NA
"289","Omar","Ilhan","MN","D",6466,0,0,2,4890,2670,"O000173",NA
"290","Palazzo","Steven","MS","R",29450,0,1000,3000,0,0,"P000601",NA
"291","Pallone","Frank Jr","NJ","D",30950,0,0,17450,2000,22500,"P000034",NA
"292","Palmer","Gary","AL","R",17500,6000,6000,0,0,0,"P000609",NA
"293","Panetta","Jimmy","CA","D",16500,0,0,14000,7400,0,"P000613",NA
"294","Pappas","Chris","NH","D",255,0,0,0,8753,1057,"P000614",NA
"295","Pascrell","Bill Jr","NJ","D",0,0,0,0,1000,0,"P000096",NA
"296","Payne","Donald M Jr","NJ","D",10000,0,0,0,0,10000,"P000604",NA
"297","Pelosi","Nancy","CA","D",6233,0,75,1260,23626,19095,"P000197",NA
"298","Pence","Greg","IN","R",68150,38700,90806,0,0,20800,"P000615",NA
"299","Perlmutter","Ed","CO","D",8111,0,3000,0,1250,0,"P000593",NA
"300","Perry","Scott","PA","R",46550,0,2000,4000,0,0,"P000605",NA
"301","Peters","Scott","CA","D",31703,0,10000,15200,16392,9038,"P000608",NA
"302","Peterson","Collin","MN","D",36501,1500,7500,1500,0,10600,"P000258",NA
"303","Phillips","Dean","MN","D",948,0,0,0,8123,4482,"P000616",NA
"304","Pingree","Chellie","ME","D",1000,0,0,1000,8262,0,"P000597",NA
"305","Pocan","Mark","WI","D",3023,0,0,0,5903,500,"P000607",NA
"306","Porter","Katie","CA","D",2828,0,3,47,33216,12143,"P000618",NA
"307","Posey","Bill","FL","R",11400,0,0,0,0,0,"P000599",NA
"308","Pressley","Ayanna","MA","D",3,0,0,0,6918,2106,"P000617",NA
"309","Price","David","NC","D",2000,0,0,1000,6763,0,"P000523",NA
"310","Quigley","Mike","IL","D",0,0,0,0,6525,0,"Q000023",NA
"311","Radewagen","Amata Coleman","AS","R",0,0,0,0,0,0,"R000600",NA
"312","Raskin","Jamie","MD","D",0,0,0,0,5665,0,"R000606",NA
"313","Reed","Tom","NY","R",122475,0,500,21400,0,40225,"R000585",NA
"314","Reschenthaler","Guy","PA","R",53550,17400,20400,14750,0,0,"R000610",NA
"315","Rice","Kathleen","NY","D",6408,0,0,0,501,0,"R000602",NA
"316","Rice","Tom","SC","R",29950,0,250,0,0,2000,"R000597",NA
"317","Richmond","Cedric","LA","D",79200,0,0,15000,1000,0,"R000588",NA
"318","Riggleman","Denver","VA","R",18400,3700,3700,0,0,2700,"R000611",NA
"319","Roby","Martha","AL","R",28100,2000,2000,2500,0,0,"R000591",NA
"320","Rochester Blunt","Lisa","DE","D",0,0,0,0,0,0,"B001303",NA
"321","Rodgers McMorris","Cathy","WA","R",0,0,0,0,0,0,"M001159",NA
"322","Roe","Phil","TN","R",2700,1000,1000,0,0,0,"R000582",NA
"323","Rogers","Hal","KY","R",40996,8000,12500,5000,0,0,"R000395",NA
"324","Rogers","Mike D","AL","R",7000,7000,7000,0,0,0,"R000575",NA
"325","Rooney","Francis","FL","R",2700,0,0,0,0,0,"R000607",NA
"326","Rose","John","TN","R",25000,0,0,0,0,0,"R000612",NA
"327","Rose","Max","NY","D",2581,0,0,0,12518,87,"R000613",NA
"328","Rouda","Harley","CA","D",7577,0,0,82,30557,14966,"R000616",NA
"329","Rouzer","David","NC","R",37000,0,0,1000,0,3500,"R000603",NA
"330","Roy","Chip","TX","R",125700,0,4700,12400,500,0,"R000614",NA
"331","Roybal-Allard","Lucille","CA","D",0,0,0,0,1200,0,"R000486",NA
"332","Ruiz","Raul","CA","D",3626,0,0,0,13619,11150,"R000599",NA
"333","Ruppersberger","Dutch","MD","D",500,0,0,0,0,0,"R000576",NA
"334","Rush","Bobby","IL","D",13000,0,1000,5000,1000,1000,"R000515",NA
"335","Rutherford","John","FL","R",1000,0,0,1000,0,2700,"R000609",NA
"336","Ryan","Tim","OH","D",13725,5400,7400,6200,5513,322,"R000577",NA
"337","Sanchez","Linda","CA","D",7000,0,0,2500,2503,2500,"S001156",NA
"338","Sarbanes","John","MD","D",1003,0,0,0,0,2700,"S001168",NA
"339","Scalise","Steve","LA","R",383665,0,13225,22700,0,1435,"S001176",NA
"340","Scanlon","Mary Gay","PA","D",6451,0,0,0,6997,0,"S001205",NA
"341","Schakowsky","Jan","IL","D",171,0,0,0,2456,1500,"S001145",NA
"342","Schiff","Adam","CA","D",2638,0,100,525,16523,3859,"S001150",NA
