"","LastName","FirstName","Party","District","State","Vote.114","Vote.115","Vote.116","Vote_count","Vote_change"
"1","Byrne","Bradley","R","AL-01","AL","-","-","-",3,0
"2","Roby","Martha","R","AL-02","AL","-","-","-",3,0
"3","Rogers","Mike D.","R","AL-03","AL","-","-","-",3,0
"4","Aderholt","Robert B.","R","AL-04","AL","-","-","-",3,0
"5","Brooks","Mo","R","AL-05","AL","-","-","-",3,0
"6","Palmer","Gary","R","AL-06","AL","-","-","-",3,0
"7","Sewell","Terri","D","AL-07","AL","+","+","+",3,0
"8","Young","Don","R","AK-AL","AK","-","-","-",3,0
"9","Kirkpatrick","Ann","D","AZ-01","AZ","+",NA,NA,1,0
"10","McSally","Martha","R","AZ-02","AZ","-","-",NA,2,0
"11","Grijalva","Raul","D","AZ-03","AZ","+","+","+",3,0
"12","Gosar","Paul","R","AZ-04","AZ","-","-","-",3,0
"13","Salmon","Matt","R","AZ-05","AZ","-",NA,NA,1,0
"14","Schweikert","David","R","AZ-06","AZ","-","-","-",3,0
"15","Gallego","Ruben","D","AZ-07","AZ","+","+","+",3,0
"16","Franks","Trent","R","AZ-08","AZ","-","-",NA,2,0
"17","Sinema","Kyrsten","I","AZ-09","AZ","+","+",NA,2,0
"18","Crawford","Rick","R","AR-01","AR","-","-","-",3,0
"19","Hill","French","R","AR-02","AR","-","-","-",3,0
"20","Womack","Steve","R","AR-03","AR","-","-","-",3,0
"21","Westerman","Bruce","R","AR-04","AR","-","-","-",3,0
"22","LaMalfa","Doug","R","CA-01","CA","-","-","-",3,0
"23","Huffman","Jared","D","CA-02","CA","+","+","+",3,0
"24","Garamendi","John","D","CA-03","CA","+","+","+",3,0
"25","McClintock","Tom","R","CA-04","CA","-","-","-",3,0
"26","Thompson","Mike","D","CA-05","CA","+","+","+",3,0
"27","Matsui","Doris O.","D","CA-06","CA","+","+","+",3,0
"28","Bera","Ami","D","CA-07","CA","+","+","+",3,0
"29","Cook","Paul","R","CA-08","CA","-","-","-",3,0
"30","McNerney","Jerry","D","CA-09","CA","+","+","+",3,0
"31","Denham","Jeff","R","CA-10","CA","-","-",NA,2,0
"32","DeSaulnier","Mark","D","CA-11","CA","+","+","+",3,0
"33","Pelosi","Nancy","D","CA-12","CA","+","+",NA,2,0
"34","Lee","Barbara J.","D","CA-13","CA","+","+","+",3,0
"35","Speier","Jackie","D","CA-14","CA","+","+","+",3,0
"36","Swalwell","Eric","D","CA-15","CA","+","+",NA,2,0
"37","Costa","Jim","D","CA-16","CA","+",NA,"-",2,1
"38","Honda","Mike","D","CA-17","CA","+",NA,NA,1,0
"39","Eshoo","Anna G.","D","CA-18","CA",NA,"+","+",2,0
"40","Lofgren","Zoe","D","CA-19","CA","+","+","+",3,0
"41","Farr","Sam","D","CA-20","CA","+",NA,NA,1,0
"42","Valadao","David G.","R","CA-21","CA","-","-",NA,2,0
"43","Nunes","Devin G.","R","CA-22","CA","-","-","-",3,0
"44","McCarthy","Kevin","R","CA-23","CA","-","-","-",3,0
"45","Capps","Lois","D","CA-24","CA","+",NA,NA,1,0
"46","Knight","Steve","R","CA-25","CA","-","+",NA,2,1
"47","Brownley","Julia","D","CA-26","CA","+","+","+",3,0
"48","Chu","Judy M.","D","CA-27","CA","+","+","+",3,0
"49","Schiff","Adam B.","D","CA-28","CA","+","+","+",3,0
"50","Cárdenas","Tony","D","CA-29","CA","+","+","+",3,0
"51","Sherman","Brad J.","D","CA-30","CA","+","+","+",3,0
"52","Aguilar","Pete","D","CA-31","CA","+","+","+",3,0
"53","Napolitano","Grace","D","CA-32","CA","+","+","+",3,0
"54","Lieu","Ted","D","CA-33","CA","+","+","+",3,0
"55","Becerra","Xavier","D","CA-34","CA","+",NA,NA,1,0
"56","Torres","Norma","D","CA-35","CA","+","+","+",3,0
"57","Ruiz","Raul","D","CA-36","CA","+","+","+",3,0
"58","Bass","Karen","D","CA-37","CA","+","+","+",3,0
"59","Sanchez","Linda","D","CA-38","CA","+","+","+",3,0
"60","Royce","Ed","R","CA-39","CA","-","-",NA,2,0
"61","Roybal-Allard","Lucille","D","CA-40","CA","+","+","+",3,0
"62","Takano","Mark","D","CA-41","CA","+","+","+",3,0
"63","Calvert","Ken S.","R","CA-42","CA","-","-","-",3,0
"64","Waters","Maxine","D","CA-43","CA","+","+","+",3,0
"65","Hahn","Janice","D","CA-44","CA","+",NA,NA,1,0
"66","Walters","Mimi","R","CA-45","CA","-","-",NA,2,0
"67","Sanchez","Loretta L.","D","CA-46","CA","+",NA,NA,1,0
"68","Lowenthal","Alan S.","D","CA-47","CA","+","+","+",3,0
"69","Rohrabacher","Dana T.","R","CA-48","CA","-","-",NA,2,0
"70","Issa","Darrell","R","CA-49","CA","-","-",NA,2,0
"71","Hunter","Duncan D.","R","CA-50","CA","-","-","-",3,0
"72","Vargas","Juan","D","CA-51","CA","+","+","+",3,0
"73","Peters","Scott H.","D","CA-52","CA","+","+","+",3,0
"74","Davis","Susan A.","D","CA-53","CA","+","+","+",3,0
"75","DeGette","Diana L.","D","CO-01","CO","+","+","+",3,0
"76","Polis","Jared","D","CO-02","CO","+","+",NA,2,0
"77","Tipton","Scott","R","CO-03","CO","-","-","-",3,0
"78","Buck","Ken","R","CO-04","CO","-","-","-",3,0
"79","Lamborn","Doug","R","CO-05","CO","-","-","-",3,0
"80","Coffman","Mike","R","CO-06","CO","-","-",NA,2,0
"81","Perlmutter","Ed","D","CO-07","CO","+","+","+",3,0
"82","Larson","John B.","D","CT-01","CT","+","+","+",3,0
"83","Courtney","Joe","D","CT-02","CT","+","+","+",3,0
"84","DeLauro","Rosa L.","D","CT-03","CT","+",NA,"+",2,0
"85","Himes","Jim","D","CT-04","CT","+","+","+",3,0
"86","Esty","Elizabeth H.","D","CT-05","CT","+","+",NA,2,0
"87","Carney","John","D","DE-AL","DE","+",NA,NA,1,0
"88","Miller","Jeff","R","FL-01","FL","-",NA,NA,1,0
"89","Graham","Gwen","D","FL-02","FL","+",NA,NA,1,0
"90","Yoho","Ted S.","R","FL-03","FL","-","-","-",3,0
"91","Crenshaw","Ander","R","FL-04","FL","-",NA,NA,1,0
"92","Brown","Corrine","D","FL-05","FL","+",NA,NA,1,0
"93","DeSantis","Ron","R","FL-06","FL","-","-",NA,2,0
"94","Mica","John L.","R","FL-07","FL","-",NA,NA,1,0
"95","Posey","Bill","R","FL-08","FL","-",NA,"-",2,0
"96","Grayson","Alan","D","FL-09","FL","+",NA,NA,1,0
"97","Webster","Daniel","R","FL-10","FL","-","-","-",3,0
"98","Nugent","Rich","R","FL-11","FL","-",NA,NA,1,0
"99","Bilirakis","Gus","R","FL-12","FL","-","-","-",3,0
"100","Jolly","David W.","R","FL-13","FL","+",NA,NA,1,0
"101","Castor","Kathy","D","FL-14","FL","+",NA,"+",2,0
"102","Ross","Dennis","R","FL-15","FL","-",NA,NA,1,0
"103","Buchanan","Vern","R","FL-16","FL","-","-","-",3,0
"104","Rooney","Tom","R","FL-17","FL","-","-",NA,2,0
"105","Murphy","Patrick","D","FL-18","FL","+",NA,NA,1,0
"106","Clawson","Curtis","R","FL-19","FL","-",NA,NA,1,0
"107","Hastings","Alcee L.","D","FL-20","FL",NA,"+",NA,1,0
"108","Deutch","Ted","D","FL-21","FL","+","+","+",3,0
"109","Frankel","Lois","D","FL-22","FL","+","+","+",3,0
"110","Wasserman Schultz","Debbie","D","FL-23","FL","+","+","+",3,0
"111","Wilson","Frederica","D","FL-24","FL","+","+","+",3,0
"112","Díaz-Balart","Mario","R","FL-25","FL","-",NA,"-",2,0
"113","Curbelo","Carlos","R","FL-26","FL","+",NA,NA,1,0
"114","Ros-Lehtinen","Ileana","R","FL-27","FL","+",NA,NA,1,0
"115","Carter","Buddy","R","GA-01","GA","-","-","-",3,0
"116","Bishop","Sanford D.","D","GA-02","GA","-","+","+",3,1
"117","Westmoreland","Lynn A.","R","GA-03","GA","-",NA,NA,1,0
