"","LastName","FirstName","Party","District","State","Vote.114","Vote.115","Vote.116","Vote_count","Vote_change"
"118","Johnson","Hank","D","GA-04","GA","+","+","+",3,0
"119","Lewis","John R.","D","GA-05","GA","+","+","+",3,0
"120","Price","Tom","R","GA-06","GA","-",NA,NA,1,0
"121","Woodall","Rob","R","GA-07","GA","-","-","-",3,0
"122","Scott","Austin","R","GA-08","GA","-","-","-",3,0
"123","Collins","Doug","R","GA-09","GA","-","-","-",3,0
"124","Hice","Jody","R","GA-10","GA","-","-","-",3,0
"125","Loudermilk","Barry","R","GA-11","GA","-",NA,"-",2,0
"126","Allen","Rick","R","GA-12","GA","-","-","-",3,0
"127","Scott","David","D","GA-13","GA","+","+","+",3,0
"128","Graves","Tom","R","GA-14","GA","-","-","-",3,0
"129","Takai","Mark","D","HI-01","HI",NA,NA,NA,0,0
"130","Gabbard","Tulsi","D","HI-02","HI","+","+","+",3,0
"131","Labrador","Raul","R","ID-01","ID","-","-",NA,2,0
"132","Simpson","Mike","R","ID-02","ID","-","-","-",3,0
"133","Rush","Bobby L.","D","IL-01","IL","+","+","+",3,0
"134","Kelly","Robin","D","IL-02","IL","+","+","+",3,0
"135","Lipinski","Dan","D","IL-03","IL","+","+","+",3,0
"136","Gutierrez","Luis V.","D","IL-04","IL","+","+",NA,2,0
"137","Quigley","Mike","D","IL-05","IL","+","+","+",3,0
"138","Roskam","Peter J.","R","IL-06","IL","-","-",NA,2,0
"139","Davis","Danny K.","D","IL-07","IL","+","+","+",3,0
"140","Duckworth","Tammy","D","IL-08","IL","+",NA,NA,1,0
"141","Schakowsky","Jan","D","IL-09","IL","+","+","+",3,0
"142","Dold","Robert","R","IL-10","IL","+",NA,NA,1,0
"143","Foster","Bill","D","IL-11","IL","+","+","+",3,0
"144","Bost","Mike","R","IL-12","IL","-","-","-",3,0
"145","Davis","Rodney","R","IL-13","IL","-","-","-",3,0
"146","Hultgren","Randy","R","IL-14","IL","-","-",NA,2,0
"147","Shimkus","John M.","R","IL-15","IL","-","-","-",3,0
"148","Kinzinger","Adam","R","IL-16","IL","-","-","-",3,0
"149","Bustos","Cheri","D","IL-17","IL","+","+","+",3,0
"150","LaHood","Darin","R","IL-18","IL","-","-","-",3,0
"151","Visclosky","Peter J.","D","IN-01","IN","+","+","+",3,0
"152","Walorski","Jackie","R","IN-02","IN","-","-","-",3,0
"153","Stutzman","Marlin","R","IN-03","IN","-",NA,NA,1,0
"154","Rokita","Todd","R","IN-04","IN","-","-",NA,2,0
"155","Brooks","Susan W.","R","IN-05","IN","-","-","-",3,0
"156","Messer","Luke","R","IN-06","IN","-","-",NA,2,0
"157","Carson","Andre","D","IN-07","IN","+","+","+",3,0
"158","Bucshon","Larry","R","IN-08","IN","-","-","-",3,0
"159","Young","Todd","R","IN-09","IN","-",NA,NA,1,0
"160","Blum","Rod","R","IA-01","IA","-","-",NA,2,0
"161","Loebsack","Dave W.","D","IA-02","IA","+","+","+",3,0
"162","Young","David","R","IA-03","IA","-","-",NA,2,0
"163","King","Steve A.","R","IA-04","IA","-","-","-",3,0
"164","Huelskamp","Tim","R","KS-01","KS","-",NA,NA,1,0
"165","Jenkins","Lynn M.","R","KS-02","KS","-","-",NA,2,0
"166","Yoder","Kevin","R","KS-03","KS","-","-",NA,2,0
"167","Pompeo","Mike","R","KS-04","KS","-",NA,NA,1,0
"168","Whitfield","Ed","R","KY-01","KY","-",NA,NA,1,0
"169","Guthrie","Brett","R","KY-02","KY","-","-","-",3,0
"170","Yarmuth","John","D","KY-03","KY","+","+","+",3,0
"171","Massie","Thomas","R","KY-04","KY","-","-","-",3,0
"172","Rogers","Harold","R","KY-05","KY","-","-","-",3,0
"173","Barr","Garland","R","KY-06","KY","-","-","-",3,0
"174","Scalise","Steve","R","LA-01","LA","-",NA,"-",2,0
"175","Richmond","Cedric L","D","LA-02","LA","+","+","+",3,0
"176","Boustany","Charles","R","LA-03","LA","-",NA,NA,1,0
"177","Fleming","John","R","LA-04","LA","-",NA,NA,1,0
"178","Abraham","Ralph","R","LA-05","LA","-","-","-",3,0
"179","Graves","Garret","R","LA-06","LA","-","-","-",3,0
"180","Pingree","Chellie M.","D","ME-01","ME","+","+","+",3,0
"181","Poliquin","Bruce","R","ME-02","ME","-","-",NA,2,0
"182","Harris","Andy","R","MD-01","MD","-","-","-",3,0
"183","Ruppersberger","C.A. Dutch","D","MD-02","MD","+","+","+",3,0
"184","Sarbanes","John P.","D","MD-03","MD","+","+","+",3,0
"185","Edwards","Donna","D","MD-04","MD","+",NA,NA,1,0
"186","Hoyer","Steny H.","D","MD-05","MD","+","+","+",3,0
"187","Delaney","John K.","D","MD-06","MD","+","+",NA,2,0
"188","Cummings","Elijah E.","D","MD-07","MD","+","+","+",3,0
"189","Van Hollen","Chris","D","MD-08","MD","+",NA,NA,1,0
"190","Neal","Richard E.","D","MA-01","MA","+","+","+",3,0
"191","McGovern","Jim","D","MA-02","MA","+","+","+",3,0
"192","Tsongas","Niki","D","MA-03","MA","+","+",NA,2,0
"193","Kennedy","Joseph P.","D","MA-04","MA","+","+","+",3,0
"194","Clark","Katherine M.","D","MA-05","MA","+","+","+",3,0
"195","Moulton","Seth","D","MA-06","MA","+","+","+",3,0
"196","Capuano","Michael E.","D","MA-07","MA","+","+",NA,2,0
"197","Lynch","Stephen F.","D","MA-08","MA","+","+","+",3,0
"198","Keating","Bill","D","MA-09","MA","+","+","+",3,0
"199","Benishek","Dan","R","MI-01","MI","-",NA,NA,1,0
"200","Huizenga","Bill","R","MI-02","MI","-","-","-",3,0
"201","Amash","Justin","R","MI-03","MI","-","-","-",3,0
"202","Moolenaar","John","R","MI-04","MI","-","-","-",3,0
"203","Kildee","Daniel T.","D","MI-05","MI","+","+","+",3,0
"204","Upton","Fred","R","MI-06","MI","-","-","+",3,1
"205","Walberg","Tim","R","MI-07","MI","-","-","-",3,0
"206","Bishop","Mike","R","MI-08","MI","-","-",NA,2,0
"207","Levin","Sander M.","D","MI-09","MI","+","+",NA,2,0
"208","Miller","Candice S.","R","MI-10","MI","-",NA,NA,1,0
"209","Trott","Dave","R","MI-11","MI","-","-",NA,2,0
"210","Dingell","Debbie","D","MI-12","MI","+","+","+",3,0
"211","Conyers","John","D","MI-13","MI","+","+",NA,2,0
"212","Lawrence","Brenda","D","MI-14","MI","+","+","+",3,0
"213","Walz","Tim","D","MN-01","MN","+","+",NA,2,0
"214","Kline","John P.","R","MN-02","MN","-",NA,NA,1,0
"215","Paulsen","Erik","R","MN-03","MN","-","-",NA,2,0
"216","McCollum","Betty","D","MN-04","MN","+","+","+",3,0
"217","Ellison","Keith M.","D","MN-05","MN","+","+",NA,2,0
"218","Emmer","Tom","R","MN-06","MN","-","-",NA,2,0
"219","Peterson","Collin C.","D","MN-07","MN","-","-","+",3,1
"220","Nolan","Rick","D","MN-08","MN","+","+",NA,2,0
"221","Kelly","Trent","R","MS-01","MS","-","-","-",3,0
"222","Thompson","Bennie G.","D","MS-02","MS","+","+","+",3,0
"223","Harper","Gregg","R","MS-03","MS","-","-",NA,2,0
"224","Palazzo","Steven","R","MS-04","MS","-","-","-",3,0
"225","Clay","William Lacy","D","MO-01","MO","+","+","+",3,0
"226","Wagner","Ann","R","MO-02","MO","-","-","-",3,0
"227","Luetkemeyer","Blaine","R","MO-03","MO","-","-","-",3,0
"228","Hartzler","Vicky","R","MO-04","MO","-","-","-",3,0
"229","Cleaver","Emanuel","D","MO-05","MO","+","+","+",3,0
"230","Graves","Sam","R","MO-06","MO","-",NA,"-",2,0
"231","Long","Billy","R","MO-07","MO","-","-","-",3,0
"232","Smith","Jason T.","R","MO-08","MO","-","-","-",3,0
"233","Zinke","Ryan","R","MT-AL","MT","-",NA,NA,1,0
"234","Fortenberry","Jeff","R","NE-01","NE","-","-","-",3,0
"235","Ashford","Brad","D","NE-02","NE","-",NA,NA,1,0
"236","Smith","Adrian M.","R","NE-03","NE","-","-","-",3,0
"237","Titus","Dina","D","NV-01","NV","+","+","+",3,0
"238","Amodei","Mark E.","R","NV-02","NV","-","-","-",3,0
"239","Heck","Joe","R","NV-03","NV","-",NA,NA,1,0
"240","Hardy","Cresent","R","NV-04","NV","-",NA,NA,1,0
"241","Guinta","Frank","R","NH-01","NH","-",NA,NA,1,0
"242","Kuster","Ann M.","D","NH-02","NH","+","+","+",3,0
"243","Norcross","Donald W.","D","NJ-01","NJ","+","+","+",3,0
"244","LoBiondo","Frank A.","R","NJ-02","NJ","-","-",NA,2,0
"245","MacArthur","Tom","R","NJ-03","NJ","-","-",NA,2,0
"246","Smith","Christopher H.","R","NJ-04","NJ","-","+","+",3,1
"247","Garrett","E. Scott","R","NJ-05","NJ","-",NA,NA,1,0
"248","Pallone","Frank J.","D","NJ-06","NJ","+","+","+",3,0
"249","Lance","Leonard","R","NJ-07","NJ","-","-",NA,2,0
"250","Sires","Albio","D","NJ-08","NJ","+","+","+",3,0
"251","Pascrell","Bill","D","NJ-09","NJ","+","+","+",3,0
"252","Payne","Donald M.","D","NJ-10","NJ","+","+","+",3,0
"253","Frelinghuysen","Rodney P.","R","NJ-11","NJ","-","-",NA,2,0
"254","Watson Coleman","Bonnie","D","NJ-12","NJ","+",NA,"+",2,0
"255","Lujan Grisham","Michelle","D","NM-01","NM","+","+",NA,2,0
"256","Pearce","Steve","R","NM-02","NM",NA,"-",NA,1,0
"257","Luján","Ben Ray","D","NM-03","NM","+","+","+",3,0
"258","Zeldin","Lee","R","NY-01","NY","-","-","-",3,0
"259","King","Peter T.","R","NY-02","NY","-","-","-",3,0
"260","Israel","Steve J.","D","NY-03","NY","+",NA,NA,1,0
"261","Rice","Kathleen","D","NY-04","NY","+","+","+",3,0
"262","Meeks","Gregory W.","D","NY-05","NY","+","+","+",3,0
"263","Meng","Grace","D","NY-06","NY","+","+","+",3,0
"264","Velázquez ","Nydia","D","NY-07","NY","+","+","+",3,0
"265","Jeffries","Hakeem S.","D","NY-08","NY","+","+","+",3,0
"266","Clarke","Yvette D.","D","NY-09","NY","+","+","+",3,0
"267","Nadler","Jerrold L.","D","NY-10","NY","+","+","+",3,0
"268","Donovan","Daniel M.","R","NY-11","NY","-","-",NA,2,0
"269","Maloney","Carolyn B.","D","NY-12","NY","+","+","+",3,0
"270","Rangel","Charles","D","NY-13","NY","+",NA,NA,1,0
"271","Crowley","Joseph","D","NY-14","NY","+","+",NA,2,0
"272","Serrano","Jose","D","NY-15","NY","+","+","+",3,0
"273","Engel","Eliot L.","D","NY-16","NY","+","+","+",3,0
"274","Lowey","Nita M.","D","NY-17","NY","+","+","+",3,0
"275","Maloney","Sean Patrick","D","NY-18","NY","+","+","+",3,0
"276","Gibson","Chris","R","NY-19","NY","+",NA,NA,1,0
"277","Tonko","Paul D.","D","NY-20","NY","+","+","+",3,0
"278","Stefanik","Elise","R","NY-21","NY","+","+","+",3,0
"279","Hanna","Richard","R","NY-22","NY","+",NA,NA,1,0
"280","Reed","Tom","R","NY-23","NY","-","-","-",3,0
"281","Katko","John","R","NY-24","NY","+","+","+",3,0
"282","Slaughter","Louise","D","NY-25","NY","+","+",NA,2,0
"283","Higgins","Brian M.","D","NY-26","NY","+","+","+",3,0
"284","Collins","Chris","R","NY-27","NY","-","-","-",3,0
"285","Butterfield","G.K.","D","NC-01","NC","+","+","+",3,0
"286","Ellmers","Renee","R","NC-02","NC","-",NA,NA,1,0
"287","Jones","Jr.","D","NC-03","NC","-","-",NA,2,0
"288","Price","David","D","NC-04","NC","+","+","+",3,0
"289","Foxx","Virginia","R","NC-05","NC","-","-","-",3,0
"290","Walker","Bradley Mark","R","NC-06","NC","-","-","-",3,0
"291","Rouzer","David","R","NC-07","NC","-","-","-",3,0
"292","Hudson","Richard","R","NC-08","NC","-","-","-",3,0
"293","Pittenger","Robert","R","NC-09","NC","-","-",NA,2,0
"294","McHenry","Patrick T.","R","NC-10","NC","-","-","-",3,0
"295","Meadows","Mark","R","NC-11","NC","-","-","-",3,0
"296","Adams","Alma","D","NC-12","NC","+","+","+",3,0
"297","Holding","George","R","NC-13","NC","-","-","-",3,0
"298","Cramer","Kevin","R","ND-AL","ND","-","-",NA,2,0
"299","Chabot","Steve","R","OH-01","OH","-","-","-",3,0
"300","Wenstrup","Brad R.","R","OH-02","OH","-","-","-",3,0
"301","Beatty","Joyce","D","OH-03","OH","+","+","+",3,0
"302","Jordan","Jim","R","OH-04","OH","-","-","-",3,0
"303","Latta","Bob","R","OH-05","OH","-","-","-",3,0
"304","Johnson","Bill","R","OH-06","OH","-","-","-",3,0
"305","Gibbs","Bob","R","OH-07","OH","-","-","-",3,0
"306","Davidson","Warren","R","OH-08","OH","-","-","-",3,0
"307","Kaptur","Marcy","D","OH-09","OH","+","+","+",3,0
"308","Turner","Michael R.","R","OH-10","OH","-","-","-",3,0
"309","Fudge","Marcia L.","D","OH-11","OH","+","+","+",3,0
"310","Tiberi","Pat","R","OH-12","OH","-",NA,NA,1,0
"311","Ryan","Tim","D","OH-13","OH","+","+",NA,2,0
"312","Joyce","David P.","R","OH-14","OH","-","-","-",3,0
"313","Stivers","Steve","R","OH-15","OH","-","-","-",3,0
"314","Renacci","Jim","R","OH-16","OH","-","-",NA,2,0
"315","Bridenstine","Jim","R","OK-01","OK","-",NA,NA,1,0
"316","Mullin","Markwayne","R","OK-02","OK","-","-","-",3,0
"317","Lucas","Frank D.","R","OK-03","OK","-","-","-",3,0
"318","Cole","Tom","R","OK-04","OK","-","-","-",3,0
"319","Russell","Steve","R","OK-05","OK","-","-",NA,2,0
"320","Bonamici","Suzanne","D","OR-01","OR","+","+","+",3,0
"321","Walden","Greg P.","R","OR-02","OR","-","-","-",3,0
"322","Blumenauer","Earl","D","OR-03","OR","+","+","+",3,0
"323","DeFazio","Peter A.","D","OR-04","OR","+","+","+",3,0
"324","Schrader","Kurt","D","OR-05","OR","+","+","+",3,0
"325","Brady","Robert A.","D","PA-01","PA","+","+",NA,2,0
"326","Kelly","Mike","R","PA-03","PA","-","-","-",3,0
"327","Perry","Scott","R","PA-04","PA","-","-","-",3,0
"328","Thompson","Glenn W.","R","PA-05","PA","-","-","-",3,0
"329","Costello","Ryan","R","PA-06","PA","-","+",NA,2,1
"330","Meehan","Patrick","R","PA-07","PA","-","+",NA,2,1
"331","Fitzpatrick","Michael","R","PA-08","PA","-",NA,NA,1,0
"332","Shuster","Bill","R","PA-09","PA","-","-",NA,2,0
"333","Marino","Tom","R","PA-10","PA","-","-",NA,2,0
"334","Barletta","Lou","R","PA-11","PA","-","-",NA,2,0
"335","Rothfus","Keith J.","R","PA-12","PA","-","-",NA,2,0
"336","Boyle","Brendan","D","PA-13","PA","+","+","+",3,0
"337","Doyle","Mike","D","PA-14","PA","+","+","+",3,0
"338","Dent","Charlie","R","PA-15","PA","-","-",NA,2,0
"339","Pitts","Joe","R","PA-16","PA","-",NA,NA,1,0
"340","Cartwright","Matt A.","D","PA-17","PA","+","+","+",3,0
"341","Murphy","Tim","R","PA-18","PA","-","-",NA,2,0
"342","Cicilline","David","D","RI-01","RI","+","+","+",3,0
"343","Langevin","Jim","D","RI-02","RI","+","+","+",3,0
"344","Sanford","Mark","R","SC-01","SC","-","+",NA,2,1
"345","Wilson","Joe","R","SC-02","SC","-","-","-",3,0
"346","Duncan","Jeff","R","SC-03","SC","-","-","-",3,0
"347","Gowdy","Trey","R","SC-04","SC","-","-",NA,2,0
"348","Mulvaney","Mick","R","SC-05","SC","-",NA,NA,1,0
"349","Clyburn","James E.","D","SC-06","SC","+",NA,"+",2,0
"350","Rice","Tom","R","SC-07","SC","-","-","-",3,0
"351","Noem","Kristi","R","SD-AL","SD","-","-",NA,2,0
"352","Roe","Phil","R","TN-01","TN","-","-","-",3,0
"353","Duncan","Jr.","R","TN-02","TN","-","-",NA,2,0
"354","Fleischmann","Chuck","R","TN-03","TN","-","-","-",3,0
"355","DesJarlais","Scott","R","TN-04","TN","-","-","-",3,0
"356","Cooper","Jim","D","TN-05","TN","+","+","+",3,0
"357","Black","Diane","R","TN-06","TN","-","-",NA,2,0
"358","Blackburn","Marsha","R","TN-07","TN","-","-",NA,2,0
"359","Fincher","Stephen","R","TN-08","TN","-",NA,NA,1,0
"360","Cohen","Steve","D","TN-09","TN","+","+","+",3,0
"361","Gohmert","Louie","R","TX-01","TX","-","-","-",3,0
"362","Poe","Ted","R","TX-02","TX",NA,NA,NA,0,0
"363","Johnson","Sam","R","TX-03","TX","-","-",NA,2,0
"364","Ratcliffe","John","R","TX-04","TX","-","-","-",3,0
"365","Hensarling","Jeb","R","TX-05","TX","-","-",NA,2,0
"366","Barton","Joe","R","TX-06","TX","-","-",NA,2,0
"367","Culberson","John A.","R","TX-07","TX","-","-",NA,2,0
"368","Brady","Kevin P.","R","TX-08","TX",NA,"-","-",2,0
"369","Green","Al","D","TX-09","TX","+","+","+",3,0
"370","McCaul","Michael T.","R","TX-10","TX","-","-","-",3,0
"371","Conaway","K. Michael","R","TX-11","TX","-","-","-",3,0
"372","Granger","Kay","R","TX-12","TX","-","-","-",3,0
"373","Thornberry","Mac","R","TX-13","TX","-","-","-",3,0
"374","Weber","Randy K.","R","TX-14","TX","-","-","-",3,0
"375","Hinojosa","Ruben","D","TX-15","TX","+",NA,NA,1,0
"376","O'Rourke","Beto","D","TX-16","TX","+","+",NA,2,0
"377","Flores","Bill","R","TX-17","TX","-","-","-",3,0
"378","Jackson Lee","Sheila","D","TX-18","TX","+","+","+",3,0
"379","Neugebauer","Randy","R","TX-19","TX","-",NA,NA,1,0
"380","Castro","Joaquin","D","TX-20","TX","+","+","+",3,0
"381","Smith","Lamar S.","R","TX-21","TX","-","-",NA,2,0
"382","Olson","Pete","R","TX-22","TX","-","-","-",3,0
"383","Hurd","Will","R","TX-23","TX","-","-","-",3,0
"384","Marchant","Kenny E.","R","TX-24","TX","-","-","-",3,0
"385","Williams","Roger","R","TX-25","TX","-","-","-",3,0
"386","Burgess","Michael C.","R","TX-26","TX","-","-","-",3,0
"387","Farenthold","Blake","R","TX-27","TX","-","-",NA,2,0
"388","Cuellar","Henry","D","TX-28","TX","-","-","+",3,1
"389","Green","Gene","D","TX-29","TX","+","+",NA,2,0
"390","Johnson","Eddie Bernice","D","TX-30","TX","+","+","+",3,0
"391","Carter","John R.","R","TX-31","TX","-","-","-",3,0
"392","Sessions","Pete","R","TX-32","TX","-","-",NA,2,0
"393","Veasey","Marc A.","D","TX-33","TX","-","+","+",3,1
"394","Vela","Filemon","D","TX-34","TX","+","+","+",3,0
"395","Doggett","Lloyd A.","D","TX-35","TX","+","+","+",3,0
"396","Babin","Brian","R","TX-36","TX","-","-","-",3,0
"397","Bishop","Rob","R","UT-01","UT","-","-","-",3,0
"398","Stewart","Chris","R","UT-02","UT","-","-","-",3,0
"399","Chaffetz","Jason","R","UT-03","UT","-",NA,NA,1,0
"400","Love","Mia","R","UT-04","UT","-","-",NA,2,0
"401","Welch","Peter F.","D","VT-AL","VT","+","+","+",3,0
"402","Wittman","Rob","R","VA-01","VA","-","-","-",3,0
"403","Rigell","Scott","R","VA-02","VA","-",NA,NA,1,0
"404","Scott","Robert C.","D","VA-03","VA","+","+","+",3,0
"405","Forbes","J. Randy","R","VA-04","VA","-",NA,NA,1,0
"406","Hurt","Robert","R","VA-05","VA","-",NA,NA,1,0
"407","Goodlatte","Bob","R","VA-06","VA","-","-",NA,2,0
"408","Brat","David Alan","R","VA-07","VA","-","-",NA,2,0
"409","Beyer","Donald","D","VA-08","VA","+","+","+",3,0
"410","Griffith","Morgan","R","VA-09","VA","-","-","-",3,0
"411","Comstock","Barbara","R","VA-10","VA","-","-",NA,2,0
"412","Connolly","Gerald E.","D","VA-11","VA","+","+","+",3,0
"413","DelBene","Suzan K.","D","WA-01","WA","+","+","+",3,0
"414","Larsen","Rick","D","WA-02","WA","+","+","+",3,0
